time_s,phase,target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,error_x_m,error_y_m,error_z_m,error_xy_m,error_3d_m,roll_deg,pitch_deg,yaw_deg,vbat_v
0.159,init,0.0000,0.0000,0.0000,0.0003,0.0005,0.0128,-0.0003,-0.0005,-0.0128,0.0006,0.0128,0.000,0.000,0.000,3.706
0.213,init,0.0000,0.0000,0.0000,0.0001,0.0008,0.0110,-0.0001,-0.0008,-0.0110,0.0009,0.0111,1.036,0.302,0.260,3.700
0.313,init,0.0000,0.0000,0.0000,0.0002,0.0005,0.0101,-0.0002,-0.0005,-0.0101,0.0006,0.0101,1.017,0.322,0.269,3.706
0.483,init,0.0000,0.0000,0.0000,0.0002,0.0005,0.0105,-0.0002,-0.0005,-0.0105,0.0005,0.0105,1.025,0.322,0.269,3.706
0.544,init,0.0000,0.0000,0.0000,0.0006,0.0004,0.0114,-0.0006,-0.0004,-0.0114,0.0007,0.0114,1.021,0.330,0.280,3.706
0.639,init,0.0000,0.0000,0.0000,0.0003,0.0005,0.0100,-0.0003,-0.0005,-0.0100,0.0005,0.0100,1.016,0.328,0.291,3.706
0.718,takeoff,0.0000,0.0000,0.0059,0.0003,0.0005,0.0102,-0.0003,-0.0005,-0.0042,0.0006,0.0043,1.017,0.342,0.298,3.706
0.827,takeoff,0.0000,0.0000,0.0205,0.0002,0.0005,0.0109,-0.0002,-0.0005,0.0096,0.0005,0.0096,1.004,0.359,0.309,3.706
0.940,takeoff,0.0000,0.0000,0.0355,0.0002,0.0005,0.0106,-0.0002,-0.0005,0.0249,0.0005,0.0249,1.000,0.360,0.316,3.706
1.015,takeoff,0.0000,0.0000,0.0456,0.0007,0.0005,0.0105,-0.0007,-0.0005,0.0351,0.0009,0.0351,0.998,0.357,0.326,3.706
1.115,takeoff,0.0000,0.0000,0.0588,0.0002,0.0005,0.0112,-0.0002,-0.0005,0.0476,0.0006,0.0476,1.004,0.350,0.331,3.700
1.214,takeoff,0.0000,0.0000,0.0721,0.0001,0.0010,0.0115,-0.0001,-0.0010,0.0606,0.0010,0.0606,0.999,0.365,0.340,3.706
1.315,takeoff,0.0000,0.0000,0.0855,0.0001,0.0005,0.0109,-0.0001,-0.0005,0.0746,0.0005,0.0746,0.987,0.363,0.350,3.706
1.421,takeoff,0.0000,0.0000,0.0996,0.0001,0.0005,0.0098,-0.0001,-0.0005,0.0897,0.0005,0.0897,1.003,0.370,0.357,3.706
1.515,takeoff,0.0000,0.0000,0.1122,0.0001,0.0005,0.0110,-0.0001,-0.0005,0.1012,0.0005,0.1012,1.001,0.372,0.361,3.706
1.616,takeoff,0.0000,0.0000,0.1257,0.0001,0.0011,0.0107,-0.0001,-0.0011,0.1150,0.0011,0.1150,0.995,0.363,0.374,3.706
1.757,takeoff,0.0000,0.0000,0.1444,0.0000,0.0005,0.0116,-0.0000,-0.0005,0.1328,0.0005,0.1328,0.974,0.360,0.380,3.700
1.814,takeoff,0.0000,0.0000,0.1521,0.0000,0.0004,0.0108,-0.0000,-0.0004,0.1412,0.0004,0.1412,0.996,0.371,0.386,3.706
1.939,takeoff,0.0000,0.0000,0.1687,0.0000,0.0005,0.0111,-0.0000,-0.0005,0.1577,0.0005,0.1577,1.004,0.372,0.392,3.706
2.012,takeoff,0.0000,0.0000,0.1785,0.0000,0.0004,0.0120,-0.0000,-0.0004,0.1665,0.0004,0.1665,1.005,0.380,0.397,3.706
2.144,takeoff,0.0000,0.0000,0.1960,0.0000,0.0004,0.0123,-0.0000,-0.0004,0.1837,0.0004,0.1837,1.008,0.381,0.402,3.700
2.213,takeoff,0.0000,0.0000,0.2053,-0.0001,0.0005,0.0107,0.0001,-0.0005,0.1946,0.0005,0.1946,1.004,0.372,0.409,3.706
2.335,takeoff,0.0000,0.0000,0.2216,-0.0001,0.0003,0.0104,0.0001,-0.0003,0.2111,0.0003,0.2111,0.999,0.364,0.411,3.700
2.413,takeoff,0.0000,0.0000,0.2319,-0.0001,0.0003,0.0108,0.0001,-0.0003,0.2211,0.0003,0.2211,1.001,0.354,0.411,3.706
2.539,takeoff,0.0000,0.0000,0.2487,-0.0000,0.0003,0.0106,0.0000,-0.0003,0.2381,0.0003,0.2381,1.007,0.364,0.418,3.706
2.626,takeoff,0.0000,0.0000,0.2603,-0.0000,0.0003,0.0100,0.0000,-0.0003,0.2503,0.0003,0.2503,1.006,0.373,0.421,3.706
2.740,takeoff,0.0000,0.0000,0.2755,0.0000,0.0003,0.0105,-0.0000,-0.0003,0.2650,0.0003,0.2650,1.011,0.374,0.424,3.700
2.813,takeoff,0.0000,0.0000,0.2852,-0.0001,0.0003,0.0104,0.0001,-0.0003,0.2747,0.0003,0.2747,1.008,0.376,0.428,3.706
2.947,takeoff,0.0000,0.0000,0.3031,-0.0001,0.0003,0.0112,0.0001,-0.0003,0.2919,0.0003,0.2919,1.008,0.389,0.432,3.700
3.013,takeoff,0.0000,0.0000,0.3120,-0.0001,0.0003,0.0107,0.0001,-0.0003,0.3012,0.0003,0.3012,1.011,0.388,0.436,3.706
3.151,takeoff,0.0000,0.0000,0.3303,-0.0002,0.0003,0.0111,0.0002,-0.0003,0.3192,0.0003,0.3192,1.009,0.390,0.441,3.706
3.214,takeoff,0.0000,0.0000,0.3387,-0.0002,0.0003,0.0106,0.0002,-0.0003,0.3281,0.0003,0.3281,1.008,0.404,0.449,3.706
3.343,takeoff,0.0000,0.0000,0.3559,0.0003,0.0002,0.0114,-0.0003,-0.0002,0.3445,0.0004,0.3445,1.006,0.404,0.456,3.706
3.413,takeoff,0.0000,0.0000,0.3652,-0.0002,0.0002,0.0102,0.0002,-0.0002,0.3550,0.0003,0.3550,0.999,0.393,0.466,3.706
3.541,takeoff,0.0000,0.0000,0.3823,-0.0002,0.0002,0.0107,0.0002,-0.0002,0.3717,0.0003,0.3717,0.999,0.429,0.472,3.700
3.612,takeoff,0.0000,0.0000,0.3918,-0.0002,0.0002,0.0103,0.0002,-0.0002,0.3815,0.0003,0.3815,0.999,0.425,0.482,3.706
3.734,takeoff,0.0000,0.0000,0.4000,-0.0002,0.0002,0.0107,0.0002,-0.0002,0.3893,0.0003,0.3893,1.014,0.422,0.485,3.700
3.822,takeoff,0.0000,0.0000,0.4000,-0.0003,0.0002,0.0099,0.0003,-0.0002,0.3901,0.0003,0.3901,1.008,0.413,0.485,3.706
3.922,hover,0.0000,0.0000,0.4000,-0.0004,0.0002,0.0100,0.0004,-0.0002,0.3900,0.0005,0.3900,1.007,0.408,0.488,3.706
4.013,hover,0.0000,0.0000,0.4000,-0.0003,0.0002,0.0100,0.0003,-0.0002,0.3900,0.0003,0.3900,1.004,0.404,0.492,3.700
4.127,hover,0.0000,0.0000,0.4000,-0.0003,0.0002,0.0101,0.0003,-0.0002,0.3899,0.0004,0.3899,1.001,0.390,0.494,3.706
4.212,hover,0.0000,0.0000,0.4000,-0.0004,0.0007,0.0114,0.0004,-0.0007,0.3886,0.0008,0.3886,1.002,0.390,0.500,3.700
4.313,hover,0.0000,0.0000,0.4000,-0.0004,0.0007,0.0097,0.0004,-0.0007,0.3903,0.0008,0.3903,0.984,0.391,0.508,3.706
4.413,hover,0.0000,0.0000,0.4000,-0.0003,0.0006,0.0108,0.0003,-0.0006,0.3892,0.0006,0.3892,0.986,0.392,0.513,3.700
4.512,hover,0.0000,0.0000,0.4000,0.0001,0.0002,0.0104,-0.0001,-0.0002,0.3896,0.0002,0.3897,0.978,0.379,0.515,3.706
4.642,hover,0.0000,0.0000,0.4000,0.0001,0.0001,0.0095,-0.0001,-0.0001,0.3905,0.0002,0.3905,0.993,0.369,0.524,3.706
4.726,hover,0.0000,0.0000,0.4000,0.0001,0.0007,0.0103,-0.0001,-0.0007,0.3897,0.0007,0.3897,0.999,0.364,0.529,3.700
4.831,hover,0.0000,0.0000,0.4000,-0.0004,0.0007,0.0100,0.0004,-0.0007,0.3900,0.0008,0.3900,0.982,0.368,0.537,3.700
4.913,hover,0.0000,0.0000,0.4000,-0.0004,0.0003,0.0108,0.0004,-0.0003,0.3892,0.0005,0.3892,0.990,0.394,0.542,3.706
5.038,hover,0.0000,0.0000,0.4000,-0.0004,0.0003,0.0097,0.0004,-0.0003,0.3903,0.0005,0.3903,1.003,0.395,0.550,3.700
5.124,hover,0.0000,0.0000,0.4000,-0.0004,0.0003,0.0093,0.0004,-0.0003,0.3907,0.0005,0.3907,1.001,0.389,0.554,3.706
5.222,forward,0.0077,0.0000,0.4000,0.0001,0.0003,0.0090,0.0075,-0.0003,0.3910,0.0075,0.3911,1.007,0.390,0.557,3.706
5.313,forward,0.0167,0.0000,0.4000,-0.0004,0.0003,0.0100,0.0171,-0.0003,0.3900,0.0171,0.3904,0.999,0.377,0.565,3.700
5.423,forward,0.0277,0.0000,0.4000,-0.0004,0.0002,0.0102,0.0281,-0.0002,0.3898,0.0281,0.3908,1.003,0.387,0.570,3.700
5.512,forward,0.0366,0.0000,0.4000,0.0001,0.0003,0.0094,0.0365,-0.0003,0.3906,0.0365,0.3924,1.005,0.383,0.577,3.706
5.614,forward,0.0469,0.0000,0.4000,-0.0004,0.0002,0.0101,0.0473,-0.0002,0.3899,0.0473,0.3928,1.006,0.366,0.582,3.700
5.712,forward,0.0566,0.0000,0.4000,-0.0004,0.0002,0.0122,0.0571,-0.0002,0.3878,0.0571,0.3920,1.006,0.391,0.586,3.700
5.826,forward,0.0681,0.0000,0.4000,0.0000,0.0002,0.0113,0.0680,-0.0002,0.3887,0.0680,0.3946,1.009,0.390,0.590,3.706
5.911,forward,0.0765,0.0000,0.4000,-0.0004,0.0002,0.0111,0.0770,-0.0002,0.3889,0.0770,0.3965,1.010,0.368,0.592,3.700
6.018,forward,0.0872,0.0000,0.4000,-0.0004,0.0002,0.0101,0.0876,-0.0002,0.3899,0.0877,0.3996,1.003,0.388,0.598,3.700
6.111,forward,0.0966,0.0000,0.4000,-0.0004,0.0002,0.0106,0.0970,-0.0002,0.3894,0.0970,0.4013,1.006,0.390,0.606,3.700
6.226,forward,0.1080,0.0000,0.4000,-0.0005,0.0003,0.0107,0.1085,-0.0003,0.3893,0.1085,0.4041,1.009,0.388,0.610,3.706
6.311,forward,0.1165,0.0000,0.4000,-0.0005,0.0009,0.0100,0.1170,-0.0009,0.3900,0.1170,0.4071,1.014,0.385,0.616,3.700
6.422,forward,0.1276,0.0000,0.4000,0.0001,0.0002,0.0100,0.1275,-0.0002,0.3900,0.1275,0.4103,1.005,0.386,0.623,3.706
6.512,forward,0.1366,0.0000,0.4000,-0.0005,0.0002,0.0093,0.1371,-0.0002,0.3907,0.1371,0.4141,1.021,0.376,0.628,3.700
6.622,forward,0.1476,0.0000,0.4000,-0.0005,0.0002,0.0098,0.1481,-0.0002,0.3902,0.1481,0.4173,1.023,0.392,0.633,3.706
6.712,forward,0.1566,0.0000,0.4000,-0.0005,0.0002,0.0096,0.1571,-0.0002,0.3904,0.1571,0.4208,1.015,0.391,0.639,3.706
6.820,forward,0.1674,0.0000,0.4000,-0.0005,0.0002,0.0097,0.1679,-0.0002,0.3903,0.1679,0.4249,1.008,0.387,0.643,3.700
6.912,forward,0.1766,0.0000,0.4000,-0.0005,0.0002,0.0101,0.1771,-0.0002,0.3899,0.1771,0.4282,1.011,0.387,0.652,3.700
7.014,forward,0.1868,0.0000,0.4000,-0.0005,0.0002,0.0096,0.1873,-0.0002,0.3904,0.1873,0.4330,1.007,0.380,0.659,3.706
7.144,forward,0.1999,0.0000,0.4000,-0.0005,0.0002,0.0114,0.2003,-0.0002,0.3886,0.2003,0.4372,1.011,0.393,0.664,3.700
7.216,forward,0.2070,0.0000,0.4000,-0.0005,0.0001,0.0115,0.2076,-0.0001,0.3885,0.2076,0.4405,1.005,0.393,0.673,3.700
7.312,forward,0.2166,0.0000,0.4000,-0.0006,0.0008,0.0120,0.2172,-0.0008,0.3880,0.2172,0.4447,1.005,0.401,0.676,3.706
7.417,forward,0.2271,0.0000,0.4000,-0.0006,0.0006,0.0108,0.2277,-0.0006,0.3892,0.2277,0.4509,0.983,0.399,0.680,3.700
7.512,forward,0.2366,0.0000,0.4000,-0.0005,0.0001,0.0099,0.2371,-0.0001,0.3901,0.2371,0.4565,0.992,0.403,0.691,3.700
7.614,forward,0.2468,0.0000,0.4000,-0.0006,0.0002,0.0100,0.2474,-0.0002,0.3900,0.2474,0.4619,1.008,0.409,0.696,3.706
7.712,forward,0.2567,0.0000,0.4000,-0.0002,0.0001,0.0105,0.2568,-0.0001,0.3895,0.2568,0.4666,1.004,0.414,0.701,3.700
7.811,forward,0.2666,0.0000,0.4000,-0.0002,0.0001,0.0118,0.2667,-0.0001,0.3882,0.2667,0.4710,1.000,0.398,0.702,3.700
7.911,forward,0.2765,0.0000,0.4000,-0.0002,0.0001,0.0102,0.2767,-0.0001,0.3898,0.2767,0.4780,0.996,0.391,0.701,3.700
8.014,forward,0.2868,0.0000,0.4000,-0.0007,0.0001,0.0096,0.2874,-0.0001,0.3904,0.2874,0.4848,0.992,0.403,0.706,3.700
8.146,forward,0.3000,0.0000,0.4000,-0.0008,0.0007,0.0100,0.3008,-0.0007,0.3900,0.3008,0.4925,0.991,0.425,0.711,3.700
8.213,forward,0.3067,0.0000,0.4000,-0.0010,0.0003,0.0099,0.3076,-0.0003,0.3901,0.3076,0.4968,0.973,0.420,0.713,3.700
8.354,forward,0.3208,0.0000,0.4000,-0.0003,0.0003,0.0099,0.3212,-0.0003,0.3901,0.3212,0.5053,0.988,0.411,0.714,3.700
8.413,forward,0.3267,0.0000,0.4000,-0.0009,0.0006,0.0117,0.3276,-0.0006,0.3883,0.3276,0.5080,0.989,0.399,0.718,3.706
8.541,forward,0.3395,0.0000,0.4000,-0.0004,0.0002,0.0121,0.3399,-0.0002,0.3879,0.3399,0.5157,0.983,0.412,0.719,3.700
8.613,forward,0.3467,0.0000,0.4000,-0.0004,0.0002,0.0111,0.3471,-0.0002,0.3889,0.3471,0.5213,0.992,0.401,0.721,3.700
8.748,forward,0.3602,0.0000,0.4000,-0.0009,0.0002,0.0113,0.3611,-0.0002,0.3887,0.3611,0.5306,0.991,0.396,0.723,3.700
8.815,forward,0.3669,0.0000,0.4000,-0.0011,0.0003,0.0107,0.3680,-0.0003,0.3893,0.3680,0.5357,0.996,0.421,0.725,3.706
8.911,forward,0.3765,0.0000,0.4000,-0.0010,0.0002,0.0102,0.3775,-0.0002,0.3898,0.3775,0.5426,0.986,0.418,0.730,3.700
9.013,forward,0.3868,0.0000,0.4000,-0.0009,0.0001,0.0105,0.3876,-0.0001,0.3895,0.3876,0.5495,0.988,0.411,0.732,3.700
9.149,forward,0.4003,0.0000,0.4000,-0.0005,0.0001,0.0094,0.4008,-0.0001,0.3906,0.4008,0.5597,0.993,0.396,0.736,3.700
9.211,forward,0.4066,0.0000,0.4000,-0.0005,0.0002,0.0098,0.4070,-0.0002,0.3902,0.4070,0.5638,0.995,0.392,0.742,3.700
9.355,forward,0.4209,0.0000,0.4000,-0.0011,0.0004,0.0110,0.4220,-0.0004,0.3890,0.4220,0.5739,0.996,0.392,0.745,3.700
9.413,forward,0.4267,0.0000,0.4000,-0.0011,0.0003,0.0107,0.4278,-0.0003,0.3893,0.4278,0.5784,1.003,0.404,0.743,3.700
