trial,kp,max_hold_speed,hold_deadzone,angle_deg,yaw_rate_deg_s,actual_yaw_rate_deg_s,elapsed_s,rotation_elapsed_s,home_x,home_y,hold_x,hold_y,start_x,start_y,actual_start_x,actual_start_y,end_x,end_y,start_yaw,end_yaw,yaw_delta,final_drift,max_drift,mean_drift,home_final_drift,home_max_drift,home_mean_drift,samples,score
1,4.7,0.05,0.015,90.0,7.5,7.573451955661193,12.533770084381104,12.030810117721558,0.0,0.0,0.011204582639038563,0.0007327802013605833,0.011204582639038563,0.0007327802013605833,0.011204582639038563,0.0007327802013605833,0.001552122412249446,0.025342514738440514,-0.05120955780148506,91.06355285644531,91.1147624142468,0.026434996168248077,0.033918431644846515,0.01810110628335514,0.025390000733569933,0.044993448702241416,0.0222068142859325,239,0.12077662260575785
2,4.7,0.03,0.015,90.0,7.5,7.551042074455601,12.548842906951904,12.045249462127686,0.0,0.0,-0.006470224820077419,0.020824303850531578,-0.006470224820077419,0.020824303850531578,-0.006470224820077419,0.020824303850531578,-0.06345701962709427,0.008986652828752995,91.5415267944336,-177.50428771972656,90.95418548583984,0.0582033054395578,0.05948294933572144,0.027364990216030366,0.06409019635652524,0.06625697317439759,0.04235868914463075,236,0.24221358595336576
3,4.8,0.05,0.015,90.0,7.5,7.534734314994692,12.529208898544312,12.026221990585327,0.0,0.0,-0.0597112700343132,0.007791045121848583,-0.0597112700343132,0.007791045121848583,-0.0597112700343132,0.007791045121848583,-0.03716439753770828,-0.02935476414859295,-178.72959899902344,-88.1152114868164,90.61438751220703,0.043453108125129314,0.02627413071537001,0.012473866113977166,0.04735920842413158,0.07878386868487183,0.06126718717219326,239,0.14397496549220792
4,4.8,0.03,0.015,90.0,7.5,7.680125161181435,12.527685165405273,12.02436637878418,0.0,0.0,-0.006565452553331852,-0.027659403160214424,-0.006565452553331852,-0.027659403160214424,-0.006565452553331852,-0.027659403160214424,0.00986956711858511,-0.016057245433330536,-89.03819274902344,3.31044602394104,92.34863877296448,0.020117652336587116,0.0344505293922312,0.019430899083152858,0.018847904021786367,0.04940482132928373,0.033161786730709936,239,0.11021525391580037
