trial,kp,max_hold_speed,hold_deadzone,angle_deg,yaw_rate_deg_s,actual_yaw_rate_deg_s,elapsed_s,home_x,home_y,hold_x,hold_y,start_x,start_y,actual_start_x,actual_start_y,end_x,end_y,start_yaw,end_yaw,yaw_delta,final_drift,max_drift,mean_drift,home_final_drift,home_max_drift,home_mean_drift,samples,score
1,4.5,0.05,0.015,90.0,15.0,14.10627514011433,6.544567346572876,0.0,0.0,0.010633359663188457,0.008641688153147697,0.010633359663188457,0.008641688153147697,0.010633359663188457,0.008641688153147697,0.02538573369383812,0.03996802866458893,1.1844309568405151,93.50389862060547,92.31946766376495,0.03462617722733699,0.049986464052155025,0.02875126478357255,0.04734848245200547,0.06320304876864537,0.039755504514213974,120,0.18426705544741745
2,4.5,0.03,0.015,90.0,15.0,14.071354351717645,6.543297052383423,0.0,0.0,-0.01143718883395195,0.04929361119866371,-0.01143718883395195,0.04929361119866371,-0.01143718883395195,0.04929361119866371,-0.050258465111255646,0.12102439999580383,91.2128677368164,-176.71408081054688,92.07305145263672,0.08156223116895875,0.09265126977119068,0.05180642562737792,0.13104510181492335,0.14307431386510688,0.09916504524132064,120,0.3999829239789001
3,4.7,0.05,0.015,90.0,15.0,13.906749475726476,6.542971849441528,0.0,0.0,-0.050051070749759674,0.07810995727777481,-0.050051070749759674,0.07810995727777481,-0.050051070749759674,0.07810995727777481,-0.05459322780370712,0.0487358495593071,-176.9987335205078,-86.00726318359375,90.99147033691406,0.02972321306586603,0.029276250431289216,0.015469904990270011,0.07318198927533245,0.11930664110006275,0.09219425990174371,120,0.162449173540691
4,4.7,0.03,0.015,90.0,15.0,13.779365049798418,6.540608644485474,0.0,0.0,-0.044976916164159775,-0.01317704375833273,-0.044976916164159775,-0.01317704375833273,-0.044976916164159775,-0.01317704375833273,0.009661025367677212,-0.027704188600182533,-86.99822998046875,3.127204179763794,90.12543416023254,0.056536206028460385,0.04154953202765669,0.020766943685633144,0.02934037281885468,0.07560940416896503,0.04417631906674614,120,0.169101077062861
