trial,kp,max_speed,deadzone,distance_m,start_x,start_y,out_ok,out_end_x,out_end_y,out_final_error,out_max_error,out_mean_error,out_max_abs_y,back_ok,back_end_x,back_end_y,back_final_error,back_max_error,back_mean_error,back_max_abs_y,home_final_x,home_final_y,home_final_error,out_samples,back_samples,score
1,2.0,0.3,0.01,1.0,-0.0032267628703266382,0.01562074851244688,1,1.0096516609191895,0.0028295384254306555,0.010057874835172568,1.0051016014936156,0.34263909860179065,0.021791210398077965,1,-0.003692538943141699,5.279346805764362e-05,0.003692916326819167,1.0150059966281322,0.4501208911321242,0.030631694942712784,-0.03302725777029991,-0.003992860205471516,0.03326774246092262,118,91,0.16966984021236953
2,2.0,0.4,0.01,1.0,0.0018468284979462624,-0.0026339413598179817,1,1.0144994258880615,0.007955733686685562,0.016538653197187857,0.9981566467377229,0.33399362487659584,0.01863020285964012,1,-0.025970159098505974,0.0023786898236721754,0.026078867476923805,1.0150624433213544,0.4030583755902142,0.020177163183689117,-0.010713644325733185,-0.004661000333726406,0.011683625244302923,98,89,0.14255462992727347
3,3.0,0.3,0.01,1.0,0.013017965480685234,0.0034582996740937233,1,1.0010896921157837,-0.0023499317467212677,0.0025902911267750594,0.9888225543336333,0.4243409993838098,0.01733790710568428,1,-0.0010301460279151797,-0.012438921257853508,0.012481504833068379,1.0337303075670832,0.44653663586021475,0.022689707577228546,-0.018220841884613037,-0.018752582371234894,0.02614686261435621,96,105,0.14602150331889327
4,3.0,0.4,0.01,1.0,-0.009507219307124615,-0.002361060120165348,1,1.012772560119629,0.004748397506773472,0.01362664929070486,1.0095099803558625,0.3990927639414569,0.01980174332857132,1,0.0125762103125453,0.009817487560212612,0.0159544391258452,1.028780630260704,0.4196460527723226,0.026289572939276695,-0.036602653563022614,-0.007277726661413908,0.0373191579917461,80,82,0.20358431778548158
