time_s,phase,target_x_m,target_y_m,target_z_m,target_n_m,target_e_m,target_d_m,actual_x_m,actual_y_m,actual_z_m,actual_n_m,actual_e_m,actual_d_m,error_x_m,error_y_m,error_z_m,error_xy_m,error_3d_m,roll_deg,pitch_deg,yaw_deg,vbat_v
32.807,landing,0.0000,0.0000,0.1680,0.0000,-0.0000,-0.1680,0.0242,0.0389,0.2555,0.0242,-0.0389,-0.2555,-0.0242,-0.0389,-0.0875,0.0458,0.0988,2.469,0.484,-0.245,3.801
32.904,landing,0.0000,0.0000,0.1550,0.0000,-0.0000,-0.1550,0.0239,0.0285,0.2352,0.0239,-0.0285,-0.2352,-0.0239,-0.0285,-0.0802,0.0372,0.0884,1.917,1.765,-0.348,3.806
33.010,landing,0.0000,0.0000,0.1409,0.0000,-0.0000,-0.1409,0.0226,0.0215,0.2086,0.0226,-0.0215,-0.2086,-0.0226,-0.0215,-0.0677,0.0312,0.0746,-0.160,0.718,-0.355,3.801
33.104,landing,0.0000,0.0000,0.1283,0.0000,-0.0000,-0.1283,0.0181,0.0145,0.1808,0.0181,-0.0145,-0.1808,-0.0181,-0.0145,-0.0525,0.0232,0.0574,-0.596,0.478,-0.248,3.790
33.222,landing,0.0000,0.0000,0.1126,0.0000,-0.0000,-0.1126,0.0148,0.0210,0.1558,0.0148,-0.0210,-0.1558,-0.0148,-0.0210,-0.0432,0.0257,0.0503,-1.066,0.143,-0.473,3.758
33.304,landing,0.0000,0.0000,0.1017,0.0000,-0.0000,-0.1017,0.0164,0.0216,0.1310,0.0164,-0.0216,-0.1310,-0.0164,-0.0216,-0.0293,0.0271,0.0399,-0.975,-0.365,-0.724,3.806
33.416,landing,0.0000,0.0000,0.0867,0.0000,-0.0000,-0.0867,0.0126,0.0184,0.1039,0.0126,-0.0184,-0.1039,-0.0126,-0.0184,-0.0172,0.0222,0.0281,1.309,-0.264,-1.295,3.785
33.508,landing,0.0000,0.0000,0.0745,0.0000,-0.0000,-0.0745,0.0103,0.0173,0.0800,0.0103,-0.0173,-0.0800,-0.0103,-0.0173,-0.0055,0.0201,0.0209,1.291,0.487,-1.765,3.795
33.610,landing,0.0000,0.0000,0.0608,0.0000,-0.0000,-0.0608,0.0089,0.0149,0.0595,0.0089,-0.0149,-0.0595,-0.0089,-0.0149,0.0013,0.0174,0.0174,0.263,-0.107,-1.928,3.801
33.709,landing,0.0000,0.0000,0.0477,0.0000,-0.0000,-0.0477,0.0097,0.0129,0.0432,0.0097,-0.0129,-0.0432,-0.0097,-0.0129,0.0046,0.0162,0.0168,0.334,0.312,-1.971,3.806
33.812,landing,0.0000,0.0000,0.0339,0.0000,-0.0000,-0.0339,0.0123,0.0139,0.0301,0.0123,-0.0139,-0.0301,-0.0123,-0.0139,0.0038,0.0186,0.0190,0.454,0.732,-1.573,3.811
33.912,landing,0.0000,0.0000,0.0206,0.0000,-0.0000,-0.0206,0.0129,0.0105,0.0221,0.0129,-0.0105,-0.0221,-0.0129,-0.0105,-0.0014,0.0166,0.0167,0.675,1.404,-1.027,3.811
34.016,landing,0.0000,0.0000,0.0068,0.0000,-0.0000,-0.0068,0.0095,0.0054,0.0185,0.0095,-0.0054,-0.0185,-0.0095,-0.0054,-0.0117,0.0109,0.0160,-0.031,0.901,-0.425,3.822
34.109,landing,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0010,0.0022,0.0158,0.0010,-0.0022,-0.0158,-0.0010,-0.0022,-0.0158,0.0024,0.0160,-0.602,0.266,0.060,3.822
34.224,landing,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0067,0.0064,0.0065,-0.0067,-0.0064,-0.0065,0.0067,-0.0064,-0.0065,0.0093,0.0113,-0.350,-1.768,0.364,4.001
34.319,landing,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0073,0.0138,0.0012,-0.0073,-0.0138,-0.0012,0.0073,-0.0138,-0.0012,0.0156,0.0157,1.830,-1.400,-0.374,3.996
34.416,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0029,0.0172,0.0108,0.0029,-0.0172,-0.0108,-0.0029,-0.0172,-0.0108,0.0174,0.0205,0.700,-0.758,-2.314,3.996
34.504,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0105,0.0166,0.0144,0.0105,-0.0166,-0.0144,-0.0105,-0.0166,-0.0144,0.0197,0.0244,0.989,-0.637,-1.903,3.996
34.611,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0162,0.0148,0.0146,0.0162,-0.0148,-0.0146,-0.0162,-0.0148,-0.0146,0.0220,0.0264,1.506,0.109,-1.786,4.001
34.704,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0209,0.0112,0.0142,0.0209,-0.0112,-0.0142,-0.0209,-0.0112,-0.0142,0.0237,0.0276,1.485,0.180,-1.762,3.996
34.809,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0231,0.0082,0.0131,0.0231,-0.0082,-0.0131,-0.0231,-0.0082,-0.0131,0.0245,0.0278,1.473,0.219,-1.755,4.001
34.904,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0240,0.0055,0.0120,0.0240,-0.0055,-0.0120,-0.0240,-0.0055,-0.0120,0.0246,0.0274,1.363,0.296,-1.728,4.001
35.024,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0255,-0.0022,0.0118,0.0255,0.0022,-0.0118,-0.0255,0.0022,-0.0118,0.0256,0.0282,1.256,0.352,-1.712,4.001
35.104,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0255,-0.0013,0.0105,0.0255,0.0013,-0.0105,-0.0255,0.0013,-0.0105,0.0255,0.0276,1.249,0.350,-1.715,4.001
35.222,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0247,-0.0008,0.0109,0.0247,0.0008,-0.0109,-0.0247,0.0008,-0.0109,0.0247,0.0271,1.051,0.361,-1.703,4.001
35.305,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0260,0.0009,0.0102,0.0260,-0.0009,-0.0102,-0.0260,-0.0009,-0.0102,0.0260,0.0280,0.900,0.392,-1.685,4.006
35.406,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0257,-0.0026,0.0111,0.0257,0.0026,-0.0111,-0.0257,0.0026,-0.0111,0.0258,0.0281,0.768,0.358,-1.687,4.006
35.509,landed,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0250,-0.0036,0.0137,0.0250,0.0036,-0.0137,-0.0250,0.0036,-0.0137,0.0253,0.0287,0.717,0.335,-1.678,4.006
