time_s,x_m,y_m,z_down_m
0.078,0.0,0.0,0.011
0.128,-0.0774,0.1457,0.011
0.178,-0.0774,0.1455,0.009
0.228,-0.0774,0.1455,0.01
0.278,-0.0774,0.1455,0.009
0.33,-0.0774,0.1455,0.01
0.377,-0.0774,0.1455,0.01
0.429,-0.0774,0.1455,0.009
0.478,-0.0774,0.1455,0.01
0.529,-0.0774,0.1458,0.007
0.578,-0.0774,0.1453,0.01
0.627,-0.0774,0.1453,0.008
0.68,-0.0777,0.145,0.012
0.729,-0.0777,0.1456,0.01
0.777,-0.0774,0.1456,0.011
0.827,-0.0774,0.1453,0.008
0.877,-0.0774,0.1453,0.011
0.927,-0.0775,0.1455,0.011
0.977,-0.0777,0.1456,0.011
1.028,-0.0775,0.1458,0.01
1.077,-0.0775,0.1456,0.012
1.128,-0.0775,0.1461,0.01
1.178,-0.0777,0.1458,0.011
1.228,-0.0778,0.1456,0.01
1.278,-0.0775,0.1459,0.011
1.328,-0.0774,0.1456,0.01
1.378,-0.0774,0.1459,0.011
1.427,-0.078,0.1443,0.012
1.477,-0.0775,0.1454,0.01
1.528,-0.0774,0.1459,0.008
1.576,-0.0774,0.1457,0.009
1.627,-0.0774,0.1462,0.009
1.676,-0.0777,0.1462,0.008
1.727,-0.0777,0.1466,0.01
1.777,-0.0775,0.1459,0.009
1.827,-0.0775,0.1457,0.009
1.877,-0.0774,0.1462,0.011
1.928,-0.0775,0.1455,0.009
1.977,-0.0775,0.1455,0.01
2.027,0.0,-0.0,0.009
2.077,0.0005,-0.0005,0.01
2.128,0.0008,-0.0004,0.01
2.177,0.0009,-0.0001,0.009
2.227,0.0011,-0.0005,0.013
2.277,0.0013,-0.0008,0.011
2.327,0.0011,-0.0007,0.011
2.377,0.0012,-0.0005,0.011
2.428,0.0016,-0.0005,0.009
2.478,0.0012,-0.0009,0.011
2.527,0.0014,-0.0012,0.011
2.578,0.0013,-0.0004,0.011
2.628,0.0011,-0.0005,0.01
2.677,0.0011,-0.0005,0.009
2.727,0.0011,-0.0008,0.011
2.777,0.0012,-0.0008,0.009
2.828,0.0011,-0.0008,0.01
2.878,0.0008,-0.0013,0.009
2.927,0.0011,-0.0008,0.009
2.977,0.0005,0.0005,0.011
3.027,0.0011,-0.0008,0.011
3.077,0.001,-0.0008,0.012
3.128,0.0001,-0.0019,0.012
3.177,0.001,-0.0007,0.01
3.228,-0.0002,-0.0019,0.009
3.277,0.001,-0.0007,0.009
3.328,0.001,-0.001,0.01
3.377,0.001,-0.0005,0.009
3.426,0.0009,-0.001,0.011
3.476,0.001,-0.0004,0.011
3.527,0.001,-0.0009,0.009
3.577,0.001,-0.0004,0.012
3.627,0.0007,-0.0012,0.011
3.677,0.0009,-0.0004,0.01
3.727,0.0007,0.0001,0.009
3.776,0.0007,-0.0006,0.012
3.827,0.0007,-0.0006,0.009
3.876,0.001,-0.0006,0.01
3.927,0.0007,-0.0007,0.009
3.977,0.001,-0.0007,0.009
4.027,0.0007,-0.0009,0.01
4.076,0.001,-0.0009,0.011
4.129,0.001,-0.0004,0.009
4.177,0.001,-0.0003,0.011
4.227,0.0002,-0.0018,0.011
4.28,0.001,-0.0001,0.012
4.327,0.001,-0.0008,0.009
4.377,-0.0001,0.0003,0.01
4.427,0.001,-0.0005,0.011
4.476,0.001,-0.0005,0.009
4.527,0.0007,-0.0003,0.01
4.577,0.001,-0.0002,0.01
4.627,0.0009,-0.0002,0.009
4.677,0.0001,0.0006,0.009
4.729,0.0009,-0.0007,0.013
4.777,0.0009,-0.0005,0.009
4.827,0.0004,0.0006,0.011
4.876,0.0007,-0.0002,0.008
4.926,0.0009,-0.0002,0.009
4.976,0.001,-0.0004,0.01
5.027,0.001,-0.0001,0.012
5.076,0.001,-0.0004,0.009
5.127,0.001,-0.0008,0.012
5.177,0.0006,-0.0004,0.01
5.227,0.0009,-0.0001,0.011
5.277,0.0,0.0007,0.01
5.326,0.0008,-0.0004,0.009
5.376,0.0008,-0.0004,0.011
5.427,0.0005,-0.0004,0.01
5.476,0.0008,-0.0004,0.009
5.527,0.0003,0.0005,0.012
5.576,-0.0003,0.0005,0.011
5.627,0.0005,-0.0006,0.009
5.676,0.0005,-0.0003,0.01
5.727,0.0008,-0.0003,0.009
5.777,0.0008,-0.0,0.008
5.826,0.0008,-0.0001,0.008
5.876,0.0003,0.0007,0.01
5.927,0.0007,-0.0001,0.01
5.976,0.0008,-0.0,0.009
6.027,0.0007,-0.0,0.01
6.076,0.0005,-0.0003,0.009
6.127,0.0008,-0.0003,0.01
6.178,0.0008,-0.0008,0.01
6.225,0.0004,-0.0003,0.01
6.277,0.0007,0.0,0.01
6.327,0.0005,-0.0002,0.01
6.376,-0.0005,-0.0012,0.01
6.427,0.0007,-0.0002,0.01
6.476,0.0007,0.0003,0.01
6.525,0.0006,0.0002,0.011
6.576,-0.0,-0.0014,0.012
6.626,0.0002,0.0007,0.009
6.676,0.0007,-0.0004,0.011
6.726,0.0002,0.0005,0.009
6.776,0.0004,0.0003,0.01
6.826,0.0002,-0.0006,0.008
6.876,-0.0,-0.001,0.01
6.926,0.0007,0.0001,0.01
6.977,0.0007,-0.0004,0.008
7.026,0.0007,-0.0001,0.01
7.077,0.0005,0.0001,0.011
7.126,0.0004,0.0006,0.008
7.176,0.0002,-0.0001,0.01
7.226,0.0005,-0.0001,0.009
7.277,0.0008,0.0002,0.009
7.325,0.0007,0.0002,0.009
7.376,0.0006,0.0002,0.009
7.426,0.0008,-0.0001,0.008
7.476,0.0006,0.001,0.01
7.526,0.0008,0.0004,0.01
7.575,0.0008,0.0002,0.011
7.627,0.0003,0.001,0.009
7.676,0.0006,0.0002,0.01
7.727,0.0008,0.0002,0.01
7.775,0.0005,-0.0003,0.011
7.826,0.0008,-0.0,0.011
7.875,0.0005,0.0003,0.008
7.926,0.0005,-0.0002,0.009
7.976,0.0008,0.0003,0.01
8.025,0.0007,0.0,0.009
8.075,0.0,-0.0003,0.011
8.126,0.0008,0.0003,0.01
8.175,0.0,-0.0002,0.011
8.226,0.0008,0.0005,0.01
8.275,0.0008,0.0003,0.011
8.326,0.0005,0.0005,0.009
8.374,0.0003,0.0011,0.011
8.426,0.0007,0.0003,0.01
8.475,0.0008,0.0001,0.008
8.525,0.0008,0.0001,0.009
8.575,0.0008,0.0003,0.011
8.625,0.0001,0.001,0.009
8.676,0.0005,0.0003,0.01
8.727,0.0007,0.0003,0.012
8.776,0.0001,0.0001,0.009
8.827,0.0008,0.0004,0.009
8.874,0.0001,0.0011,0.01
8.928,0.0007,0.0001,0.01
8.975,0.0008,0.0008,0.012
9.025,0.0008,0.0002,0.01
9.076,0.0008,0.0007,0.008
9.125,0.0008,0.0004,0.01
9.175,0.0006,0.0002,0.012
9.225,0.0005,0.0004,0.011
9.276,0.0005,-0.0001,0.01
9.326,0.0008,0.0005,0.01
9.375,0.0003,0.0013,0.01
9.426,0.0008,0.0005,0.011
9.475,0.0008,0.0005,0.009
9.527,0.0003,0.001,0.009
9.576,0.0003,0.0011,0.01
9.625,0.0005,0.001,0.009
9.677,0.0008,0.0003,0.01
9.726,0.0008,0.0003,0.01
9.775,0.0002,0.0003,0.011
9.826,0.0007,0.0005,0.009
9.875,-0.0003,-0.0007,0.01
9.926,0.0002,-0.0007,0.011
9.975,0.0007,0.0008,0.012
10.025,0.0004,0.0008,0.009
10.076,0.0005,0.0013,0.01
10.125,0.0007,0.0007,0.007
10.175,0.0007,0.0003,0.009
10.226,0.0005,0.0003,0.01
10.275,0.0002,0.0014,0.01
10.325,0.0005,0.0014,0.01
10.375,0.0007,0.0004,0.01
10.425,0.0007,0.0004,0.01
10.475,-0.0001,0.0013,0.011
10.526,0.0006,0.0007,0.011
10.575,-0.0002,0.0016,0.009
10.625,0.0007,0.0007,0.01
10.675,0.0004,0.0007,0.01
10.732,0.0001,0.0015,0.01
10.775,-0.0002,0.001,0.009
10.828,0.0006,0.0004,0.008
10.874,0.0001,0.0002,0.011
10.925,0.0001,0.0005,0.011
10.974,0.0003,0.0007,0.009
