time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.238,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.412,,,,,
0.241,,0.0039,-0.0034,0.011,0.67,-0.55,0.32,0.0,0.0,0.0,0.0,0.671,0.412,,,,,
0.244,,0.0047,-0.0034,0.012,0.67,-0.55,0.3,0.0,0.0,0.0,0.0,0.671,0.415,,,,,
0.247,,0.0045,-0.0034,0.011,0.67,-0.55,0.3,0.0,0.0,0.0,0.0,0.671,0.415,,,,,
0.343,,0.0053,-0.0031,0.013,0.67,-0.56,0.27,0.0,0.0,0.0,0.0,0.672,0.415,,0.778,,,
0.359,,0.0037,-0.0031,0.011,0.67,-0.56,0.34,0.0,-0.0027,0.0016,-0.0014,0.672,0.415,,0.778,,,
0.384,,0.005,-0.0031,0.012,0.67,-0.56,0.29,0.0,0.0041,0.0013,-0.0036,0.674,0.411,,,,,
0.435,,0.0052,-0.0031,0.014,0.67,-0.55,0.28,0.0,0.0053,0.0015,-0.0029,0.674,0.411,,,,,
0.484,,0.0046,-0.003,0.013,0.67,-0.55,0.31,0.0,0.0022,0.0014,0.0014,0.671,0.415,,,,,
0.54,,0.0048,-0.0033,0.012,0.67,-0.54,0.29,0.0,0.0032,-0.0001,0.0021,0.671,0.415,,,,,
0.589,,0.0046,-0.0033,0.011,0.67,-0.54,0.3,0.0,0.0021,0.0003,-0.0002,0.671,0.418,,,,,
0.651,,0.0041,-0.0033,0.014,0.67,-0.55,0.31,0.0,-0.0008,0.0002,-0.004,0.671,0.418,,,,,
0.696,,0.0054,-0.004,0.011,0.66,-0.51,0.25,0.0,0.0063,-0.0039,0.0003,0.672,0.413,,,,,
0.734,,0.0054,-0.0033,0.011,0.66,-0.54,0.26,0.0,0.0063,-0.0,-0.0041,0.672,0.413,,,,,
0.782,,0.0047,-0.0033,0.012,0.66,-0.55,0.29,0.0,0.0025,0.0003,-0.0064,0.672,0.411,,,,,
0.837,,0.0051,-0.0032,0.012,0.66,-0.55,0.27,0.0,0.004,0.0005,-0.0055,0.672,0.411,,,,,
0.896,,0.0054,-0.0032,0.011,0.66,-0.54,0.26,0.0,0.0052,-0.0001,-0.005,0.674,0.411,,,,,
0.937,,0.0048,-0.0032,0.014,0.66,-0.54,0.28,0.0,0.0018,-0.0004,-0.0066,0.674,0.411,,,,,
0.982,,0.0051,-0.0032,0.013,0.66,-0.54,0.27,0.0,0.0036,-0.0006,-0.0008,0.671,0.414,,0.738,,,
1.055,,0.0047,-0.0032,0.013,0.66,-0.54,0.29,0.0,0.0022,-0.0011,0.0004,0.671,0.414,,0.738,,,
1.084,,0.0042,-0.0032,0.012,0.66,-0.54,0.32,0.0,-0.0005,-0.0008,0.0007,0.673,0.416,,,,,
1.14,,0.0054,-0.0032,0.013,0.66,-0.54,0.27,0.0,0.0057,-0.0007,-0.0018,0.673,0.416,,,,,
1.185,,0.0054,-0.0032,0.011,0.66,-0.54,0.27,0.0,0.006,-0.001,-0.0014,0.676,0.414,,,,,
1.232,,0.0051,-0.0032,0.012,0.67,-0.55,0.28,0.0,0.0043,-0.0002,-0.0055,0.676,0.414,,,,,
1.283,,0.0051,-0.0032,0.011,0.67,-0.55,0.27,0.0,0.0041,0.0005,-0.0055,0.67,0.415,,,,,
1.351,,0.0042,-0.0032,0.012,0.67,-0.55,0.3,0.0,0.0001,0.0005,-0.0076,0.67,0.415,,,,,
1.399,,0.0055,-0.0032,0.013,0.67,-0.54,0.26,0.0,0.0068,0.0005,-0.0061,0.672,0.415,,,,,
1.465,,0.0052,-0.0032,0.013,0.67,-0.55,0.28,0.0,0.0046,0.0005,-0.0027,0.672,0.415,,,,,
1.498,,0.0048,-0.0032,0.011,0.67,-0.54,0.29,0.0,0.0027,0.0003,-0.001,0.671,0.415,2.473,,,,
1.55,,0.0048,-0.0032,0.011,0.67,-0.54,0.28,0.0,0.0026,-0.0002,-0.0047,0.671,0.415,2.473,,,,
1.582,,0.0051,-0.0032,0.012,0.67,-0.54,0.28,0.0,0.0041,0.0003,-0.0068,0.674,0.416,,,,,
1.647,,0.0054,-0.0032,0.012,0.67,-0.54,0.27,0.0,0.0048,0.0006,-0.0053,0.674,0.416,,,,,
1.691,,0.0059,-0.0031,0.012,0.67,-0.54,0.26,0.0,0.0067,0.001,-0.0048,0.675,0.414,,,,,
1.743,,0.0049,-0.0032,0.011,0.67,-0.54,0.29,0.0,0.0013,0.0007,-0.004,0.675,0.414,,,,,
1.784,,0.005,-0.0032,0.009,0.67,-0.53,0.28,0.0,0.0008,0.0,-0.0057,0.676,0.413,,,,,
1.833,,0.0066,-0.0032,0.012,0.67,-0.54,0.22,0.0,0.009,-0.0003,-0.011,0.676,0.413,,,,,
1.923,,0.0056,-0.0032,0.012,0.68,-0.54,0.26,0.0,0.0037,0.0,-0.0065,0.674,0.414,2.519,,,,
1.971,,0.0055,-0.0032,0.012,0.68,-0.54,0.25,0.0,0.0037,0.0002,-0.0036,0.674,0.414,2.519,,,,
2.002,,0.0055,-0.0031,0.011,0.68,-0.54,0.25,0.0,0.004,0.0011,-0.002,0.672,0.415,,,,,
2.051,,0.0051,-0.0031,0.013,0.68,-0.54,0.27,0.0,0.002,0.0011,-0.0034,0.672,0.415,,,,,
2.082,,0.0048,-0.0031,0.014,0.68,-0.54,0.28,0.0,0.0017,0.0006,-0.0001,0.674,0.415,,,,,
2.133,,0.0048,-0.0031,0.012,0.68,-0.54,0.28,0.0,0.0017,0.0006,0.0039,0.674,0.415,,,,,
2.216,,0.0053,-0.0038,0.013,0.68,-0.51,0.26,0.0,0.0044,-0.0025,0.0016,0.676,0.412,2.455,,,,
2.262,,0.0051,-0.0031,0.01,0.68,-0.54,0.27,0.0,0.0029,0.0019,0.0018,0.676,0.412,2.455,,,,
2.297,,0.0057,-0.0031,0.011,0.68,-0.53,0.26,0.0,0.0058,0.0013,-0.0055,0.671,0.417,,,,,
