time_s,x_m,y_m,z_down_m
0.232,0.0185,0.1078,0.013
0.234,0.0183,0.108,0.013
0.326,0.018,0.1091,0.011
0.425,0.0187,0.1074,0.013
0.526,0.0183,0.1073,0.012
0.625,0.0185,0.1075,0.012
0.726,0.0185,0.1077,0.011
0.852,0.0185,0.1081,0.01
0.926,0.0185,0.1072,0.012
1.026,0.0163,0.109,0.013
1.155,0.0185,0.1078,0.012
1.231,0.0185,0.1083,0.014
1.325,0.0183,0.1078,0.012
1.447,0.0185,0.1078,0.012
1.526,0.0183,0.1073,0.011
1.626,0.0183,0.1078,0.013
1.744,0.018,0.1074,0.013
1.825,0.0182,0.1076,0.013
1.927,0.0183,0.1078,0.015
2.036,0.0185,0.1078,0.01
2.127,0.0185,0.1073,0.012
2.226,0.0185,0.1083,0.012
2.326,0.0186,0.1078,0.012
2.426,0.0173,0.1096,0.012
2.526,0.0182,0.1081,0.011
2.641,0.0185,0.1078,0.011
2.726,0.0182,0.1079,0.011
2.826,-0.0001,0.0002,0.011
2.935,-0.0002,0.0004,0.011
3.025,-0.001,0.0015,0.011
3.125,-0.0002,-0.0006,0.012
3.232,-0.0002,-0.0001,0.013
3.326,0.0001,-0.0001,0.011
3.426,-0.0002,0.0002,0.012
3.529,0.0,0.0,0.012
3.625,-0.001,0.0018,0.014
3.758,0.0001,-0.0003,0.012
3.824,-0.0009,-0.0,0.011
3.926,0.0001,-0.0001,0.012
4.047,0.0001,-0.0003,0.011
4.137,0.0001,-0.0003,0.012
4.225,-0.0001,-0.0001,0.01
4.334,-0.0009,0.0014,0.011
4.424,-0.0004,-0.0005,0.011
4.526,-0.0001,-0.0005,0.011
4.625,0.0001,-0.0003,0.012
4.725,0.0001,0.0,0.01
4.824,0.0001,-0.0001,0.011
4.951,-0.0002,-0.0007,0.012
5.025,-0.0001,-0.0007,0.011
5.125,-0.0001,-0.0002,0.011
5.234,-0.0001,-0.0004,0.011
5.324,-0.0001,-0.0007,0.014
5.426,-0.0038,0.003,0.01
5.529,-0.0002,-0.0006,0.012
5.625,0.0001,-0.0006,0.012
5.724,-0.0001,-0.0002,0.013
5.833,-0.0001,-0.0004,0.01
5.924,-0.0001,-0.0006,0.012
6.064,-0.0001,-0.0007,0.01
6.131,-0.0006,0.0001,0.01
6.224,0.0002,-0.0002,0.011
6.352,-0.0,-0.0002,0.011
6.424,-0.0008,0.0006,0.013
6.526,0.0002,0.0001,0.011
6.64,-0.0,-0.0006,0.01
6.723,-0.0023,0.0016,0.011
6.823,-0.0001,-0.0001,0.012
6.929,0.0002,-0.0006,0.01
7.024,-0.0001,-0.0003,0.01
7.133,-0.0001,-0.0001,0.011
7.224,0.0001,-0.0003,0.012
7.324,-0.0006,0.0005,0.011
7.424,-0.0001,-0.0006,0.014
7.577,0.0001,-0.0,0.011
7.624,-0.0001,-0.0005,0.013
7.723,-0.0001,0.0003,0.013
7.844,-0.0,-0.0006,0.013
7.924,-0.0009,0.0,0.014
8.024,0.0013,-0.0004,0.012
8.131,-0.0001,-0.0003,0.01
8.224,0.0035,-0.004,0.009
8.324,0.0097,-0.011,0.004
8.428,0.0075,-0.0024,0.002
8.523,0.0115,-0.0028,0.0
8.658,0.0116,-0.0101,0.0
8.727,0.0191,-0.0053,0.0
8.824,0.0233,-0.0063,0.012
8.95,0.0153,0.005,0.034
9.023,0.0067,0.0083,0.054
9.123,-0.0038,0.0105,0.072
9.238,-0.0084,0.0097,0.082
9.323,-0.0015,0.0067,0.098
9.423,0.0065,0.0035,0.11
9.526,0.0161,0.0002,0.13
9.623,0.0244,-0.0016,0.146
9.723,0.0309,-0.0014,0.168
9.854,0.0354,0.0004,0.191
9.924,0.0312,0.0033,0.21
10.023,0.0244,0.0066,0.238
10.154,0.0149,0.0105,0.247
10.222,0.0071,0.0143,0.258
10.323,-0.0002,0.0162,0.26
10.429,-0.0027,0.0171,0.272
10.522,0.0001,0.0161,0.28
10.623,0.01,0.0198,0.288
10.733,0.0161,0.0168,0.294
10.822,0.0219,0.0166,0.3
10.923,0.0241,0.0153,0.306
11.023,0.0216,0.0148,0.307
11.123,0.0148,0.0153,0.312
11.223,0.0098,0.0177,0.315
11.327,0.0033,0.0189,0.319
11.423,-0.0053,0.0175,0.317
11.523,-0.0093,0.0127,0.323
11.631,-0.01,0.0065,0.328
11.723,-0.0016,0.0041,0.332
11.822,-0.0233,0.021,0.332
11.946,-0.011,0.0309,0.334
12.023,0.0032,0.039,0.336
12.123,0.015,0.0409,0.334
12.259,0.0261,0.0392,0.337
12.322,0.0319,0.0326,0.334
12.423,0.0346,0.025,0.337
12.559,0.0327,0.0177,0.334
12.622,0.0272,0.0121,0.331
12.722,0.0177,0.0088,0.328
12.846,0.0129,0.0086,0.332
12.926,0.0091,0.0134,0.331
13.022,0.0119,0.0197,0.329
13.123,0.0156,0.025,0.326
13.227,0.024,0.0292,0.324
13.322,0.0312,0.0327,0.326
13.421,0.036,0.0339,0.325
13.524,0.0371,0.0317,0.324
13.622,0.0327,0.027,0.325
13.722,0.0274,0.0228,0.325
13.826,0.0212,0.0168,0.327
13.921,0.0193,0.0202,0.327
14.023,0.0139,0.015,0.326
14.122,0.0209,0.0247,0.329
14.222,0.0277,0.0339,0.328
14.322,0.0352,0.0432,0.329
14.429,0.0398,0.0493,0.33
14.521,0.0431,0.0519,0.324
14.622,0.0421,0.0553,0.323
14.736,0.0315,0.0484,0.323
14.821,0.0222,0.0415,0.319
14.921,0.0134,0.0405,0.321
15.045,0.0018,0.0361,0.318
15.121,-0.0075,0.0309,0.312
15.222,-0.0167,0.03,0.316
15.388,-0.0224,0.031,0.314
15.422,-0.0227,0.0305,0.319
15.522,-0.0192,0.0329,0.319
15.621,-0.014,0.0375,0.317
15.722,-0.0123,0.0392,0.319
15.822,-0.0097,0.0403,0.316
15.921,-0.0105,0.0372,0.313
16.034,-0.0104,0.031,0.311
16.121,-0.0106,0.0228,0.309
16.22,-0.0125,0.017,0.31
16.352,-0.0173,0.0096,0.312
16.421,-0.0135,0.0061,0.312
16.521,-0.0028,0.0106,0.314
16.645,0.0101,0.0158,0.316
16.721,0.0247,0.0177,0.316
16.82,0.0424,0.0205,0.314
16.955,0.0584,0.0164,0.312
17.024,0.0769,0.0051,0.312
17.121,0.0971,-0.0081,0.307
17.221,0.1233,-0.0234,0.308
17.326,0.1487,-0.039,0.308
17.421,0.1771,-0.0507,0.32
17.521,0.2123,-0.0618,0.355
17.62,0.2515,-0.0723,0.402
17.72,0.2922,-0.0828,0.386
17.821,0.3319,-0.0919,0.346
17.935,0.3686,-0.1026,0.299
18.02,0.3983,-0.1134,0.27
18.12,0.4328,-0.1272,0.263
18.25,0.4611,-0.1424,0.264
18.32,0.4915,-0.1577,0.28
18.421,0.5159,-0.1703,0.289
18.559,0.5377,-0.1786,0.293
18.62,0.5571,-0.1853,0.296
18.72,0.5733,-0.1891,0.299
18.836,0.5858,-0.1907,0.3
18.93,0.5964,-0.1907,0.299
19.021,0.604,-0.1906,0.299
19.121,0.6089,-0.19,0.302
19.222,0.6084,-0.1897,0.303
19.321,0.6062,-0.1906,0.304
19.42,0.611,-0.1988,0.305
19.521,0.6199,-0.2093,0.309
19.62,0.6269,-0.2163,0.308
19.723,0.6402,-0.2264,0.306
19.828,0.6489,-0.2327,0.31
19.92,0.6601,-0.2361,0.309
20.02,0.6695,-0.2393,0.312
20.138,0.6781,-0.2398,0.308
20.22,0.6868,-0.2438,0.305
20.32,0.6946,-0.2483,0.306
20.476,0.7,-0.2532,0.308
20.519,0.706,-0.2582,0.307
20.62,0.711,-0.2627,0.311
20.719,0.7204,-0.2635,0.312
20.825,0.7299,-0.2646,0.307
20.921,0.7372,-0.2644,0.31
21.019,0.7477,-0.2643,0.312
21.12,0.7579,-0.2637,0.31
21.22,0.7692,-0.2608,0.312
21.32,0.7783,-0.2566,0.311
21.428,0.7869,-0.2492,0.31
21.52,0.7923,-0.2477,0.308
21.619,0.801,-0.2479,0.311
21.736,0.8094,-0.25,0.305
21.82,0.8192,-0.255,0.308
21.92,0.8281,-0.2594,0.305
22.043,0.8371,-0.2609,0.304
22.119,0.8452,-0.2624,0.307
22.219,0.8522,-0.2612,0.304
22.36,0.8584,-0.2561,0.304
22.419,0.8631,-0.2516,0.305
22.519,0.8721,-0.2497,0.303
22.63,0.8807,-0.2477,0.301
22.733,0.8905,-0.2457,0.302
22.819,0.9017,-0.2435,0.304
22.919,0.9111,-0.2436,0.299
23.028,0.9216,-0.2416,0.302
23.119,0.9275,-0.243,0.303
23.22,0.9308,-0.2457,0.303
23.32,0.9337,-0.2452,0.301
23.419,0.9343,-0.2407,0.304
23.518,0.9354,-0.2385,0.299
23.624,0.9359,-0.2396,0.299
23.719,0.9391,-0.2383,0.295
23.819,0.9442,-0.239,0.295
23.938,0.9466,-0.2392,0.296
24.019,0.949,-0.2429,0.292
24.118,0.9519,-0.2443,0.294
24.248,0.9481,-0.2465,0.294
24.318,0.9384,-0.247,0.298
24.419,0.9332,-0.2476,0.298
24.56,0.9292,-0.2449,0.299
24.618,0.9247,-0.2436,0.299
24.718,0.9244,-0.2435,0.299
24.835,0.9346,-0.2449,0.299
24.92,0.9431,-0.2451,0.302
25.018,0.949,-0.2453,0.303
25.118,0.952,-0.2452,0.304
25.223,0.958,-0.2347,0.304
25.319,0.9534,-0.2241,0.307
25.418,0.9467,-0.2219,0.309
25.522,0.9357,-0.2252,0.314
25.619,0.9305,-0.2281,0.311
25.718,0.9232,-0.2335,0.314
25.822,0.9203,-0.2388,0.311
25.919,0.9241,-0.2444,0.309
26.018,0.9266,-0.2444,0.306
26.133,0.9292,-0.2388,0.307
26.218,0.9305,-0.2296,0.307
26.318,0.9282,-0.2188,0.308
26.446,0.9258,-0.2121,0.308
26.518,0.9188,-0.2061,0.307
