time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.3,,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.058,1.346,0.242,,,
0.334,,5.415,-0.9132,0.009,2.35,0.04,0.02,0.0,-0.0018,0.0015,-0.0041,0.104,0.061,1.346,0.242,,,
0.381,,5.415,-0.9139,0.009,2.35,0.08,0.02,0.0,-0.0013,-0.002,-0.0026,0.104,0.061,1.348,0.242,,,
0.432,,5.415,-0.914,0.01,2.34,0.07,0.03,0.0,-0.0017,-0.0029,-0.0012,0.102,0.059,1.348,0.242,,,
0.495,,5.415,-0.9129,0.01,2.34,0.03,0.02,0.0,-0.0024,0.0032,0.0009,0.102,0.059,1.345,0.242,,,
0.539,,5.4147,-0.914,0.008,2.34,0.08,0.03,0.0,-0.0023,-0.0014,0.0023,0.099,0.059,1.345,0.242,,,
0.582,,5.415,-0.9137,0.01,2.33,0.07,0.03,0.0,-0.0014,-0.0012,-0.0013,0.099,0.059,1.35,0.245,,,
0.631,,5.4161,-0.913,0.01,2.33,0.04,-0.01,0.0,0.0033,0.003,0.0004,0.102,0.062,1.35,0.245,,,
0.681,,5.4147,-0.9141,0.009,2.33,0.09,0.05,0.0,-0.0016,-0.0065,0.0012,0.102,0.062,1.352,0.243,,,
0.731,,5.416,-0.913,0.009,2.32,0.04,-0.01,0.0,0.0011,0.0043,-0.0008,0.1,0.058,1.352,0.243,,,
0.782,,5.4155,-0.914,0.01,2.32,0.08,0.01,0.0,0.0002,-0.006,-0.002,0.1,0.058,,0.243,,,
0.866,,5.416,-0.9133,0.009,2.31,0.06,-0.01,0.0,0.0037,0.0022,-0.0007,0.1,0.059,,0.243,,,
0.881,,5.4153,-0.9133,0.01,2.31,0.06,0.02,0.0,-0.0034,-0.0013,-0.0022,0.1,0.059,0.324,0.245,,,
0.945,,5.4151,-0.914,0.011,2.3,0.09,0.03,0.0,-0.0026,-0.0028,-0.0011,0.098,0.059,0.324,0.245,,,
0.981,,5.4153,-0.914,0.008,2.3,0.09,0.02,0.0,-0.0016,-0.0033,0.0014,0.098,0.059,0.355,0.245,,,
1.03,,5.4152,-0.9142,0.01,2.3,0.09,0.02,0.0,-0.0011,-0.004,-0.0041,0.1,0.062,0.355,0.245,,,
1.08,,5.4149,-0.914,0.008,2.3,0.07,0.04,0.0,-0.0013,-0.0022,-0.003,0.1,0.062,0.396,0.243,,,
1.149,,5.4141,-0.9131,0.01,2.29,0.04,0.08,0.0,-0.0074,0.0007,-0.0058,0.101,0.056,0.396,0.243,,,
1.183,,5.4149,-0.9139,0.008,2.29,0.07,0.04,0.0,-0.0023,-0.0007,-0.0029,0.101,0.056,0.447,0.244,,,
1.236,,5.4155,-0.9138,0.009,2.28,0.07,0.02,0.0,0.0017,-0.0031,-0.0062,0.098,0.058,0.447,0.244,,,
1.287,,5.415,-0.9141,0.008,2.28,0.07,0.03,0.0,-0.0026,-0.0039,-0.0051,0.098,0.058,0.476,0.242,,,
1.333,,5.4154,-0.9133,0.008,2.28,0.04,0.01,0.0,0.0018,0.0003,-0.0066,0.102,0.06,0.476,0.242,,,
