time_s,x_m,y_m,z_down_m,vx_ms,vy_ms,vz_ms
0.098,0.0,0.0,0.014,0.0,0.0,0.0
0.152,-0.2011,1.2661,0.015,-0.0066,0.002,-0.0042
0.205,-0.2012,1.2639,0.013,-0.0067,-0.0107,-0.0026
0.252,-0.2019,1.263,0.015,-0.0102,-0.0162,-0.0059
0.305,-0.2007,1.2674,0.016,-0.0031,0.0076,-0.003
0.349,-0.2021,1.2639,0.015,-0.0107,-0.0124,0.0009
0.399,-0.2031,1.2679,0.016,-0.0148,0.0088,0.0011
0.448,-0.204,1.2664,0.014,-0.0178,-0.0007,0.0029
0.499,-0.2037,1.2666,0.014,-0.013,-0.0001,-0.0011
0.547,-0.2041,1.2664,0.015,-0.0134,-0.0026,-0.0035
0.597,-0.2035,1.2692,0.014,-0.0065,0.0125,-0.0028
0.649,-0.205,1.2666,0.015,-0.0156,-0.0047,-0.0045
0.697,-0.2038,1.2666,0.017,-0.0057,-0.0041,-0.003
0.748,-0.2045,1.2682,0.014,-0.0089,0.0027,0.002
0.802,-0.2047,1.2668,0.015,-0.0076,-0.0054,-0.0025
0.847,-0.2047,1.2658,0.016,-0.0051,-0.0107,-0.0026
0.897,-0.2055,1.2697,0.014,-0.0133,0.0082,-0.0004
0.949,-0.2084,1.2686,0.014,-0.0271,-0.0004,-0.0043
0.999,-0.2082,1.2702,0.015,-0.0206,0.0071,-0.0054
1.048,-0.2073,1.2674,0.015,-0.0091,-0.0093,-0.0036
1.099,-0.2074,1.27,0.014,-0.0084,0.0039,-0.003
1.148,-0.2066,1.269,0.015,-0.0009,-0.0023,-0.0048
1.197,-0.2055,1.2714,0.014,0.0036,0.009,-0.0039
1.248,-0.207,1.2693,0.015,-0.0021,-0.0027,-0.0051
1.298,-0.2067,1.2703,0.013,-0.0028,0.0008,-0.0038
1.347,-0.2074,1.2678,0.013,-0.0016,-0.0111,-0.0071
1.397,-0.2057,1.2704,0.013,0.0039,0.0013,-0.0086
1.448,-0.2074,1.2673,0.012,-0.0013,-0.0131,-0.0087
1.499,-0.2057,1.27,0.012,0.0025,-0.0,-0.0102
1.547,-0.2078,1.2648,0.017,-0.0017,-0.0229,-0.01
1.598,-0.2079,1.2652,0.016,-0.0039,-0.0197,0.0012
1.647,-0.2076,1.265,0.013,-0.0035,-0.0185,0.0061
1.699,-0.2057,1.2674,0.013,0.0028,-0.0042,0.0015
1.752,-0.2085,1.2638,0.015,-0.0078,-0.0217,-0.0024
1.799,-0.2055,1.2686,0.014,0.0028,0.0021,0.0009
1.848,-0.2073,1.2654,0.015,-0.0041,-0.0134,-0.0006
1.897,-0.2059,1.2675,0.013,0.0015,-0.0024,0.0006
1.947,-0.2075,1.2669,0.013,-0.0085,-0.0056,-0.0034
1.997,-0.2069,1.2715,0.016,-0.0066,0.0175,-0.0057
2.048,-0.2087,1.2658,0.015,-0.0148,-0.0152,0.0006
2.097,-0.2073,1.2699,0.013,-0.0041,0.0074,0.0019
2.146,-0.2081,1.2669,0.015,-0.008,-0.0098,-0.0031
2.197,-0.2082,1.2669,0.014,-0.0068,-0.0096,-0.0011
2.247,-0.2084,1.267,0.013,-0.0072,-0.0099,-0.0021
2.297,-0.2075,1.2668,0.018,-0.0003,-0.0099,-0.0051
2.348,-0.2085,1.2655,0.014,-0.006,-0.016,0.0041
2.398,-0.2078,1.2668,0.014,-0.002,-0.0064,0.0005
2.447,-0.2093,1.2653,0.014,-0.0093,-0.0126,-0.0019
2.498,-0.0001,-0.0001,0.015,-0.0031,-0.0054,-0.0006
2.547,0.0006,-0.0004,0.014,0.0112,-0.0033,-0.0006
2.596,0.0009,0.0007,0.015,0.011,0.0149,-0.0019
2.647,0.0008,-0.002,0.015,0.0054,-0.0196,-0.0008
2.699,0.0015,0.0004,0.014,0.0099,0.0101,0.0004
2.747,0.0007,-0.0035,0.014,-0.0008,-0.0263,-0.0023
2.797,0.0009,-0.0031,0.015,-0.0006,-0.0188,-0.0036
2.848,0.0008,-0.0029,0.014,-0.002,-0.0147,-0.0019
2.9,0.0009,0.001,0.016,-0.0012,0.0126,-0.0034
2.95,-0.0018,-0.0024,0.018,-0.018,-0.0108,0.0005
2.997,-0.0013,-0.0007,0.017,-0.0125,0.0012,0.0066
3.047,-0.0012,-0.0024,0.015,-0.0101,-0.0096,0.0068
3.097,0.0,0.0009,0.015,-0.0019,0.0093,0.0016
3.146,-0.0004,-0.0026,0.016,-0.0045,-0.0112,-0.0022
