time_s,z_down_m
0.227,0.013
0.232,0.014
0.328,0.014
0.435,0.012
0.528,0.014
0.626,0.011
0.728,0.011
0.829,0.013
0.94,0.012
1.027,0.013
1.145,0.012
1.227,0.012
1.327,0.013
1.442,0.012
1.527,0.014
1.627,0.012
1.732,0.013
1.827,0.014
1.961,0.014
2.026,0.014
2.128,0.012
2.248,0.012
2.333,0.011
2.426,0.011
2.537,0.013
2.627,0.014
2.727,0.011
2.826,0.012
2.926,0.013
3.026,0.012
3.172,0.012
3.234,0.011
3.326,0.013
3.445,0.013
3.526,0.014
3.627,0.012
3.74,0.013
3.827,0.013
3.927,0.013
4.073,0.011
4.126,0.011
4.263,0.013
4.332,0.012
4.426,0.011
4.549,0.01
4.627,0.011
4.727,0.012
4.837,0.013
4.928,0.01
5.026,0.013
5.126,0.012
5.227,0.015
5.326,0.013
5.459,0.013
5.526,0.013
5.625,0.013
5.758,0.012
5.826,0.011
5.926,0.013
6.031,0.011
6.126,0.013
6.225,0.012
6.329,0.015
6.426,0.013
6.563,0.013
6.629,0.013
6.725,0.012
6.85,0.012
6.934,0.015
7.025,0.011
7.138,0.014
7.225,0.01
7.325,0.012
7.428,0.011
7.526,0.01
7.625,0.011
7.756,0.008
7.825,0.01
7.924,0.008
8.037,0.0
8.125,0.0
8.226,0.0
8.354,0.015
8.425,0.046
8.524,0.07
8.634,0.091
8.725,0.121
8.829,0.148
8.931,0.18
9.025,0.214
9.149,0.256
9.244,0.297
9.325,0.336
9.443,0.373
9.524,0.402
9.625,0.427
9.73,0.449
9.825,0.468
9.924,0.481
10.042,0.494
10.126,0.501
10.224,0.505
10.352,0.509
10.435,0.515
10.525,0.521
10.661,0.523
10.724,0.528
10.824,0.532
10.951,0.54
11.025,0.541
11.124,0.547
11.251,0.549
11.33,0.55
11.424,0.552
11.524,0.555
11.625,0.556
11.724,0.554
11.824,0.552
11.923,0.547
12.023,0.551
12.124,0.55
12.234,0.552
12.323,0.548
12.424,0.548
12.547,0.544
12.623,0.543
12.723,0.542
12.858,0.544
12.926,0.543
13.023,0.545
13.167,0.541
13.223,0.54
13.323,0.54
13.455,0.541
13.529,0.543
13.623,0.545
13.723,0.546
13.823,0.548
13.923,0.55
14.023,0.543
14.122,0.539
14.223,0.54
14.323,0.541
14.423,0.541
14.523,0.538
14.623,0.536
14.735,0.533
14.823,0.53
14.922,0.529
15.05,0.527
15.14,0.528
15.222,0.524
15.365,0.52
15.427,0.523
15.522,0.524
15.67,0.525
15.734,0.522
15.823,0.525
15.941,0.525
16.026,0.525
16.122,0.522
16.223,0.521
16.328,0.521
16.423,0.518
16.523,0.519
16.627,0.519
16.728,0.518
16.822,0.52
16.938,0.523
17.022,0.527
17.123,0.527
17.256,0.533
17.336,0.545
17.422,0.559
17.57,0.567
17.623,0.566
17.722,0.535
17.87,0.501
17.928,0.479
18.022,0.472
18.121,0.473
18.222,0.479
18.322,0.491
18.422,0.495
18.524,0.504
18.622,0.507
18.722,0.505
18.826,0.51
18.921,0.51
19.022,0.51
19.142,0.509
19.221,0.51
19.321,0.509
19.457,0.513
19.534,0.51
19.621,0.514
19.769,0.51
19.836,0.513
19.921,0.51
20.037,0.513
20.127,0.513
20.221,0.512
20.321,0.512
20.43,0.51
20.521,0.513
20.621,0.509
20.742,0.507
20.82,0.504
20.921,0.505
21.057,0.504
21.126,0.507
21.222,0.508
21.361,0.51
21.426,0.507
21.521,0.503
21.674,0.501
21.722,0.501
21.82,0.504
21.922,0.505
22.033,0.505
22.12,0.504
22.221,0.505
22.32,0.509
22.421,0.505
22.521,0.501
22.62,0.497
22.721,0.498
22.821,0.503
22.939,0.505
23.02,0.509
23.12,0.505
23.258,0.505
23.329,0.507
23.42,0.508
23.565,0.507
23.62,0.505
23.72,0.501
23.841,0.504
23.926,0.501
24.021,0.503
24.119,0.503
24.225,0.504
24.319,0.505
24.42,0.504
24.52,0.505
24.62,0.508
24.72,0.509
24.828,0.507
24.921,0.503
25.019,0.497
25.148,0.497
25.22,0.501
25.32,0.501
25.451,0.504
25.529,0.504
25.62,0.501
25.744,0.503
25.829,0.501
25.919,0.501
26.02,0.503
26.127,0.503
26.22,0.501
26.32,0.505
26.419,0.5
26.519,0.5
26.62,0.503
26.72,0.505
26.819,0.504
26.92,0.505
27.036,0.505
27.119,0.501
27.22,0.501
27.348,0.5
27.418,0.503
27.519,0.497
27.667,0.498
27.719,0.499
27.819,0.5
27.935,0.5
28.021,0.503
28.12,0.504
28.219,0.501
28.319,0.504
28.419,0.504
28.518,0.499
28.622,0.501
28.719,0.496
28.818,0.501
28.938,0.501
29.02,0.501
29.119,0.501
29.255,0.5
29.321,0.497
29.418,0.499
29.568,0.503
29.62,0.501
29.718,0.501
29.86,0.5
29.921,0.497
30.018,0.497
30.118,0.497
30.221,0.503
30.319,0.505
30.418,0.505
30.518,0.505
30.618,0.509
30.719,0.505
30.829,0.503
30.918,0.5
31.018,0.5
31.141,0.5
31.218,0.499
31.318,0.498
31.456,0.498
31.524,0.5
31.619,0.501
31.772,0.501
31.819,0.5
31.918,0.494
32.018,0.495
32.117,0.495
32.218,0.5
32.317,0.5
32.423,0.5
32.517,0.501
32.617,0.494
32.717,0.494
32.818,0.493
32.918,0.495
33.03,0.498
33.117,0.5
33.218,0.503
33.344,0.505
33.418,0.501
33.518,0.503
33.657,0.5
33.717,0.495
33.818,0.495
33.964,0.499
34.036,0.497
34.118,0.5
34.218,0.501
34.332,0.508
34.418,0.507
34.518,0.505
34.618,0.503
34.718,0.504
34.817,0.5
34.923,0.499
35.017,0.501
35.117,0.499
35.241,0.503
35.328,0.5
35.417,0.501
35.541,0.5
35.631,0.5
35.716,0.498
35.862,0.501
35.923,0.503
36.017,0.503
36.118,0.501
36.242,0.501
36.317,0.5
36.417,0.5
36.518,0.498
36.617,0.501
36.717,0.499
36.823,0.503
36.916,0.501
37.017,0.498
37.137,0.501
37.216,0.501
37.316,0.503
37.448,0.498
37.516,0.495
37.617,0.495
37.769,0.498
37.822,0.498
37.915,0.501
38.027,0.503
38.121,0.505
38.216,0.505
38.316,0.504
38.419,0.503
38.516,0.501
38.616,0.498
38.716,0.497
38.816,0.499
38.916,0.497
39.034,0.499
39.123,0.501
39.216,0.501
39.353,0.499
39.42,0.501
39.515,0.498
39.666,0.499
39.717,0.497
39.816,0.498
39.952,0.499
40.02,0.499
40.116,0.497
40.215,0.495
40.322,0.495
40.416,0.498
40.515,0.501
40.616,0.501
40.716,0.501
40.815,0.499
40.924,0.505
41.016,0.497
41.115,0.495
41.24,0.496
41.315,0.495
41.415,0.496
41.546,0.5
41.629,0.501
41.716,0.503
41.865,0.509
41.93,0.504
42.016,0.504
42.115,0.501
42.225,0.501
42.315,0.501
42.414,0.505
42.521,0.505
42.615,0.5
42.715,0.501
42.815,0.503
42.915,0.505
43.015,0.503
43.131,0.503
43.215,0.498
43.315,0.501
43.443,0.501
43.522,0.501
43.615,0.5
43.761,0.5
43.814,0.497
43.915,0.496
44.063,0.5
44.133,0.498
44.214,0.497
44.314,0.5
44.425,0.499
44.514,0.5
44.615,0.501
44.714,0.497
44.814,0.501
44.914,0.498
45.027,0.496
45.114,0.5
45.214,0.498
45.342,0.501
45.414,0.501
45.514,0.504
45.656,0.501
45.714,0.498
45.814,0.501
45.948,0.498
46.021,0.5
46.113,0.498
46.214,0.499
46.319,0.498
46.413,0.495
46.514,0.494
46.618,0.501
46.713,0.5
46.814,0.501
46.92,0.5
47.016,0.499
47.114,0.497
47.237,0.499
47.324,0.501
47.414,0.503
47.552,0.499
47.617,0.496
47.713,0.499
47.83,0.499
47.919,0.5
48.013,0.497
48.113,0.493
48.22,0.5
48.314,0.501
48.413,0.491
48.512,0.478
48.613,0.475
48.713,0.483
48.815,0.504
48.913,0.516
49.013,0.518
49.133,0.518
49.227,0.517
49.313,0.518
49.441,0.517
49.527,0.512
49.612,0.507
49.76,0.5
49.824,0.496
49.912,0.5
50.052,0.497
50.116,0.495
50.213,0.491
50.313,0.482
50.42,0.482
50.513,0.495
50.613,0.509
50.714,0.519
50.813,0.519
50.912,0.51
51.022,0.503
51.117,0.499
51.212,0.497
51.337,0.488
51.428,0.482
51.512,0.481
51.652,0.482
51.712,0.501
51.813,0.515
51.936,0.524
52.012,0.534
52.112,0.539
52.212,0.527
52.313,0.514
52.412,0.501
52.512,0.476
52.616,0.456
52.712,0.431
52.812,0.429
52.926,0.45
53.025,0.487
53.114,0.516
53.241,0.539
53.311,0.55
53.412,0.547
53.55,0.551
53.62,0.554
53.712,0.555
53.86,0.557
53.92,0.533
54.011,0.503
54.111,0.478
54.215,0.462
54.313,0.46
54.411,0.465
54.516,0.472
54.611,0.482
54.712,0.487
54.834,0.489
54.917,0.489
55.011,0.49
55.149,0.493
55.219,0.494
55.312,0.495
55.466,0.494
55.52,0.498
55.612,0.495
55.711,0.492
55.822,0.496
55.911,0.495
56.01,0.495
56.116,0.499
56.213,0.501
56.311,0.501
56.429,0.498
56.51,0.5
56.61,0.5
56.747,0.48
56.814,0.444
56.911,0.426
57.028,0.439
57.115,0.47
57.211,0.51
57.311,0.534
57.41,0.551
57.525,0.561
57.61,0.562
57.724,0.562
57.811,0.558
57.91,0.547
58.05,0.523
58.124,0.501
58.211,0.482
58.342,0.472
58.41,0.469
58.51,0.472
58.611,0.492
58.71,0.516
58.81,0.532
58.91,0.529
59.026,0.516
59.109,0.495
59.21,0.482
59.344,0.478
59.428,0.486
59.509,0.487
59.659,0.486
59.718,0.479
59.809,0.472
59.93,0.467
60.01,0.461
60.11,0.457
60.21,0.468
60.311,0.481
60.41,0.501
60.51,0.52
60.617,0.536
60.709,0.571
60.811,0.6
60.938,0.603
61.009,0.57
61.11,0.525
61.253,0.486
61.312,0.461
61.41,0.451
61.565,0.456
61.613,0.463
61.71,0.473
61.81,0.483
61.912,0.488
62.009,0.491
62.109,0.494
62.221,0.498
62.309,0.495
62.409,0.496
62.565,0.497
62.618,0.497
62.709,0.495
62.809,0.495
62.914,0.499
63.009,0.501
63.109,0.499
63.208,0.499
63.308,0.5
63.408,0.497
63.528,0.499
63.608,0.499
63.709,0.501
63.84,0.497
63.908,0.499
64.009,0.499
64.161,0.499
64.228,0.499
64.309,0.499
64.409,0.496
64.524,0.499
64.608,0.493
64.708,0.473
64.811,0.463
64.908,0.473
65.008,0.501
65.132,0.531
65.224,0.545
65.309,0.553
65.451,0.548
65.513,0.523
65.608,0.505
65.728,0.493
65.821,0.486
65.909,0.485
66.008,0.486
66.114,0.49
66.208,0.494
66.308,0.5
66.419,0.503
66.508,0.498
66.608,0.498
66.742,0.497
66.82,0.5
66.908,0.496
67.048,0.497
67.116,0.496
67.209,0.498
67.308,0.495
67.412,0.5
67.507,0.501
67.607,0.501
67.707,0.501
67.807,0.504
67.907,0.499
68.009,0.499
68.107,0.5
68.207,0.5
68.318,0.497
68.423,0.501
68.508,0.499
68.63,0.503
68.707,0.501
68.808,0.501
68.944,0.497
69.006,0.499
69.107,0.501
69.266,0.501
69.329,0.501
69.407,0.499
69.508,0.499
69.61,0.5
69.706,0.498
69.808,0.499
69.908,0.503
70.007,0.503
70.107,0.501
70.224,0.497
70.306,0.495
70.407,0.494
70.545,0.494
70.608,0.498
70.707,0.5
70.864,0.501
70.916,0.496
71.006,0.498
71.106,0.5
71.208,0.503
71.306,0.501
71.406,0.504
71.52,0.503
71.625,0.497
71.707,0.5
71.838,0.498
71.908,0.499
72.007,0.497
72.165,0.498
72.208,0.5
72.307,0.497
72.406,0.5
72.515,0.501
72.607,0.503
72.707,0.505
72.808,0.505
72.905,0.503
73.006,0.505
73.131,0.504
73.239,0.498
73.307,0.5
73.449,0.501
73.509,0.5
73.606,0.503
73.741,0.501
73.815,0.5
73.907,0.501
74.005,0.501
74.11,0.503
74.205,0.498
74.306,0.499
74.406,0.497
74.505,0.5
74.606,0.501
74.726,0.5
74.818,0.5
74.907,0.501
75.047,0.503
75.132,0.499
75.205,0.498
75.321,0.499
75.415,0.498
75.505,0.497
75.605,0.499
75.712,0.501
75.806,0.501
75.906,0.501
76.011,0.504
76.105,0.504
76.205,0.507
76.332,0.504
76.405,0.503
76.505,0.505
76.651,0.503
76.715,0.507
76.805,0.501
76.919,0.497
77.012,0.497
77.104,0.496
77.206,0.494
77.315,0.495
77.411,0.488
77.505,0.488
77.639,0.475
77.704,0.46
77.805,0.435
77.97,0.412
78.018,0.379
78.104,0.337
78.205,0.29
78.309,0.235
78.415,0.19
78.505,0.147
78.628,0.103
78.703,0.069
78.805,0.034
78.957,0.011
79.01,0.0
79.104,0.008
79.215,0.006
79.319,0.008
79.404,0.007
79.505,0.005
79.612,0.007
79.704,0.004
79.804,0.008
79.937,0.009
80.024,0.009
80.103,0.01
80.267,0.003
80.317,0.0
80.404,0.0
80.504,0.006
80.617,0.042
80.704,0.078
80.804,0.099
80.919,0.117
81.003,0.145
81.104,0.177
81.26,0.216
81.304,0.25
81.405,0.294
81.503,0.33
81.609,0.368
81.703,0.402
81.804,0.427
81.917,0.446
82.003,0.46
82.103,0.474
82.244,0.487
82.303,0.497
82.403,0.507
82.537,0.51
82.606,0.517
82.703,0.52
82.803,0.526
82.91,0.529
83.013,0.533
83.104,0.541
83.239,0.544
83.302,0.548
83.403,0.549
83.558,0.551
83.614,0.551
83.702,0.556
83.803,0.558
83.908,0.556
84.003,0.554
84.102,0.554
84.223,0.55
84.302,0.55
84.403,0.55
84.551,0.547
84.64,0.551
84.702,0.55
84.851,0.546
84.914,0.544
85.002,0.543
85.103,0.544
85.207,0.542
85.316,0.541
85.402,0.542
85.531,0.542
85.62,0.543
85.703,0.542
85.856,0.544
85.915,0.547
86.003,0.544
86.103,0.547
86.205,0.542
86.302,0.544
86.402,0.542
86.505,0.541
86.602,0.543
86.702,0.538
86.825,0.539
86.903,0.535
87.002,0.531
87.148,0.527
87.218,0.527
87.302,0.527
87.446,0.526
87.51,0.527
87.602,0.526
87.701,0.527
87.804,0.53
87.901,0.528
88.002,0.528
88.126,0.529
88.232,0.53
88.303,0.53
88.454,0.531
88.522,0.53
88.602,0.531
88.712,0.529
88.808,0.531
88.902,0.527
89.001,0.524
89.104,0.524
89.201,0.52
89.301,0.52
89.423,0.518
89.501,0.519
89.601,0.513
89.752,0.514
89.808,0.51
89.902,0.51
90.011,0.513
90.107,0.51
90.201,0.51
90.3,0.513
90.411,0.516
90.511,0.516
90.602,0.515
90.738,0.519
90.803,0.521
90.901,0.523
91.04,0.523
91.105,0.523
91.201,0.524
91.301,0.525
91.402,0.523
91.5,0.519
91.601,0.517
91.714,0.513
91.807,0.51
91.901,0.516
92.011,0.512
92.1,0.515
92.202,0.509
92.333,0.509
92.414,0.505
92.501,0.507
92.655,0.504
92.708,0.504
92.8,0.505
92.901,0.504
93.009,0.501
93.1,0.504
93.201,0.504
93.332,0.507
93.414,0.509
93.501,0.508
93.662,0.504
93.715,0.503
93.8,0.501
93.9,0.501
94.009,0.501
94.099,0.504
94.2,0.505
94.339,0.508
94.405,0.505
94.499,0.504
94.623,0.503
94.711,0.505
94.799,0.504
94.9,0.505
95.004,0.501
95.101,0.501
95.2,0.501
95.311,0.497
95.399,0.493
95.5,0.497
95.641,0.491
95.707,0.49
95.8,0.495
95.956,0.494
96.006,0.494
96.1,0.494
96.199,0.498
96.299,0.499
96.399,0.499
96.5,0.499
96.606,0.504
96.7,0.504
96.799,0.507
96.937,0.507
97.001,0.501
97.099,0.504
97.257,0.505
97.308,0.507
97.399,0.51
97.499,0.505
97.601,0.507
97.699,0.505
97.799,0.505
97.928,0.505
97.999,0.505
98.099,0.505
98.259,0.504
98.307,0.504
98.399,0.504
98.499,0.503
98.604,0.501
98.699,0.504
98.799,0.501
98.91,0.501
98.998,0.5
99.099,0.5
99.234,0.501
99.315,0.504
99.398,0.5
99.56,0.503
99.604,0.504
99.698,0.504
99.799,0.504
99.899,0.501
99.999,0.501
100.1,0.501
100.224,0.504
100.298,0.501
100.398,0.503
100.542,0.504
100.612,0.504
100.698,0.501
100.798,0.504
100.901,0.507
100.998,0.504
101.097,0.505
101.215,0.503
101.306,0.503
101.398,0.499
101.546,0.495
101.608,0.494
101.698,0.498
101.869,0.499
101.904,0.503
101.998,0.507
102.098,0.504
102.203,0.497
102.298,0.489
102.397,0.488
102.528,0.492
102.597,0.495
102.698,0.499
102.854,0.494
102.908,0.467
102.997,0.437
103.097,0.406
103.2,0.369
103.297,0.325
103.398,0.276
103.505,0.197
103.597,0.082
103.697,0.055
