time_s,state,x_m,y_m,z_down_m,edge_event,edge_x_m,edge_y_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,local_x_min_m,local_x_max_m,local_y_min_m,local_y_max_m
0.239,,0.0,0.0,0.016,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719,0.372,,0.2,,,,,,,
0.244,,-0.9889,4.9665,0.015,,,,-20.03,-1.26,0.01,0.0,0.0049,-0.0047,0.0017,0.72,0.375,,0.193,,,,,,,
0.248,,-0.991,4.9671,0.016,,,,-19.92,-1.26,0.1,0.0,-0.007,-0.0009,-0.0023,0.72,0.375,,0.193,,,,,,,
0.252,,-0.9898,4.9664,0.016,,,,-19.82,-1.25,0.05,0.0,-0.001,-0.0045,-0.002,0.718,0.372,,0.197,,,,,,,
0.303,,-0.9912,4.9666,0.017,,,,-19.71,-1.24,0.1,0.0,-0.0076,-0.0032,-0.0018,0.718,0.372,,0.197,,,,,,,
0.339,,-0.9909,4.9671,0.015,,,,-19.61,-1.26,0.1,0.0,-0.0065,-0.0004,0.0006,0.724,0.373,,0.197,,,,,,,
0.383,,-0.9912,4.9662,0.015,,,,-19.51,-1.23,0.1,0.0,-0.0075,-0.0052,-0.0027,0.724,0.373,,0.197,,,,,,,
0.433,,-0.9909,4.9671,0.015,,,,-19.41,-1.27,0.11,0.0,-0.0059,-0.0005,-0.0041,0.724,0.375,,0.198,,,,,,,
0.485,,-0.9907,4.9666,0.017,,,,-19.31,-1.25,0.1,0.0,-0.0052,-0.0031,-0.0045,0.724,0.375,,0.198,,,,,,,
0.537,,-0.989,4.9665,0.017,,,,-19.21,-1.27,0.03,0.0,0.0037,-0.004,0.0004,0.723,0.375,,0.195,,,,,,,
0.585,,-0.9895,4.9653,0.016,,,,-19.1,-1.22,0.04,0.0,0.0011,-0.0109,0.0031,0.723,0.375,,0.195,,,,,,,
0.633,,-0.9907,4.9664,0.016,,,,-19.01,-1.25,0.1,0.0,-0.0055,-0.0046,0.0018,0.719,0.374,,0.201,,,,,,,
0.683,,-0.9901,4.9664,0.018,,,,-18.91,-1.26,0.07,0.0,-0.002,-0.0045,0.0006,0.719,0.374,,0.201,,,,,,,
0.733,,-0.989,4.9664,0.015,,,,-18.81,-1.27,0.03,0.0,0.004,-0.0042,0.0043,0.721,0.375,,0.196,,,,,,,
0.783,,-0.9909,4.967,0.013,,,,-18.72,-1.28,0.12,0.0,-0.0072,-0.0001,-0.0011,0.721,0.375,,0.196,,,,,,,
0.876,,-0.991,4.9668,0.017,,,,-18.62,-1.26,0.11,0.0,-0.0068,-0.0013,-0.0079,0.72,0.372,,0.195,,,,,,,
0.884,,-0.9909,4.967,0.014,,,,-18.52,-1.28,0.1,0.0,-0.0052,0.0002,-0.002,0.72,0.372,,0.195,,,,,,,
0.946,,-0.991,4.9668,0.016,,,,-18.43,-1.26,0.1,0.0,-0.0053,-0.0016,-0.0051,0.722,0.374,,0.193,,,,,,,
0.984,,-0.991,4.967,0.015,,,,-18.33,-1.27,0.1,0.0,-0.0051,-0.0006,-0.0022,0.722,0.374,,0.193,,,,,,,
1.035,,-0.9913,4.9671,0.016,,,,-18.24,-1.26,0.12,0.0,-0.007,-0.0005,-0.0028,0.725,0.374,,0.193,,,,,,,
