time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.277,,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.745,0.134,2.489,0.5,,,
0.29,,0.0727,0.0475,0.01,-1.04,-1.52,0.57,0.0,-0.0018,-0.0013,0.0003,1.755,0.136,2.489,0.5,,,
0.294,,0.0719,0.0475,0.011,-1.04,-1.51,0.6,0.0,-0.0053,-0.0013,-0.0012,1.755,0.136,,0.512,,,
0.298,,0.0716,0.0475,0.01,-1.03,-1.51,0.61,0.0,-0.007,-0.0013,0.0003,1.753,0.136,,0.512,,,
0.302,,0.0722,0.0472,0.012,-1.02,-1.51,0.58,0.0,-0.0038,-0.0025,-0.0012,1.753,0.136,,0.515,,,
0.31,,0.0721,0.0472,0.012,-1.02,-1.5,0.58,0.0,-0.0043,-0.0026,0.0026,1.752,0.136,,0.515,,,
0.362,,0.0716,0.047,0.01,-1.01,-1.5,0.6,0.0,-0.0068,-0.004,0.0046,1.752,0.136,,0.51,,,
0.415,,0.0721,0.0472,0.012,-1.0,-1.51,0.58,0.0,-0.0044,-0.0029,0.0005,1.749,0.135,,0.51,,,
0.461,,0.072,0.0471,0.012,-1.0,-1.5,0.58,0.0,-0.0043,-0.003,0.0017,1.749,0.135,,0.501,,,
0.513,,0.0717,0.0475,0.013,-0.99,-1.52,0.59,0.0,-0.0053,-0.0017,0.0019,1.749,0.136,,0.501,,,
0.573,,0.072,0.0475,0.012,-0.99,-1.52,0.58,0.0,-0.0042,-0.0015,0.0045,1.749,0.136,,0.503,,,
0.615,,0.0714,0.0475,0.011,-0.98,-1.52,0.6,0.0,-0.0065,-0.0014,0.0027,1.747,0.137,,0.503,,,
0.66,,0.0713,0.0472,0.011,-0.97,-1.5,0.6,0.0,-0.0071,-0.0029,-0.0009,1.747,0.137,,0.514,,,
0.711,,0.0714,0.0472,0.012,-0.97,-1.51,0.6,0.0,-0.0066,-0.003,-0.0029,1.748,0.136,,0.514,,,
0.76,,0.0722,0.0474,0.012,-0.96,-1.51,0.57,0.0,-0.0021,-0.0023,-0.0012,1.748,0.136,,0.504,,,
0.811,,0.0724,0.0467,0.012,-0.96,-1.49,0.56,0.0,-0.0008,-0.0063,0.0007,1.75,0.136,,0.504,,,
0.862,,0.0719,0.0475,0.011,-0.95,-1.52,0.58,0.0,-0.0034,-0.0027,0.0014,1.75,0.136,,0.491,,,
0.945,,0.0722,0.0473,0.013,-0.94,-1.51,0.57,0.0,-0.002,-0.0032,-0.0006,1.746,0.132,,0.491,,,
0.978,,0.0726,0.0468,0.01,-0.94,-1.5,0.56,0.0,0.0003,-0.0055,0.0028,1.746,0.132,,0.495,,,
1.045,,0.0721,0.0471,0.011,-0.93,-1.51,0.59,0.0,-0.0029,-0.0034,-0.0027,1.739,0.134,,0.495,,,
1.079,,0.0716,0.047,0.01,-0.92,-1.51,0.61,0.0,-0.0053,-0.0035,-0.0027,1.739,0.134,,0.517,,,
1.119,,0.0717,0.0471,0.011,-0.92,-1.52,0.61,0.0,-0.0056,-0.0023,-0.0046,1.748,0.136,,0.517,,,
1.161,,0.0712,0.0471,0.01,-0.91,-1.52,0.63,0.0,-0.0079,-0.0018,-0.0031,1.748,0.136,,0.494,,,
1.211,,0.072,0.0471,0.011,-0.91,-1.52,0.59,0.0,-0.0034,-0.0017,-0.0039,1.747,0.136,,0.494,,,
1.269,,0.0723,0.0466,0.011,-0.9,-1.5,0.57,0.0,-0.0021,-0.0043,-0.0013,1.747,0.136,,0.508,,,
