time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.264,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.36,2.364,0.195,,,
0.265,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.351,,0.198,,,
0.267,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.351,,0.198,,,
0.268,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.363,2.334,0.199,,,
0.329,,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.363,2.334,0.199,,,
0.357,,-2.8371,-13.8633,0.012,26.79,-1.27,0.38,0.0,0.0033,-0.006,-0.002,0.672,0.35,2.254,0.2,,,
0.406,,-2.8371,-13.8633,0.013,26.66,-1.27,0.39,0.0,0.0039,-0.0059,-0.0053,0.677,0.35,2.254,0.2,,,
0.458,,-2.8365,-13.8629,0.013,26.53,-1.28,0.36,0.0,0.0065,-0.0034,-0.0045,0.677,0.362,,0.198,,,
0.506,,-2.8369,-13.8631,0.013,26.4,-1.28,0.38,0.0,0.0039,-0.0046,-0.0038,0.674,0.362,,0.198,,,
0.564,,-2.8374,-13.8634,0.012,26.27,-1.27,0.4,0.0,0.002,-0.0063,-0.0028,0.674,0.35,,0.197,,,
0.626,,-2.8371,-13.8633,0.013,26.14,-1.27,0.39,0.0,0.0031,-0.0052,-0.0043,0.672,0.35,,0.197,,,
0.669,,-2.8372,-13.8633,0.013,26.01,-1.28,0.39,0.0,0.0034,-0.0055,-0.0028,0.672,0.361,,0.199,,,
0.757,,-2.837,-13.8631,0.012,25.88,-1.28,0.38,0.0,0.0042,-0.0045,-0.0021,0.671,0.361,,0.199,,,
0.763,,-2.8367,-13.8631,0.014,25.75,-1.27,0.37,0.0,0.0053,-0.0046,-0.0039,0.671,0.352,2.297,0.196,,,
0.806,,-2.8371,-13.8629,0.011,25.62,-1.28,0.39,0.0,0.0032,-0.0034,-0.0001,0.673,0.352,2.297,0.196,,,
0.856,,-2.8377,-13.8633,0.013,25.49,-1.28,0.42,0.0,-0.0007,-0.0052,-0.0045,0.673,0.362,2.156,0.203,,,
0.906,,-2.8366,-13.8627,0.012,25.36,-1.28,0.37,0.0,0.0049,-0.0026,-0.0018,0.673,0.362,2.156,0.203,,,
0.957,,-2.8366,-13.8628,0.012,25.23,-1.28,0.38,0.0,0.0049,-0.0026,-0.0031,0.673,0.35,,0.199,,,
1.007,,-2.8369,-13.8632,0.013,25.11,-1.26,0.39,0.0,0.0036,-0.0052,-0.0035,0.678,0.35,,0.199,,,
1.069,,-2.8372,-13.8631,0.013,24.98,-1.27,0.4,0.0,0.0027,-0.005,-0.0015,0.678,0.359,2.147,0.196,,,
1.115,,-2.8374,-13.8635,0.013,24.86,-1.26,0.41,0.0,0.0019,-0.0074,-0.0003,0.671,0.359,2.147,0.196,,,
1.157,,-2.8374,-13.8627,0.012,24.74,-1.29,0.4,0.0,0.0004,-0.0036,0.0003,0.671,0.35,2.188,0.196,,,
1.206,,-2.8366,-13.8628,0.013,24.61,-1.27,0.37,0.0,0.0047,-0.004,-0.0014,0.67,0.35,2.188,0.196,,,
1.256,,-2.837,-13.863,0.012,24.49,-1.28,0.39,0.0,0.0023,-0.005,-0.0008,0.67,0.36,,0.196,,,
1.307,,-2.8369,-13.8633,0.016,24.37,-1.27,0.39,0.0,0.0032,-0.0064,-0.0029,0.675,0.36,,0.196,,,
1.368,,-2.8372,-13.8632,0.015,24.25,-1.28,0.4,0.0,0.0013,-0.0062,0.0043,0.675,0.352,,0.198,,,
1.416,,-2.8371,-13.8635,0.014,24.13,-1.26,0.39,0.0,0.0022,-0.007,0.0066,0.671,0.352,,0.198,,,
1.456,,-2.8372,-13.8635,0.013,24.01,-1.27,0.39,0.0,0.0019,-0.0062,0.0054,0.671,0.362,,0.195,,,
1.506,,-2.8366,-13.8632,0.014,23.88,-1.27,0.37,0.0,0.0047,-0.0048,0.0011,0.673,0.362,,0.195,,,
1.557,,-2.8365,-13.8634,0.011,23.76,-1.26,0.37,0.0,0.0044,-0.0056,0.0008,0.673,0.361,,0.2,,,
1.606,,-2.8365,-13.8627,0.013,23.65,-1.29,0.35,0.0,0.0048,-0.0023,-0.0068,0.676,0.361,,0.2,,,
1.664,,-2.8371,-13.8635,0.012,23.53,-1.27,0.38,0.0,0.0011,-0.0057,-0.0068,0.676,0.349,2.026,0.194,,,
1.708,,-2.8374,-13.8636,0.013,23.41,-1.27,0.39,0.0,0.0,-0.0062,-0.0082,0.674,0.349,2.026,0.194,,,
1.756,,-2.8364,-13.863,0.012,23.29,-1.27,0.35,0.0,0.0045,-0.0033,-0.0061,0.674,0.36,2.096,0.196,,,
1.808,,-2.8365,-13.863,0.014,23.17,-1.27,0.35,0.0,0.0043,-0.0034,-0.0062,0.673,0.36,2.096,0.196,,,
1.858,,-2.8366,-13.8629,0.013,23.06,-1.27,0.36,0.0,0.0042,-0.0035,-0.0021,0.673,0.349,,0.199,,,
1.907,,-2.8372,-13.8632,0.015,22.94,-1.27,0.39,0.0,0.0008,-0.0053,-0.0019,0.671,0.349,,0.199,,,
1.964,,-2.8372,-13.8633,0.012,22.83,-1.27,0.38,0.0,0.0009,-0.0056,0.0026,0.671,0.359,,0.196,,,
2.011,,-2.8372,-13.8632,0.012,22.71,-1.27,0.37,0.0,0.0011,-0.0054,-0.0016,0.673,0.359,,0.196,,,
2.056,,-2.8365,-13.863,0.012,22.6,-1.27,0.34,0.0,0.0051,-0.0039,-0.0042,0.673,0.351,1.823,0.199,,,
2.106,,-2.8369,-13.8632,0.014,22.48,-1.27,0.35,0.0,0.0022,-0.0044,-0.0055,0.676,0.351,1.823,0.199,,,
2.158,,-2.8369,-13.8632,0.013,22.37,-1.27,0.36,0.0,0.002,-0.0046,-0.0026,0.676,0.363,,0.195,,,
2.226,,-2.8371,-13.8633,0.014,22.26,-1.26,0.36,0.0,0.0013,-0.005,-0.0023,0.675,0.363,,0.195,,,
2.256,,-2.8369,-13.8632,0.012,22.15,-1.26,0.35,0.0,0.0028,-0.0046,-0.0009,0.675,0.351,,0.194,,,
2.308,,-2.8369,-13.8632,0.014,22.04,-1.27,0.35,0.0,0.0029,-0.0045,-0.004,0.674,0.351,,0.194,,,
2.357,,-2.8369,-13.8632,0.014,21.93,-1.27,0.35,0.0,0.0029,-0.0046,-0.0018,0.674,0.363,,0.2,,,
2.406,,-2.8367,-13.8626,0.012,21.81,-1.28,0.33,0.0,0.0041,-0.0016,-0.0002,0.675,0.363,,0.2,,,
2.456,,0.0,-0.0,0.015,-0.0,0.01,-0.02,0.0,0.001,-0.0044,-0.0004,0.675,0.351,,0.197,,,
2.547,,0.0003,-0.0001,0.014,-0.0,-0.15,-0.09,0.0,0.0066,-0.0075,-0.0013,0.675,0.351,,0.197,,,
2.557,,0.0002,-0.0007,0.015,-0.0,-0.15,0.08,0.0,0.0045,-0.0184,-0.0024,0.675,0.361,,0.2,,,
2.609,,0.0003,-0.0008,0.014,-0.0,-0.44,0.17,0.0,0.004,-0.0181,-0.0023,0.673,0.361,,0.2,,,
2.656,,0.0006,-0.0014,0.014,-0.0,-0.53,0.15,0.0,0.0065,-0.0223,-0.0044,0.673,0.35,,0.197,,,
2.706,,0.0008,-0.0013,0.012,-0.0,-0.77,0.17,0.0,0.0073,-0.0182,-0.0046,0.675,0.35,,0.197,,,
2.756,,0.0,-0.0015,0.016,-0.0,-0.88,0.33,0.0,0.0002,-0.0173,-0.0092,0.675,0.358,,0.194,,,
2.837,,0.0006,-0.0013,0.014,-0.0,-1.0,0.26,0.0,0.004,-0.0137,-0.0008,0.672,0.358,,0.194,,,
2.868,,0.0003,-0.0009,0.014,-0.0,-1.11,0.32,0.0,0.0015,-0.0098,-0.0017,0.672,0.362,,0.2,,,
2.905,,0.001,-0.0005,0.013,-0.0,-1.17,0.24,0.0,0.0068,-0.0073,-0.0023,0.672,0.362,,0.2,,,
2.955,,0.0005,-0.0008,0.013,-0.0,-1.17,0.3,0.0,0.0026,-0.0092,-0.0047,0.672,0.351,,0.197,,,
3.006,,0.001,-0.0004,0.013,-0.0,-1.22,0.27,0.0,0.0058,-0.0062,-0.0061,0.676,0.351,,0.197,,,
3.056,,0.0011,-0.0005,0.012,-0.01,-1.23,0.28,0.0,0.0057,-0.0065,-0.0066,0.676,0.361,,0.195,,,
3.134,,0.0005,-0.0009,0.014,-0.01,-1.22,0.32,0.0,0.0022,-0.0084,-0.0087,0.677,0.361,,0.195,,,
