time_s,z_down_m
0.226,0.019
0.231,0.017
0.33,0.019
0.438,0.019
0.528,0.018
0.625,0.017
0.726,0.02
0.827,0.02
0.926,0.018
1.027,0.019
1.127,0.018
1.226,0.019
1.326,0.018
1.427,0.021
1.526,0.022
1.626,0.02
1.726,0.019
1.826,0.017
1.925,0.017
2.025,0.019
2.126,0.02
2.226,0.019
2.325,0.017
2.426,0.019
2.525,0.019
2.625,0.017
2.725,0.02
2.826,0.018
2.925,0.019
3.026,0.019
3.125,0.02
3.226,0.02
3.325,0.019
3.425,0.018
3.525,0.018
3.625,0.02
3.725,0.022
3.825,0.019
3.925,0.018
4.025,0.019
4.126,0.018
4.225,0.018
4.325,0.018
4.425,0.02
4.524,0.019
4.624,0.018
4.726,0.018
4.825,0.019
4.924,0.019
5.025,0.019
5.125,0.02
5.224,0.019
5.325,0.019
5.425,0.021
5.524,0.019
5.625,0.02
5.724,0.017
5.824,0.021
5.925,0.02
6.024,0.019
6.124,0.02
6.225,0.019
6.324,0.018
6.424,0.019
6.524,0.018
6.625,0.019
6.725,0.019
6.824,0.017
6.925,0.019
7.024,0.021
7.124,0.018
7.223,0.017
7.323,0.015
7.424,0.014
7.524,0.008
7.623,0.0
7.725,0.0
7.823,0.001
7.924,0.023
8.024,0.058
8.123,0.088
8.224,0.113
8.324,0.136
8.424,0.163
8.524,0.197
8.623,0.244
8.723,0.279
8.823,0.317
8.924,0.352
9.025,0.384
9.124,0.408
9.224,0.434
9.325,0.454
9.424,0.468
9.523,0.483
9.623,0.494
9.724,0.501
9.823,0.507
9.924,0.513
10.023,0.516
10.123,0.52
10.224,0.525
10.322,0.527
10.422,0.538
10.523,0.537
10.624,0.546
10.723,0.549
10.822,0.553
10.922,0.552
11.022,0.555
11.123,0.556
11.223,0.557
11.323,0.554
11.422,0.554
11.522,0.551
11.623,0.55
11.723,0.552
11.824,0.552
11.923,0.551
12.023,0.553
12.123,0.548
12.222,0.545
12.323,0.548
12.422,0.546
12.522,0.547
12.622,0.549
12.723,0.554
12.822,0.552
12.922,0.551
13.022,0.546
13.122,0.543
13.222,0.543
13.322,0.544
13.422,0.544
13.521,0.548
13.622,0.547
13.722,0.547
13.822,0.549
13.921,0.552
14.021,0.547
14.122,0.54
14.222,0.531
14.321,0.531
14.421,0.53
14.521,0.531
14.621,0.531
14.722,0.532
14.822,0.533
14.921,0.529
15.021,0.529
15.121,0.533
15.222,0.53
15.321,0.527
15.421,0.523
15.52,0.523
15.621,0.524
15.724,0.523
15.82,0.526
15.922,0.526
16.02,0.529
16.121,0.526
16.221,0.524
16.321,0.522
16.422,0.52
16.521,0.522
16.621,0.523
16.721,0.542
16.822,0.57
16.921,0.593
17.02,0.584
17.12,0.55
17.221,0.514
17.322,0.483
17.42,0.472
17.521,0.475
17.622,0.485
17.721,0.493
17.821,0.497
17.92,0.507
18.021,0.51
18.12,0.51
18.221,0.509
18.321,0.509
18.42,0.512
18.52,0.51
18.621,0.51
18.72,0.51
18.82,0.509
18.92,0.509
19.02,0.508
19.12,0.509
19.22,0.513
19.321,0.513
19.42,0.512
19.52,0.508
19.619,0.509
19.72,0.505
19.819,0.512
19.92,0.516
20.021,0.51
20.121,0.509
20.221,0.509
20.32,0.51
20.42,0.508
20.52,0.508
20.619,0.512
20.72,0.508
20.819,0.509
20.92,0.509
21.02,0.508
21.12,0.505
21.219,0.507
21.319,0.505
21.42,0.507
21.52,0.505
21.619,0.505
21.719,0.51
21.82,0.508
21.919,0.505
22.02,0.501
22.12,0.501
22.219,0.503
22.319,0.507
22.419,0.505
22.519,0.507
22.619,0.505
22.719,0.505
22.819,0.505
22.919,0.501
23.019,0.505
23.119,0.501
23.219,0.503
23.319,0.5
23.418,0.503
23.519,0.505
23.619,0.505
23.719,0.503
23.818,0.503
23.918,0.501
24.019,0.504
24.119,0.507
24.219,0.504
24.318,0.503
24.418,0.504
24.518,0.501
24.619,0.503
24.719,0.501
24.819,0.496
24.919,0.496
25.019,0.497
25.119,0.5
25.218,0.501
25.319,0.5
25.419,0.501
25.519,0.497
25.618,0.503
25.718,0.503
25.818,0.501
25.919,0.504
26.018,0.504
26.118,0.501
26.219,0.505
26.317,0.504
26.418,0.509
26.517,0.505
26.618,0.508
26.717,0.501
26.818,0.492
26.918,0.482
27.017,0.466
27.117,0.445
27.218,0.418
27.318,0.394
27.418,0.351
27.518,0.304
27.617,0.255
27.718,0.202
27.817,0.162
27.917,0.114
28.017,0.08
28.117,0.042
28.218,0.02
28.317,0.002
28.418,0.003
28.518,0.01
28.623,0.01
28.716,0.008
28.816,0.01
28.918,0.007
29.017,0.01
29.118,0.008
