time_s,state,x_m,y_m,z_down_m,edge_event,edge_x_m,edge_y_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,local_x_min_m,local_x_max_m,local_y_min_m,local_y_max_m
0.235,,0.0,0.0,0.016,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674,0.411,1.016,0.239,,,,,,,
0.238,,7.9381,-2.4904,0.015,,,,-1.48,-1.36,0.23,0.0,0.0057,-0.0038,-0.0072,0.673,0.415,1.016,0.239,,,,,,,
0.242,,7.9371,-2.4902,0.016,,,,-1.48,-1.37,0.28,0.0,-0.0001,-0.0027,-0.0082,0.673,0.415,1.021,0.239,,,,,,,
0.245,,7.9365,-2.4897,0.018,,,,-1.47,-1.38,0.3,0.0,-0.0039,0.0,-0.0014,0.677,0.411,1.021,0.239,,,,,,,
0.295,,7.9363,-2.4895,0.017,,,,-1.47,-1.39,0.31,0.0,-0.0046,0.0008,-0.0015,0.677,0.411,1.043,0.235,,,,,,,
0.324,,7.9362,-2.4902,0.016,,,,-1.47,-1.36,0.31,0.0,-0.0042,-0.0027,-0.0018,0.673,0.415,1.043,0.235,,,,,,,
0.376,,7.9369,-2.4898,0.016,,,,-1.47,-1.38,0.28,0.0,-0.0,-0.0003,-0.0019,0.673,0.415,1.054,0.237,,,,,,,
0.437,,7.9369,-2.4903,0.017,,,,-1.46,-1.35,0.28,0.0,0.0002,-0.0035,-0.0011,0.672,0.411,1.054,0.237,,,,,,,
0.48,,7.9361,-2.4895,0.017,,,,-1.46,-1.37,0.31,0.0,-0.0032,0.0006,-0.0014,0.672,0.411,1.06,0.238,,,,,,,
0.529,,7.9361,-2.4903,0.015,,,,-1.46,-1.34,0.31,0.0,-0.003,-0.0036,-0.0037,0.675,0.417,1.06,0.238,,,,,,,
0.573,,7.9372,-2.4901,0.019,,,,-1.46,-1.35,0.27,0.0,0.0024,-0.003,-0.0042,0.675,0.417,1.074,0.236,,,,,,,
0.623,,7.9361,-2.4906,0.014,,,,-1.46,-1.33,0.31,0.0,-0.003,-0.005,-0.0045,0.674,0.41,1.074,0.236,,,,,,,
0.673,,7.9364,-2.4898,0.014,,,,-1.45,-1.36,0.29,0.0,-0.0019,-0.0014,-0.0044,0.674,0.41,1.073,0.235,,,,,,,
0.724,,7.9371,-2.4903,0.017,,,,-1.45,-1.33,0.26,0.0,0.0021,-0.0035,-0.0032,0.672,0.416,1.073,0.235,,,,,,,
0.774,,7.9369,-2.4905,0.016,,,,-1.45,-1.33,0.27,0.0,0.0004,-0.0043,-0.0031,0.672,0.416,1.082,0.236,,,,,,,
0.839,,7.9362,-2.49,0.017,,,,-1.44,-1.35,0.3,0.0,-0.0025,-0.0018,0.0012,0.674,0.412,1.082,0.236,,,,,,,
0.876,,7.9364,-2.4898,0.017,,,,-1.44,-1.36,0.29,0.0,-0.0017,-0.001,0.0014,0.674,0.412,1.088,0.235,,,,,,,
0.923,,7.9368,-2.49,0.017,,,,-1.44,-1.35,0.27,0.0,0.0011,-0.0025,0.0032,0.674,0.412,1.088,0.235,,,,,,,
0.973,,7.9371,-2.4898,0.014,,,,-1.44,-1.36,0.26,0.0,0.0027,-0.0009,0.0024,0.674,0.412,1.093,0.232,,,,,,,
1.023,,7.9373,-2.4896,0.017,,,,-1.44,-1.37,0.26,0.0,0.0032,-0.0003,-0.0011,0.678,0.411,1.093,0.232,,,,,,,
1.074,,7.9362,-2.4896,0.017,,,,-1.44,-1.37,0.31,0.0,-0.0031,-0.0005,-0.0012,0.678,0.411,1.117,0.234,,,,,,,
1.124,,7.9362,-2.4898,0.016,,,,-1.43,-1.35,0.31,0.0,-0.0035,-0.0016,-0.0002,0.673,0.42,1.117,0.234,,,,,,,
1.186,,7.9373,-2.4901,0.016,,,,-1.43,-1.35,0.26,0.0,0.0025,-0.0025,0.0,0.673,0.42,1.158,0.235,,,,,,,
1.239,,7.9361,-2.4905,0.016,,,,-1.43,-1.33,0.31,0.0,-0.0041,-0.0047,-0.0017,0.673,0.41,1.158,0.235,,,,,,,
1.273,,7.9361,-2.4911,0.015,,,,-1.42,-1.31,0.3,0.0,-0.0037,-0.0078,-0.0024,0.673,0.41,1.197,0.238,,,,,,,
1.324,,7.9372,-2.491,0.015,,,,-1.42,-1.33,0.26,0.0,0.0024,-0.0067,-0.0059,0.673,0.417,1.197,0.238,,,,,,,
1.388,,7.9366,-2.4909,0.014,,,,-1.41,-1.33,0.29,0.0,-0.001,-0.0058,-0.0057,0.673,0.417,1.212,0.238,,,,,,,
