time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.467,,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679,0.418,,1.306,,,,,
0.472,,10.1007,0.3258,0.015,0.12,-0.74,0.11,0.0,0.003,0.0066,0.0053,0.681,0.418,,1.306,,,,,
0.478,,10.1008,0.3251,0.013,0.13,-0.72,0.1,0.0,0.0036,0.0033,0.0041,0.681,0.418,,1.308,,,,,
0.483,,10.1007,0.3251,0.015,0.13,-0.72,0.1,0.0,0.0034,0.0051,-0.0024,0.679,0.418,,1.308,,,,,
0.488,,10.1008,0.3252,0.016,0.12,-0.72,0.1,0.0,0.0044,0.007,-0.0006,0.679,0.421,,1.307,,,,,
0.492,,10.1003,0.3254,0.012,0.12,-0.73,0.12,0.0,0.0021,0.005,0.0036,0.683,0.421,,1.307,,,,,
0.497,,10.1008,0.3256,0.016,0.12,-0.73,0.11,0.0,0.0042,0.0064,-0.0051,0.683,0.418,,1.314,,,,,
0.501,,10.1008,0.326,0.014,0.12,-0.74,0.11,0.0,0.0044,0.008,0.0011,0.682,0.418,,1.314,,,,,
0.511,,10.1008,0.3256,0.012,0.12,-0.72,0.11,0.0,0.0042,0.005,-0.0008,0.682,0.418,,1.309,,,,,
0.534,,10.1004,0.3256,0.017,0.12,-0.71,0.13,0.0,0.0038,0.0045,-0.0067,0.683,0.418,,1.309,,,,,
0.658,,10.1008,0.3253,0.013,0.12,-0.7,0.12,0.0,0.0039,0.0057,0.004,0.683,0.422,,1.306,,,,,
0.698,,10.1007,0.3259,0.014,0.12,-0.73,0.13,0.0,0.0035,0.0043,-0.0015,0.683,0.422,,1.306,,,,,
0.708,,10.1008,0.3256,0.015,0.12,-0.71,0.12,0.0,0.004,0.0049,-0.0014,0.683,0.416,,1.306,,,,,
0.734,,10.1008,0.3257,0.014,0.12,-0.71,0.12,0.0,0.004,0.0052,0.0011,0.682,0.416,,1.306,,,,,
0.784,,10.1005,0.3257,0.013,0.12,-0.71,0.13,0.0,0.004,0.0044,-0.0002,0.682,0.42,2.496,1.315,,,,,
0.834,,10.101,0.3259,0.015,0.12,-0.72,0.12,0.0,0.005,0.0051,-0.0034,0.682,0.42,2.496,1.315,,,,,
0.887,,10.1013,0.3262,0.012,0.12,-0.73,0.12,0.0,0.0059,0.0058,0.0003,0.682,0.416,2.478,1.309,,,,,
0.934,,10.1013,0.3262,0.015,0.12,-0.73,0.12,0.0,0.0048,0.0054,-0.0046,0.682,0.416,2.478,1.309,,,,,
0.984,,10.1014,0.3257,0.013,0.12,-0.71,0.12,0.0,0.0056,0.0031,0.0,0.682,0.421,,1.305,,,,,
1.034,,10.1013,0.3257,0.013,0.12,-0.71,0.13,0.0,0.0043,0.0046,-0.0022,0.682,0.421,,1.305,,,,,
1.084,,10.1012,0.3261,0.013,0.12,-0.72,0.13,0.0,0.0045,0.0043,-0.0032,0.682,0.42,,1.311,,,,,
1.133,,10.1012,0.3257,0.014,0.12,-0.71,0.13,0.0,0.0047,0.0024,-0.0028,0.682,0.42,,1.311,,,,,
1.195,,10.1013,0.3263,0.017,0.11,-0.73,0.13,0.0,0.0048,0.0054,0.0003,0.682,0.421,2.443,1.304,,,,,
1.256,,10.1012,0.3257,0.014,0.11,-0.71,0.13,0.0,0.0045,0.0028,0.0094,0.68,0.421,2.443,1.304,,,,,
1.307,,10.1015,0.3259,0.015,0.11,-0.72,0.13,0.0,0.0051,0.0038,0.0058,0.68,0.418,,1.311,,,,,
1.341,,10.1014,0.3263,0.016,0.11,-0.73,0.13,0.0,0.0041,0.0055,0.0059,0.68,0.418,,1.311,,,,,
1.392,,10.1008,0.3262,0.013,0.11,-0.72,0.14,0.0,0.0033,0.0047,0.0077,0.68,0.419,,1.305,,,,,
1.433,,10.1012,0.3257,0.014,0.11,-0.71,0.13,0.0,0.0034,0.0012,0.0009,0.682,0.419,,1.305,,,,,
1.484,,10.1011,0.326,0.016,0.11,-0.72,0.13,0.0,0.0032,0.0047,-0.0009,0.682,0.421,,1.311,,,,,
1.533,,10.1008,0.3261,0.015,0.11,-0.72,0.14,0.0,0.0019,0.0052,0.0027,0.682,0.421,,1.311,,,,,
1.584,,10.1013,0.3263,0.016,0.11,-0.73,0.12,0.0,0.0044,0.0058,0.0018,0.682,0.419,,1.312,,,,,
1.633,,10.1014,0.3259,0.017,0.11,-0.71,0.12,0.0,0.0049,0.0044,0.0043,0.686,0.419,,1.312,,,,,
1.683,,10.1016,0.3267,0.012,0.11,-0.73,0.12,0.0,0.0053,0.0069,0.0076,0.686,0.42,,1.31,,,,,
1.766,,10.1015,0.3266,0.014,0.11,-0.72,0.12,0.0,0.0048,0.0061,-0.0036,0.679,0.42,,1.31,,,,,
1.814,,10.1014,0.3264,0.014,0.11,-0.71,0.12,0.0,0.0037,0.0027,-0.0045,0.679,0.42,,1.311,,,,,
1.871,,10.1015,0.326,0.015,0.11,-0.7,0.12,0.0,0.0044,0.0033,-0.0047,0.683,0.42,,1.311,,,,,
1.891,,10.1018,0.3262,0.015,0.11,-0.71,0.12,0.0,0.005,0.0043,-0.0018,0.683,0.417,,1.313,,,,,
1.946,,10.1015,0.326,0.014,0.11,-0.7,0.13,0.0,0.0039,0.0036,0.0006,0.679,0.417,,1.313,,,,,
2.011,,10.1017,0.3262,0.015,0.11,-0.71,0.12,0.0,0.0042,0.0044,-0.0002,0.679,0.419,,1.318,,,,,
2.048,,10.1015,0.3265,0.016,0.11,-0.72,0.13,0.0,0.0031,0.0053,0.0013,0.686,0.419,,1.318,,,,,
2.11,,10.1016,0.3268,0.013,0.11,-0.73,0.13,0.0,0.0038,0.0062,0.004,0.686,0.418,,1.311,,,,,
2.148,,10.1015,0.326,0.014,0.11,-0.7,0.13,0.0,0.0028,0.0068,-0.0011,0.682,0.418,,1.311,,,,,
2.224,,10.1016,0.3266,0.014,0.11,-0.72,0.12,0.0,0.0038,0.0053,-0.0019,0.682,0.42,,1.297,,,,,
2.232,,10.1015,0.3261,0.015,0.11,-0.7,0.12,0.0,0.0039,0.0031,-0.0026,0.682,0.42,,1.297,,,,,
