time_s,x_m,y_m,z_down_m
0.083,0.0,0.0,0.013
0.133,-0.3822,-0.0485,0.013
0.184,-0.3826,-0.0488,0.012
0.234,-0.3819,-0.0499,0.01
0.284,-0.3825,-0.0475,0.012
0.334,-0.3826,-0.0497,0.015
0.384,-0.382,-0.0483,0.013
0.434,-0.3818,-0.0481,0.013
0.484,-0.3819,-0.0488,0.009
0.533,-0.3821,-0.0495,0.012
0.584,-0.3819,-0.0488,0.014
0.633,-0.3821,-0.0482,0.012
0.684,-0.3824,-0.0484,0.01
0.734,-0.3821,-0.0488,0.012
0.783,-0.382,-0.0497,0.011
0.834,-0.382,-0.049,0.012
0.883,-0.3826,-0.049,0.012
0.933,-0.3828,-0.0499,0.01
0.982,-0.382,-0.0489,0.011
1.032,-0.3823,-0.0494,0.011
1.083,-0.3825,-0.0487,0.011
1.134,-0.3828,-0.0485,0.014
1.184,-0.3826,-0.0492,0.011
1.233,-0.3825,-0.0478,0.011
1.284,-0.3824,-0.0487,0.013
1.333,-0.3827,-0.0494,0.012
1.383,-0.3822,-0.0492,0.012
1.433,-0.3822,-0.0487,0.012
1.483,-0.3827,-0.0492,0.011
1.534,-0.3828,-0.0498,0.011
1.583,-0.3828,-0.0495,0.01
1.632,-0.3825,-0.0501,0.01
1.683,-0.3822,-0.0493,0.009
1.733,-0.3832,-0.0493,0.011
1.784,-0.3827,-0.049,0.01
1.833,-0.383,-0.0497,0.01
1.884,-0.3823,-0.0492,0.01
1.933,-0.3826,-0.0499,0.01
1.983,0.0,0.0,0.009
2.034,0.0002,-0.0,0.01
2.082,-0.0,-0.0003,0.009
2.132,0.0004,-0.0002,0.011
2.184,0.0003,0.0004,0.012
2.233,0.0003,-0.0017,0.011
2.282,-0.0003,-0.0007,0.01
2.333,0.0006,-0.0009,0.01
2.383,0.0003,-0.0014,0.011
2.433,0.0003,-0.001,0.014
2.484,0.0003,-0.0012,0.011
2.533,0.0005,0.0002,0.012
2.582,0.0,0.0012,0.01
2.632,0.0003,0.0001,0.011
2.683,-0.0008,-0.0009,0.01
2.733,0.0003,-0.0004,0.012
2.782,0.0,0.0002,0.011
2.833,-0.0003,-0.0012,0.009
2.884,0.0003,-0.0006,0.013
2.933,0.0,-0.0003,0.011
2.984,0.0005,-0.0003,0.011
3.033,0.0,0.0005,0.013
3.082,0.0002,0.0012,0.014
3.133,-0.0,-0.0007,0.011
3.183,0.0005,-0.0,0.011
3.233,-0.0003,-0.0,0.011
3.282,0.0002,0.0005,0.011
3.333,0.0002,-0.0009,0.01
3.383,-0.0003,0.0002,0.01
3.433,-0.0003,-0.0008,0.013
3.483,0.0004,0.0002,0.012
3.532,-0.0001,-0.0003,0.011
3.582,0.0002,-0.0003,0.011
3.632,0.0002,0.0007,0.012
3.683,-0.0003,-0.0007,0.012
3.732,-0.0001,-0.0002,0.013
3.783,-0.0001,0.0002,0.011
3.833,-0.0001,-0.0003,0.011
3.883,-0.0001,0.0011,0.013
3.932,-0.0001,-0.0007,0.011
3.983,-0.0001,-0.0003,0.012
4.032,-0.0001,0.0004,0.012
4.082,-0.0002,-0.0003,0.011
4.133,0.0,0.0001,0.011
4.183,0.0003,-0.0001,0.01
4.233,0.0003,0.0011,0.011
4.282,-0.0002,0.001,0.011
4.333,0.0001,0.0001,0.012
4.383,-0.0004,-0.001,0.011
4.432,0.0003,-0.0006,0.012
4.483,0.0003,-0.0003,0.011
4.533,0.0002,0.001,0.011
4.583,-0.0002,0.0005,0.011
4.632,0.0,-0.001,0.011
4.683,-0.0004,-0.0003,0.01
4.733,-0.0005,-0.0011,0.011
4.782,0.0002,0.0005,0.013
4.832,-0.0,-0.0008,0.011
4.883,0.0002,-0.0004,0.011
4.933,-0.0005,0.0006,0.011
4.982,-0.0003,-0.0006,0.01
5.033,0.0002,0.0004,0.009
5.082,-0.0003,0.0008,0.012
5.132,-0.0001,-0.0002,0.012
5.183,0.0001,-0.0011,0.009
5.233,-0.0001,-0.0007,0.011
5.283,-0.0001,0.0012,0.011
5.332,-0.0003,-0.0005,0.009
5.382,0.0001,-0.0005,0.011
5.433,-0.0002,0.0001,0.013
5.482,-0.0004,-0.0001,0.01
5.531,-0.0004,0.0001,0.009
5.581,-0.0004,0.0005,0.012
5.633,-0.0003,-0.0004,0.01
5.682,-0.0004,-0.0006,0.01
5.733,-0.0006,0.0001,0.01
5.782,-0.0004,0.0,0.011
5.832,0.0001,0.0,0.009
5.882,0.0001,-0.0009,0.013
5.932,0.0001,-0.0005,0.012
5.983,0.0001,-0.0003,0.01
6.032,-0.0001,-0.0017,0.012
6.082,-0.0001,0.0005,0.01
6.132,-0.0007,-0.002,0.012
6.182,0.0001,0.0004,0.012
6.233,-0.0008,-0.0017,0.012
6.282,0.0,-0.0003,0.011
6.332,0.0006,-0.0002,0.009
6.382,0.0008,0.0009,0.01
6.431,-0.0001,-0.002,0.008
6.482,0.0004,-0.0007,0.009
6.532,0.0018,0.005,0.01
6.581,0.0025,0.0087,0.009
6.631,0.0024,0.0066,0.009
6.683,0.005,0.0092,0.004
6.731,0.0079,0.0186,0.004
6.782,0.0108,0.0229,0.0
6.831,0.015,0.0266,0.0
6.881,0.0155,0.016,0.0
6.931,0.0177,0.0137,0.0
6.982,0.0089,0.0199,0.0
7.031,0.0027,0.0067,0.003
7.081,-0.014,-0.0008,0.011
7.132,-0.0271,-0.0136,0.024
7.181,-0.035,-0.0199,0.035
7.231,-0.0379,-0.0222,0.047
7.282,-0.0397,-0.025,0.057
7.331,-0.0358,-0.0276,0.065
7.381,-0.0269,-0.0266,0.077
7.431,-0.0175,-0.0236,0.083
7.481,-0.0073,-0.0195,0.089
7.531,0.0023,-0.0142,0.101
7.58,0.0112,-0.0079,0.109
7.631,0.0195,-0.0043,0.121
7.681,0.0266,0.0002,0.131
7.731,0.0323,0.0043,0.139
7.781,0.0363,0.0094,0.145
7.831,0.0389,0.0142,0.152
7.881,0.0395,0.0186,0.162
7.931,0.0381,0.0216,0.173
7.981,0.0343,0.0232,0.179
8.03,0.0297,0.0223,0.191
8.081,0.0246,0.0209,0.2
8.132,0.0187,0.0189,0.216
8.181,0.0123,0.0153,0.221
8.231,0.0069,0.0111,0.234
8.282,0.0014,0.0082,0.245
8.332,-0.003,0.0034,0.257
8.381,-0.0061,-0.0006,0.261
8.43,-0.0082,-0.004,0.262
8.481,-0.0096,-0.0068,0.263
8.531,-0.0092,-0.0087,0.271
8.581,-0.0093,-0.0112,0.275
8.63,-0.0095,-0.012,0.279
8.682,-0.01,-0.0086,0.283
8.73,-0.031,0.0092,0.289
8.781,-0.0283,0.0108,0.292
8.832,-0.0275,0.0127,0.296
8.881,-0.024,0.0164,0.299
8.932,-0.0194,0.0169,0.303
8.982,-0.0158,0.0178,0.304
9.031,-0.0098,0.0189,0.307
9.081,-0.0051,0.0181,0.309
9.132,0.0004,0.0182,0.314
9.18,0.0079,0.0172,0.314
9.232,0.0128,0.0174,0.312
9.281,0.0179,0.0163,0.315
9.33,0.0234,0.0155,0.315
9.381,0.0263,0.015,0.315
9.431,0.027,0.0153,0.315
9.481,0.0283,0.0152,0.316
9.531,0.0304,0.0169,0.319
9.581,0.0278,0.0201,0.318
9.632,0.0257,0.0236,0.321
9.681,0.024,0.0273,0.32
9.731,0.0215,0.0324,0.321
9.781,0.0186,0.035,0.321
9.831,0.0135,0.0417,0.324
9.88,0.0091,0.0442,0.323
9.931,0.0039,0.0475,0.324
9.98,0.001,0.0469,0.324
10.031,-0.0015,0.0479,0.327
10.081,-0.0035,0.0448,0.324
10.131,-0.0027,0.0431,0.325
10.181,-0.0044,0.0396,0.329
10.23,-0.0032,0.0346,0.33
10.28,-0.0014,0.0322,0.331
10.33,-0.0003,0.029,0.331
10.381,0.0034,0.0236,0.33
10.43,0.0044,0.0216,0.327
10.48,0.0067,0.0194,0.33
10.53,0.0123,0.0202,0.331
10.58,0.0164,0.0154,0.331
10.63,0.0196,0.0154,0.329
10.68,0.0218,0.0159,0.33
10.73,0.0231,0.0175,0.328
10.78,0.0239,0.0186,0.328
10.831,0.0246,0.022,0.331
10.881,0.0246,0.0263,0.33
10.93,0.021,0.0273,0.33
10.98,0.0205,0.0305,0.328
11.03,0.0171,0.0317,0.33
11.081,0.0155,0.0328,0.328
11.13,0.0126,0.0357,0.33
11.18,0.0094,0.0341,0.329
11.23,0.0088,0.03,0.327
11.28,0.0076,0.0297,0.329
11.33,0.0068,0.0265,0.332
11.38,0.009,0.0227,0.33
11.43,0.0078,0.0147,0.33
11.481,0.0112,0.0113,0.327
11.53,0.0127,0.0079,0.326
11.581,0.0155,0.0051,0.326
11.631,0.02,0.0005,0.329
11.683,0.0261,-0.0021,0.327
11.731,0.0301,-0.0053,0.325
11.78,0.0347,-0.0058,0.328
11.83,0.0385,-0.0081,0.326
11.88,0.042,-0.0057,0.325
11.93,0.0452,-0.0058,0.331
11.981,0.045,-0.002,0.323
12.03,0.0457,0.0008,0.324
12.08,0.0438,0.0042,0.326
12.129,0.0426,0.0087,0.326
12.179,0.0394,0.0148,0.327
12.23,0.0389,0.0178,0.325
12.279,0.0329,0.0223,0.326
12.33,0.0302,0.0262,0.329
12.38,0.0283,0.0263,0.326
12.43,0.0262,0.0262,0.325
12.48,0.0253,0.0269,0.322
12.529,0.0311,0.025,0.323
12.581,0.0354,0.0173,0.324
12.63,0.0416,0.0141,0.324
12.68,0.0506,0.0064,0.326
12.73,0.0558,0.0058,0.33
12.78,0.0648,0.0041,0.329
12.831,0.0731,0.0009,0.326
12.879,0.0774,0.0015,0.33
12.931,0.0821,0.0022,0.328
12.98,0.0861,0.0007,0.33
13.03,0.0923,0.0028,0.331
13.079,0.0965,0.0047,0.33
13.13,0.1004,0.0068,0.333
13.18,0.1028,0.0111,0.334
13.229,0.1059,0.0147,0.329
13.28,0.1087,0.0178,0.327
13.329,0.1107,0.0208,0.328
13.38,0.1139,0.0225,0.322
13.429,0.1149,0.0244,0.323
13.48,0.1174,0.026,0.323
