time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.243,,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678,0.34,,0.234,,,
0.247,,0.0015,-0.0015,0.013,1.29,-1.44,0.29,0.0,-0.0049,-0.0039,0.0021,0.678,0.34,,0.231,,,
0.251,,0.0033,-0.0013,0.013,1.29,-1.45,0.22,0.0,0.0053,-0.0023,-0.0053,0.68,0.34,,0.231,,,
0.255,,0.0027,-0.0018,0.016,1.29,-1.43,0.26,0.0,0.001,-0.0053,-0.0089,0.68,0.34,,0.227,,,
0.299,,0.0024,-0.0013,0.015,1.29,-1.45,0.27,0.0,-0.0007,-0.0027,-0.0022,0.679,0.337,,0.227,,,
0.339,,0.0022,-0.0013,0.015,1.3,-1.45,0.28,0.0,-0.0016,-0.0024,-0.0007,0.679,0.337,,0.231,,,
0.385,,0.0028,-0.0008,0.014,1.3,-1.47,0.24,0.0,0.0024,0.0001,0.0001,0.68,0.338,,0.231,,,
0.435,,0.0018,-0.0013,0.015,1.3,-1.44,0.29,0.0,-0.0041,-0.0032,-0.002,0.68,0.338,,0.231,,,
0.501,,0.0033,-0.0024,0.016,1.3,-1.38,0.23,0.0,0.0046,-0.0109,-0.0004,0.68,0.339,,0.231,,,
0.562,,0.0017,-0.0016,0.015,1.3,-1.42,0.3,0.0,-0.005,-0.0054,0.0031,0.68,0.339,,0.237,,,
0.595,,0.0033,-0.0012,0.016,1.3,-1.44,0.22,0.0,0.0047,-0.0031,0.0017,0.679,0.339,,0.237,,,
0.639,,0.0025,-0.0013,0.016,1.31,-1.44,0.26,0.0,-0.0003,-0.0037,0.0034,0.679,0.339,,0.234,,,
0.686,,0.0027,-0.0015,0.015,1.31,-1.43,0.25,0.0,0.0009,-0.0045,0.0042,0.679,0.337,,0.234,,,
0.737,,0.0027,-0.0015,0.015,1.31,-1.43,0.25,0.0,0.002,-0.0046,0.0018,0.679,0.337,,0.231,,,
0.785,,0.0033,-0.0017,0.018,1.31,-1.43,0.23,0.0,0.0056,-0.0059,0.0002,0.679,0.34,,0.231,,,
0.835,,0.0033,-0.0013,0.017,1.31,-1.45,0.24,0.0,0.005,-0.0035,0.0054,0.679,0.34,,0.235,,,
0.885,,0.0025,-0.0015,0.015,1.31,-1.44,0.28,0.0,-0.0001,-0.0047,0.0051,0.677,0.34,,0.235,,,
0.942,,0.0027,-0.0026,0.015,1.31,-1.39,0.27,0.0,0.0013,-0.0106,-0.0001,0.677,0.34,,0.228,,,
1.017,,0.0033,-0.0013,0.017,1.31,-1.46,0.24,0.0,0.0047,-0.0026,-0.0038,0.68,0.339,,0.228,,,
1.057,,0.0027,-0.0017,0.015,1.32,-1.43,0.28,0.0,0.0003,-0.0053,-0.0012,0.68,0.339,,0.236,,,
1.085,,0.0027,-0.0011,0.014,1.32,-1.47,0.28,0.0,0.0002,-0.001,-0.0041,0.679,0.338,,0.236,,,
1.135,,0.0027,-0.0008,0.015,1.32,-1.49,0.27,0.0,-0.0005,0.0012,-0.0074,0.679,0.338,,0.231,,,
1.216,,0.0029,-0.0008,0.014,1.32,-1.48,0.25,0.0,0.0008,0.0007,-0.006,0.68,0.339,,0.231,,,
1.267,,0.0034,-0.0012,0.014,1.32,-1.46,0.23,0.0,0.0033,-0.0017,-0.0069,0.68,0.339,,0.229,,,
1.3,,0.0025,-0.0008,0.017,1.32,-1.49,0.26,0.0,-0.0005,0.0004,-0.0068,0.682,0.341,,0.229,,,
1.355,,0.0025,-0.0016,0.016,1.32,-1.45,0.27,0.0,-0.0004,-0.0045,0.0005,0.682,0.341,,0.231,,,
1.386,,0.0019,-0.0022,0.015,1.33,-1.42,0.3,0.0,-0.0042,-0.008,0.0023,0.679,0.336,,0.231,,,
1.435,,0.0034,-0.0008,0.015,1.33,-1.49,0.23,0.0,0.0043,0.0,0.0007,0.679,0.336,,0.232,,,
1.498,,0.0034,-0.0016,0.015,1.33,-1.44,0.23,0.0,0.0045,-0.0047,-0.0004,0.68,0.34,,0.232,,,
1.55,,0.003,-0.0019,0.017,1.33,-1.43,0.26,0.0,0.0018,-0.0058,-0.0011,0.68,0.34,,0.231,,,
1.59,,0.0027,-0.0014,0.016,1.33,-1.45,0.26,0.0,0.0003,-0.0035,0.0032,0.68,0.338,,0.231,,,
1.635,,0.0034,-0.001,0.017,1.33,-1.47,0.24,0.0,0.0038,-0.0011,0.0025,0.68,0.338,,0.233,,,
1.685,,0.0034,-0.0012,0.016,1.33,-1.47,0.24,0.0,0.0032,-0.0018,0.0046,0.679,0.34,,0.233,,,
1.735,,0.0016,-0.0017,0.016,1.33,-1.44,0.32,0.0,-0.0065,-0.0046,0.0029,0.679,0.34,,0.229,,,
1.823,,0.0034,-0.0017,0.015,1.33,-1.45,0.24,0.0,0.0031,-0.0043,0.0007,0.682,0.341,,0.229,,,
1.85,,0.0034,-0.0017,0.014,1.34,-1.45,0.23,0.0,0.0032,-0.0042,-0.0027,0.682,0.341,,0.23,,,
1.885,,0.0027,-0.002,0.014,1.34,-1.44,0.26,0.0,0.0001,-0.0058,-0.0068,0.679,0.336,,0.23,,,
1.935,,0.0035,-0.002,0.016,1.34,-1.44,0.23,0.0,0.0041,-0.0054,-0.0084,0.679,0.336,,0.229,,,
1.985,,0.0018,-0.0013,0.016,1.34,-1.47,0.31,0.0,-0.0049,-0.0018,-0.0039,0.678,0.338,,0.229,,,
2.047,,0.0028,-0.002,0.016,1.34,-1.43,0.27,0.0,-0.0,-0.0054,-0.0012,0.678,0.338,,0.226,,,
2.09,,0.0035,-0.002,0.015,1.34,-1.44,0.24,0.0,0.0041,-0.0052,0.0008,0.679,0.343,,0.226,,,
2.138,,0.0015,-0.0016,0.015,1.35,-1.45,0.32,0.0,-0.006,-0.0031,-0.0004,0.679,0.343,,0.234,,,
2.187,,0.0025,-0.0026,0.016,1.35,-1.41,0.28,0.0,0.0,-0.008,-0.0012,0.68,0.335,,0.234,,,
2.235,,0.0018,-0.0018,0.015,1.35,-1.44,0.31,0.0,-0.0039,-0.003,0.001,0.68,0.335,,0.232,,,
2.285,,0.0018,-0.0022,0.017,1.35,-1.42,0.3,0.0,-0.0037,-0.006,-0.0008,0.68,0.339,,0.232,,,
2.363,,0.0016,-0.0013,0.016,1.35,-1.45,0.31,0.0,-0.0041,-0.0015,0.0024,0.68,0.339,,0.233,,,
2.394,,0.0016,-0.002,0.016,1.35,-1.42,0.32,0.0,-0.0036,-0.0047,0.0024,0.682,0.339,,0.233,,,
2.435,,0.0034,-0.0017,0.015,1.35,-1.43,0.25,0.0,0.0052,-0.0035,0.0016,0.682,0.339,,0.229,,,
