time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.244,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.422,,1.261,,,,,
0.247,,0.0007,0.0009,0.014,0.9,-0.33,0.51,0.0,-0.0048,0.0003,-0.0021,0.67,0.422,,1.257,,,,,
0.251,,0.0007,0.0003,0.014,0.9,-0.3,0.5,0.0,-0.004,-0.003,-0.0003,0.668,0.425,,1.257,,,,,
0.254,,0.0009,0.0013,0.013,0.9,-0.34,0.49,0.0,-0.0024,0.0024,-0.0042,0.668,0.425,,1.261,,,,,
0.318,,0.0017,0.0013,0.013,0.9,-0.34,0.45,0.0,0.0021,0.0022,-0.004,0.665,0.425,,1.261,,,,,
0.337,,0.0004,0.0002,0.014,0.9,-0.28,0.51,0.0,-0.0056,-0.0044,-0.0009,0.665,0.425,,1.256,,,,,
0.388,,-0.0001,0.0005,0.014,0.9,-0.3,0.53,0.0,-0.0078,-0.0022,0.0016,0.666,0.424,,1.256,,,,,
0.436,,0.0005,0.002,0.014,0.9,-0.37,0.5,0.0,-0.0038,0.0069,0.0004,0.666,0.424,,1.26,,,,,
0.486,,0.0017,0.0012,0.014,0.9,-0.33,0.46,0.0,0.0026,0.0015,0.0023,0.665,0.426,,1.26,,,,,
0.542,,0.0017,0.0009,0.013,0.9,-0.32,0.46,0.0,0.0022,0.0006,0.0013,0.665,0.426,,1.26,,,,,
0.594,,0.0018,0.002,0.013,0.9,-0.36,0.45,0.0,0.0033,0.0059,0.0006,0.669,0.421,2.468,1.26,,,,,
0.647,,-0.0002,0.0003,0.016,0.9,-0.28,0.54,0.0,-0.0084,-0.0042,0.0003,0.669,0.421,2.468,1.262,,,,,
0.689,,0.0012,0.0003,0.016,0.9,-0.28,0.47,0.0,0.0001,-0.0043,0.0074,0.664,0.427,,1.262,,,,,
0.754,,0.0014,0.0014,0.015,0.89,-0.32,0.47,0.0,0.0008,0.001,0.0109,0.664,0.427,,1.254,,,,,
0.785,,0.0008,0.0003,0.015,0.89,-0.28,0.49,0.0,-0.0025,-0.0051,0.0093,0.671,0.425,,1.254,,,,,
0.838,,0.0012,0.0005,0.011,0.89,-0.28,0.47,0.0,0.0004,-0.0041,0.0078,0.671,0.425,,1.254,,,,,
0.887,,0.0007,0.002,0.011,0.89,-0.36,0.48,0.0,-0.0018,0.0048,-0.0026,0.669,0.425,,1.254,,,,,
0.936,,-0.0003,0.0005,0.015,0.89,-0.29,0.53,0.0,-0.0076,-0.0037,-0.0039,0.669,0.425,,1.253,,,,,
0.985,,0.0012,0.001,0.015,0.89,-0.31,0.46,0.0,0.0011,-0.0012,0.0009,0.665,0.424,,1.253,,,,,
1.072,,0.0012,0.0006,0.013,0.89,-0.29,0.47,0.0,0.0013,-0.0034,-0.0011,0.665,0.424,,1.263,,,,,
1.102,,0.0011,0.002,0.013,0.89,-0.35,0.47,0.0,0.0009,0.0043,-0.0018,0.67,0.426,2.437,1.263,,,,,
1.144,,0.0014,0.0006,0.014,0.89,-0.28,0.47,0.0,0.0017,-0.0046,-0.0019,0.67,0.426,2.437,1.249,,,,,
1.202,,0.0018,0.0006,0.014,0.89,-0.28,0.46,0.0,0.0043,-0.0052,-0.0001,0.67,0.425,,1.249,,,,,
1.235,,0.0012,0.0003,0.012,0.89,-0.26,0.49,0.0,0.0004,-0.0068,-0.001,0.67,0.425,,1.261,,,,,
1.285,,0.0018,0.0003,0.012,0.89,-0.27,0.47,0.0,0.0036,-0.0062,-0.003,0.665,0.427,,1.261,,,,,
1.365,,0.0012,0.0003,0.013,0.89,-0.28,0.5,0.0,-0.0009,-0.0053,0.0006,0.665,0.427,,1.259,,,,,
1.411,,0.0005,0.0014,0.013,0.89,-0.32,0.53,0.0,-0.0047,0.0009,0.0,0.666,0.424,,1.259,,,,,
1.441,,0.0005,0.0011,0.015,0.89,-0.32,0.53,0.0,-0.0045,-0.0004,0.0018,0.666,0.424,,1.249,,,,,
1.497,,0.0013,0.0004,0.015,0.89,-0.28,0.49,0.0,0.0001,-0.0054,0.0052,0.672,0.426,2.464,1.249,,,,,
1.535,,0.0013,0.0003,0.013,0.89,-0.29,0.49,0.0,-0.0004,-0.005,0.0005,0.672,0.426,2.464,1.251,,,,,
1.586,,0.0009,0.0012,0.013,0.89,-0.33,0.51,0.0,-0.0031,-0.0003,0.0003,0.665,0.42,,1.251,,,,,
1.66,,0.0022,0.0003,0.015,0.89,-0.3,0.45,0.0,0.0039,-0.0043,0.0039,0.665,0.42,,1.258,,,,,
1.69,,0.0017,0.002,0.015,0.9,-0.38,0.47,0.0,0.001,0.0055,0.0062,0.663,0.425,,1.258,,,,,
1.752,,0.0019,0.0014,0.014,0.9,-0.34,0.46,0.0,0.0022,0.0013,0.0007,0.663,0.425,,1.25,,,,,
1.789,,0.0018,0.0004,0.014,0.9,-0.29,0.47,0.0,0.0011,-0.0049,0.0017,0.666,0.426,,1.25,,,,,
1.836,,0.0015,0.0012,0.015,0.89,-0.33,0.48,0.0,0.0005,-0.0003,-0.0002,0.666,0.426,,1.252,,,,,
1.885,,0.0009,0.002,0.015,0.89,-0.36,0.51,0.0,-0.003,0.0036,0.0031,0.669,0.427,,1.252,,,,,
1.949,,0.0017,0.002,0.014,0.89,-0.36,0.46,0.0,0.0018,0.004,0.0056,0.669,0.427,,1.261,,,,,
1.996,,0.0017,0.0004,0.014,0.89,-0.29,0.46,0.0,0.0021,-0.0054,0.0039,0.668,0.422,,1.261,,,,,
2.054,,0.0011,0.0003,0.015,0.9,-0.29,0.48,0.0,-0.0017,-0.0039,0.0028,0.668,0.422,,1.254,,,,,
2.087,,0.0009,0.0003,0.015,0.9,-0.29,0.49,0.0,-0.0024,-0.0034,0.0041,0.668,0.424,,1.254,,,,,
2.135,,0.0009,0.0006,0.013,0.9,-0.31,0.49,0.0,-0.0019,-0.0024,0.0018,0.668,0.424,,1.255,,,,,
2.185,,0.001,0.002,0.013,0.9,-0.37,0.47,0.0,-0.0009,0.0052,-0.002,0.67,0.425,2.471,1.255,,,,,
2.251,,0.0011,0.0004,0.011,0.9,-0.29,0.47,0.0,-0.0006,-0.0046,-0.0012,0.67,0.425,2.471,1.251,,,,,
2.29,,0.0019,0.0014,0.011,0.9,-0.33,0.44,0.0,0.0039,0.0014,-0.0067,0.669,0.426,,1.251,,,,,
2.344,,-0.0,0.0005,0.013,0.9,-0.3,0.53,0.0,-0.0074,-0.0034,-0.0058,0.669,0.426,,1.26,,,,,
2.388,,0.0002,0.0005,0.013,0.9,-0.3,0.51,0.0,-0.0059,-0.0038,-0.0037,0.664,0.426,,1.26,,,,,
2.435,,0.0008,0.0003,0.014,0.9,-0.29,0.48,0.0,-0.0023,-0.0039,-0.0041,0.664,0.426,,1.253,,,,,
2.485,,0.0006,0.002,0.014,0.9,-0.36,0.49,0.0,-0.0034,0.0054,0.0007,0.666,0.423,,1.253,,,,,
2.544,,-0.0,0.0005,0.016,0.9,-0.29,0.52,0.0,-0.0067,-0.0038,0.0041,0.666,0.423,,1.25,,,,,
2.606,,0.0014,0.0021,0.016,0.9,-0.36,0.44,0.0,0.0024,0.0045,0.0098,0.664,0.424,,1.25,,,,,
2.637,,0.001,0.0003,0.013,0.9,-0.29,0.46,0.0,-0.0002,-0.0052,0.0052,0.664,0.424,,1.253,,,,,
2.685,,0.0001,0.0005,0.013,0.9,-0.3,0.51,0.0,-0.0047,-0.0029,0.0018,0.67,0.423,2.439,1.253,,,,,
2.736,,0.0012,0.0003,0.013,0.9,-0.3,0.46,0.0,0.0015,-0.0036,-0.0048,0.67,0.423,2.439,1.258,,,,,
