time_s,state,x_m,y_m,z_down_m,edge_event,edge_x_m,edge_y_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,local_x_min_m,local_x_max_m,local_y_min_m,local_y_max_m
0.227,,0.0,0.0,0.015,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686,0.363,,0.206,,,,,,,
0.231,,0.7738,11.1567,0.017,,,,57.03,-1.37,0.22,0.0,-0.004,-0.0038,-0.0042,0.686,0.363,,0.206,,,,,,,
0.234,,0.7765,11.1572,0.016,,,,56.76,-1.29,0.13,0.0,0.011,-0.0005,-0.0021,0.686,0.362,,0.206,,,,,,,
0.242,,0.7753,11.1571,0.017,,,,56.48,-1.34,0.17,0.0,0.0099,-0.0008,-0.0029,0.686,0.362,,0.206,,,,,,,
0.297,,0.7737,11.1567,0.017,,,,56.21,-1.38,0.23,0.0,0.0001,-0.0012,-0.0012,0.688,0.364,,0.208,,,,,,,
0.336,,0.7737,11.1567,0.017,,,,55.94,-1.38,0.23,0.0,-0.0041,-0.0036,-0.0001,0.688,0.364,,0.208,,,,,,,
0.383,,0.775,11.1566,0.016,,,,55.67,-1.33,0.19,0.0,0.0029,-0.0027,0.001,0.684,0.364,,0.205,,,,,,,
0.436,,0.7737,11.1566,0.017,,,,55.4,-1.38,0.22,0.0,0.0105,-0.0008,-0.0011,0.684,0.364,,0.205,,,,,,,
0.494,,0.7749,11.157,0.016,,,,55.13,-1.34,0.19,0.0,0.0098,-0.0009,0.0,0.688,0.36,,0.203,,,,,,,
0.545,,0.7749,11.1582,0.017,,,,54.87,-1.38,0.16,0.0,-0.0021,-0.0032,-0.0017,0.688,0.36,,0.203,,,,,,,
0.582,,0.7737,11.1567,0.017,,,,54.6,-1.38,0.24,0.0,0.002,-0.0016,-0.0003,0.691,0.361,,0.204,,,,,,,
0.632,,0.7747,11.1572,0.016,,,,54.34,-1.37,0.2,0.0,-0.0044,-0.0038,0.0003,0.691,0.361,,0.204,,,,,,,
0.682,,0.7749,11.1574,0.016,,,,54.07,-1.37,0.19,0.0,-0.0043,-0.0042,-0.0017,0.689,0.366,,0.206,,,,,,,
0.731,,0.7738,11.1567,0.017,,,,53.81,-1.39,0.24,0.0,-0.0056,-0.003,-0.0032,0.689,0.366,,0.206,,,,,,,
0.782,,0.775,11.1572,0.018,,,,53.56,-1.36,0.18,0.0,0.0102,-0.0012,-0.0012,0.689,0.362,,0.207,,,,,,,
0.851,,0.7747,11.1569,0.02,,,,53.35,-1.37,0.21,0.0,-0.0054,-0.0017,0.003,0.689,0.362,,0.207,,,,,,,
0.895,,0.775,11.1572,0.017,,,,53.09,-1.37,0.2,0.0,0.0087,-0.0017,0.0088,0.688,0.367,,0.208,,,,,,,
0.932,,0.7738,11.1568,0.016,,,,52.83,-1.4,0.25,0.0,-0.0011,0.0002,0.0035,0.688,0.367,,0.208,,,,,,,
0.983,,0.7743,11.1567,0.017,,,,52.58,-1.38,0.24,0.0,-0.0007,-0.0029,-0.0018,0.687,0.368,,0.209,,,,,,,
1.03,,0.7738,11.1568,0.019,,,,52.32,-1.4,0.26,0.0,0.0,-0.0041,-0.0027,0.687,0.368,,0.209,,,,,,,
1.081,,0.7736,11.1567,0.015,,,,52.07,-1.4,0.25,0.0,0.0074,0.0014,0.0018,0.688,0.366,,0.208,,,,,,,
1.148,,0.7751,11.1569,0.016,,,,51.82,-1.35,0.21,0.0,-0.0056,-0.0033,-0.0056,0.688,0.366,,0.208,,,,,,,
1.193,,0.7751,11.1565,0.013,,,,51.57,-1.35,0.22,0.0,0.0027,-0.0034,-0.0072,0.686,0.364,,0.208,,,,,,,
1.232,,0.7738,11.1568,0.016,,,,51.32,-1.4,0.24,0.0,-0.006,-0.0041,-0.0138,0.686,0.364,,0.208,,,,,,,
1.284,,0.774,11.1569,0.017,,,,51.07,-1.4,0.23,0.0,-0.0046,-0.003,-0.01,0.688,0.363,,0.204,,,,,,,
1.333,,0.7749,11.157,0.016,,,,50.82,-1.37,0.2,0.0,-0.0053,-0.0029,-0.004,0.688,0.363,,0.204,,,,,,,
1.382,,0.7755,11.1569,0.015,,,,50.58,-1.34,0.19,0.0,0.0014,-0.0033,-0.0026,0.689,0.366,,0.209,,,,,,,
1.442,,0.7738,11.1568,0.016,,,,50.33,-1.4,0.24,0.0,-0.0007,-0.0016,-0.0036,0.689,0.366,,0.209,,,,,,,
1.49,,0.7736,11.1569,0.016,,,,50.09,-1.41,0.25,0.0,-0.0006,-0.0007,-0.0018,0.69,0.369,,0.204,,,,,,,
1.547,,0.7736,11.1569,0.015,,,,49.85,-1.4,0.25,0.0,-0.0075,-0.0027,-0.0004,0.69,0.369,,0.204,,,,,,,
1.583,,0.775,11.1566,0.014,,,,49.6,-1.34,0.21,0.0,0.0002,-0.0029,-0.0026,0.69,0.366,,0.209,,,,,,,
1.631,,0.7757,11.1567,0.017,,,,49.36,-1.32,0.19,0.0,-0.0062,-0.0023,-0.0058,0.69,0.366,,0.209,,,,,,,
1.682,,0.7767,11.1567,0.017,,,,49.12,-1.28,0.15,0.0,-0.006,-0.0021,-0.0004,0.684,0.367,,0.209,,,,,,,
1.742,,0.7751,11.1568,0.015,,,,48.89,-1.34,0.2,0.0,0.0011,-0.0012,0.0023,0.684,0.367,,0.209,,,,,,,
1.795,,0.7764,11.1569,0.016,,,,48.65,-1.3,0.16,0.0,-0.0053,-0.003,-0.0007,0.687,0.366,,0.21,,,,,,,
1.831,,0.7739,11.1568,0.017,,,,48.41,-1.38,0.24,0.0,-0.0057,-0.0035,-0.0004,0.687,0.366,,0.21,,,,,,,
1.881,,0.775,11.1567,0.017,,,,48.18,-1.34,0.2,0.0,0.001,-0.0046,0.0022,0.683,0.366,,0.204,,,,,,,
1.932,,0.7738,11.1568,0.015,,,,47.94,-1.38,0.23,0.0,0.0021,-0.0045,0.0034,0.683,0.366,,0.204,,,,,,,
1.982,,0.7743,11.1564,0.017,,,,47.71,-1.35,0.22,0.0,0.0096,-0.003,-0.0001,0.686,0.366,,0.21,,,,,,,
2.035,,0.7764,11.1569,0.016,,,,47.47,-1.31,0.15,0.0,0.0008,-0.0038,0.0018,0.686,0.366,,0.21,,,,,,,
2.091,,0.7751,11.1568,0.016,,,,47.25,-1.36,0.19,0.0,0.0089,-0.0036,-0.0005,0.687,0.367,,0.208,,,,,,,
2.133,,0.7752,11.1581,0.017,,,,47.01,-1.41,0.16,0.0,0.0002,-0.0016,-0.0011,0.687,0.367,,0.208,,,,,,,
2.183,,0.7753,11.1566,0.017,,,,46.78,-1.35,0.21,0.0,-0.0001,-0.0033,0.0004,0.684,0.365,,0.207,,,,,,,
2.231,,0.7753,11.1566,0.016,,,,46.56,-1.34,0.2,0.0,0.0001,-0.0047,0.0011,0.684,0.365,,0.207,,,,,,,
2.322,,0.7746,11.1569,0.016,,,,46.33,-1.37,0.21,0.0,-0.0006,-0.002,-0.0013,0.69,0.368,,0.204,,,,,,,
2.351,,0.7766,11.1566,0.016,,,,46.1,-1.3,0.16,0.0,-0.0065,-0.0032,-0.0027,0.69,0.368,,0.204,,,,,,,
2.386,,0.7747,11.1563,0.015,,,,45.88,-1.35,0.23,0.0,-0.0012,-0.0043,-0.0034,0.686,0.367,,0.21,,,,,,,
2.431,,0.7752,11.1571,0.014,,,,45.66,-1.36,0.19,0.0,-0.0042,-0.0044,-0.0055,0.686,0.367,,0.21,,,,,,,
2.482,,-0.0,-0.0,0.017,,,,-0.0,0.02,-0.0,0.0,0.0008,-0.0086,-0.0003,0.687,0.367,,0.205,,,,,,,
