time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.234,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342,,,0.235,
0.238,-0.0007,0.0007,0.009,-0.09,-1.47,0.14,0.0,-0.0049,0.0051,0.0023,1.342,,,0.234,
0.242,0.0004,-0.0002,0.01,-0.09,-1.43,0.1,0.0,0.001,-0.0003,-0.0019,1.341,,,0.234,
0.247,-0.0008,-0.0011,0.011,-0.09,-1.38,0.15,0.0,-0.0048,-0.0051,-0.0023,1.341,,,0.233,
0.295,0.0011,-0.0014,0.011,-0.09,-1.37,0.06,0.0,0.0055,-0.006,0.0005,1.338,,,0.233,
0.329,-0.0003,-0.0004,0.01,-0.09,-1.42,0.13,0.0,-0.0026,-0.0009,0.0013,1.338,,,0.232,
0.384,-0.0008,-0.0007,0.009,-0.09,-1.4,0.14,0.0,-0.0051,-0.0023,-0.0012,1.336,,,0.232,
0.438,-0.0003,-0.0004,0.01,-0.09,-1.41,0.11,0.0,-0.0023,-0.0015,-0.0046,1.336,,,0.235,
0.482,-0.0003,-0.0002,0.01,-0.09,-1.42,0.11,0.0,-0.0019,-0.0006,-0.0033,1.344,,,0.235,
0.537,-0.0003,-0.0002,0.011,-0.1,-1.41,0.1,0.0,-0.0009,-0.0008,-0.0026,1.344,,,0.233,
0.579,0.0002,-0.0002,0.01,-0.1,-1.41,0.08,0.0,0.0023,-0.0011,0.0003,1.335,,,0.233,
0.628,-0.0007,0.0007,0.011,-0.1,-1.45,0.12,0.0,-0.0026,0.0041,-0.0001,1.335,,,0.234,
0.679,-0.0007,-0.0002,0.01,-0.1,-1.41,0.12,0.0,-0.0026,-0.001,0.0017,1.338,,,0.234,
0.731,-0.0003,-0.0006,0.009,-0.1,-1.39,0.1,0.0,-0.0003,-0.0035,0.0003,1.338,,,0.232,
0.779,0.0001,0.0007,0.01,-0.11,-1.45,0.08,0.0,0.0022,0.0036,-0.0036,1.341,,,0.232,
0.856,0.0003,-0.0011,0.01,-0.11,-1.37,0.07,0.0,0.0035,-0.0059,-0.0027,1.341,,2.447,0.231,
0.882,-0.0001,-0.0011,0.013,-0.11,-1.37,0.1,0.0,0.001,-0.0059,-0.0022,1.339,,2.447,0.231,
0.928,0.0001,-0.0002,0.01,-0.11,-1.41,0.09,0.0,0.0022,-0.0015,0.0041,1.339,,,0.234,
0.979,0.0003,-0.0004,0.011,-0.11,-1.4,0.08,0.0,0.0033,-0.003,0.0006,1.341,,,0.234,
1.03,0.0009,-0.0012,0.011,-0.11,-1.37,0.06,0.0,0.0064,-0.0075,0.0012,1.341,,,0.232,
1.078,-0.0007,-0.0004,0.009,-0.11,-1.41,0.13,0.0,-0.0034,-0.0023,0.0013,1.339,,,0.232,
1.153,-0.0008,-0.0002,0.01,-0.11,-1.43,0.13,0.0,-0.0033,-0.0008,-0.0032,1.339,,,0.233,
1.213,0.0001,-0.0013,0.011,-0.11,-1.38,0.1,0.0,0.0015,-0.0065,-0.0033,1.338,,,0.233,
1.233,0.0003,-0.0005,0.01,-0.11,-1.43,0.09,0.0,0.0017,-0.0011,-0.0012,1.338,,,0.236,
1.278,-0.0004,-0.0007,0.012,-0.11,-1.41,0.13,0.0,-0.0026,-0.0022,-0.0022,1.337,,,0.236,
1.329,0.0001,-0.0012,0.01,-0.11,-1.39,0.1,0.0,0.0007,-0.0049,0.002,1.337,,,0.231,
1.38,0.0001,-0.0013,0.01,-0.11,-1.39,0.1,0.0,0.0008,-0.0049,-0.0009,1.343,,,0.231,
1.45,-0.0009,0.0007,0.01,-0.12,-1.48,0.14,0.0,-0.0045,0.0062,-0.0021,1.343,,,0.229,
1.484,0.001,-0.0012,0.011,-0.12,-1.4,0.07,0.0,0.0053,-0.004,-0.0021,1.337,,,0.229,
1.528,-0.0008,0.0001,0.01,-0.12,-1.44,0.14,0.0,-0.0043,0.0027,0.0001,1.337,,,0.236,
1.579,0.0009,-0.0011,0.011,-0.12,-1.39,0.06,0.0,0.0053,-0.0044,-0.0008,1.336,,,0.236,
1.629,0.0001,-0.0013,0.011,-0.12,-1.38,0.1,0.0,0.0002,-0.0052,0.0011,1.336,,,0.231,
1.679,-0.0007,-0.0001,0.009,-0.12,-1.43,0.13,0.0,-0.0039,0.0019,0.0022,1.341,,,0.231,
1.745,0.0001,-0.0012,0.011,-0.12,-1.38,0.09,0.0,0.001,-0.0042,-0.0019,1.341,,,0.235,
1.786,0.0001,-0.0012,0.011,-0.12,-1.38,0.1,0.0,0.0012,-0.0041,-0.0002,1.342,,,0.235,
1.828,-0.0008,0.0006,0.013,-0.12,-1.46,0.15,0.0,-0.0044,0.0053,0.0005,1.342,,,0.232,
1.879,0.0009,-0.0007,0.011,-0.12,-1.4,0.06,0.0,0.0058,-0.0018,0.006,1.344,,,0.232,
1.93,-0.0008,-0.0007,0.01,-0.12,-1.4,0.14,0.0,-0.0042,-0.0018,0.0031,1.344,,,0.231,
1.98,-0.0002,-0.0007,0.011,-0.12,-1.39,0.11,0.0,-0.0005,-0.002,-0.0018,1.335,,,0.231,
2.037,-0.0006,-0.0001,0.011,-0.12,-1.42,0.13,0.0,-0.0026,0.0015,-0.0018,1.335,,,0.235,
2.084,-0.0008,-0.0005,0.011,-0.12,-1.39,0.14,0.0,-0.003,-0.0008,-0.0023,1.34,,,0.235,
2.13,-0.0002,-0.0005,0.01,-0.12,-1.39,0.11,0.0,0.0008,-0.0014,-0.0025,1.34,,,0.234,
2.18,-0.0002,-0.0005,0.01,-0.13,-1.39,0.11,0.0,0.0003,-0.0016,-0.0045,1.345,,,0.234,
2.228,-0.0002,-0.0014,0.01,-0.13,-1.35,0.1,0.0,0.0005,-0.0062,-0.0052,1.345,,,0.238,
2.279,-0.0006,0.0001,0.01,-0.12,-1.42,0.12,0.0,-0.0017,0.0018,-0.0046,1.342,,,0.238,
2.353,-0.0002,-0.0004,0.009,-0.13,-1.4,0.11,0.0,0.0002,-0.0007,-0.0043,1.342,,,0.233,
2.384,0.0009,-0.0014,0.012,-0.13,-1.35,0.07,0.0,0.0068,-0.0072,-0.0057,1.34,,,0.233,
2.428,0.0008,-0.0012,0.01,-0.13,-1.36,0.08,0.0,0.0061,-0.0062,0.0008,1.34,,,0.234,
2.479,0.0,-0.0,0.012,-0.0,-0.0,-0.02,0.0,0.0024,-0.0019,0.0,1.34,,,0.234,
2.529,0.0002,-0.0006,0.009,-0.0,-0.0,0.02,0.0,0.0042,-0.0184,-0.0007,1.34,,,0.233,
2.611,0.0009,-0.0012,0.01,-0.0,-0.24,-0.21,0.0,0.0118,-0.0219,-0.0032,1.345,,,0.233,
2.654,0.0012,-0.0018,0.012,-0.01,-0.41,-0.16,0.0,0.0115,-0.0248,-0.0036,1.345,,,0.235,
2.681,-0.0002,-0.0004,0.012,-0.01,-1.06,0.28,0.0,-0.0054,-0.0065,0.0008,1.346,,,0.235,
2.729,-0.0002,-0.0013,0.01,-0.01,-1.0,0.25,0.0,-0.0051,-0.0137,0.0033,1.346,,,0.236,
2.779,0.0004,-0.001,0.012,-0.01,-1.19,0.16,0.0,-0.0004,-0.0086,-0.0006,1.336,,,0.236,
2.829,0.0004,-0.0013,0.011,-0.01,-1.2,0.16,0.0,-0.0011,-0.01,0.0021,1.336,,,0.231,
2.902,-0.0004,-0.001,0.011,-0.01,-1.3,0.25,0.0,-0.0065,-0.0059,0.0011,1.342,,,0.231,
2.936,-0.0005,0.0003,0.013,-0.01,-1.44,0.23,0.0,-0.0063,0.0029,0.0003,1.342,,,0.231,
2.982,0.0006,-0.001,0.011,-0.01,-1.34,0.13,0.0,0.0009,-0.0055,0.0041,1.341,,,0.231,
3.029,-0.0004,-0.0007,0.011,-0.01,-1.38,0.2,0.0,-0.0053,-0.0037,0.0016,1.341,,,0.235,
3.078,0.0001,-0.0007,0.01,-0.01,-1.39,0.16,0.0,-0.0017,-0.0034,-0.0004,1.347,,,0.235,
3.128,0.0006,-0.0009,0.011,-0.01,-1.39,0.13,0.0,0.0008,-0.004,-0.0033,1.347,,,0.238,
3.193,0.0004,-0.0013,0.01,-0.01,-1.37,0.14,0.0,-0.0006,-0.006,-0.0024,1.343,,,0.238,
3.24,0.0004,-0.0008,0.012,-0.01,-1.41,0.14,0.0,-0.0009,-0.0029,-0.0042,1.343,,,0.239,
3.279,0.0009,-0.0015,0.012,-0.02,-1.38,0.12,0.0,0.0012,-0.0061,-0.0001,1.346,,,0.239,
3.328,-0.0003,-0.0003,0.012,-0.02,-1.44,0.18,0.0,-0.0054,0.001,0.0017,1.346,,,0.233,
3.379,0.0006,-0.0005,0.011,-0.02,-1.43,0.12,0.0,0.0006,-0.0,0.003,1.34,,,0.233,
3.429,0.0016,-0.0014,0.011,-0.02,-1.38,0.08,0.0,0.0053,-0.0054,0.001,1.34,,,0.235,
3.484,0.0016,-0.0015,0.012,-0.02,-1.39,0.08,0.0,0.0053,-0.0057,-0.0001,1.34,,,0.235,
3.535,0.0016,-0.0017,0.01,-0.02,-1.37,0.09,0.0,0.0043,-0.0069,0.0011,1.34,,,0.236,
3.578,-0.0001,-0.0005,0.011,-0.03,-1.43,0.17,0.0,-0.0044,-0.0002,-0.0033,1.342,,,0.236,
3.628,0.0002,-0.0014,0.008,-0.03,-1.39,0.15,0.0,-0.0026,-0.0054,-0.0029,1.342,,,0.236,
3.679,0.0006,-0.0005,0.011,-0.03,-1.43,0.12,0.0,0.0002,0.0003,-0.0096,1.341,,,0.236,
3.738,0.0006,-0.0007,0.013,-0.03,-1.42,0.13,0.0,-0.0002,-0.0015,-0.0055,1.341,,,0.232,
3.806,0.0002,-0.0007,0.013,-0.03,-1.42,0.14,0.0,-0.002,-0.0013,0.0035,1.343,,,0.232,
3.836,-0.0003,-0.0007,0.01,-0.03,-1.42,0.16,0.0,-0.005,-0.001,0.0075,1.343,,2.474,0.235,
3.88,0.0006,-0.0013,0.009,-0.03,-1.38,0.11,0.0,0.0006,-0.0051,0.0008,1.339,,2.474,0.235,
