time_s,x_m,y_m,z_down_m,vx_ms,vy_ms,vz_ms
0.076,0.0,0.0,0.012,0.0,0.0,0.0
0.126,0.0716,-1.9825,0.008,-0.0032,-0.0055,0.0087
0.175,0.072,-1.9812,0.008,-0.0011,0.002,-0.0011
0.227,0.0712,-1.9827,0.011,-0.0054,-0.0069,-0.0011
0.276,0.0725,-1.981,0.011,0.0019,0.003,0.0036
0.326,0.0726,-1.9807,0.01,0.0021,0.0038,0.0039
0.377,0.0724,-1.9805,0.01,0.002,0.0055,0.0034
0.427,0.0724,-1.9814,0.011,0.0016,0.0006,0.0039
0.477,0.0731,-1.9813,0.011,0.0056,0.0011,0.0011
0.526,0.0714,-1.9825,0.012,-0.0045,-0.0061,0.0016
0.576,0.0721,-1.9808,0.012,0.0,0.0037,0.0019
0.626,0.0715,-1.9815,0.011,-0.0041,-0.0005,0.002
0.676,0.0719,-1.9816,0.011,-0.001,-0.001,0.0014
0.728,0.0713,-1.981,0.011,-0.0038,0.0022,0.0015
0.776,0.0715,-1.9811,0.011,-0.002,0.0017,0.0005
0.826,0.0733,-1.982,0.011,0.0084,-0.0046,0.0004
0.876,0.0725,-1.9792,0.011,0.0036,0.0097,0.003
0.926,0.0717,-1.9769,0.012,-0.0011,0.0204,0.0038
0.975,0.0724,-1.9777,0.012,0.0031,0.0146,0.0092
1.025,0.0719,-1.9771,0.01,-0.0001,0.0167,0.0092
1.075,0.0726,-1.9789,0.01,0.0033,0.0038,0.0008
1.127,0.0714,-1.9789,0.01,-0.0042,0.003,0.0009
1.175,0.0703,-1.9819,0.01,-0.0111,-0.0161,-0.0014
1.225,0.0695,-1.98,0.01,-0.0133,-0.0009,-0.0004
1.276,0.0703,-1.9813,0.01,-0.0046,-0.0074,-0.0046
1.326,0.0701,-1.9813,0.012,-0.0042,-0.0053,-0.0042
1.376,0.0705,-1.9815,0.012,-0.0007,-0.0045,0.0052
1.426,0.0691,-1.9818,0.012,-0.0088,-0.005,0.005
1.476,0.0703,-1.9814,0.012,-0.0001,-0.0018,0.0037
1.526,0.0694,-1.9808,0.011,-0.0057,0.0028,0.0043
1.575,0.0701,-1.9812,0.011,-0.0,0.0001,0.0004
1.625,0.0696,-1.9813,0.009,-0.0017,0.0006,0.0008
1.675,0.0719,-1.981,0.009,0.0113,0.0005,-0.0034
1.726,0.0705,-1.9804,0.01,0.0017,0.0041,-0.0031
1.775,0.0703,-1.9804,0.01,0.0004,0.0044,-0.0016
1.826,0.0707,-1.9797,0.01,0.0021,0.0085,-0.0011
1.876,0.0711,-1.981,0.01,0.0036,0.0004,0.0006
