time_s,x_m,y_m,z_down_m
0.238,1.5307,0.3421,0.011
0.242,1.5309,0.3414,0.012
0.324,1.5302,0.3421,0.011
0.426,1.5312,0.3412,0.012
0.54,1.5307,0.3416,0.011
0.625,1.5293,0.3423,0.01
0.724,1.5307,0.3416,0.01
0.824,1.5296,0.3427,0.011
0.972,1.5313,0.3421,0.012
1.024,1.5313,0.3416,0.009
1.124,1.5313,0.3414,0.011
1.249,1.5304,0.3421,0.011
1.325,1.5323,0.3406,0.013
1.425,1.5323,0.3395,0.011
1.546,1.5323,0.3401,0.01
1.625,1.5323,0.3401,0.012
1.724,1.5316,0.3405,0.011
1.838,1.5323,0.3401,0.011
1.924,1.5323,0.3394,0.012
2.025,1.5323,0.3399,0.013
2.132,1.5329,0.3386,0.011
2.224,1.5323,0.3391,0.011
2.357,1.5323,0.3406,0.011
2.426,1.5308,0.341,0.013
2.525,1.5322,0.3395,0.011
2.645,1.5322,0.3406,0.009
2.724,1.5322,0.3404,0.013
2.824,1.5322,0.34,0.01
2.937,1.5322,0.3402,0.011
3.025,-0.0001,0.0001,0.011
3.124,-0.0,0.0005,0.012
3.224,0.0002,0.0009,0.011
3.324,-0.0,-0.0003,0.011
3.424,0.0,-0.0001,0.011
3.549,0.0001,0.0009,0.011
3.624,0.0001,0.0,0.011
3.724,0.0001,0.0008,0.012
3.834,0.0003,0.0,0.01
3.924,0.0,-0.0002,0.012
4.025,0.0,-0.0008,0.012
4.133,0.0,-0.0,0.01
4.224,0.001,-0.0045,0.012
4.323,0.0006,-0.0061,0.012
4.427,0.0011,-0.0052,0.012
4.525,0.0011,-0.005,0.011
4.663,-0.0,-0.0044,0.012
4.723,-0.0026,-0.0044,0.014
4.824,-0.0025,-0.0067,0.011
4.95,-0.0024,-0.0073,0.012
5.023,-0.0024,-0.0079,0.011
5.123,-0.0024,-0.0066,0.011
5.238,-0.0024,-0.0071,0.011
5.323,-0.0028,-0.0067,0.011
5.424,-0.0022,-0.0066,0.013
5.525,-0.0013,-0.0076,0.011
5.633,-0.0025,-0.0073,0.011
5.723,-0.0025,-0.0073,0.011
5.845,-0.0027,-0.0067,0.011
5.923,-0.0025,-0.0067,0.011
6.023,-0.0032,-0.0066,0.012
6.137,-0.0025,-0.0073,0.01
6.223,-0.0025,-0.0066,0.011
6.323,-0.0025,-0.0073,0.01
6.426,-0.0023,-0.0071,0.011
6.522,-0.0029,-0.0066,0.011
6.623,-0.0023,-0.0075,0.012
6.733,-0.0021,-0.0066,0.011
6.825,-0.0025,-0.0075,0.009
6.942,-0.0027,-0.0066,0.013
7.023,-0.0025,-0.0068,0.011
7.123,-0.0025,-0.0075,0.011
7.251,-0.0025,-0.0068,0.011
7.322,-0.0025,-0.0065,0.012
7.422,-0.0025,-0.0068,0.011
7.54,-0.0025,-0.0068,0.012
7.622,-0.0045,-0.0066,0.012
7.723,-0.0031,-0.0066,0.013
7.828,0.0005,-0.0092,0.011
7.922,0.0005,-0.0097,0.01
8.022,-0.0,-0.0097,0.01
8.144,0.0018,-0.0112,0.011
8.223,0.0017,-0.0112,0.01
8.322,0.0016,-0.0107,0.011
8.448,0.0041,-0.0107,0.008
8.521,0.0061,-0.0073,0.008
8.621,0.0066,-0.0058,0.009
8.726,0.0088,-0.0072,0.009
8.822,0.0121,-0.0052,0.008
8.923,0.0114,0.002,0.008
9.03,0.0309,-0.0034,0.0
9.122,0.0323,-0.0149,0.0
9.222,-0.0047,-0.0346,0.005
9.331,-0.0232,-0.0353,0.03
9.422,-0.0302,-0.0321,0.058
9.554,-0.0406,-0.0138,0.082
9.622,-0.036,-0.0037,0.096
9.722,-0.0271,0.0042,0.105
9.843,-0.0161,0.0031,0.122
9.922,-0.0018,-0.0033,0.134
10.022,0.0108,-0.0137,0.15
10.133,0.0179,-0.0244,0.17
10.222,0.0207,-0.0332,0.185
10.322,0.0201,-0.037,0.204
10.422,0.0118,-0.0355,0.217
10.521,0.0056,-0.0313,0.234
10.622,0.0008,-0.0231,0.246
10.751,0.0,-0.0148,0.254
10.822,-0.001,-0.0079,0.261
10.922,0.0014,-0.0056,0.268
11.025,0.0071,-0.0107,0.276
11.121,0.0111,-0.0182,0.286
11.222,0.0138,-0.0243,0.294
11.341,0.0146,-0.0305,0.304
11.421,0.0127,-0.0315,0.306
11.523,0.0107,-0.028,0.309
11.654,0.0092,-0.0192,0.313
11.731,0.0115,-0.0106,0.316
11.821,0.0141,0.0003,0.323
11.953,0.0157,0.0046,0.328
12.021,0.0227,0.0022,0.331
12.121,0.0276,-0.0008,0.33
12.233,0.0266,-0.0123,0.335
12.327,0.0277,-0.0232,0.336
12.422,0.0234,-0.0317,0.341
12.52,0.015,-0.0366,0.34
12.629,0.007,-0.032,0.34
12.721,0.0039,-0.0233,0.339
12.82,0.0002,-0.0127,0.341
12.927,0.0027,-0.0023,0.337
13.022,0.01,0.0098,0.337
13.121,0.0168,0.0192,0.334
13.22,0.025,0.0224,0.333
13.32,0.0293,0.0205,0.333
13.42,0.0296,0.013,0.332
13.534,0.025,0.0009,0.334
13.62,0.0195,-0.0058,0.334
13.721,0.0104,-0.008,0.336
13.847,0.0048,-0.0063,0.337
13.921,0.0005,-0.0034,0.336
14.022,-0.0035,0.0017,0.334
14.161,-0.0015,0.0081,0.338
14.22,0.0037,0.0161,0.34
14.321,0.0071,0.0202,0.343
14.421,0.0112,0.0218,0.342
14.522,0.0161,0.0184,0.34
14.62,0.0121,0.0098,0.342
14.72,0.0047,0.0031,0.34
14.822,-0.0091,-0.0018,0.34
14.92,-0.0206,-0.0034,0.339
15.02,-0.0275,-0.0068,0.341
15.123,-0.0355,-0.0109,0.336
15.221,-0.0365,-0.0132,0.335
15.32,-0.0303,-0.013,0.331
15.421,-0.0211,-0.0018,0.329
15.52,-0.0161,0.002,0.325
15.62,-0.0102,0.0068,0.326
15.734,-0.0099,0.0103,0.32
15.82,-0.0162,0.0109,0.314
15.921,-0.0257,0.0057,0.316
16.044,-0.0339,0.0022,0.313
16.12,-0.0404,-0.0058,0.314
16.22,-0.0407,-0.0154,0.316
16.356,-0.0368,-0.0196,0.318
16.419,-0.03,-0.0198,0.318
16.52,-0.0215,-0.0174,0.313
16.65,-0.01,-0.0139,0.313
