time_s,state,x_m,y_m,z_down_m,edge_event,edge_x_m,edge_y_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,local_x_min_m,local_x_max_m,local_y_min_m,local_y_max_m
0.233,,0.0,0.0,0.017,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.421,1.05,0.221,,,,,,,
0.236,,9.7842,-12.6299,0.017,,,,-9.32,-1.38,0.3,0.0,0.0,0.0,0.0,0.69,0.411,1.047,0.222,,,,,,,
0.238,,9.7862,-12.629,0.017,,,,-9.27,-1.43,0.21,0.0,0.0,0.0,0.0,0.69,0.411,1.047,0.222,,,,,,,
0.241,,9.7861,-12.6294,0.017,,,,-9.23,-1.42,0.21,0.0,0.0,0.0,0.0,0.695,0.421,1.046,0.224,,,,,,,
0.276,,9.7851,-12.6296,0.016,,,,-9.19,-1.4,0.25,0.0,0.0,0.0,0.0,0.695,0.421,1.046,0.224,,,,,,,
0.327,,9.7853,-12.6289,0.016,,,,-9.16,-1.43,0.24,0.0,-0.0012,0.0006,-0.0052,0.691,0.414,1.049,0.22,,,,,,,
0.376,,9.7849,-12.6295,0.02,,,,-9.12,-1.4,0.25,0.0,-0.0023,-0.003,-0.0065,0.691,0.414,1.049,0.22,,,,,,,
0.433,,9.7852,-12.6295,0.02,,,,-9.07,-1.4,0.24,0.0,-0.0006,-0.003,0.0018,0.69,0.42,1.042,0.218,,,,,,,
0.494,,9.7852,-12.6293,0.013,,,,-9.03,-1.41,0.24,0.0,-0.0,-0.0016,-0.0022,0.69,0.42,1.042,0.218,,,,,,,
0.534,,9.7859,-12.6295,0.013,,,,-8.99,-1.41,0.21,0.0,0.0035,-0.0027,-0.0098,0.693,0.412,1.037,0.22,,,,,,,
0.576,,9.7859,-12.6292,0.015,,,,-8.95,-1.42,0.21,0.0,0.0037,-0.0011,-0.0029,0.693,0.412,1.037,0.22,,,,,,,
0.626,,9.7858,-12.6296,0.015,,,,-8.91,-1.4,0.2,0.0,0.0045,-0.0038,-0.0048,0.691,0.419,1.043,0.225,,,,,,,
0.676,,9.7847,-12.6293,0.017,,,,-8.87,-1.41,0.25,0.0,-0.0007,-0.0016,-0.0019,0.691,0.419,1.043,0.225,,,,,,,
0.726,,9.784,-12.6296,0.017,,,,-8.83,-1.39,0.28,0.0,-0.0046,-0.0034,-0.0007,0.697,0.414,1.04,0.225,,,,,,,
0.776,,9.7857,-12.6301,0.016,,,,-8.8,-1.38,0.22,0.0,0.0043,-0.0058,-0.0017,0.697,0.414,1.04,0.225,,,,,,,
0.84,,9.785,-12.6289,0.016,,,,-8.75,-1.43,0.25,0.0,0.0005,0.0001,-0.0022,0.697,0.42,1.043,0.215,,,,,,,
0.896,,9.785,-12.6288,0.018,,,,-8.72,-1.42,0.26,0.0,0.0001,0.0001,0.0022,0.697,0.42,1.043,0.215,,,,,,,
0.935,,9.7849,-12.629,0.018,,,,-8.68,-1.41,0.27,0.0,-0.0007,-0.0014,0.0042,0.69,0.412,1.042,0.222,,,,,,,
0.978,,9.7853,-12.6291,0.016,,,,-8.64,-1.42,0.25,0.0,0.0012,-0.0012,0.0051,0.69,0.412,1.042,0.222,,,,,,,
1.026,,9.785,-12.6299,0.016,,,,-8.6,-1.38,0.26,0.0,-0.0014,-0.005,0.0005,0.698,0.42,1.049,0.217,,,,,,,
1.076,,9.7851,-12.628,0.017,,,,-8.56,-1.46,0.27,0.0,-0.0017,0.0052,0.0062,0.698,0.42,1.049,0.217,,,,,,,
1.162,,9.7839,-12.6295,0.017,,,,-8.52,-1.38,0.31,0.0,-0.0072,-0.0038,0.0028,0.693,0.411,1.045,0.221,,,,,,,
1.184,,9.7858,-12.6285,0.017,,,,-8.48,-1.44,0.23,0.0,0.0025,0.0018,-0.0026,0.693,0.411,1.045,0.221,,,,,,,
1.226,,9.7841,-12.6294,0.017,,,,-8.44,-1.4,0.29,0.0,-0.0059,-0.0026,-0.0029,0.696,0.419,1.058,0.223,,,,,,,
1.276,,9.7851,-12.6291,0.017,,,,-8.41,-1.41,0.25,0.0,0.0002,-0.0008,-0.0051,0.696,0.419,1.058,0.223,,,,,,,
1.326,,9.7849,-12.63,0.017,,,,-8.37,-1.37,0.25,0.0,-0.0008,-0.0055,-0.004,0.692,0.413,1.042,0.224,,,,,,,
1.383,,9.7859,-12.6292,0.018,,,,-8.34,-1.41,0.22,0.0,0.0046,-0.0013,-0.0028,0.692,0.413,1.042,0.224,,,,,,,
1.435,,9.7851,-12.6291,0.018,,,,-8.3,-1.4,0.25,0.0,-0.0002,-0.0003,0.0001,0.695,0.419,1.049,0.222,,,,,,,
1.478,,9.785,-12.6297,0.017,,,,-8.26,-1.37,0.25,0.0,-0.0009,-0.0038,-0.0043,0.695,0.419,1.049,0.222,,,,,,,
1.526,,9.7853,-12.6289,0.017,,,,-8.22,-1.41,0.25,0.0,0.0004,0.0002,-0.0021,0.693,0.415,1.051,0.222,,,,,,,
1.575,,9.785,-12.6291,0.016,,,,-8.19,-1.4,0.25,0.0,-0.0007,-0.0012,-0.0028,0.693,0.415,1.051,0.222,,,,,,,
1.625,,9.7853,-12.6289,0.016,,,,-8.15,-1.41,0.24,0.0,0.0003,-0.0001,-0.0032,0.689,0.417,1.046,0.224,,,,,,,
1.709,,9.7848,-12.6293,0.018,,,,-8.11,-1.38,0.26,0.0,-0.0023,-0.0018,-0.0007,0.689,0.417,1.046,0.224,,,,,,,
1.732,,9.7849,-12.6295,0.018,,,,-8.07,-1.38,0.25,0.0,-0.001,-0.0032,0.0024,0.692,0.413,1.049,0.222,,,,,,,
1.782,,9.7845,-12.6292,0.019,,,,-8.04,-1.39,0.26,0.0,-0.0017,-0.0016,0.0041,0.692,0.413,1.049,0.222,,,,,,,
1.826,,9.785,-12.6288,0.019,,,,-8.0,-1.41,0.24,0.0,0.0009,0.0002,0.0067,0.695,0.418,1.055,0.225,,,,,,,
1.875,,9.7849,-12.6293,0.016,,,,-7.97,-1.39,0.25,0.0,0.0,-0.0025,0.0052,0.695,0.418,1.055,0.225,,,,,,,
1.933,,9.7849,-12.6295,0.016,,,,-7.93,-1.39,0.25,0.0,0.0008,-0.0039,-0.0001,0.694,0.412,1.057,0.225,,,,,,,
1.984,,9.7851,-12.6293,0.018,,,,-7.9,-1.4,0.25,0.0,0.0014,-0.0024,-0.0038,0.694,0.412,1.057,0.225,,,,,,,
2.026,,9.7838,-12.6296,0.018,,,,-7.86,-1.38,0.3,0.0,-0.0059,-0.0038,-0.0013,0.692,0.419,1.048,0.224,,,,,,,
2.076,,9.7857,-12.6287,0.015,,,,-7.83,-1.43,0.23,0.0,0.0048,0.0013,-0.0022,0.692,0.419,1.048,0.224,,,,,,,
2.126,,9.785,-12.6287,0.015,,,,-7.79,-1.42,0.25,0.0,0.0012,0.0009,-0.0067,0.696,0.413,1.042,0.224,,,,,,,
2.175,,9.7851,-12.6282,0.018,,,,-7.76,-1.44,0.26,0.0,0.0015,0.0029,-0.011,0.696,0.413,1.042,0.224,,,,,,,
2.253,,9.7847,-12.6295,0.018,,,,-7.73,-1.38,0.26,0.0,-0.0003,-0.0042,-0.0036,0.693,0.419,1.048,0.224,,,,,,,
2.288,,9.785,-12.6284,0.016,,,,-7.69,-1.43,0.25,0.0,0.0014,0.0014,-0.0008,0.693,0.419,1.048,0.224,,,,,,,
2.326,,9.7851,-12.6291,0.016,,,,-7.66,-1.41,0.24,0.0,0.0018,-0.0022,-0.0014,0.691,0.41,1.045,0.227,,,,,,,
2.376,,9.7854,-12.6291,0.018,,,,-7.62,-1.41,0.24,0.0,0.0032,-0.0022,-0.0021,0.691,0.41,1.045,0.227,,,,,,,
2.427,,9.7848,-12.6299,0.018,,,,-7.59,-1.38,0.26,0.0,0.0005,-0.0062,0.0015,0.69,0.42,1.048,0.225,,,,,,,
2.48,,9.7849,-12.6293,0.016,,,,-7.56,-1.41,0.27,0.0,0.0004,-0.0029,-0.0056,0.69,0.42,1.048,0.225,,,,,,,
2.529,,9.7837,-12.6299,0.016,,,,-7.53,-1.38,0.31,0.0,-0.006,-0.0057,-0.0045,0.69,0.411,1.045,0.223,,,,,,,
2.578,,9.7851,-12.6294,0.016,,,,-7.5,-1.41,0.26,0.0,0.0011,-0.0023,-0.0028,0.69,0.411,1.045,0.223,,,,,,,
2.625,,9.7848,-12.6296,0.016,,,,-7.46,-1.4,0.26,0.0,-0.0001,-0.0039,-0.0025,0.691,0.421,1.038,0.223,,,,,,,
2.676,,0.0001,-0.0,0.016,,,,-0.0,0.01,0.01,0.0,0.0048,-0.0036,-0.0005,0.691,0.421,1.038,0.223,,,,,,,
2.725,,0.0002,-0.0004,0.016,,,,-0.01,-0.07,0.08,0.0,0.0036,-0.0142,-0.0026,0.693,0.412,1.036,0.225,,,,,,,
2.8,,0.0005,-0.0009,0.019,,,,-0.01,-0.26,0.08,0.0,0.0053,-0.0189,-0.0066,0.693,0.412,1.036,0.225,,,,,,,
2.838,,-0.0001,-0.0016,0.019,,,,-0.02,-0.37,0.31,0.0,-0.0021,-0.0245,-0.0021,0.699,0.417,1.042,0.224,,,,,,,
2.875,,0.0008,-0.0009,0.016,,,,-0.02,-0.8,0.13,0.0,0.0053,-0.0149,-0.005,0.699,0.417,1.042,0.224,,,,,,,
2.926,,0.0003,-0.0012,0.016,,,,-0.02,-0.89,0.23,0.0,0.0011,-0.0157,-0.0063,0.697,0.413,1.035,0.224,,,,,,,
2.976,,0.0008,-0.0008,0.015,,,,-0.03,-1.06,0.16,0.0,0.0051,-0.0112,-0.0082,0.697,0.413,1.035,0.224,,,,,,,
3.029,,-0.0007,-0.0005,0.015,,,,-0.03,-1.17,0.35,0.0,-0.0058,-0.007,-0.0087,0.69,0.421,1.037,0.225,,,,,,,
3.084,,0.0006,-0.0004,0.016,,,,-0.04,-1.23,0.21,0.0,0.0032,-0.0058,-0.0079,0.69,0.421,1.037,0.225,,,,,,,
3.125,,0.0001,-0.0006,0.016,,,,-0.04,-1.24,0.26,0.0,0.0002,-0.0065,-0.0055,0.692,0.411,1.041,0.222,,,,,,,
3.176,,0.0016,0.0,0.018,,,,-0.04,-1.3,0.15,0.0,0.009,-0.0024,-0.0052,0.692,0.411,1.041,0.222,,,,,,,
3.226,,0.0005,-0.0004,0.018,,,,-0.05,-1.28,0.23,0.0,0.0023,-0.0055,0.0013,0.692,0.423,1.036,0.223,,,,,,,
3.299,,0.0005,-0.0004,0.016,,,,-0.05,-1.3,0.24,0.0,0.0031,-0.0063,0.0029,0.692,0.423,1.036,0.223,,,,,,,
3.35,,-0.0008,-0.0014,0.016,,,,-0.06,-1.25,0.32,0.0,-0.0058,-0.0106,0.0013,0.694,0.411,1.038,0.223,,,,,,,
3.387,,0.0012,-0.0005,0.016,,,,-0.06,-1.32,0.21,0.0,0.0049,-0.0054,0.0044,0.694,0.411,1.038,0.223,,,,,,,
3.425,,0.0012,-0.0008,0.016,,,,-0.06,-1.32,0.22,0.0,0.0036,-0.0066,0.0015,0.696,0.42,1.044,0.224,,,,,,,
3.475,,0.0004,0.0,0.018,,,,-0.06,-1.36,0.27,0.0,-0.0003,-0.0026,-0.0002,0.696,0.42,1.044,0.224,,,,,,,
3.525,,-0.0008,-0.0002,0.018,,,,-0.07,-1.36,0.32,0.0,-0.0058,-0.0039,0.0027,0.696,0.413,1.042,0.221,,,,,,,
3.575,,0.0002,-0.0008,0.017,,,,-0.07,-1.33,0.27,0.0,-0.0009,-0.0066,0.0043,0.696,0.413,1.042,0.221,,,,,,,
3.638,,0.0015,0.0001,0.017,,,,-0.07,-1.38,0.22,0.0,0.0053,-0.0021,0.0029,0.694,0.416,1.044,0.227,,,,,,,
3.675,,0.0007,-0.0009,0.016,,,,-0.07,-1.34,0.26,0.0,0.0011,-0.0074,-0.0006,0.694,0.416,1.044,0.227,,,,,,,
3.725,,0.0004,0.0001,0.016,,,,-0.08,-1.38,0.27,0.0,-0.0002,-0.0022,-0.0029,0.694,0.413,1.038,0.221,,,,,,,
3.776,,0.0011,-0.0004,0.014,,,,-0.08,-1.37,0.24,0.0,0.0035,-0.0048,-0.0042,0.694,0.413,1.038,0.221,,,,,,,
3.844,,0.0002,-0.0011,0.014,,,,-0.09,-1.35,0.28,0.0,-0.0019,-0.0078,-0.0088,0.697,0.416,1.038,0.223,,,,,,,
3.883,,-0.0001,-0.0003,0.017,,,,-0.09,-1.39,0.3,0.0,-0.0036,-0.0036,-0.0038,0.697,0.416,1.038,0.223,,,,,,,
3.947,,0.0001,-0.0006,0.017,,,,-0.1,-1.37,0.29,0.0,-0.0023,-0.0048,-0.0007,0.692,0.413,1.039,0.223,,,,,,,
3.975,,0.0013,0.0001,0.017,,,,-0.1,-1.4,0.24,0.0,0.0033,-0.0011,-0.0013,0.692,0.413,1.039,0.223,,,,,,,
4.025,,0.0011,-0.0001,0.017,,,,-0.1,-1.39,0.24,0.0,0.0024,-0.0021,0.0001,0.694,0.419,1.047,0.229,,,,,,,
4.075,,0.0011,0.0001,0.016,,,,-0.11,-1.4,0.24,0.0,0.0027,-0.0011,-0.0002,0.694,0.419,1.047,0.229,,,,,,,
