time_s,state,x_m,y_m,z_down_m,edge_event,edge_x_m,edge_y_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,local_x_min_m,local_x_max_m,local_y_min_m,local_y_max_m
0.246,,0.0,0.0,0.014,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673,0.408,,0.237,,,,,,,
0.249,,10.8606,-0.3929,0.014,,,,35.7,-1.37,0.23,0.0,0.0,0.0,0.0,0.677,0.412,2.44,0.237,,,,,,,
0.251,,10.8617,-0.3944,0.015,,,,35.52,-1.29,0.22,0.0,0.0,0.0,0.0,0.677,0.412,2.44,0.234,,,,,,,
0.254,,10.8608,-0.3928,0.015,,,,35.34,-1.36,0.21,0.0,0.0,0.0,0.0,0.672,0.405,,0.234,,,,,,,
0.31,,10.8617,-0.3946,0.014,,,,35.16,-1.28,0.22,0.0,0.0,0.0,0.0,0.672,0.405,,0.24,,,,,,,
0.341,,10.8606,-0.3929,0.013,,,,34.98,-1.36,0.22,0.0,-0.0052,0.0005,-0.0014,0.674,0.415,,0.24,,,,,,,
0.385,,10.8605,-0.3928,0.014,,,,34.81,-1.36,0.21,0.0,-0.0053,0.0008,-0.0046,0.674,0.415,,0.244,,,,,,,
0.442,,10.8608,-0.3929,0.014,,,,34.63,-1.35,0.2,0.0,-0.0032,0.0004,-0.0042,0.674,0.41,,0.244,,,,,,,
0.487,,10.8607,-0.3927,0.014,,,,34.46,-1.36,0.2,0.0,-0.0038,0.0014,-0.0041,0.674,0.41,,0.24,,,,,,,
0.536,,10.8619,-0.3945,0.016,,,,34.28,-1.28,0.2,0.0,0.0024,-0.0074,-0.0037,0.677,0.414,,0.24,,,,,,,
0.591,,10.8606,-0.393,0.014,,,,34.11,-1.36,0.21,0.0,-0.0046,0.0008,0.0005,0.677,0.414,,0.242,,,,,,,
0.646,,10.8617,-0.3947,0.016,,,,33.94,-1.28,0.21,0.0,0.0012,-0.0076,-0.0006,0.674,0.406,,0.242,,,,,,,
0.691,,10.8619,-0.3946,0.015,,,,33.76,-1.28,0.2,0.0,0.0018,-0.0072,0.0026,0.674,0.406,,0.24,,,,,,,
0.734,,10.861,-0.3936,0.016,,,,33.59,-1.33,0.21,0.0,-0.0033,-0.0024,0.0026,0.676,0.415,2.545,0.24,,,,,,,
0.784,,10.8621,-0.3936,0.013,,,,33.42,-1.31,0.18,0.0,0.0029,-0.0025,0.0043,0.676,0.415,2.545,0.239,,,,,,,
0.835,,10.862,-0.3934,0.014,,,,33.26,-1.33,0.18,0.0,0.0021,-0.0018,-0.002,0.67,0.408,,0.239,,,,,,,
0.885,,10.8614,-0.3937,0.015,,,,33.09,-1.33,0.2,0.0,-0.0014,-0.0036,-0.003,0.67,0.408,,0.242,,,,,,,
0.936,,10.8606,-0.3931,0.014,,,,32.92,-1.37,0.22,0.0,-0.0058,-0.0002,-0.0013,0.673,0.416,,0.242,,,,,,,
0.993,,10.8617,-0.3938,0.014,,,,32.75,-1.32,0.19,0.0,0.0003,-0.0034,-0.0026,0.673,0.416,,0.236,,,,,,,
1.038,,10.8619,-0.3937,0.014,,,,32.59,-1.32,0.19,0.0,0.0011,-0.0024,-0.0037,0.676,0.41,,0.236,,,,,,,
1.085,,10.8608,-0.3929,0.016,,,,32.42,-1.37,0.21,0.0,-0.0052,0.0017,-0.0044,0.676,0.41,,0.238,,,,,,,
1.137,,10.8614,-0.3944,0.016,,,,32.26,-1.31,0.21,0.0,-0.0023,-0.0051,0.0007,0.677,0.412,,0.238,,,,,,,
1.186,,10.8618,-0.3947,0.015,,,,32.1,-1.3,0.2,0.0,-0.0008,-0.0061,0.0033,0.677,0.412,,0.244,,,,,,,
1.263,,10.8614,-0.3944,0.017,,,,31.94,-1.32,0.2,0.0,-0.0027,-0.0047,0.0014,0.673,0.404,,0.244,,,,,,,
1.303,,10.8616,-0.3949,0.015,,,,31.77,-1.3,0.2,0.0,-0.0009,-0.0067,0.0044,0.673,0.404,,0.235,,,,,,,
1.341,,10.8612,-0.3937,0.013,,,,31.61,-1.34,0.19,0.0,-0.0026,-0.0007,0.0017,0.674,0.411,,0.235,,,,,,,
1.388,,10.8619,-0.395,0.016,,,,31.45,-1.28,0.19,0.0,0.0014,-0.0073,-0.0047,0.674,0.411,,0.243,,,,,,,
1.434,,10.8604,-0.3931,0.014,,,,31.29,-1.38,0.2,0.0,-0.0061,0.0025,-0.0008,0.675,0.408,2.475,0.243,,,,,,,
1.484,,10.862,-0.3952,0.015,,,,31.13,-1.28,0.2,0.0,0.0011,-0.0077,-0.0033,0.675,0.408,2.475,0.238,,,,,,,
1.54,,10.8619,-0.395,0.014,,,,30.97,-1.3,0.19,0.0,0.0006,-0.0063,-0.0024,0.674,0.413,,0.238,,,,,,,
1.61,,10.8616,-0.395,0.014,,,,30.82,-1.3,0.2,0.0,-0.0006,-0.0062,-0.0035,0.674,0.413,,0.244,,,,,,,
1.635,,10.8637,-0.3939,0.015,,,,30.66,-1.3,0.12,0.0,0.009,-0.001,-0.004,0.675,0.406,,0.244,,,,,,,
1.686,,10.8605,-0.3931,0.016,,,,30.51,-1.37,0.2,0.0,-0.0063,0.002,-0.0027,0.675,0.406,,0.239,,,,,,,
1.736,,10.8616,-0.394,0.014,,,,30.35,-1.32,0.18,0.0,-0.0009,-0.0024,0.0014,0.674,0.412,,0.239,,,,,,,
1.813,,10.8613,-0.3941,0.013,,,,30.2,-1.32,0.2,0.0,-0.0027,-0.0039,-0.0009,0.674,0.412,,0.24,,,,,,,
1.865,,10.8614,-0.3941,0.013,,,,30.04,-1.32,0.19,0.0,-0.0022,-0.0037,-0.0047,0.67,0.408,,0.24,,,,,,,
