time_s,x_m,y_m,z_down_m
0.08,0.0,0.0,0.01
0.129,0.0655,0.0934,0.012
0.179,0.0655,0.0936,0.009
0.229,0.0655,0.0939,0.01
0.279,0.0655,0.0936,0.011
0.33,0.0652,0.0939,0.013
0.379,0.0655,0.0934,0.011
0.43,0.0655,0.0933,0.011
0.479,0.0657,0.0933,0.013
0.529,0.0654,0.0932,0.009
0.577,0.0657,0.0939,0.012
0.628,0.0654,0.0932,0.01
0.68,0.0667,0.0935,0.014
0.729,0.0653,0.0932,0.011
0.778,0.0657,0.0932,0.011
0.828,0.0654,0.0936,0.011
0.877,0.0654,0.0933,0.01
0.928,0.0654,0.0932,0.01
0.977,0.0654,0.0932,0.01
1.028,0.0653,0.0931,0.011
1.078,0.0657,0.0935,0.013
1.128,0.0653,0.0932,0.012
1.179,0.0656,0.0935,0.012
1.229,0.0653,0.0928,0.011
1.279,0.065,0.0932,0.012
1.328,0.0653,0.0932,0.012
1.38,0.0656,0.0927,0.013
1.428,0.0653,0.0932,0.01
1.478,0.0653,0.0931,0.01
1.528,0.0652,0.0934,0.01
1.577,0.0652,0.0917,0.011
1.628,0.0652,0.0931,0.011
1.679,0.0655,0.0934,0.01
1.727,0.0653,0.0931,0.013
1.778,0.0652,0.093,0.012
1.828,0.0652,0.0927,0.012
1.878,0.0664,0.0933,0.011
1.929,0.065,0.0934,0.012
1.978,0.0652,0.0933,0.011
2.028,0.0001,-0.0,0.012
2.078,0.0003,-0.0,0.013
2.127,0.0005,-0.0003,0.012
2.177,0.0006,-0.0002,0.012
2.227,0.0006,-0.0005,0.012
2.277,0.0007,-0.0009,0.01
2.328,0.0008,-0.0005,0.013
2.377,0.0011,-0.0007,0.014
2.428,0.0007,-0.0003,0.011
2.478,0.0007,-0.0003,0.011
2.528,0.0003,0.0001,0.012
2.577,0.0009,-0.0002,0.011
2.628,0.0006,-0.0005,0.011
2.678,0.0006,-0.0005,0.009
2.729,0.0009,-0.0011,0.01
2.778,0.0009,-0.0002,0.011
2.828,0.0006,-0.0006,0.013
2.878,0.0005,-0.0007,0.011
2.928,0.0009,-0.0002,0.011
2.978,0.0009,-0.0006,0.011
3.028,0.0009,-0.0013,0.011
3.078,0.0006,-0.0008,0.011
