time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.255,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.368,,,,,,,
0.26,,0.0009,-0.0011,0.014,-0.01,-0.43,0.19,0.0,0.0044,-0.0061,-0.0005,0.697,0.368,,,,,,,
0.265,,0.0009,-0.0011,0.013,-0.01,-0.43,0.2,0.0,0.004,-0.0054,0.0015,0.697,0.369,,0.255,,,,,
0.27,,0.0008,-0.001,0.014,-0.01,-0.44,0.21,0.0,0.003,-0.0047,0.0003,0.694,0.369,,0.255,,,,,
0.283,,-0.0001,-0.002,0.012,-0.01,-0.41,0.23,0.0,-0.0015,-0.0088,0.0024,0.694,0.373,,0.255,,,,,
0.346,,0.0008,-0.0013,0.014,-0.01,-0.43,0.21,0.0,0.0028,-0.0056,-0.0025,0.696,0.373,,0.255,,,,,
0.385,,0.0004,-0.0008,0.011,-0.01,-0.45,0.22,0.0,0.0002,-0.0035,0.0002,0.696,0.367,,0.257,,,,,
0.436,,0.0004,-0.0009,0.016,-0.01,-0.44,0.22,0.0,0.0006,-0.0036,-0.0058,0.703,0.367,,0.257,,,,,
0.486,,0.0004,-0.0011,0.012,-0.01,-0.44,0.22,0.0,0.0015,-0.0049,0.0044,0.703,0.371,,0.252,,,,,
0.535,,0.0005,-0.0013,0.013,-0.01,-0.44,0.22,0.0,0.0024,-0.0064,-0.0013,0.698,0.371,,0.252,,,,,
0.584,,0.001,-0.0013,0.014,-0.01,-0.44,0.2,0.0,0.0049,-0.0057,-0.0015,0.698,0.372,,,,,,,
0.663,,0.0004,-0.0011,0.011,-0.01,-0.44,0.22,0.0,0.0019,-0.0051,0.0016,0.704,0.372,,,,,,,
