time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.238,,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.408,0.791,0.235,,,
0.242,,2.0436,-0.0446,0.012,44.96,-1.64,0.23,0.0,-0.0083,-0.0008,0.0053,0.68,0.408,0.791,0.235,,,
0.247,,2.0434,-0.0447,0.011,44.76,-1.64,0.24,0.0,-0.0088,-0.0013,0.0075,0.679,0.41,0.789,0.237,,,
0.252,,2.0439,-0.0442,0.011,44.56,-1.64,0.2,0.0,-0.006,0.002,0.0056,0.679,0.41,0.789,0.237,,,
0.32,,2.0436,-0.0441,0.011,44.37,-1.66,0.21,0.0,-0.0078,0.0029,0.0046,0.681,0.408,0.788,0.24,,,
0.331,,2.0428,-0.0455,0.008,44.18,-1.63,0.28,0.0,-0.0121,-0.0051,0.0032,0.681,0.408,0.788,0.24,,,
0.382,,2.0422,-0.0448,0.011,43.98,-1.68,0.26,0.0,-0.0146,-0.0001,-0.0042,0.678,0.408,0.785,0.236,,,
0.431,,2.0434,-0.0445,0.011,43.78,-1.63,0.21,0.0,-0.0068,0.0021,-0.0006,0.678,0.408,0.785,0.236,,,
0.481,,2.0437,-0.0439,0.013,43.59,-1.64,0.18,0.0,-0.0051,0.0054,0.002,0.68,0.41,0.788,0.242,,,
0.531,,2.0432,-0.0445,0.009,43.4,-1.63,0.22,0.0,-0.0073,0.0017,0.0082,0.68,0.41,0.788,0.242,,,
0.587,,2.0431,-0.0443,0.013,43.2,-1.64,0.22,0.0,-0.0076,0.0026,0.002,0.679,0.408,0.786,0.238,,,
0.64,,2.0436,-0.0439,0.011,43.02,-1.63,0.18,0.0,-0.0048,0.0044,0.0074,0.679,0.408,0.786,0.238,,,
0.687,,2.0436,-0.0439,0.013,42.83,-1.63,0.18,0.0,-0.005,0.0041,0.0053,0.679,0.41,0.783,0.24,,,
0.731,,2.0437,-0.0437,0.011,42.64,-1.63,0.18,0.0,-0.0044,0.0052,0.0086,0.679,0.41,0.783,0.24,,,
0.785,,2.0433,-0.0437,0.01,42.45,-1.64,0.19,0.0,-0.006,0.0049,0.0058,0.679,0.41,0.79,0.239,,,
0.834,,2.0431,-0.0442,0.011,42.26,-1.62,0.21,0.0,-0.0068,0.0015,0.001,0.679,0.41,0.79,0.239,,,
0.906,,2.0429,-0.0444,0.01,42.08,-1.62,0.23,0.0,-0.0081,0.0009,0.0012,0.676,0.408,0.788,0.233,,,
0.932,,2.0428,-0.0444,0.012,41.89,-1.62,0.23,0.0,-0.0075,0.0009,-0.0014,0.676,0.408,0.788,0.233,,,
0.987,,2.0435,-0.0437,0.011,41.71,-1.63,0.19,0.0,-0.0038,0.0038,0.002,0.679,0.409,0.79,0.233,,,
1.038,,2.0427,-0.0445,0.011,41.52,-1.63,0.24,0.0,-0.0088,-0.0003,0.0025,0.679,0.409,0.79,0.233,,,
1.091,,2.0433,-0.0438,0.01,41.34,-1.63,0.2,0.0,-0.0052,0.0028,0.0023,0.679,0.408,0.796,0.231,,,
1.134,,2.0425,-0.0444,0.009,41.16,-1.64,0.26,0.0,-0.0094,-0.0001,-0.0003,0.679,0.408,0.796,0.231,,,
1.18,,2.0432,-0.0438,0.011,40.98,-1.64,0.21,0.0,-0.0055,0.0028,-0.0033,0.679,0.408,0.796,0.236,,,
1.231,,2.0435,-0.0438,0.009,40.8,-1.64,0.2,0.0,-0.0048,0.0023,-0.0001,0.679,0.408,0.796,0.236,,,
1.291,,2.0422,-0.0445,0.011,40.62,-1.65,0.26,0.0,-0.011,-0.0012,-0.0023,0.678,0.409,0.792,0.239,,,
1.348,,2.0431,-0.0438,0.012,40.44,-1.64,0.2,0.0,-0.0059,0.0032,0.0016,0.678,0.409,0.792,0.239,,,
1.389,,2.0409,-0.0444,0.012,40.27,-1.67,0.29,0.0,-0.017,-0.0004,0.0056,0.681,0.408,0.792,0.239,,,
1.432,,2.0425,-0.044,0.009,40.09,-1.64,0.22,0.0,-0.0077,0.0022,0.0077,0.681,0.408,0.792,0.239,,,
1.481,,2.042,-0.0443,0.011,39.91,-1.65,0.24,0.0,-0.0103,-0.0,0.0017,0.68,0.409,0.795,0.235,,,
1.531,,2.0415,-0.0446,0.01,39.73,-1.65,0.26,0.0,-0.0123,-0.0017,0.0023,0.68,0.409,0.795,0.235,,,
1.589,,2.0421,-0.0428,0.012,39.56,-1.69,0.18,0.0,-0.0083,0.008,0.0012,0.679,0.408,0.799,0.232,,,
1.648,,2.0422,-0.0441,0.01,39.39,-1.64,0.22,0.0,-0.0075,0.0012,0.0052,0.679,0.408,0.799,0.232,,,
1.696,,2.0423,-0.0439,0.012,39.22,-1.65,0.21,0.0,-0.0067,0.0022,0.0023,0.679,0.408,0.788,0.234,,,
1.75,,2.0425,-0.0437,0.013,39.04,-1.65,0.2,0.0,-0.0055,0.0031,0.0051,0.679,0.408,0.788,0.234,,,
1.78,,2.0411,-0.0448,0.011,38.88,-1.65,0.27,0.0,-0.0124,-0.002,0.0084,0.675,0.41,0.776,0.234,,,
1.836,,2.0412,-0.0447,0.01,38.71,-1.65,0.26,0.0,-0.0124,-0.0017,0.0051,0.675,0.41,0.776,0.234,,,
1.9,,2.042,-0.0432,0.014,38.54,-1.68,0.19,0.0,-0.0076,0.0063,0.0009,0.681,0.411,0.754,0.237,,,
1.937,,2.042,-0.0439,0.011,38.37,-1.65,0.21,0.0,-0.0074,0.0019,0.0079,0.681,0.411,0.754,0.237,,,
1.998,,2.0416,-0.0442,0.012,38.21,-1.65,0.23,0.0,-0.0097,0.0003,0.0044,0.676,0.41,0.749,0.239,,,
2.03,,2.0421,-0.0437,0.01,38.04,-1.66,0.2,0.0,-0.0069,0.0027,0.0044,0.676,0.41,0.749,0.239,,,
2.08,,2.0421,-0.0438,0.01,37.88,-1.65,0.2,0.0,-0.0064,0.0023,-0.0,0.677,0.408,0.745,0.234,,,
2.162,,2.0427,-0.0435,0.01,37.71,-1.64,0.18,0.0,-0.003,0.0041,-0.0022,0.677,0.408,0.745,0.234,,,
2.18,,2.0416,-0.0435,0.011,37.55,-1.67,0.23,0.0,-0.0091,0.0041,-0.0029,0.679,0.411,0.75,0.237,,,
2.242,,2.0417,-0.044,0.011,37.39,-1.65,0.23,0.0,-0.0087,0.0013,-0.0002,0.679,0.411,0.75,0.237,,,
2.294,,2.0416,-0.0438,0.012,37.23,-1.65,0.23,0.0,-0.0055,0.0044,0.0014,0.679,0.408,0.779,0.24,,,
2.331,,2.0412,-0.0439,0.012,37.06,-1.66,0.25,0.0,-0.0111,0.0017,0.0042,0.679,0.408,0.779,0.24,,,
2.382,,2.0416,-0.0431,0.01,36.9,-1.68,0.22,0.0,-0.0089,0.0054,0.0057,0.678,0.412,0.798,0.236,,,
2.462,,2.0416,-0.0435,0.011,36.74,-1.66,0.23,0.0,-0.0088,0.0029,0.0016,0.678,0.412,0.798,0.236,,,
2.494,,2.042,-0.0432,0.012,36.58,-1.66,0.2,0.0,-0.0057,0.0047,0.0024,0.679,0.41,0.788,0.238,,,
2.533,,2.0404,-0.0444,0.012,36.43,-1.66,0.28,0.0,-0.014,-0.0014,0.0051,0.679,0.41,0.788,0.238,,,
2.605,,2.0421,-0.0431,0.012,36.27,-1.65,0.19,0.0,-0.0046,0.0058,0.0061,0.676,0.41,0.787,0.242,,,
2.63,,2.0421,-0.0431,0.012,36.11,-1.64,0.19,0.0,-0.0045,0.006,0.0061,0.676,0.41,0.787,0.242,,,
2.68,,2.0409,-0.0426,0.011,35.95,-1.69,0.22,0.0,-0.0105,0.0075,0.0054,0.679,0.408,0.779,0.24,,,
2.762,,2.0414,-0.0431,0.012,35.8,-1.66,0.22,0.0,-0.0073,0.0049,0.0025,0.679,0.408,0.779,0.24,,,
2.799,,2.0412,-0.0436,0.01,35.64,-1.64,0.24,0.0,-0.0054,0.0035,0.0036,0.677,0.412,0.783,0.236,,,
2.833,,2.0411,-0.0439,0.01,35.49,-1.63,0.26,0.0,-0.0093,0.0003,-0.0009,0.677,0.412,0.783,0.236,,,
2.889,,2.0402,-0.0442,0.011,35.34,-1.64,0.29,0.0,-0.0105,0.0012,-0.0028,0.68,0.41,0.779,0.237,,,
2.931,,2.0418,-0.0433,0.013,35.18,-1.63,0.21,0.0,-0.0058,0.0039,-0.0008,0.68,0.41,0.779,0.237,,,
2.982,,2.0413,-0.043,0.013,35.03,-1.65,0.22,0.0,-0.0086,0.0049,0.0049,0.677,0.41,0.777,0.228,,,
3.057,,2.0417,-0.0429,0.011,34.87,-1.64,0.2,0.0,-0.0061,0.0054,0.0079,0.677,0.41,0.777,0.228,,,
3.098,,2.041,-0.0433,0.012,34.72,-1.64,0.24,0.0,-0.0093,0.003,0.0052,0.679,0.407,0.785,0.235,,,
3.131,,2.0415,-0.0432,0.013,34.57,-1.62,0.21,0.0,-0.0063,0.0031,0.0053,0.679,0.407,0.785,0.235,,,
3.188,,-0.0001,0.0001,0.013,0.01,-0.03,0.05,0.0,-0.0043,-0.0002,0.0004,0.677,0.408,0.792,0.236,,,
3.229,,-0.0002,-0.0005,0.012,0.03,0.0,0.07,0.0,-0.0027,-0.0155,0.0006,0.677,0.408,0.792,0.236,,,
3.28,,-0.0005,-0.0007,0.01,0.05,-0.23,0.13,0.0,-0.0047,-0.0186,0.0006,0.679,0.409,0.792,0.237,,,
3.35,,0.0003,-0.0016,0.012,0.07,-0.31,-0.15,0.0,0.006,-0.0261,-0.0044,0.679,0.409,0.792,0.237,,,
3.39,,-0.0002,-0.0015,0.013,0.1,-0.64,0.01,0.0,0.0004,-0.0215,-0.0023,0.679,0.41,0.793,0.239,,,
3.432,,-0.0003,-0.0014,0.012,0.11,-0.87,0.04,0.0,-0.0001,-0.0182,0.0015,0.679,0.41,0.793,0.239,,,
3.483,,0.0002,-0.0013,0.01,0.13,-1.02,-0.04,0.0,0.005,-0.0156,0.0018,0.68,0.409,0.787,0.237,,,
3.53,,-0.0,-0.0013,0.011,0.15,-1.13,0.04,0.0,0.0017,-0.0133,-0.0027,0.68,0.409,0.787,0.237,,,
3.58,,-0.0011,-0.0006,0.013,0.17,-1.29,0.17,0.0,-0.0061,-0.0066,-0.0021,0.674,0.408,0.79,0.232,,,
