time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.242,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.416,,1.281,,,,,
0.246,,-0.338,-0.3372,0.014,-0.3,-0.29,0.44,0.0,0.0002,-0.0013,-0.0059,0.675,0.416,,1.274,,,,,
0.25,,-0.338,-0.3372,0.012,-0.3,-0.29,0.44,0.0,0.0001,-0.0013,-0.0014,0.679,0.419,,1.274,,,,,
0.254,,-0.3374,-0.3372,0.011,-0.31,-0.29,0.42,0.0,0.0034,-0.0016,-0.0031,0.679,0.419,,1.276,,,,,
0.318,,-0.338,-0.3372,0.013,-0.3,-0.29,0.44,0.0,0.0013,-0.0022,-0.0061,0.68,0.42,,1.276,,,,,
0.334,,-0.3383,-0.3373,0.01,-0.31,-0.29,0.45,0.0,-0.0001,-0.0021,-0.0038,0.68,0.42,,1.274,,,,,
0.383,,-0.3377,-0.3373,0.013,-0.31,-0.29,0.43,0.0,0.0027,-0.0031,-0.0092,0.679,0.415,,1.274,,,,,
0.434,,-0.338,-0.3373,0.014,-0.31,-0.29,0.44,0.0,0.0011,-0.0027,-0.0044,0.679,0.415,,1.272,,,,,
0.485,,-0.3383,-0.3373,0.011,-0.3,-0.29,0.46,0.0,-0.0012,-0.0023,0.0007,0.673,0.416,,1.272,,,,,
0.534,,-0.3392,-0.3373,0.009,-0.3,-0.3,0.49,0.0,-0.0047,-0.0021,-0.003,0.673,0.416,,1.276,,,,,
0.583,,-0.3389,-0.3372,0.013,-0.3,-0.3,0.48,0.0,-0.0033,-0.0015,-0.0098,0.679,0.418,,1.276,,,,,
0.641,,-0.3389,-0.3372,0.013,-0.3,-0.3,0.48,0.0,-0.0034,-0.0017,-0.0039,0.679,0.418,2.387,1.283,,,,,
0.696,,-0.3372,-0.3375,0.015,-0.3,-0.29,0.42,0.0,0.0045,-0.0031,0.0001,0.676,0.416,2.387,1.283,,,,,
0.736,,-0.3386,-0.3375,0.011,-0.3,-0.29,0.46,0.0,-0.0017,-0.0029,0.0057,0.676,0.416,,1.281,,,,,
0.782,,-0.3388,-0.3372,0.011,-0.3,-0.3,0.47,0.0,-0.0029,-0.0015,-0.0003,0.678,0.418,,1.281,,,,,
0.842,,-0.3383,-0.3373,0.013,-0.3,-0.3,0.45,0.0,-0.0009,-0.002,-0.0048,0.678,0.418,,1.278,,,,,
0.902,,-0.3387,-0.3373,0.012,-0.3,-0.3,0.46,0.0,-0.0022,-0.0022,-0.0029,0.679,0.417,,1.278,,,,,
0.939,,-0.3384,-0.3373,0.014,-0.3,-0.29,0.45,0.0,-0.0003,-0.0024,-0.004,0.679,0.417,,1.275,,,,,
0.983,,-0.3384,-0.3376,0.01,-0.3,-0.28,0.45,0.0,-0.0007,-0.0034,-0.0008,0.679,0.417,,1.275,,,,,
1.058,,-0.3386,-0.3376,0.011,-0.29,-0.28,0.46,0.0,-0.0019,-0.0031,-0.0079,0.679,0.417,,1.284,,,,,
1.105,,-0.3384,-0.3376,0.014,-0.29,-0.29,0.45,0.0,-0.0007,-0.0031,-0.0093,0.679,0.413,,1.284,,,,,
1.155,,-0.3376,-0.3373,0.011,-0.29,-0.3,0.42,0.0,0.0027,-0.0014,-0.0031,0.679,0.413,,1.27,,,,,
1.187,,-0.3395,-0.3373,0.012,-0.29,-0.3,0.5,0.0,-0.0072,-0.0017,-0.0059,0.681,0.417,,1.27,,,,,
1.234,,-0.3376,-0.3373,0.009,-0.29,-0.3,0.42,0.0,0.0029,-0.0017,-0.0048,0.681,0.417,2.444,1.282,,,,,
1.283,,-0.3381,-0.3373,0.013,-0.29,-0.3,0.44,0.0,0.0008,-0.0017,-0.0103,0.676,0.417,2.444,1.282,,,,,
1.357,,-0.3379,-0.3373,0.012,-0.29,-0.3,0.43,0.0,0.0025,-0.0015,-0.0046,0.676,0.417,,1.277,,,,,
1.406,,-0.3384,-0.3376,0.014,-0.29,-0.29,0.45,0.0,-0.0003,-0.0033,-0.0038,0.679,0.417,,1.277,,,,,
1.442,,-0.3389,-0.3373,0.012,-0.29,-0.3,0.47,0.0,-0.0031,-0.0021,0.0011,0.679,0.417,,1.279,,,,,
1.503,,-0.3384,-0.3373,0.011,-0.29,-0.3,0.45,0.0,-0.0,-0.002,-0.0007,0.677,0.417,,1.279,,,,,
1.533,,-0.3382,-0.3373,0.013,-0.29,-0.3,0.43,0.0,0.0015,-0.0014,-0.0042,0.677,0.417,,1.274,,,,,
