time_s,x_m,y_m,z_down_m
0.235,0.0,0.0,0.011
0.238,0.0009,0.0127,0.013
0.24,0.0014,0.013,0.014
0.243,0.0012,0.0137,0.015
0.292,0.0012,0.013,0.015
0.327,0.0014,0.0153,0.013
0.376,0.0011,0.0148,0.011
0.426,0.0012,0.0129,0.015
0.485,0.0014,0.0137,0.012
0.532,0.0012,0.0137,0.012
0.577,0.0009,0.0146,0.013
0.627,0.0012,0.0139,0.013
0.675,0.0012,0.0139,0.013
0.726,0.0009,0.0127,0.013
0.775,0.0014,0.0136,0.013
0.863,0.0014,0.0147,0.013
0.877,0.0012,0.0129,0.013
0.934,0.0012,0.0141,0.014
0.977,0.0012,0.0127,0.01
1.026,0.0009,0.0141,0.013
1.076,0.0012,0.0131,0.015
1.155,0.0012,0.0131,0.013
1.198,0.0012,0.0126,0.013
1.227,0.001,0.0136,0.014
1.277,0.0012,0.0136,0.014
1.326,0.0012,0.0125,0.013
1.376,0.0009,0.0125,0.013
1.462,0.0012,0.0138,0.013
1.478,0.0012,0.0138,0.012
1.538,0.0004,0.0117,0.012
1.585,0.0009,0.0133,0.013
1.625,0.0012,0.0124,0.012
1.677,0.001,0.0132,0.012
1.758,0.0013,0.013,0.013
1.823,0.0005,0.0082,0.013
1.829,0.0005,0.0146,0.013
1.885,0.001,0.0146,0.014
1.925,0.0005,0.0156,0.013
1.975,0.0008,0.0139,0.013
2.051,0.0008,0.0143,0.015
2.099,0.0008,0.0139,0.014
2.125,0.001,0.0146,0.013
2.175,0.0006,0.0148,0.012
2.226,0.0008,0.0138,0.015
2.276,0.0008,0.0139,0.013
2.34,0.001,0.0152,0.012
2.398,0.0006,0.0139,0.014
2.43,0.0006,0.0184,0.015
2.476,0.0011,0.019,0.013
2.525,0.0006,0.018,0.013
2.576,0.0008,0.0155,0.016
2.629,0.0004,0.0159,0.014
2.678,0.0006,0.0155,0.014
2.726,0.0006,0.0148,0.014
2.776,0.0006,0.0163,0.014
2.824,-0.0,0.0,0.014
2.914,0.0001,0.0004,0.012
2.947,-0.0001,0.0008,0.013
2.974,-0.0001,-0.0002,0.015
3.026,0.0001,0.0006,0.013
3.075,-0.0002,0.0008,0.014
3.125,-0.0004,0.0013,0.014
3.202,-0.0004,0.0004,0.013
3.233,-0.0003,0.0008,0.013
3.275,-0.0,0.0004,0.014
3.325,-0.0007,0.0007,0.014
3.375,-0.0,0.0007,0.013
3.426,-0.0,0.0013,0.012
3.49,-0.0,-0.0004,0.015
3.539,-0.0003,0.0016,0.012
3.574,0.0003,0.0007,0.012
3.625,0.0003,0.0013,0.012
3.675,0.0003,0.0007,0.014
3.725,-0.0,0.0016,0.013
3.779,0.0,-0.0001,0.012
3.825,-0.0002,-0.0004,0.013
3.875,0.0001,-0.0006,0.014
3.925,-0.0002,-0.0003,0.012
3.975,0.0001,0.0012,0.01
4.061,-0.0001,0.001,0.013
4.075,-0.0001,0.001,0.013
4.127,-0.0001,0.001,0.014
4.175,-0.0001,0.0004,0.014
4.226,-0.0003,0.0009,0.013
4.275,0.0002,0.0004,0.014
4.353,0.0004,-0.0004,0.013
4.391,0.0005,0.002,0.013
4.425,0.0005,0.0007,0.011
4.476,0.0002,0.0004,0.013
4.525,-0.0003,-0.0004,0.014
4.575,-0.0001,0.0006,0.013
4.641,-0.0001,-0.0003,0.012
4.678,-0.0001,0.0002,0.013
4.724,-0.0003,0.0008,0.014
4.775,0.0004,0.0006,0.013
4.825,-0.0,0.0008,0.013
4.875,0.0002,0.0013,0.014
4.931,0.0004,0.001,0.014
4.978,-0.0,0.0006,0.013
5.024,-0.0,0.0012,0.012
5.075,0.0002,0.0008,0.012
5.125,0.0004,-0.0005,0.015
5.18,0.0002,-0.0003,0.014
