time_s,x_m,y_m,z_down_m,vx_ms,vy_ms,vz_ms
0.064,0.0,0.0,0.015,0.0,0.0,0.0
0.114,-0.8733,-0.428,0.016,0.0017,0.002,-0.0043
0.164,-0.8737,-0.4281,0.017,-0.0004,0.0013,-0.003
0.214,-0.8737,-0.4281,0.016,-0.0005,0.0008,0.0003
0.263,-0.8737,-0.4281,0.017,0.0001,0.0015,0.0004
0.314,-0.8737,-0.428,0.015,0.0003,0.0017,0.0026
0.364,-0.8737,-0.428,0.016,0.0008,0.0015,-0.0002
0.414,-0.8736,-0.4279,0.014,0.0027,0.0018,0.0002
0.464,-0.8737,-0.4279,0.018,0.0017,0.0039,-0.0038
0.516,-0.8738,-0.4272,0.018,-0.0008,0.0047,0.0036
0.564,-0.874,-0.4267,0.014,0.0002,0.0011,0.0077
0.613,-0.8734,-0.4271,0.016,0.0005,0.0016,0.0004
0.664,-0.8736,-0.428,0.018,0.0003,0.0016,0.0009
0.713,-0.8733,-0.4279,0.017,0.0019,0.0017,0.0059
0.763,-0.8736,-0.428,0.017,0.0018,0.0019,0.0064
0.814,-0.8734,-0.4277,0.018,0.0011,0.0031,0.0054
0.864,-0.8735,-0.4274,0.02,0.0007,0.0042,0.0069
0.914,-0.8733,-0.428,0.019,0.0015,0.0012,0.012
0.963,-0.8733,-0.428,0.017,0.0017,0.001,0.0117
1.014,-0.8734,-0.428,0.015,0.0017,0.0007,0.0054
1.064,-0.8735,-0.4274,0.017,0.0013,0.0007,-0.0026
1.116,-0.8737,-0.4275,0.019,0.0,0.0007,-0.0024
1.166,-0.8736,-0.428,0.016,0.0003,0.0009,0.0025
1.213,-0.8734,-0.4273,0.016,0.0002,0.0008,-0.0007
1.263,-0.8734,-0.4276,0.016,0.0009,0.004,-0.0023
1.316,-0.8736,-0.4279,0.017,0.0003,0.0008,-0.0031
1.365,-0.8736,-0.4276,0.018,0.0023,0.0011,-0.0009
1.414,-0.8733,-0.4275,0.017,0.0021,0.0027,0.003
1.463,-0.8735,-0.4273,0.015,0.0019,0.0009,0.003
1.514,-0.8733,-0.4278,0.015,0.0015,0.001,-0.0017
1.565,-0.8734,-0.4273,0.018,-0.0005,0.0033,-0.0044
1.615,-0.8736,-0.4279,0.016,0.0001,0.0004,0.0022
1.663,-0.8734,-0.4273,0.015,0.0008,0.0036,0.0013
1.718,-0.8737,-0.4272,0.015,-0.0003,0.003,-0.002
1.764,-0.8733,-0.4278,0.016,0.0006,-0.0003,-0.0033
1.814,-0.8737,-0.4273,0.018,0.0004,0.0026,-0.0012
1.863,-0.8733,-0.4278,0.017,0.0021,0.0022,0.005
1.914,-0.8737,-0.4273,0.016,0.0009,0.0035,0.0062
1.963,-0.8737,-0.4274,0.016,0.0014,0.0012,0.004
2.014,-0.8733,-0.4278,0.017,0.0009,0.0033,0.0021
2.063,-0.8736,-0.4276,0.018,0.0012,0.0009,0.0033
2.114,-0.8734,-0.4272,0.018,0.0021,0.0046,0.0065
2.164,-0.8731,-0.4277,0.014,0.002,0.005,0.0076
2.214,0.0,0.0,0.018,0.0003,0.0024,-0.0
2.264,-0.0,0.0003,0.018,0.0015,0.008,0.0018
2.314,-0.0,0.0007,0.016,0.0004,0.0136,0.0042
2.363,-0.0,0.0012,0.015,0.0007,0.0094,0.0024
2.413,0.0003,0.001,0.018,0.0042,0.0129,-0.0011
2.464,0.0004,0.0012,0.014,0.004,0.0194,0.0043
2.513,0.0002,0.0007,0.02,0.0033,0.0072,-0.003
2.563,-0.0001,0.0007,0.016,0.0013,0.0072,0.0066
2.614,0.0003,0.0006,0.017,0.0032,0.0058,0.0023
2.663,0.0003,0.0007,0.016,0.0005,0.0051,0.0025
2.714,0.0002,0.0006,0.017,0.0022,0.004,0.0001
2.764,-0.0001,0.0005,0.016,-0.0002,0.0049,0.0005
2.814,-0.0001,0.0012,0.017,0.0001,0.0028,-0.001
2.865,-0.0001,0.0004,0.016,0.0007,0.0026,0.0002
2.912,-0.0001,0.0014,0.017,0.0012,0.0072,-0.0008
2.963,0.0003,0.0004,0.017,0.003,0.0019,0.001
3.014,0.0003,0.0004,0.016,0.0027,0.0012,0.0026
3.062,-0.0001,0.0008,0.018,0.0007,0.0008,0.0008
3.113,-0.0001,0.0008,0.018,0.0009,0.0027,0.0042
3.164,-0.0001,0.0003,0.016,0.0013,0.0007,0.006
3.215,-0.0001,0.0003,0.015,0.0013,0.0022,0.0019
3.263,-0.0002,0.0003,0.018,0.0008,0.0001,-0.0027
3.314,-0.0002,0.001,0.017,0.0006,0.0027,0.0016
3.363,-0.0002,0.0003,0.017,0.001,0.003,0.0018
3.414,0.0002,0.0011,0.016,0.0012,-0.0002,0.0021
3.463,-0.0002,0.0011,0.017,0.0025,0.003,0.0003
3.513,-0.0002,0.0003,0.016,0.0008,-0.0001,0.0014
3.563,-0.0002,0.0007,0.018,0.0007,0.0003,-0.0002
3.612,0.0002,0.0007,0.018,0.0028,0.0017,0.0036
3.663,-0.0002,0.0003,0.016,0.0008,0.0005,0.0053
3.713,0.0002,0.001,0.016,0.0018,0.0005,0.0014
3.762,-0.0002,0.0003,0.017,0.0004,0.0013,0.0001
3.813,0.0002,0.0003,0.014,0.0022,0.0016,0.0011
3.864,-0.0002,0.0004,0.016,0.0005,0.0031,-0.0049
3.912,-0.0002,0.0003,0.016,0.0002,0.0019,-0.0032
3.963,-0.0002,0.001,0.018,0.0008,0.0014,-0.0021
4.015,-0.0001,0.0003,0.017,0.0014,0.0014,0.0041
4.063,-0.0001,0.0012,0.016,0.0015,0.001,0.0054
4.114,-0.0001,0.001,0.017,0.0014,0.0037,0.003
4.162,-0.0001,0.0011,0.017,0.0021,0.0035,0.0036
4.213,-0.0001,0.001,0.018,0.0021,0.003,0.0039
4.263,-0.0001,0.0003,0.015,0.002,0.0027,0.0061
4.313,0.0002,0.001,0.017,0.0016,0.0032,-0.0003
4.364,-0.0001,0.001,0.018,0.003,0.0029,0.0004
4.413,-0.0002,0.0003,0.016,0.0011,-0.0003,0.0035
4.463,-0.0002,0.0003,0.018,0.0014,0.0014,0.0008
4.514,-0.0002,0.0003,0.015,0.0014,0.0004,0.0035
4.563,-0.0002,0.0003,0.017,0.0013,0.0009,-0.0021
4.613,-0.0002,0.0003,0.015,0.0013,0.0008,-0.0006
4.663,-0.0002,0.0004,0.017,0.001,0.0039,-0.0041
4.714,0.0001,0.0009,0.017,0.0025,0.0006,-0.0008
4.763,-0.0002,0.0003,0.018,0.0014,-0.0,0.0013
4.814,-0.0001,0.0003,0.019,0.0024,0.0004,0.0051
4.862,-0.0001,0.0003,0.018,0.0031,0.0016,0.0089
4.912,-0.0001,0.0003,0.017,0.0017,0.0032,0.0081
4.962,0.0002,0.0003,0.016,0.0035,0.0001,0.0052
5.012,0.0002,0.0009,0.015,0.0031,0.0028,0.0006
5.062,0.0002,0.0009,0.014,0.0022,0.0027,-0.0041
5.113,-0.0004,0.0003,0.017,-0.0004,0.0001,-0.0085
