time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.265,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.674,,0.365,
0.269,0.0004,-0.0013,0.007,0.02,-0.49,0.06,0.0,0.001,-0.0033,-0.0026,,1.674,,0.366,
0.273,-0.0005,0.0003,0.008,0.02,-0.56,0.09,0.0,-0.0039,0.0013,-0.0032,,1.687,,0.366,
0.277,-0.0005,0.0003,0.009,0.02,-0.56,0.09,0.0,-0.0013,-0.0001,-0.0013,,1.687,,0.364,
0.283,-0.0005,-0.0002,0.006,0.02,-0.55,0.09,0.0,-0.0038,-0.0014,0.0025,,1.692,,0.364,
0.342,-0.0003,-0.0002,0.007,0.02,-0.54,0.08,0.0,-0.0001,-0.0015,-0.0021,,1.692,,0.37,
0.376,-0.0006,-0.0004,0.006,0.02,-0.54,0.09,0.0,-0.0002,-0.0022,-0.0027,,1.689,,0.37,
0.427,0.0002,0.0005,0.009,0.02,-0.57,0.06,0.0,0.0009,-0.0036,-0.0049,,1.689,,0.362,
0.485,-0.0003,-0.0002,0.01,0.02,-0.55,0.08,0.0,-0.0027,-0.0013,0.0003,,1.697,,0.362,
0.549,-0.0003,-0.0002,0.007,0.02,-0.55,0.08,0.0,-0.0033,-0.0015,0.0063,,1.697,,0.369,
0.582,0.0002,-0.0007,0.007,0.02,-0.53,0.06,0.0,-0.0032,-0.0036,0.0001,,1.7,,0.369,
0.639,-0.0003,-0.0002,0.008,0.02,-0.55,0.07,0.0,0.0006,-0.003,0.0001,,1.7,,0.365,
0.676,0.0004,-0.0007,0.006,0.02,-0.53,0.05,0.0,0.0004,-0.003,0.0004,,1.705,,0.365,
0.726,0.0001,-0.0002,0.007,0.02,-0.55,0.05,0.0,0.0004,-0.003,-0.0029,,1.705,,0.369,
0.776,-0.0001,-0.0005,0.007,0.02,-0.54,0.06,0.0,-0.0008,-0.0014,-0.0029,,1.7,,0.369,
0.827,-0.0006,0.0,0.006,0.02,-0.56,0.08,0.0,0.0006,-0.0029,-0.0022,,1.7,,0.365,
0.877,-0.0004,-0.0008,0.007,0.02,-0.53,0.07,0.0,-0.0017,-0.0033,-0.004,,1.704,,0.365,
0.947,0.0001,-0.0002,0.006,0.02,-0.55,0.04,0.0,0.0013,-0.0018,-0.0022,,1.704,,0.361,
0.99,0.0001,-0.0005,0.008,0.02,-0.54,0.04,0.0,0.0016,-0.0034,0.0013,,1.705,,0.361,
1.028,-0.0001,-0.0008,0.008,0.02,-0.53,0.05,0.0,0.0057,-0.002,0.0008,,1.705,,0.368,
1.076,-0.0002,-0.0005,0.007,0.02,-0.54,0.06,0.0,-0.003,-0.001,0.0019,,1.706,,0.368,
1.127,-0.0004,-0.0002,0.008,0.02,-0.55,0.07,0.0,0.0022,-0.0006,0.0021,,1.706,,0.366,
1.176,0.0001,-0.0007,0.007,0.02,-0.54,0.05,0.0,0.0017,-0.0017,0.0014,,1.704,,0.366,
1.246,-0.0006,-0.0005,0.007,0.02,-0.55,0.08,0.0,0.0029,-0.0006,0.0013,,1.704,,0.365,
1.299,0.0001,-0.0007,0.006,0.02,-0.54,0.05,0.0,0.0006,-0.0008,-0.0024,,1.71,,0.365,
1.327,-0.0004,-0.0007,0.008,0.02,-0.55,0.07,0.0,0.0017,-0.0024,-0.0022,,1.71,,0.365,
1.378,-0.0002,-0.0004,0.007,0.02,-0.56,0.06,0.0,-0.0006,0.0034,0.0006,,1.704,,0.365,
1.427,0.0001,-0.0007,0.006,0.02,-0.55,0.05,0.0,0.0022,-0.0048,0.0005,,1.704,,0.369,
1.476,-0.0002,-0.0005,0.006,0.02,-0.56,0.07,0.0,-0.0011,-0.0031,-0.0036,,1.71,,0.369,
1.543,-0.0006,-0.0002,0.007,0.02,-0.58,0.08,0.0,0.0025,-0.0022,-0.0038,,1.71,,0.364,
1.58,0.0,0.0002,0.007,0.02,-0.59,0.06,0.0,-0.003,0.0003,-0.0008,,1.702,,0.364,
1.626,-0.0002,0.0004,0.008,0.02,-0.59,0.06,0.0,0.0014,-0.0032,-0.0011,,1.702,,0.364,
1.678,0.0003,-0.0003,0.009,0.02,-0.56,0.05,0.0,-0.0024,-0.0007,0.0053,,1.705,,0.364,
1.727,0.0,-0.0003,0.008,0.02,-0.56,0.06,0.0,0.0011,-0.0031,0.0057,,1.705,,0.365,
1.776,0.0002,-0.0005,0.007,0.02,-0.55,0.05,0.0,0.001,-0.0015,0.0021,,1.706,,0.365,
1.835,0.0,-0.0003,0.006,0.02,-0.56,0.06,0.0,0.0011,-0.0063,0.002,,1.706,,0.362,
