time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.224,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.434,,1.29,,,,,
0.266,,-0.3739,-3.7398,0.012,-22.86,-0.36,0.35,0.0,0.0034,-0.0029,0.0021,0.671,0.434,,1.293,,,,,
0.317,,-0.3741,-3.7397,0.012,-22.75,-0.36,0.36,0.0,0.0017,-0.0031,0.0028,0.674,0.424,,1.293,,,,,
0.367,,-0.3744,-3.7404,0.01,-22.64,-0.33,0.36,0.0,0.0001,-0.0068,0.0032,0.674,0.424,2.481,1.29,,,,,
0.416,,-0.3743,-3.7408,0.01,-22.52,-0.32,0.35,0.0,0.0009,-0.0087,-0.0015,0.677,0.431,2.481,1.29,,,,,
0.469,,-0.3736,-3.7388,0.011,-22.41,-0.41,0.35,0.0,0.0045,0.0021,-0.0043,0.677,0.431,,1.296,,,,,
0.518,,-0.3734,-3.7389,0.01,-22.3,-0.41,0.34,0.0,0.006,0.0016,-0.0029,0.675,0.42,,1.296,,,,,
0.574,,-0.3741,-3.7398,0.011,-22.19,-0.37,0.36,0.0,0.0022,-0.0027,-0.0036,0.675,0.42,,1.295,,,,,
0.617,,-0.3737,-3.7389,0.013,-22.08,-0.4,0.36,0.0,0.0032,0.0015,-0.002,0.672,0.426,,1.295,,,,,
0.668,,-0.3736,-3.7391,0.009,-21.97,-0.4,0.35,0.0,0.0042,0.0011,0.0034,0.672,0.426,,1.289,,,,,
0.728,,-0.3738,-3.739,0.009,-21.86,-0.4,0.35,0.0,0.0035,0.0017,-0.0027,0.672,0.42,,1.289,,,,,
0.766,,-0.3737,-3.739,0.01,-21.75,-0.4,0.35,0.0,0.0031,0.0015,-0.0059,0.672,0.42,,1.296,,,,,
0.816,,-0.3744,-3.7407,0.013,-21.65,-0.32,0.35,0.0,-0.0006,-0.008,-0.0049,0.674,0.432,,1.296,,,,,
0.87,,-0.3743,-3.7403,0.011,-21.54,-0.35,0.34,0.0,0.0009,-0.0053,0.0019,0.674,0.432,,1.3,,,,,
0.922,,-0.3742,-3.7401,0.012,-21.43,-0.36,0.35,0.0,0.0014,-0.0037,0.0013,0.672,0.422,,1.3,,,,,
0.967,,-0.3743,-3.7405,0.012,-21.33,-0.34,0.35,0.0,0.0006,-0.0056,0.0028,0.672,0.422,,1.295,,,,,
1.017,,-0.3738,-3.7392,0.011,-21.22,-0.41,0.35,0.0,0.0034,0.0023,0.0036,0.672,0.429,,1.295,,,,,
1.066,,-0.3738,-3.7391,0.011,-21.11,-0.41,0.34,0.0,0.0034,0.0024,0.0012,0.672,0.429,,1.293,,,,,
1.124,,-0.3738,-3.7391,0.011,-21.01,-0.41,0.34,0.0,0.0036,0.0027,0.0004,0.675,0.421,,1.293,,,,,
1.174,,-0.374,-3.7398,0.012,-20.9,-0.38,0.35,0.0,0.0021,-0.0002,-0.0009,0.675,0.421,,1.289,,,,,
1.228,,-0.3738,-3.7392,0.013,-20.8,-0.4,0.34,0.0,0.0034,0.0023,0.0007,0.676,0.43,,1.289,,,,,
