time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.22,,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.419,2.447,,,,,,
0.262,,-0.013,0.001,0.015,0.68,-0.41,0.49,0.0,-0.0067,0.0016,-0.0019,0.719,0.418,2.447,,,,,,
0.312,,-0.0116,0.001,0.012,0.68,-0.42,0.43,0.0,0.0018,0.0015,-0.0016,0.719,0.418,,,,,,,
0.362,,-0.0122,0.0002,0.014,0.68,-0.38,0.47,0.0,-0.0022,-0.0033,-0.0086,0.721,0.419,,,,,,,
0.41,,-0.0131,0.0001,0.012,0.68,-0.38,0.5,0.0,-0.0073,-0.0031,-0.0076,0.721,0.419,,,,,,,
0.46,,-0.0121,0.0004,0.014,0.68,-0.39,0.46,0.0,-0.0015,-0.0018,-0.0104,0.72,0.419,,,,,,,
0.514,,-0.0131,-0.0001,0.013,0.68,-0.37,0.5,0.0,-0.0066,-0.0042,-0.0063,0.72,0.419,,,,,,,
0.561,,-0.0121,0.0001,0.015,0.68,-0.39,0.45,0.0,-0.0006,-0.0024,-0.0062,0.721,0.418,,,,,,,
0.612,,-0.0125,0.0009,0.015,0.67,-0.42,0.46,0.0,-0.0023,0.0021,-0.0017,0.721,0.418,2.451,0.613,,,,,
0.668,,-0.0129,-0.0003,0.012,0.68,-0.37,0.49,0.0,-0.0051,-0.0047,0.0018,0.718,0.418,2.451,0.613,,,,,
0.722,,-0.0113,-0.0003,0.012,0.67,-0.37,0.41,0.0,0.0038,-0.0042,-0.0032,0.718,0.418,,0.69,,,,,
0.763,,-0.0123,0.0003,0.015,0.68,-0.4,0.46,0.0,-0.0019,-0.0015,-0.0057,0.722,0.415,,0.69,,,,,
0.811,,-0.0129,0.0001,0.013,0.68,-0.38,0.48,0.0,-0.0051,-0.0026,-0.0009,0.722,0.415,,0.819,,,,,
0.879,,-0.0131,0.0001,0.016,0.68,-0.39,0.48,0.0,-0.0063,-0.0022,-0.002,0.72,0.416,,0.819,,,,,
0.926,,-0.0123,0.0009,0.013,0.67,-0.42,0.45,0.0,-0.0016,0.0022,0.004,0.72,0.416,,,,,,,
0.964,,-0.0131,0.0003,0.012,0.67,-0.4,0.49,0.0,-0.0062,-0.0007,0.0007,0.718,0.421,,,,,,,
1.011,,-0.0131,-0.0007,0.016,0.68,-0.35,0.49,0.0,-0.0064,-0.0068,-0.0038,0.718,0.421,,,,,,,
1.06,,-0.013,0.0009,0.015,0.67,-0.42,0.47,0.0,-0.0051,0.0031,0.0027,0.72,0.421,,,,,,,
1.111,,-0.0132,0.0003,0.014,0.67,-0.39,0.48,0.0,-0.0058,-0.0005,0.0042,0.72,0.421,,,,,,,
1.169,,-0.0122,-0.0003,0.013,0.68,-0.36,0.43,0.0,0.0001,-0.0043,0.002,0.724,0.419,,,,,,,
1.22,,-0.0133,-0.0008,0.014,0.68,-0.33,0.48,0.0,-0.0061,-0.0071,-0.0009,0.724,0.419,,,,,,,
1.264,,-0.0133,0.0005,0.014,0.68,-0.4,0.47,0.0,-0.0056,0.0005,-0.0008,0.72,0.419,,,,,,,
1.31,,-0.0129,0.0007,0.014,0.68,-0.41,0.45,0.0,-0.0028,0.0012,-0.0009,0.72,0.419,,,,,,,
1.36,,-0.0127,-0.0001,0.013,0.68,-0.37,0.44,0.0,-0.0009,-0.0036,-0.0007,0.723,0.419,,,,,,,
1.424,,-0.0127,0.0003,0.016,0.68,-0.39,0.44,0.0,-0.0011,-0.0011,-0.0028,0.723,0.419,,0.731,,,,,
1.479,,-0.0133,0.0001,0.014,0.68,-0.37,0.47,0.0,-0.0045,-0.0023,0.0024,0.717,0.418,,0.731,,,,,
1.512,,-0.0132,0.0003,0.016,0.68,-0.38,0.46,0.0,-0.0032,-0.0017,0.0011,0.717,0.418,2.469,,,,,,
1.56,,-0.0134,-0.0007,0.011,0.68,-0.33,0.47,0.0,-0.0048,-0.0079,0.0046,0.723,0.417,2.469,,,,,,
1.61,,-0.0125,0.0001,0.013,0.68,-0.37,0.43,0.0,0.0002,-0.0033,-0.0048,0.723,0.417,,,,,,,
1.66,,-0.0134,0.0009,0.015,0.68,-0.4,0.46,0.0,-0.0047,0.0016,-0.0062,0.722,0.418,,,,,,,
1.716,,-0.0117,0.0012,0.014,0.68,-0.41,0.39,0.0,0.0053,0.0028,-0.0023,0.722,0.418,,,,,,,
1.765,,-0.0134,0.0001,0.015,0.68,-0.36,0.47,0.0,-0.0047,-0.0037,-0.0014,0.724,0.418,,,,,,,
1.81,,-0.0128,0.0003,0.015,0.68,-0.38,0.44,0.0,-0.001,-0.002,0.0012,0.724,0.418,,,,,,,
1.86,,-0.0115,0.0008,0.015,0.68,-0.4,0.38,0.0,0.0062,0.001,0.0029,0.724,0.416,,,,,,,
1.911,,-0.0126,0.0005,0.014,0.68,-0.39,0.43,0.0,-0.0002,-0.0005,0.0033,0.724,0.416,,,,,,,
1.985,,-0.013,0.0001,0.017,0.68,-0.37,0.45,0.0,-0.0029,-0.003,0.0006,0.725,0.419,,,,,,,
2.015,,-0.0126,0.0004,0.013,0.68,-0.38,0.44,0.0,-0.0013,-0.0017,0.0051,0.725,0.419,,,,,,,
2.068,,-0.0124,0.0003,0.013,0.68,-0.38,0.43,0.0,0.0003,-0.0015,-0.0014,0.719,0.419,,,,,,,
2.11,,-0.0128,0.001,0.014,0.68,-0.42,0.45,0.0,-0.0021,0.002,-0.0047,0.719,0.419,,,,,,,
2.16,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0001,-0.0001,-0.0,0.719,0.419,,,,,,,
2.21,,0.0003,-0.0001,0.014,0.0,0.01,-0.12,0.0,0.0114,-0.0053,-0.0005,0.719,0.419,,,,,,,
2.263,,0.0003,-0.0004,0.013,0.0,-0.01,0.15,0.0,0.0049,-0.008,0.0,0.724,0.42,,,,,,,
2.317,,0.0003,-0.0004,0.013,0.01,-0.14,0.25,0.0,0.0043,-0.0063,-0.0004,0.724,0.42,,,,,,,
2.36,,0.0,-0.0005,0.015,0.01,-0.2,0.38,0.0,-0.0001,-0.0061,-0.0014,0.719,0.419,,,,,,,
2.411,,0.0004,-0.0003,0.014,0.02,-0.32,0.33,0.0,0.0029,-0.0019,0.0019,0.719,0.419,,,,,,,
2.46,,0.0006,-0.0007,0.013,0.02,-0.27,0.31,0.0,0.0044,-0.0058,0.002,0.717,0.42,,,,,,,
2.534,,0.0004,0.0,0.013,0.03,-0.41,0.38,0.0,0.0012,0.0011,-0.0005,0.717,0.42,,0.718,,,,,
2.566,,0.0001,0.0,0.015,0.03,-0.41,0.42,0.0,-0.0014,0.0014,-0.0028,0.722,0.419,,0.718,,,,,
2.62,,0.0001,-0.0009,0.015,0.03,-0.32,0.41,0.0,-0.0011,-0.0052,0.0009,0.722,0.419,,,,,,,
2.66,,0.0008,-0.0006,0.016,0.03,-0.35,0.36,0.0,0.004,-0.0029,0.0026,0.722,0.421,,,,,,,
2.71,,0.0,0.0004,0.014,0.04,-0.43,0.43,0.0,-0.0025,0.0038,0.0063,0.722,0.421,,,,,,,
2.761,,0.0008,0.0001,0.013,0.04,-0.41,0.39,0.0,0.0022,0.0011,0.002,0.717,0.42,,,,,,,
2.822,,-0.0002,-0.0004,0.015,0.04,-0.38,0.46,0.0,-0.0043,-0.0017,-0.0031,0.717,0.42,,,,,,,
2.87,,0.0005,-0.0004,0.014,0.05,-0.39,0.4,0.0,0.0006,-0.0014,-0.0001,0.719,0.419,,,,,,,
2.912,,0.0005,-0.0001,0.013,0.05,-0.4,0.39,0.0,0.0015,0.0002,-0.0015,0.719,0.419,,,,,,,
2.96,,0.0005,-0.0009,0.013,0.05,-0.36,0.39,0.0,0.0018,-0.0051,-0.005,0.717,0.42,,,,,,,
3.011,,0.0005,0.0001,0.012,0.06,-0.42,0.39,0.0,0.0022,0.0012,-0.0065,0.717,0.42,,,,,,,
3.075,,-0.0007,-0.0006,0.016,0.06,-0.38,0.46,0.0,-0.0048,-0.0028,-0.0091,0.718,0.42,,,,,,,
3.124,,-0.0003,-0.0006,0.015,0.06,-0.39,0.44,0.0,-0.0021,-0.003,-0.0002,0.718,0.42,,,,,,,
3.17,,0.0013,-0.0003,0.015,0.07,-0.4,0.37,0.0,0.0067,-0.0013,0.0028,0.719,0.417,,,,,,,
3.21,,0.0002,0.0001,0.012,0.07,-0.42,0.43,0.0,0.0001,0.0015,0.0036,0.719,0.417,,,,,,,
3.261,,0.0013,0.0001,0.013,0.08,-0.42,0.38,0.0,0.0056,0.0017,-0.0036,0.72,0.418,,,,,,,
3.309,,0.0002,-0.0003,0.014,0.08,-0.39,0.44,0.0,-0.0014,-0.0008,-0.0047,0.72,0.418,,,,,,,
3.368,,0.0002,-0.0003,0.013,0.08,-0.4,0.45,0.0,-0.0019,-0.0008,-0.0019,0.717,0.421,,,,,,,
3.424,,0.0004,-0.0003,0.014,0.08,-0.39,0.44,0.0,-0.0013,-0.0009,-0.0029,0.717,0.421,,,,,,,
3.459,,0.0012,0.0001,0.013,0.09,-0.42,0.4,0.0,0.0036,0.0014,-0.0003,0.719,0.422,,,,,,,
3.51,,0.0001,-0.0003,0.015,0.09,-0.39,0.45,0.0,-0.0026,-0.0016,-0.0015,0.719,0.422,,,,,,,
3.56,,-0.0003,0.0001,0.013,0.1,-0.41,0.47,0.0,-0.0049,0.0013,0.0023,0.723,0.421,,,,,,,
3.628,,-0.0007,0.0001,0.014,0.1,-0.41,0.48,0.0,-0.0069,0.001,-0.0003,0.723,0.421,,,,,,,
3.673,,-0.0001,-0.0005,0.013,0.1,-0.38,0.45,0.0,-0.0029,-0.0026,0.0006,0.724,0.418,,,,,,,
3.724,,0.0012,-0.0007,0.012,0.11,-0.37,0.39,0.0,0.0038,-0.0041,-0.0015,0.724,0.418,,,,,,,
3.759,,-0.0002,0.0001,0.014,0.11,-0.42,0.46,0.0,-0.0038,0.0018,-0.0049,0.722,0.42,,,,,,,
3.809,,-0.0002,-0.0001,0.015,0.11,-0.41,0.45,0.0,-0.0032,0.0005,-0.0025,0.722,0.42,,,,,,,
3.859,,0.0002,-0.0003,0.013,0.12,-0.4,0.42,0.0,0.0007,-0.0007,0.0018,0.722,0.421,,,,,,,
3.916,,-0.0008,-0.0003,0.014,0.12,-0.4,0.48,0.0,-0.0058,-0.0008,-0.0012,0.722,0.421,,,,,,,
3.97,,-0.0002,-0.0009,0.014,0.12,-0.38,0.44,0.0,-0.0016,-0.0041,-0.0011,0.718,0.421,,,,,,,
4.009,,0.0002,0.0001,0.014,0.12,-0.43,0.42,0.0,0.0011,0.0019,-0.0008,0.718,0.421,,,,,,,
