time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.265,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.383,1.498,,0.149,
0.266,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.383,1.498,,0.148,
0.267,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.392,1.503,,0.148,
0.268,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.392,1.503,,0.148,
0.285,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.493,,0.148,
0.341,0.0972,0.1966,0.008,25.76,-1.03,-0.08,0.0,-0.0011,-0.0003,0.003,1.4,1.493,,0.144,
0.386,0.0974,0.196,0.008,25.63,-1.01,-0.08,0.0,-0.0002,-0.0034,0.0048,1.445,1.494,,0.144,
0.437,0.0974,0.196,0.008,25.5,-1.01,-0.08,0.0,-0.0003,-0.0035,0.0046,1.445,1.494,,0.149,
0.487,0.0978,0.1952,0.008,25.38,-0.97,-0.08,0.0,0.0019,-0.0067,0.0045,1.478,1.495,,0.149,
0.561,0.0974,0.1961,0.006,25.25,-1.01,-0.08,0.0,0.0002,-0.0029,-0.0006,1.478,1.495,,0.144,
0.605,0.0972,0.1966,0.005,25.13,-1.03,-0.09,0.0,-0.0008,0.0001,-0.0051,1.52,1.497,,0.144,
0.648,0.0972,0.1966,0.007,25.0,-1.03,-0.08,0.0,-0.0012,0.0005,-0.0027,1.52,1.497,,0.147,
0.686,0.0973,0.1963,0.007,24.88,-1.02,-0.07,0.0,-0.0005,-0.0005,-0.0017,1.539,1.502,,0.147,
0.735,0.0972,0.1966,0.007,24.76,-1.03,-0.07,0.0,-0.0012,0.001,-0.0007,1.539,1.502,,0.15,
0.785,0.0974,0.196,0.005,24.63,-1.01,-0.07,0.0,-0.0002,-0.0021,-0.0045,,1.494,,0.15,
0.836,0.0973,0.1963,0.008,24.51,-1.01,-0.07,0.0,-0.001,-0.0008,0.0001,,1.494,,0.15,
0.887,0.0982,0.1942,0.009,24.39,-0.92,-0.07,0.0,0.0039,-0.0114,0.0046,1.549,1.499,,0.15,
0.97,0.0974,0.1961,0.007,24.27,-1.01,-0.07,0.0,-0.0008,-0.0017,0.0033,1.549,1.499,,0.144,
0.993,0.0974,0.1961,0.007,24.15,-1.01,-0.07,0.0,-0.0005,-0.0021,0.0019,1.554,1.495,,0.144,
1.039,0.0973,0.196,0.01,24.03,-1.0,-0.07,0.0,-0.0005,-0.0023,0.0075,1.554,1.495,,0.147,
1.086,0.0974,0.1961,0.006,23.92,-1.02,-0.07,0.0,-0.0006,-0.0019,0.0016,,1.498,,0.147,
1.136,0.0976,0.1954,0.009,23.8,-0.99,-0.06,0.0,0.001,-0.0056,0.0041,,1.498,,0.147,
1.186,0.0971,0.1966,0.006,23.68,-1.04,-0.06,0.0,-0.0016,0.0002,-0.0014,,1.502,,0.147,
1.275,0.0977,0.1952,0.006,23.56,-0.98,-0.06,0.0,0.0017,-0.0067,-0.0045,,1.502,,0.149,
1.306,0.0974,0.1961,0.006,23.45,-1.01,-0.06,0.0,-0.0001,-0.0029,-0.0055,1.56,1.498,,0.149,
1.336,0.0973,0.1961,0.007,23.33,-1.01,-0.06,0.0,-0.0006,-0.0028,-0.0033,1.56,1.498,,0.147,
1.386,0.0991,0.1974,0.006,23.22,-1.04,-0.13,0.0,0.0074,0.0037,-0.0039,1.566,1.499,,0.147,
1.436,0.0972,0.1966,0.006,23.1,-1.04,-0.05,0.0,-0.0021,-0.0006,-0.0038,1.566,1.499,,0.151,
1.487,0.0975,0.1959,0.007,22.99,-1.0,-0.05,0.0,-0.0012,-0.0038,-0.0009,1.556,1.499,,0.151,
1.57,0.0975,0.1958,0.006,22.87,-1.01,-0.05,0.0,-0.0015,-0.0045,-0.0012,1.556,1.499,,0.15,
1.61,0.0972,0.1966,0.007,22.76,-1.04,-0.06,0.0,-0.0029,-0.0005,0.0012,,1.5,,0.15,
1.637,0.0974,0.1958,0.008,22.65,-1.01,-0.06,0.0,-0.0013,-0.0044,0.0047,,1.5,,0.149,
1.687,0.0975,0.1956,0.01,22.54,-1.0,-0.06,0.0,-0.0015,-0.0052,0.011,1.585,1.499,,0.149,
1.736,0.0974,0.1958,0.008,22.43,-1.01,-0.06,0.0,-0.0018,-0.0032,0.0088,1.585,1.499,,0.151,
1.787,0.0973,0.1963,0.006,22.31,-1.04,-0.06,0.0,-0.0029,0.0002,0.002,1.577,1.498,,0.151,
1.862,0.0976,0.1954,0.008,22.2,-1.0,-0.06,0.0,-0.0006,-0.0049,0.0021,1.577,1.498,,0.149,
1.901,0.0971,0.1965,0.007,22.09,-1.05,-0.06,0.0,-0.0028,0.0008,0.0001,,1.489,,0.149,
1.937,0.0974,0.1959,0.008,21.98,-1.01,-0.06,0.0,-0.0013,-0.0029,0.0016,,1.489,,0.148,
1.987,0.0971,0.1966,0.008,21.87,-1.04,-0.06,0.0,-0.0028,0.0015,0.0022,1.602,1.498,,0.148,
2.035,0.0973,0.1961,0.008,21.76,-1.02,-0.06,0.0,-0.0017,-0.002,0.0025,1.602,1.498,,0.147,
2.086,0.0973,0.1958,0.007,21.66,-1.0,-0.05,0.0,-0.0012,-0.0038,0.0008,1.594,1.495,,0.147,
2.156,0.0973,0.1957,0.008,21.55,-1.0,-0.05,0.0,-0.0013,-0.0037,0.0011,1.594,1.495,,0.146,
2.202,0.0971,0.1963,0.006,21.45,-1.02,-0.05,0.0,-0.0025,-0.0015,-0.0025,1.611,1.498,,0.146,
2.236,0.0975,0.1954,0.01,21.34,-0.98,-0.05,0.0,-0.0004,-0.0061,0.0042,1.611,1.498,,0.147,
2.286,0.0973,0.1958,0.008,21.23,-1.0,-0.05,0.0,-0.0012,-0.0033,0.0036,,1.499,,0.147,
2.336,-0.0,-0.0,0.006,0.0,-0.0,0.0,0.0,-0.0003,-0.0025,0.0,,1.499,,0.15,
2.386,-0.0,-0.0002,0.009,-0.0,-0.02,0.0,0.0,-0.0012,-0.0103,0.0011,1.589,1.496,,0.15,
2.458,-0.0001,-0.0007,0.007,0.0,-0.07,-0.0,0.0,-0.0019,-0.0175,0.0006,1.589,1.496,,0.148,
2.499,-0.0001,-0.0004,0.005,0.0,-0.44,-0.02,0.0,-0.0021,-0.0106,-0.0035,1.6,1.501,,0.148,
2.535,-0.0001,-0.0024,0.006,0.0,-0.09,-0.04,0.0,-0.0025,-0.0306,-0.0041,1.6,1.501,,0.145,
2.585,-0.0001,-0.0018,0.009,0.0,-0.44,-0.06,0.0,-0.002,-0.0206,0.0037,1.606,1.502,,0.145,
2.636,-0.0001,-0.0026,0.008,0.0,-0.45,-0.07,0.0,-0.0014,-0.0252,0.0052,1.606,1.502,,0.15,
2.685,-0.0001,-0.001,0.006,0.0,-0.78,-0.08,0.0,-0.0011,-0.0094,0.0009,1.576,1.504,,0.15,
2.774,-0.0001,-0.0008,0.007,0.01,-0.85,-0.08,0.0,-0.0014,-0.007,0.0004,1.576,1.504,,0.149,
2.787,-0.0002,-0.0014,0.008,0.01,-0.83,-0.08,0.0,-0.0014,-0.0094,0.0028,1.603,1.495,,0.149,
2.835,-0.0001,-0.0007,0.008,0.01,-0.9,-0.09,0.0,-0.0008,-0.0045,0.0044,1.603,1.495,,0.148,
2.887,-0.0001,-0.001,0.005,0.01,-0.89,-0.09,0.0,-0.0009,-0.0062,-0.0024,1.595,1.497,,0.148,
2.937,-0.0001,-0.0009,0.008,0.01,-0.92,-0.09,0.0,-0.0008,-0.0051,0.0005,1.595,1.497,,0.149,
2.986,-0.0001,-0.0009,0.005,0.01,-0.92,-0.09,0.0,-0.0002,-0.0055,-0.005,1.604,1.503,,0.149,
3.067,-0.0001,-0.0014,0.007,0.01,-0.91,-0.09,0.0,-0.0005,-0.0087,-0.0029,1.604,1.503,,0.145,
3.093,-0.0001,-0.0009,0.008,0.01,-0.94,-0.09,0.0,-0.0009,-0.0056,0.0006,1.615,1.498,,0.145,
