time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
2.351,-0.0076,0.0671,0.006,0.72,0.59,-0.82,0.0,-0.0057,0.0025,0.0061,0.603,0.715,1.097,0.155,
2.402,-0.0077,0.0672,0.007,0.72,0.59,-0.82,0.0,-0.0063,0.0026,-0.0014,0.621,0.718,1.097,0.155,
2.475,0.0,0.0,0.007,0.0,0.0,0.0,0.0,-0.002,0.0033,0.0,0.621,0.718,,0.156,
2.511,-0.0002,0.0002,0.008,0.0,0.0,0.01,0.0,-0.009,0.0139,0.0007,0.61,0.716,,0.156,
2.551,-0.0005,0.0003,0.007,0.0,0.18,-0.09,0.0,-0.0136,0.007,0.0005,0.61,0.716,,0.155,
2.602,-0.001,0.0008,0.007,0.01,0.14,-0.18,0.0,-0.0176,0.0125,-0.0005,0.611,,,0.155,
2.651,-0.001,0.0003,0.008,0.01,0.41,-0.38,0.0,-0.0112,0.007,0.0001,0.611,,1.085,0.159,
2.702,-0.0013,0.0002,0.007,0.01,0.48,-0.45,0.0,-0.0126,0.008,-0.0001,0.621,0.716,1.085,0.159,
2.768,-0.0008,0.0007,0.009,0.02,0.45,-0.63,0.0,-0.0103,0.0163,-0.0002,0.621,0.716,,0.155,
2.814,-0.0009,0.0006,0.004,0.02,0.51,-0.68,0.0,-0.0103,0.0047,-0.0055,0.617,0.716,,0.155,
2.854,-0.0008,0.0009,0.009,0.03,0.5,-0.73,0.0,-0.0082,0.0037,-0.006,0.617,0.716,,0.154,
2.901,-0.0009,-0.0,0.008,0.03,0.6,-0.75,0.0,-0.0077,0.0097,0.0018,0.607,0.716,,0.154,
2.952,-0.0009,0.0006,0.006,0.04,0.55,-0.77,0.0,-0.0076,0.0039,0.0019,0.607,0.716,1.093,0.158,
3.001,-0.001,0.0007,0.009,0.04,0.56,-0.78,0.0,-0.0081,0.0038,0.0022,0.613,0.724,1.093,0.158,
3.06,-0.0008,0.0009,0.009,0.04,0.55,-0.81,0.0,-0.0067,0.0069,0.0016,0.613,0.724,1.096,0.154,
3.105,-0.0007,0.0005,0.009,0.05,0.58,-0.82,0.0,-0.0063,0.0076,0.0048,0.618,0.73,1.096,0.154,
3.151,-0.0016,-0.0002,0.007,0.05,0.62,-0.78,0.0,-0.0057,0.0006,0.0048,0.618,0.73,1.101,0.152,
3.201,-0.0007,0.0012,0.006,0.05,0.55,-0.83,0.0,-0.0066,0.006,-0.0043,0.602,0.727,1.101,0.152,
3.251,-0.0006,0.0014,0.01,0.05,0.55,-0.84,0.0,-0.0053,0.0079,-0.0044,0.602,0.727,1.1,0.155,
3.301,-0.0006,0.0011,0.007,0.06,0.57,-0.84,0.0,-0.0058,0.0016,-0.0002,0.625,,1.1,0.155,
3.367,-0.0006,0.0015,0.006,0.06,0.56,-0.84,0.0,-0.0058,0.0049,-0.0003,0.625,,1.1,0.15,
3.401,-0.0005,0.0004,0.006,0.06,0.61,-0.84,0.0,-0.0061,0.0021,-0.0066,0.625,,1.1,0.15,
3.452,-0.0007,0.0008,0.008,0.07,0.6,-0.84,0.0,-0.0074,-0.0028,-0.0062,0.625,,1.1,0.15,
3.501,-0.0002,0.0001,0.007,0.07,0.62,-0.85,0.0,-0.0053,-0.0006,-0.0015,0.618,0.724,1.1,0.15,
3.551,-0.0005,0.0,0.007,0.08,0.62,-0.85,0.0,-0.0049,0.0033,-0.0018,0.618,0.724,1.096,0.149,
3.64,-0.0001,0.0003,0.008,0.08,0.61,-0.86,0.0,-0.0041,0.002,0.0016,0.609,0.725,1.096,0.149,
3.697,-0.0001,0.0,0.007,0.08,0.62,-0.85,0.0,-0.0041,0.0006,0.0016,0.609,0.725,1.097,0.151,
3.711,-0.0003,0.0007,0.007,0.09,0.59,-0.84,0.0,-0.0075,-0.0009,0.0003,0.62,0.708,1.097,0.151,
3.751,-0.0005,0.0012,0.009,0.09,0.57,-0.83,0.0,-0.0055,0.0066,0.0003,0.62,0.708,1.099,0.155,
3.801,-0.0005,0.0,0.005,0.09,0.62,-0.83,0.0,-0.0053,-0.0005,-0.002,0.616,0.712,1.099,0.155,
3.851,-0.0004,0.0006,0.008,0.09,0.59,-0.84,0.0,-0.0045,0.0067,-0.002,0.616,0.712,,0.154,
3.931,-0.0004,0.0003,0.007,0.1,0.6,-0.84,0.0,-0.0028,0.0021,0.0003,0.617,0.724,,0.154,
3.975,-0.0004,-0.0003,0.005,0.1,0.62,-0.83,0.0,-0.0042,0.0039,-0.0001,0.617,0.724,1.092,0.155,
4.001,-0.0005,0.0003,0.009,0.1,0.6,-0.83,0.0,-0.0046,0.0039,0.0004,0.618,0.728,1.092,0.155,
4.051,-0.0005,-0.0006,0.01,0.11,0.64,-0.82,0.0,-0.005,0.0009,0.0008,0.618,0.728,1.092,0.154,
4.101,-0.0005,0.0003,0.008,0.11,0.6,-0.82,0.0,-0.0056,0.0028,0.0048,0.609,0.716,1.092,0.154,
4.152,-0.0006,0.0003,0.007,0.12,0.6,-0.81,0.0,-0.0056,0.0024,0.0045,0.609,0.716,1.088,0.154,
4.224,-0.0006,0.0007,0.008,0.12,0.59,-0.81,0.0,-0.0053,0.0022,0.0004,0.619,0.716,1.088,0.154,
4.273,-0.0005,0.0003,0.006,0.12,0.6,-0.81,0.0,-0.0049,0.0044,0.0007,0.619,0.716,1.095,0.149,
4.303,-0.0017,0.0003,0.007,0.12,0.6,-0.77,0.0,-0.0056,0.0015,-0.0039,0.628,0.717,1.095,0.149,
4.351,-0.0013,0.0005,0.007,0.13,0.59,-0.78,0.0,-0.0053,0.0043,-0.0034,0.628,0.717,1.095,0.154,
4.401,-0.0004,0.0016,0.007,0.13,0.54,-0.81,0.0,-0.0055,0.0036,-0.0024,0.62,0.72,1.095,0.154,
4.451,-0.0004,0.0003,0.007,0.13,0.6,-0.82,0.0,-0.0057,0.0012,-0.0025,0.62,0.72,1.087,0.153,
4.517,-0.0006,0.0003,0.008,0.13,0.6,-0.82,0.0,-0.0056,0.0033,0.0012,,0.714,1.087,0.153,
4.564,-0.0007,0.0,0.008,0.14,0.61,-0.81,0.0,-0.0058,0.0051,0.0017,,0.714,,0.157,
4.6,-0.0006,0.0,0.007,0.14,0.6,-0.82,0.0,-0.0061,0.0012,0.0022,0.591,0.72,,0.157,
4.65,-0.0008,0.0007,0.009,0.14,0.58,-0.81,0.0,-0.007,0.0043,0.0023,0.591,0.72,1.105,0.154,
4.702,-0.0011,0.0009,0.009,0.15,0.57,-0.81,0.0,-0.0086,0.0051,0.0068,0.62,0.717,1.105,0.154,
4.751,-0.001,0.0013,0.009,0.15,0.56,-0.81,0.0,-0.0068,0.0025,0.0072,0.62,0.717,1.086,0.152,
4.808,-0.0009,0.0004,0.009,0.15,0.59,-0.81,0.0,-0.0066,0.0035,0.0067,0.607,0.712,1.086,0.152,
4.853,-0.0011,0.0009,0.009,0.16,0.58,-0.8,0.0,-0.008,0.0038,0.0068,0.607,0.712,1.097,0.156,
4.901,-0.0013,-0.0004,0.006,0.16,0.62,-0.8,0.0,-0.0064,0.0033,-0.0018,0.611,0.718,1.097,0.156,
4.95,-0.0008,0.0004,0.008,0.16,0.59,-0.81,0.0,-0.0061,0.0036,-0.0017,0.611,0.718,1.104,0.153,
5.0,-0.0009,0.0011,0.009,0.17,0.57,-0.81,0.0,-0.0061,-0.0009,0.0005,0.622,0.715,1.104,0.153,
5.05,-0.0008,0.0007,0.008,0.17,0.59,-0.81,0.0,-0.0056,0.002,0.0009,0.622,0.715,,0.158,
5.101,-0.0017,0.001,0.008,0.17,0.58,-0.78,0.0,-0.0068,0.0025,-0.0002,0.614,0.717,,0.158,
5.157,-0.0003,0.0006,0.008,0.17,0.59,-0.83,0.0,-0.0045,0.0025,-0.0001,0.614,0.717,1.09,0.151,
5.199,-0.0004,0.0006,0.006,0.17,0.59,-0.82,0.0,-0.0078,-0.0017,-0.0045,0.613,0.714,1.09,0.151,
5.25,-0.0007,0.0006,0.009,0.18,0.59,-0.81,0.0,-0.0058,0.0054,-0.0044,0.613,0.714,1.101,0.154,
5.3,-0.0008,0.0003,0.008,0.18,0.6,-0.82,0.0,-0.0068,0.0012,0.0007,0.617,0.716,1.101,0.154,
5.381,-0.0007,0.0009,0.008,0.18,0.58,-0.82,0.0,-0.0064,0.0033,0.001,0.617,0.716,1.092,0.154,
5.419,-0.0007,0.0004,0.006,0.18,0.6,-0.82,0.0,-0.0069,0.0008,-0.003,0.62,0.725,1.092,0.154,
5.45,-0.001,0.0011,0.008,0.19,0.58,-0.82,0.0,-0.0075,0.0061,-0.0025,0.62,0.725,1.096,0.155,
5.5,-0.0009,0.0004,0.006,0.19,0.6,-0.83,0.0,-0.0076,0.0013,-0.0034,0.619,,1.096,0.155,
5.551,-0.0009,0.0007,0.007,0.19,0.59,-0.83,0.0,-0.0067,0.0018,-0.0034,0.619,,1.092,0.156,
5.601,-0.0009,0.0004,0.007,0.19,0.61,-0.83,0.0,-0.0062,0.0072,-0.0021,0.617,0.71,1.092,0.156,
5.674,-0.0017,0.0007,0.006,0.2,0.6,-0.8,0.0,-0.0059,0.005,-0.0017,0.617,0.71,1.097,0.157,
5.723,-0.0009,0.001,0.008,0.2,0.59,-0.84,0.0,-0.0076,0.0087,-0.0002,,,1.097,0.157,
5.771,-0.0009,0.0012,0.007,0.2,0.58,-0.85,0.0,-0.0056,-0.001,0.0002,,,,0.159,
5.8,-0.0009,0.0001,0.006,0.21,0.62,-0.84,0.0,-0.0059,0.0018,-0.0016,0.619,,,0.159,
5.85,-0.0009,0.0004,0.008,0.21,0.61,-0.84,0.0,-0.0061,0.002,-0.0017,0.619,,1.103,0.153,
5.901,-0.001,0.0007,0.005,0.21,0.6,-0.84,0.0,-0.0074,0.009,-0.0033,0.605,0.71,1.103,0.153,
5.966,-0.0009,0.0009,0.007,0.21,0.59,-0.85,0.0,-0.0055,0.0051,-0.0033,0.605,0.71,1.093,0.157,
6.002,-0.0009,0.0009,0.006,0.21,0.59,-0.85,0.0,-0.0055,0.0014,-0.002,0.62,0.708,1.093,0.157,
6.05,-0.001,0.0004,0.007,0.21,0.6,-0.85,0.0,-0.0056,0.0012,-0.0021,0.62,0.708,1.096,0.154,
6.1,-0.0011,0.0014,0.008,0.21,0.56,-0.84,0.0,-0.0041,0.0011,0.0031,0.62,0.709,1.096,0.154,
6.15,-0.0009,0.0008,0.006,0.21,0.58,-0.85,0.0,-0.0045,0.0062,0.0028,0.62,0.709,,0.156,
6.201,-0.0009,0.0011,0.006,0.21,0.57,-0.84,0.0,-0.0044,0.0054,-0.0016,0.614,0.709,,0.156,
6.264,-0.0009,0.0014,0.007,0.21,0.56,-0.85,0.0,-0.0046,0.002,-0.0012,0.614,0.709,1.097,0.155,
6.317,-0.001,0.0012,0.009,0.22,0.57,-0.84,0.0,-0.0066,0.0008,0.0047,0.61,0.723,1.097,0.155,
6.35,-0.0012,0.0005,0.009,0.22,0.6,-0.84,0.0,-0.0063,0.0005,0.0049,0.61,0.723,1.096,0.155,
6.4,-0.0013,0.0012,0.009,0.23,0.57,-0.84,0.0,-0.0082,-0.0038,0.0084,0.626,0.724,1.096,0.155,
6.45,-0.0011,0.0011,0.007,0.23,0.57,-0.84,0.0,-0.0062,0.0038,0.009,0.626,0.724,1.093,0.158,
6.5,-0.0012,0.002,0.007,0.23,0.54,-0.84,0.0,-0.0057,0.0033,0.0009,0.609,,1.093,0.158,
6.565,-0.0011,0.0013,0.007,0.23,0.57,-0.84,0.0,-0.005,0.0025,0.0014,0.609,,1.091,0.154,
6.607,-0.0011,0.0005,0.007,0.24,0.6,-0.84,0.0,-0.0062,0.0065,-0.0013,0.614,0.715,1.091,0.154,
6.65,-0.0011,0.001,0.008,0.24,0.57,-0.84,0.0,-0.0048,-0.001,-0.0014,0.614,0.715,1.093,0.152,
6.7,-0.0012,0.0011,0.006,0.24,0.57,-0.84,0.0,-0.0059,-0.0018,-0.0028,0.613,0.715,1.093,0.152,
6.75,-0.0011,0.0013,0.008,0.24,0.56,-0.84,0.0,-0.0048,0.0025,-0.0023,0.613,0.715,1.11,0.152,
6.799,-0.0012,0.0013,0.007,0.25,0.56,-0.84,0.0,-0.005,0.0039,-0.0006,0.617,0.711,1.11,0.152,
6.865,-0.0012,0.0016,0.005,0.25,0.55,-0.84,0.0,-0.0051,0.0037,0.0001,0.617,0.711,,0.153,
6.903,-0.001,0.0013,0.006,0.25,0.56,-0.85,0.0,-0.004,0.0025,-0.006,0.62,,,0.153,
6.95,-0.001,0.0014,0.006,0.26,0.56,-0.84,0.0,-0.004,-0.0018,-0.0054,0.62,,1.092,0.154,
7.0,-0.0011,0.0009,0.008,0.26,0.58,-0.84,0.0,-0.0044,0.0051,-0.0001,0.63,0.71,1.092,0.154,
7.049,-0.0014,0.0015,0.008,0.26,0.55,-0.82,0.0,-0.006,0.0037,0.0003,0.63,0.71,,0.155,
7.099,-0.0014,0.0009,0.009,0.27,0.58,-0.82,0.0,-0.0058,0.0031,0.0074,0.603,0.719,,0.155,
7.164,-0.0014,0.0015,0.004,0.27,0.55,-0.82,0.0,-0.0059,0.002,0.0075,0.603,0.719,1.091,0.154,
7.224,-0.0015,0.001,0.007,0.27,0.58,-0.82,0.0,-0.0069,0.0025,-0.0012,0.616,0.722,1.091,0.154,
7.253,-0.0016,0.001,0.007,0.27,0.57,-0.82,0.0,-0.0046,0.0027,-0.0005,0.616,0.722,1.097,0.152,
7.299,-0.0015,0.0015,0.009,0.28,0.55,-0.82,0.0,-0.0056,0.0027,0.0054,0.618,0.725,1.097,0.152,
7.35,-0.0015,0.0006,0.006,0.28,0.59,-0.82,0.0,-0.0059,0.0016,0.0053,0.618,0.725,1.098,0.155,
7.4,-0.0016,0.0016,0.006,0.28,0.55,-0.81,0.0,-0.0057,0.0046,-0.0013,,,1.098,0.155,
7.464,-0.0017,0.0013,0.007,0.28,0.57,-0.81,0.0,-0.0068,0.0055,-0.0015,,,1.102,0.153,
7.519,-0.0018,0.0011,0.009,0.29,0.57,-0.81,0.0,-0.0078,-0.0008,0.004,0.619,,1.102,0.153,
7.566,-0.0017,0.0014,0.009,0.29,0.56,-0.82,0.0,-0.0057,0.0019,0.0042,0.619,,1.104,0.154,
7.599,-0.0013,0.0012,0.007,0.29,0.57,-0.83,0.0,-0.0043,0.0013,0.0029,0.617,0.719,1.104,0.154,
7.65,-0.0013,0.001,0.009,0.29,0.58,-0.83,0.0,-0.005,0.0051,0.0033,0.617,0.719,1.096,0.156,
7.7,-0.0015,0.0009,0.007,0.29,0.58,-0.82,0.0,-0.0059,0.0017,0.0017,0.621,,1.096,0.156,
7.77,-0.0016,0.0015,0.006,0.29,0.56,-0.81,0.0,-0.0063,0.0007,0.0026,0.621,,,0.151,
7.819,-0.0016,0.001,0.007,0.3,0.58,-0.81,0.0,-0.0061,-0.0017,-0.0022,0.622,0.717,,0.151,
7.851,-0.0016,0.0012,0.008,0.3,0.57,-0.82,0.0,-0.0062,0.0023,-0.0019,0.622,0.717,1.096,0.155,
7.899,-0.0016,0.0015,0.007,0.3,0.56,-0.82,0.0,-0.006,0.0037,-0.0006,0.616,0.719,1.096,0.155,
7.95,-0.0017,0.0013,0.008,0.3,0.58,-0.81,0.0,-0.0067,-0.0003,-0.0005,0.616,0.719,1.095,0.153,
8.0,-0.0017,0.0013,0.008,0.3,0.58,-0.82,0.0,-0.0064,0.0038,0.002,0.614,,1.095,0.153,
8.069,-0.002,0.0015,0.006,0.3,0.57,-0.81,0.0,-0.0074,0.0006,0.0014,0.614,,1.103,0.157,
8.118,-0.0021,0.0015,0.005,0.31,0.57,-0.82,0.0,-0.0085,0.0042,-0.0072,0.612,0.719,1.103,0.157,
8.149,-0.002,0.0018,0.008,0.31,0.56,-0.83,0.0,-0.0071,0.0007,-0.007,0.612,0.719,1.093,0.156,
8.2,-0.0019,0.0017,0.007,0.31,0.56,-0.83,0.0,-0.0061,0.0036,-0.0008,0.609,0.719,1.093,0.156,
8.251,-0.0018,0.0008,0.009,0.31,0.59,-0.83,0.0,-0.0056,0.0012,-0.001,0.609,0.719,1.096,0.154,
8.3,-0.0019,0.0008,0.01,0.32,0.59,-0.83,0.0,-0.0055,0.0052,0.009,0.621,0.712,1.096,0.154,
8.387,-0.0019,0.0018,0.006,0.32,0.56,-0.83,0.0,-0.0051,0.0007,0.0096,0.621,0.712,1.097,0.155,
8.402,-0.0019,0.0017,0.008,0.32,0.57,-0.83,0.0,-0.0052,0.0021,0.0029,0.606,0.716,1.097,0.155,
8.451,-0.002,0.0015,0.008,0.32,0.58,-0.82,0.0,-0.0054,0.001,0.0029,0.606,0.716,,0.152,
8.5,-0.002,0.002,0.008,0.33,0.56,-0.82,0.0,-0.0052,0.002,0.0022,0.607,0.717,,0.152,
8.551,-0.002,0.0014,0.007,0.33,0.59,-0.82,0.0,-0.0055,0.0018,0.0022,0.607,0.717,,0.152,
8.6,-0.0021,0.0012,0.007,0.33,0.6,-0.82,0.0,-0.0063,0.0021,-0.0019,0.609,0.711,,0.152,
8.659,-0.0021,0.0012,0.008,0.33,0.6,-0.81,0.0,-0.0065,0.0024,-0.002,0.609,0.711,1.103,0.153,
8.72,-0.002,0.0017,0.008,0.33,0.58,-0.82,0.0,-0.0059,0.0035,0.0002,0.62,0.714,1.103,0.153,
8.755,-0.0021,0.0015,0.005,0.33,0.59,-0.82,0.0,-0.0061,0.002,0.0003,0.62,0.714,,0.152,
8.8,-0.0021,0.0015,0.008,0.34,0.59,-0.81,0.0,-0.0059,0.0034,-0.0018,0.61,,,0.152,
8.85,-0.0022,0.0015,0.007,0.34,0.58,-0.81,0.0,-0.0073,-0.0023,-0.0018,0.61,,1.103,0.16,
8.9,-0.0021,0.0014,0.005,0.34,0.59,-0.81,0.0,-0.0053,0.0039,-0.006,,0.704,1.103,0.16,
8.95,-0.0022,0.0018,0.008,0.34,0.57,-0.81,0.0,-0.0055,0.0034,-0.0053,,0.704,1.103,0.155,
9.045,-0.0022,0.0018,0.006,0.34,0.58,-0.81,0.0,-0.0057,0.0002,-0.0013,0.622,0.716,1.103,0.155,
9.057,-0.0023,0.0019,0.005,0.35,0.57,-0.8,0.0,-0.0061,-0.0003,-0.0014,0.622,0.716,,0.155,
9.1,-0.0023,0.0018,0.007,0.35,0.58,-0.8,0.0,-0.0057,0.0028,-0.001,0.621,0.714,,0.155,
9.149,-0.0023,0.0015,0.005,0.35,0.59,-0.8,0.0,-0.006,-0.0,-0.0004,0.621,0.714,,0.154,
9.201,-0.0024,0.0016,0.005,0.35,0.59,-0.8,0.0,-0.0065,0.005,-0.0039,0.615,,,0.154,
9.249,-0.0024,0.0019,0.008,0.35,0.58,-0.8,0.0,-0.0073,0.005,-0.0038,0.615,,1.103,0.153,
9.308,-0.0025,0.0023,0.007,0.35,0.57,-0.81,0.0,-0.0071,-0.0002,0.0037,0.623,0.731,1.103,0.153,
9.378,-0.0027,0.0013,0.007,0.36,0.6,-0.8,0.0,-0.0073,0.0055,0.0038,0.623,0.731,1.099,0.155,
9.404,-0.0026,0.0016,0.01,0.36,0.59,-0.8,0.0,-0.0081,0.0036,0.0102,0.61,0.719,1.099,0.155,
9.464,-0.0026,0.0009,0.01,0.36,0.61,-0.8,0.0,-0.0071,0.0033,0.0105,0.61,0.719,1.099,0.151,
9.498,-0.0025,0.0019,0.005,0.36,0.57,-0.8,0.0,-0.0072,0.0038,0.002,0.625,0.715,1.099,0.151,
9.548,-0.0024,0.0015,0.008,0.36,0.59,-0.81,0.0,-0.0067,0.0007,0.0026,0.625,0.715,1.103,0.154,
9.598,-0.0034,0.0015,0.008,0.36,0.58,-0.77,0.0,-0.0066,0.0034,0.0023,0.613,0.717,1.103,0.154,
9.686,-0.0023,0.0012,0.005,0.36,0.6,-0.81,0.0,-0.0065,0.003,0.0025,0.613,0.717,1.098,0.149,
9.698,-0.0022,0.0009,0.008,0.37,0.6,-0.82,0.0,-0.0063,0.0002,-0.0017,0.612,,1.098,0.149,
9.749,-0.0025,0.0004,0.008,0.36,0.62,-0.81,0.0,-0.0062,-0.002,-0.001,0.612,,,0.154,
9.798,-0.0022,0.0011,0.007,0.37,0.59,-0.82,0.0,-0.0062,0.0045,0.0003,0.613,0.719,,0.154,
9.848,-0.0025,0.0004,0.006,0.37,0.62,-0.81,0.0,-0.0061,-0.0005,0.0007,0.613,0.719,,0.152,
9.898,-0.0023,0.0007,0.006,0.37,0.61,-0.83,0.0,-0.006,0.0024,-0.0036,0.604,0.715,,0.152,
9.999,-0.0025,0.0016,0.007,0.37,0.57,-0.82,0.0,-0.0062,0.0058,-0.0033,0.604,0.715,,0.153,
10.01,-0.0025,0.0013,0.006,0.37,0.58,-0.82,0.0,-0.0057,0.0034,-0.002,0.615,0.701,,0.153,
10.061,-0.0025,0.0018,0.008,0.37,0.56,-0.81,0.0,-0.005,0.0007,-0.0021,0.615,0.701,,0.154,
10.098,-0.0026,0.0013,0.007,0.37,0.58,-0.81,0.0,-0.0059,0.0041,0.002,0.606,0.724,,0.154,
10.149,-0.0026,0.0007,0.007,0.37,0.61,-0.8,0.0,-0.0059,0.0037,0.0018,0.606,0.724,,0.155,
10.199,-0.0026,0.0007,0.006,0.38,0.6,-0.81,0.0,-0.0056,0.0036,-0.0004,0.622,0.712,,0.155,
10.26,-0.0026,0.001,0.008,0.38,0.59,-0.81,0.0,-0.0046,0.0024,0.0001,0.622,0.712,1.094,0.151,
