time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.244,,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.354,,0.211,,,
0.245,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.354,,0.211,,,
0.246,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.359,,0.212,,,
0.248,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.359,,0.212,,,
0.338,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689,0.356,,0.207,,,
0.342,,-10.0192,-15.4231,0.014,4.96,-1.38,0.12,0.0,-0.0043,-0.002,-0.0064,0.689,0.356,,0.207,,,
0.387,,-10.0165,-15.4216,0.014,4.93,-1.42,-0.01,0.0,0.0122,0.0058,-0.0043,0.684,0.358,,0.212,,,
0.435,,-10.0183,-15.4211,0.012,4.9,-1.44,0.08,0.0,0.0015,0.007,-0.0049,0.684,0.358,,0.212,,,
0.486,,-10.0182,-15.4215,0.012,4.88,-1.41,0.08,0.0,0.0006,0.0038,-0.0077,0.688,0.359,,0.214,,,
0.549,,-10.0181,-15.4205,0.012,4.85,-1.45,0.08,0.0,0.0017,0.0089,-0.0016,0.688,0.359,,0.214,,,
0.586,,-10.0172,-15.4214,0.012,4.82,-1.4,0.04,0.0,0.0068,0.0025,-0.0047,0.69,0.356,2.472,0.211,,,
0.641,,-10.018,-15.4206,0.013,4.8,-1.43,0.07,0.0,0.0017,0.0072,-0.0068,0.69,0.356,2.472,0.211,,,
0.692,,-10.018,-15.4211,0.013,4.78,-1.41,0.07,0.0,0.002,0.0046,-0.0055,0.692,0.357,,0.214,,,
0.744,,-10.0181,-15.4217,0.012,4.75,-1.38,0.08,0.0,0.0022,0.0004,-0.0048,0.692,0.357,,0.214,,,
0.791,,-10.0178,-15.4194,0.012,4.73,-1.48,0.05,0.0,0.0035,0.0126,-0.006,0.687,0.358,,0.213,,,
0.848,,-10.0193,-15.4176,0.013,4.7,-1.53,0.11,0.0,-0.0047,0.0198,-0.0064,0.687,0.358,,0.213,,,
0.895,,-10.0178,-15.4216,0.013,4.68,-1.35,0.07,0.0,0.0034,-0.0023,-0.0033,0.689,0.355,,0.212,,,
0.949,,-10.0182,-15.422,0.012,4.65,-1.33,0.09,0.0,0.0013,-0.0045,0.0006,0.689,0.355,,0.212,,,
0.985,,-10.0182,-15.4212,0.012,4.63,-1.37,0.08,0.0,0.0013,0.0004,-0.0025,0.688,0.36,,0.216,,,
1.059,,-10.0163,-15.4216,0.011,4.6,-1.34,-0.0,0.0,0.0123,-0.0023,-0.0068,0.688,0.36,,0.216,,,
1.108,,-10.0163,-15.4206,0.011,4.58,-1.39,-0.0,0.0,0.012,0.0038,-0.0087,0.688,0.357,,0.208,,,
1.154,,-10.018,-15.4199,0.009,4.56,-1.42,0.08,0.0,0.0014,0.0074,-0.0066,0.688,0.357,,0.208,,,
1.191,,-10.0177,-15.4218,0.009,4.53,-1.33,0.08,0.0,0.0031,-0.0034,-0.0111,0.69,0.358,,0.212,,,
1.237,,-10.0167,-15.4237,0.012,4.51,-1.26,0.06,0.0,0.0074,-0.0129,-0.0066,0.69,0.358,,0.212,,,
1.286,,-10.0174,-15.4238,0.012,4.49,-1.28,0.11,0.0,0.0022,-0.0124,-0.0034,0.691,0.356,,0.212,,,
1.355,,-10.0167,-15.4197,0.013,4.46,-1.46,0.07,0.0,0.0051,0.0111,0.0015,0.691,0.356,,0.212,,,
1.398,,-10.0179,-15.4223,0.013,4.44,-1.32,0.13,0.0,-0.0014,-0.006,0.0043,0.688,0.357,,0.212,,,
1.437,,-10.0189,-15.4218,0.012,4.42,-1.36,0.16,0.0,-0.0063,-0.0019,-0.0005,0.688,0.357,,0.212,,,
1.494,,-10.0173,-15.4221,0.012,4.4,-1.35,0.07,0.0,0.0037,-0.0021,-0.001,0.694,0.355,,0.213,,,
1.535,,-10.019,-15.4219,0.011,4.38,-1.37,0.14,0.0,-0.0053,-0.0004,-0.0025,0.694,0.355,,0.213,,,
1.586,,-10.0187,-15.4229,0.011,4.36,-1.32,0.12,0.0,-0.0024,-0.0051,-0.0053,0.688,0.359,,0.215,,,
1.651,,-10.0188,-15.4231,0.013,4.33,-1.33,0.12,0.0,-0.0027,-0.0056,-0.0023,0.688,0.359,,0.215,,,
1.686,,-10.0172,-15.4233,0.013,4.31,-1.32,0.04,0.0,0.0068,-0.0066,-0.0005,0.69,0.353,,0.211,,,
1.763,,-10.0189,-15.4218,0.013,4.29,-1.4,0.11,0.0,-0.0031,0.0021,0.003,0.69,0.353,,0.211,,,
1.803,,-10.0188,-15.4235,0.013,4.27,-1.32,0.09,0.0,-0.0011,-0.006,0.0019,0.686,0.357,,0.209,,,
1.836,,-10.0184,-15.4229,0.014,4.25,-1.36,0.07,0.0,0.0013,-0.0015,-0.0042,0.686,0.357,,0.209,,,
1.885,,-10.0187,-15.4233,0.014,4.22,-1.35,0.09,0.0,-0.0006,-0.0031,-0.0008,0.69,0.353,,0.212,,,
1.941,,-10.0189,-15.4214,0.012,4.2,-1.43,0.1,0.0,-0.0014,0.0074,-0.0059,0.69,0.353,,0.212,,,
1.999,,-10.0187,-15.4231,0.012,4.18,-1.36,0.1,0.0,-0.0006,-0.0024,-0.0057,0.69,0.356,,0.213,,,
2.051,,-10.0187,-15.4235,0.013,4.16,-1.34,0.11,0.0,-0.0007,-0.0043,-0.0011,0.69,0.356,,0.213,,,
2.085,,-10.0188,-15.4218,0.013,4.14,-1.42,0.1,0.0,-0.0014,0.0052,-0.0011,0.688,0.359,,0.209,,,
2.136,,-10.0184,-15.4234,0.013,4.12,-1.34,0.1,0.0,0.0003,-0.0038,-0.0033,0.688,0.359,,0.209,,,
2.186,,-10.017,-15.4229,0.013,4.09,-1.36,0.03,0.0,0.0083,-0.0012,-0.0021,0.691,0.357,,0.215,,,
2.238,,-10.0187,-15.4222,0.012,4.07,-1.39,0.1,0.0,-0.0006,0.0024,-0.0015,0.691,0.357,,0.215,,,
2.303,,-10.018,-15.423,0.012,4.05,-1.35,0.06,0.0,0.0035,-0.0022,-0.0036,0.691,0.354,2.502,0.215,,,
2.342,,-10.0187,-15.4216,0.012,4.03,-1.42,0.1,0.0,-0.0006,0.006,-0.0051,0.691,0.354,2.502,0.215,,,
2.385,,-10.0166,-15.4233,0.012,4.0,-1.34,0.01,0.0,0.0105,-0.0041,-0.0059,0.685,0.355,,0.213,,,
2.436,,-10.0187,-15.4213,0.013,3.99,-1.44,0.11,0.0,-0.0017,0.0071,-0.0089,0.685,0.355,,0.213,,,
2.524,,-10.0185,-15.4228,0.013,3.97,-1.37,0.1,0.0,-0.001,-0.0014,-0.0052,0.688,0.354,,0.214,,,
2.562,,-10.0186,-15.4223,0.015,3.94,-1.4,0.09,0.0,-0.0006,0.0019,-0.0004,0.688,0.354,,0.214,,,
2.597,,-10.0187,-15.4205,0.015,3.93,-1.48,0.09,0.0,-0.0012,0.0117,0.0041,0.69,0.357,,0.211,,,
2.652,,-10.0185,-15.4223,0.01,3.91,-1.4,0.1,0.0,-0.0002,0.0013,-0.0005,0.69,0.357,,0.211,,,
2.685,,-10.0183,-15.4223,0.01,3.89,-1.4,0.09,0.0,0.0009,0.0008,-0.0077,0.69,0.359,,0.211,,,
2.735,,-10.0184,-15.4232,0.009,3.87,-1.36,0.09,0.0,0.0006,-0.0037,-0.0101,0.69,0.359,,0.211,,,
2.826,,-10.0167,-15.4233,0.009,3.84,-1.35,0.01,0.0,0.0105,-0.0046,-0.0147,0.687,0.357,,0.209,,,
2.874,,-10.0185,-15.4234,0.015,3.82,-1.35,0.09,0.0,0.0004,-0.0057,-0.0086,0.687,0.357,,0.209,,,
2.916,,-10.0181,-15.4233,0.015,3.8,-1.36,0.07,0.0,0.0025,-0.0041,0.0014,0.691,0.359,,0.211,,,
2.95,,-10.0183,-15.4227,0.011,3.78,-1.39,0.07,0.0,0.0017,0.0001,0.0042,0.691,0.359,,0.211,,,
3.021,,-10.0175,-15.4224,0.011,3.76,-1.4,0.03,0.0,0.0069,0.0015,-0.0017,0.693,0.357,,0.217,,,
3.034,,-10.0185,-15.4216,0.012,3.75,-1.44,0.09,0.0,0.0003,0.0059,-0.0073,0.693,0.357,,0.217,,,
3.109,,-10.0184,-15.4218,0.012,3.73,-1.42,0.08,0.0,0.0012,0.0046,-0.0058,0.688,0.356,,0.214,,,
3.141,,-10.0184,-15.4212,0.011,3.71,-1.44,0.08,0.0,0.0007,0.0077,-0.0042,0.688,0.356,,0.214,,,
3.206,,-10.0166,-15.4229,0.011,3.69,-1.36,0.01,0.0,0.0099,-0.0025,-0.006,0.692,0.355,,0.214,,,
3.252,,-10.0183,-15.422,0.012,3.68,-1.4,0.09,0.0,-0.0,0.0021,-0.011,0.692,0.355,,0.214,,,
3.285,,-10.017,-15.4231,0.012,3.66,-1.35,0.03,0.0,0.0076,-0.0041,-0.006,0.692,0.357,,0.21,,,
3.336,,-10.0182,-15.4226,0.014,3.64,-1.38,0.08,0.0,0.0007,-0.0015,-0.0052,0.692,0.357,,0.21,,,
3.409,,0.0002,0.0004,0.014,-0.0,-0.21,-0.08,0.0,0.0066,0.005,-0.0006,0.69,0.356,,0.212,,,
3.466,,0.0,0.0003,0.012,0.0,-0.32,0.11,0.0,0.0006,-0.004,-0.0033,0.69,0.356,,0.212,,,
3.504,,0.0,-0.0002,0.012,0.0,-0.33,0.17,0.0,-0.0007,-0.0134,-0.0048,0.693,0.358,,0.215,,,
3.539,,-0.0002,-0.0009,0.013,0.0,-0.37,0.23,0.0,-0.0027,-0.0211,-0.0102,0.693,0.358,,0.215,,,
3.585,,0.0017,-0.001,0.013,0.0,-0.57,-0.17,0.0,0.0143,-0.0204,-0.0056,0.69,0.361,2.536,0.212,,,
3.635,,0.0006,0.0008,0.009,0.01,-1.06,0.09,0.0,0.0033,-0.0025,-0.0025,0.69,0.361,2.536,0.212,,,
3.702,,-0.0017,0.0026,0.009,0.0,-1.32,0.39,0.0,-0.0143,0.0098,-0.0112,0.689,0.358,,0.212,,,
3.737,,-0.001,0.0004,0.013,0.0,-1.03,0.23,0.0,-0.0067,-0.0082,-0.0072,0.689,0.358,,0.212,,,
3.794,,0.0014,-0.0021,0.013,0.0,-0.86,-0.0,0.0,0.0087,-0.0238,-0.0032,0.687,0.359,,0.209,,,
3.835,,-0.0017,0.0074,0.011,0.01,-1.71,0.26,0.0,-0.0104,0.0362,-0.0036,0.687,0.359,,0.209,,,
3.885,,-0.0016,0.0074,0.011,0.0,-1.59,0.21,0.0,-0.008,0.0291,-0.0049,0.688,0.356,,0.214,,,
3.935,,-0.0016,0.0084,0.011,0.0,-1.58,0.19,0.0,-0.0066,0.0294,-0.0052,0.688,0.356,,0.214,,,
3.996,,-0.0,0.0024,0.011,0.0,-1.15,0.09,0.0,0.0028,-0.0081,-0.0053,0.689,0.358,,0.211,,,
4.056,,-0.0006,0.0025,0.013,-0.0,-1.18,0.11,0.0,0.0008,-0.007,-0.0077,0.689,0.358,,0.211,,,
4.094,,-0.0011,0.0026,0.013,-0.0,-1.21,0.13,0.0,-0.0018,-0.0061,-0.0021,0.689,0.357,,0.218,,,
4.135,,0.001,0.0027,0.011,0.0,-1.23,0.01,0.0,0.01,-0.0059,-0.0033,0.689,0.357,,0.218,,,
4.184,,0.0009,0.0064,0.011,0.0,-1.43,0.02,0.0,0.009,0.0143,-0.0049,0.689,0.357,,0.209,,,
4.235,,0.0002,0.007,0.01,0.0,-1.43,0.08,0.0,0.0037,0.015,-0.0044,0.689,0.357,,0.209,,,
