time_s,x_m,y_m,z_down_m,vx_ms,vy_ms,vz_ms
0.08,0.0,0.0,0.015,0.0,0.0,0.0
0.129,1.1506,5.3297,0.013,-0.0011,-0.0024,0.0036
0.178,1.1531,5.3283,0.013,0.0124,-0.0081,0.0005
0.229,1.1504,5.3284,0.015,-0.0025,-0.0058,-0.0009
0.279,1.1512,5.3282,0.012,0.0011,-0.0055,0.0025
0.329,1.1507,5.3282,0.013,-0.0028,-0.0044,-0.0022
0.379,1.1522,5.3284,0.015,0.0044,-0.0014,-0.0013
0.43,1.1524,5.3297,0.015,0.004,0.0066,0.0027
0.479,1.1541,5.3297,0.013,0.0119,0.0067,0.005
0.529,1.1535,5.3291,0.015,0.0064,0.0023,0.0022
0.579,1.1535,5.3295,0.014,0.0043,0.0043,0.0042
0.63,1.1537,5.3261,0.014,0.0044,-0.0134,0.0034
0.68,1.1523,5.3286,0.013,-0.0041,0.0015,0.0027
0.729,1.1532,5.3281,0.011,0.0009,-0.0004,-0.0002
0.779,1.1526,5.3266,0.013,-0.0022,-0.0079,-0.0067
0.829,1.1523,5.3281,0.014,-0.0034,0.0012,-0.0062
0.878,1.1534,5.3271,0.013,0.0026,-0.004,-0.0024
0.931,1.1527,5.3283,0.012,-0.0006,0.0025,-0.0019
0.978,1.1517,5.3287,0.012,-0.0054,0.0046,-0.004
1.029,1.1519,5.3279,0.012,-0.0034,-0.0001,-0.0034
1.079,1.1527,5.3288,0.013,0.0013,0.0048,-0.0035
1.13,1.152,5.3283,0.012,-0.0023,0.0018,-0.001
1.179,1.1521,5.3278,0.014,-0.0022,-0.0002,-0.0013
1.228,1.1509,5.3295,0.014,-0.0077,0.0083,0.0033
1.279,1.1524,5.3289,0.014,0.0009,0.0048,0.0059
1.328,1.1516,5.3288,0.012,-0.0031,0.0041,0.0069
1.379,1.1524,5.3284,0.014,0.002,0.0024,0.0023
1.428,1.152,5.3284,0.013,-0.001,0.0026,0.0032
1.478,1.152,5.3276,0.013,-0.001,-0.0024,0.002
1.528,1.1522,5.3276,0.016,0.001,-0.0022,0.0009
1.578,1.152,5.3286,0.014,-0.0012,0.0054,0.0071
1.628,1.1522,5.329,0.013,-0.0006,0.0076,0.006
1.679,1.1524,5.3299,0.014,0.0004,0.0115,0.0029
1.728,1.1516,5.3288,0.013,-0.004,0.0041,0.0033
1.778,1.1518,5.3273,0.014,-0.0013,-0.0034,0.0013
1.828,1.1511,5.3294,0.014,-0.0047,0.0068,0.0023
1.878,1.1501,5.3291,0.014,-0.0092,0.0063,0.0023
1.929,1.1499,5.3283,0.014,-0.009,0.0012,0.0018
1.978,1.1501,5.3285,0.011,-0.0066,0.0015,0.0016
2.029,0.0,0.0,0.014,-0.0046,0.0057,0.0
2.078,-0.0001,0.0007,0.012,-0.0021,0.0212,-0.0003
2.129,-0.0001,0.0012,0.013,0.0011,0.0166,-0.0003
2.178,-0.0,0.002,0.014,0.003,0.0214,0.0008
2.228,0.0007,0.0016,0.012,0.0108,0.0112,0.0027
2.278,-0.0,0.0025,0.013,0.0021,0.0161,-0.0011
2.328,-0.001,0.0017,0.012,-0.0063,0.005,-0.0006
2.379,-0.0003,0.0026,0.012,0.0004,0.0119,-0.0022
2.429,0.001,0.0011,0.012,0.0096,-0.0009,-0.0027
2.482,-0.0006,0.0026,0.013,-0.0006,0.009,-0.003
2.528,0.0008,0.0018,0.014,0.0081,0.0038,-0.0009
2.579,0.0008,0.0014,0.012,0.007,0.0003,0.0038
2.628,0.0007,0.0011,0.015,0.0067,-0.0019,0.0017
2.678,-0.0005,0.0025,0.013,-0.0012,0.0063,0.007
2.728,0.0007,0.0016,0.013,0.0048,0.0003,0.0047
2.779,-0.0003,0.0015,0.014,-0.0005,-0.0,0.0028
2.828,0.0002,0.0022,0.013,0.0016,0.004,0.0033
2.878,-0.0001,0.0015,0.013,0.0008,0.0002,0.0014
2.928,0.0006,0.0011,0.014,0.0049,-0.0032,-0.0001
2.977,-0.0044,0.0038,0.013,-0.0201,0.0115,0.0018
3.028,-0.0048,0.0031,0.013,-0.0183,0.0057,0.0005
3.079,-0.0047,0.003,0.012,-0.0146,0.0042,-0.0001
3.128,-0.005,0.0031,0.012,-0.0133,0.0034,-0.0026
3.178,-0.0038,0.0008,0.013,-0.0056,-0.0071,-0.0033
3.228,-0.004,0.0026,0.011,-0.005,0.0033,-0.0016
3.278,-0.0009,0.0024,0.015,0.0106,0.0032,-0.0044
3.328,-0.0006,0.0019,0.012,0.0106,0.0006,0.0027
3.378,-0.0006,0.003,0.012,0.0088,0.0053,0.0005
3.428,-0.0008,0.0013,0.011,0.0056,-0.0044,-0.0008
3.478,0.0,0.0025,0.014,0.0092,0.0024,-0.0034
3.528,0.0,0.0021,0.014,0.0085,-0.0008,0.002
3.579,-0.0027,0.0031,0.012,-0.0068,0.0057,0.0057
3.629,-0.0027,0.0023,0.012,-0.0058,0.0003,0.0031
3.678,-0.0026,0.0009,0.013,-0.0051,-0.0058,0.0011
3.728,-0.0028,0.0039,0.013,-0.0057,0.0089,0.0014
3.778,-0.0029,0.0027,0.013,-0.0048,0.0022,0.002
3.828,-0.0031,0.0038,0.011,-0.005,0.0079,0.0017
3.878,-0.0026,0.0033,0.012,-0.0031,0.0056,-0.0026
3.928,-0.0026,0.0027,0.012,-0.0024,0.0016,-0.0026
3.978,-0.0026,0.0016,0.012,-0.0022,-0.0033,-0.0022
4.028,-0.0017,0.003,0.013,0.0024,0.0039,-0.0016
4.078,-0.0034,0.0034,0.013,-0.0058,0.0059,0.0023
4.128,-0.0024,0.0022,0.01,0.0001,-0.0015,0.0035
4.179,-0.0028,0.0038,0.013,-0.0023,0.007,-0.0024
4.227,-0.0034,0.0034,0.009,-0.0053,0.0039,0.0006
4.278,-0.0034,0.0032,0.012,-0.0047,0.0023,-0.0066
4.327,-0.0022,0.0024,0.013,0.0021,-0.0027,-0.0033
4.378,-0.0035,0.0034,0.013,-0.0058,0.0034,0.0012
4.428,-0.0028,0.0021,0.012,-0.0019,-0.0043,0.0039
4.478,-0.0022,0.0032,0.016,0.0011,0.0032,0.0034
4.527,-0.0022,0.0032,0.013,0.0006,0.0029,0.0111
4.577,-0.0022,0.0016,0.014,0.0007,-0.005,0.0078
4.628,-0.0022,0.0023,0.013,0.0005,-0.0014,0.0074
4.677,-0.0029,0.0047,0.014,-0.0032,0.0107,0.0039
4.728,-0.0028,0.0029,0.013,-0.0028,0.0006,0.0045
4.777,-0.0024,0.0048,0.014,-0.0003,0.0099,0.0014
4.828,-0.0025,0.0029,0.012,-0.0002,-0.0015,0.0017
4.877,-0.0031,0.0032,0.012,-0.0036,-0.0001,-0.0028
4.927,-0.003,0.0029,0.012,-0.0026,-0.0017,-0.0047
4.978,-0.0035,0.0029,0.012,-0.005,-0.0009,-0.0053
5.027,-0.003,0.0029,0.01,-0.0011,-0.0014,-0.0051
5.078,-0.0032,0.0029,0.014,-0.0022,-0.0017,-0.0087
5.128,-0.0027,0.0029,0.013,0.0012,-0.0017,-0.0012
5.177,-0.003,0.0029,0.013,-0.0002,-0.0015,0.0018
5.226,-0.0035,0.0028,0.013,-0.0025,-0.0018,0.0033
5.276,-0.0033,0.0037,0.014,-0.0007,0.0023,0.0036
5.327,-0.0033,0.0029,0.013,-0.0009,-0.0019,0.0055
5.377,-0.0035,0.0029,0.013,-0.0013,-0.002,0.0044
5.43,-0.0011,0.0043,0.014,0.0105,0.0056,0.0032
5.477,-0.0009,0.0033,0.016,0.0097,0.0014,0.0046
5.527,-0.001,0.004,0.01,0.0091,0.0047,0.0087
5.577,-0.0019,0.0037,0.012,0.004,0.004,-0.0027
5.628,-0.0026,0.0037,0.014,0.0007,0.0048,-0.0045
5.677,-0.0019,0.0035,0.013,0.004,0.0031,-0.0003
5.727,-0.0009,0.0043,0.014,0.0094,0.0058,-0.0009
5.777,-0.0015,0.0035,0.014,0.0038,0.0009,0.002
5.828,-0.0025,0.0061,0.011,-0.0034,0.0151,0.0036
5.878,-0.0023,0.0063,0.013,-0.0017,0.0136,-0.003
5.928,-0.0023,0.0063,0.012,-0.0009,0.0112,-0.0029
5.979,-0.0017,0.0057,0.011,0.0021,0.0056,-0.0046
6.027,-0.0025,0.0067,0.013,-0.0023,0.0097,-0.0068
6.078,-0.0026,0.0071,0.016,-0.0022,0.011,-0.0021
6.128,-0.0026,0.0064,0.012,-0.0023,0.0053,0.0066
6.177,-0.0023,0.0066,0.011,-0.0013,0.0061,0.0025
6.228,-0.0023,0.0068,0.011,-0.0013,0.0061,-0.0019
6.278,-0.0024,0.0067,0.014,-0.0029,0.0044,-0.0038
6.327,-0.0019,0.0062,0.012,-0.0038,-0.0031,-0.0004
6.378,-0.0011,0.0037,0.011,-0.0034,-0.0206,-0.0012
6.427,-0.0061,0.0056,0.011,-0.031,-0.0117,-0.0054
6.479,-0.0111,0.0024,0.011,-0.0525,-0.0303,-0.0106
6.528,-0.0134,-0.0032,0.012,-0.0573,-0.0571,-0.0136
6.576,-0.0151,-0.0104,0.01,-0.0578,-0.0838,-0.0056
6.628,-0.0165,-0.0101,0.013,-0.0546,-0.0649,-0.0066
6.677,-0.0199,-0.0107,0.008,-0.0631,-0.0547,0.0145
6.727,-0.0233,-0.0133,0.004,-0.0659,-0.0535,0.0074
6.777,-0.0231,-0.0132,0.0,-0.0453,-0.0357,-0.0031
6.827,-0.0137,-0.0084,0.0,0.0212,0.007,-0.0233
6.876,-0.0054,0.0045,0.0,0.074,0.0839,-0.0374
6.927,0.0127,0.0235,0.0,0.1679,0.1786,-0.0387
6.977,0.0303,0.0387,0.0,0.2297,0.2234,-0.0185
7.026,0.044,0.0482,0.0,0.2434,0.2151,0.0365
7.076,0.0516,0.055,0.004,0.2065,0.18,0.0338
7.127,0.0491,0.0575,0.008,0.1122,0.1208,0.0409
7.178,0.0463,0.0549,0.015,0.0336,0.0442,0.0411
7.227,0.0315,0.043,0.019,-0.0871,-0.0596,0.0462
7.277,0.0197,0.0322,0.023,-0.1611,-0.1312,0.0634
7.327,0.0085,0.0196,0.03,-0.2015,-0.1827,0.0832
7.377,-0.0103,-0.0015,0.038,-0.258,-0.2551,0.0759
7.427,-0.021,-0.0102,0.043,-0.241,-0.2322,0.1196
7.476,-0.0314,-0.0215,0.049,-0.2111,-0.2135,0.1177
7.527,-0.0376,-0.0302,0.054,-0.1537,-0.1753,0.1119
7.577,-0.039,-0.0349,0.06,-0.0824,-0.12,0.1091
7.627,-0.0386,-0.0325,0.061,-0.0181,-0.0384,0.1105
7.677,-0.0371,-0.0273,0.065,0.0334,0.0369,0.1033
7.727,-0.0316,-0.0168,0.066,0.0858,0.1177,0.107
7.777,-0.0257,-0.0063,0.073,0.1204,0.1693,0.1072
7.827,-0.0182,0.0028,0.077,0.1437,0.1901,0.1243
7.876,-0.0101,0.0153,0.082,0.155,0.2092,0.1193
7.927,-0.003,0.0236,0.091,0.1496,0.1915,0.1248
7.977,0.005,0.0324,0.094,0.1424,0.1697,0.1313
8.027,0.0114,0.0375,0.102,0.1233,0.1277,0.1273
8.077,0.0186,0.041,0.108,0.1088,0.0819,0.1314
8.126,0.0235,0.0427,0.117,0.0843,0.0367,0.1278
8.176,0.0271,0.0424,0.12,0.0574,-0.0047,0.1224
8.226,0.0296,0.0406,0.126,0.031,-0.0396,0.1125
8.277,0.0311,0.0371,0.128,0.0085,-0.069,0.1049
8.327,0.0305,0.0324,0.134,-0.016,-0.0925,0.0953
8.377,0.0293,0.0273,0.136,-0.0355,-0.1059,0.0934
8.426,0.0273,0.0212,0.14,-0.0505,-0.1147,0.0853
8.476,0.0249,0.0166,0.14,-0.0601,-0.1105,0.0792
8.526,0.023,0.0117,0.148,-0.0625,-0.102,0.0729
8.576,0.0193,0.0083,0.152,-0.0685,-0.0852,0.0827
8.626,0.0169,0.0048,0.158,-0.0647,-0.071,0.0787
8.676,0.0142,0.0031,0.159,-0.0613,-0.0502,0.0799
8.727,0.0115,0.002,0.165,-0.0577,-0.0308,0.0706
8.776,0.0094,0.0029,0.168,-0.0504,-0.0082,0.0693
8.826,0.0079,0.0051,0.175,-0.0408,0.0131,0.0663
8.876,0.0078,0.0084,0.178,-0.0273,0.0311,0.068
8.927,0.0084,0.0111,0.176,-0.015,0.0399,0.066
8.976,0.0094,0.0154,0.183,-0.006,0.0496,0.0453
9.026,0.0104,0.0185,0.183,0.0008,0.0491,0.054
9.076,0.0113,0.0211,0.185,0.0053,0.0445,0.0459
9.126,0.0129,0.0233,0.186,0.0094,0.0368,0.0405
9.176,0.0147,0.0271,0.189,0.0117,0.0331,0.0405
9.226,0.0159,0.0286,0.192,0.0109,0.0208,0.0419
9.276,0.0187,0.0298,0.19,0.0127,0.0094,0.0442
9.326,0.0196,0.0302,0.197,0.0058,-0.0022,0.0344
9.376,0.02,0.0297,0.197,-0.0027,-0.0168,0.0387
9.426,0.0207,0.0288,0.2,-0.0099,-0.029,0.0308
9.476,0.0191,0.0264,0.197,-0.0233,-0.0424,0.0287
9.526,0.019,0.0241,0.201,-0.0295,-0.0512,0.0175
9.576,0.0158,0.0231,0.202,-0.0415,-0.0528,0.0244
9.626,0.0123,0.0197,0.206,-0.0513,-0.0572,0.0236
9.676,0.0105,0.0177,0.207,-0.0525,-0.0548,0.0287
9.726,0.0066,0.0163,0.211,-0.0567,-0.0502,0.0268
9.776,0.0011,0.0151,0.206,-0.0628,-0.0451,0.0251
9.826,-0.0028,0.013,0.21,-0.0616,-0.0425,0.0116
9.875,-0.0063,0.0124,0.209,-0.0574,-0.0366,0.0191
9.926,-0.0107,0.0117,0.207,-0.0555,-0.0315,0.0132
9.976,-0.0133,0.0114,0.213,-0.0474,-0.0257,0.0051
10.026,-0.0163,0.0105,0.211,-0.0392,-0.0215,0.0217
10.076,-0.0183,0.0116,0.214,-0.0296,-0.0117,0.0187
10.126,-0.0185,0.0127,0.214,-0.0159,-0.0039,0.0204
10.176,-0.0179,0.0131,0.216,-0.0026,-0.0006,0.0184
10.225,-0.0163,0.0152,0.218,0.0105,0.0057,0.0203
10.276,-0.0145,0.017,0.217,0.0209,0.0081,0.0195
10.326,-0.0128,0.0182,0.218,0.028,0.008,0.0133
10.376,-0.0086,0.0199,0.214,0.0395,0.007,0.0119
10.426,-0.0049,0.0203,0.218,0.0456,0.0018,0.0025
10.475,-0.0016,0.0217,0.216,0.0483,-0.0008,0.0123
10.526,0.0025,0.021,0.218,0.0514,-0.0079,0.0055
10.575,0.0057,0.0219,0.219,0.0493,-0.0103,0.0072
10.626,0.0088,0.021,0.218,0.0455,-0.0166,0.0089
10.675,0.0106,0.02,0.221,0.0379,-0.0222,0.0057
10.726,0.0127,0.0186,0.224,0.0302,-0.0285,0.0115
10.775,0.0134,0.0163,0.221,0.0196,-0.0358,0.0149
10.827,0.0132,0.0142,0.221,0.0083,-0.0407,0.0059
10.876,0.0117,0.0126,0.219,-0.004,-0.0428,0.0025
10.926,0.0104,0.0094,0.219,-0.0132,-0.0469,0.0005
10.976,0.0092,0.0072,0.22,-0.019,-0.0466,0.0004
11.026,0.0083,0.0047,0.22,-0.0213,-0.0463,0.005
11.075,0.007,0.0025,0.221,-0.0225,-0.0427,0.0064
11.126,0.0066,-0.0004,0.223,-0.0194,-0.0403,0.0062
11.176,0.0057,-0.002,0.224,-0.0167,-0.0345,0.0112
11.226,0.0055,-0.0034,0.22,-0.0125,-0.0284,0.0121
11.275,0.0054,-0.0045,0.22,-0.009,-0.0227,-0.0008
11.326,0.0072,-0.0058,0.226,-0.0011,-0.0169,0.0055
11.376,0.0087,-0.0053,0.225,0.0051,-0.0072,0.0214
11.427,0.0101,-0.0057,0.226,0.0103,-0.0013,0.0105
11.476,0.0127,-0.0051,0.225,0.0161,0.006,0.0069
11.527,0.0151,-0.0038,0.224,0.0195,0.0133,0.0076
11.575,0.0177,-0.0025,0.226,0.0218,0.02,0.0044
11.627,0.0191,-0.0009,0.225,0.019,0.0253,0.0087
11.675,0.021,0.0002,0.223,0.0164,0.0271,0.0023
11.727,0.0233,0.0025,0.222,0.013,0.0305,-0.0049
11.775,0.0236,0.0058,0.221,0.0045,0.0348,-0.0046
11.826,0.0242,0.0081,0.224,-0.0019,0.0352,-0.0044
11.875,0.0235,0.0096,0.225,-0.0108,0.0319,0.0067
11.925,0.023,0.0123,0.222,-0.0159,0.0307,0.0078
11.975,0.0216,0.0141,0.224,-0.0221,0.0258,-0.0022
12.025,0.0199,0.015,0.228,-0.0268,0.0183,0.0046
12.075,0.0179,0.0157,0.224,-0.0292,0.0097,0.0113
12.125,0.0161,0.0148,0.227,-0.029,-0.0014,-0.0025
12.175,0.0138,0.0137,0.227,-0.0276,-0.011,0.0054
12.226,0.0122,0.0128,0.229,-0.0217,-0.0177,0.0041
12.276,0.013,0.0098,0.223,-0.01,-0.0272,0.0032
12.324,0.0145,0.0093,0.225,0.0041,-0.0264,-0.0102
12.376,0.0168,0.0075,0.228,0.02,-0.027,-0.0016
12.426,0.0209,0.0069,0.225,0.0375,-0.0225,0.0088
12.476,0.0254,0.0076,0.227,0.0521,-0.0144,-0.0022
12.525,0.0314,0.009,0.223,0.0668,-0.0044,0.0027
12.576,0.0383,0.0102,0.222,0.0796,0.0033,-0.004
12.625,0.0433,0.0108,0.224,0.0826,0.0074,-0.0091
12.675,0.0492,0.012,0.226,0.0839,0.0112,0.0027
12.725,0.054,0.014,0.224,0.0794,0.014,0.0044
12.775,0.0577,0.0159,0.223,0.0703,0.0157,-0.0021
12.825,0.0609,0.017,0.226,0.0584,0.0128,-0.0048
12.875,0.0637,0.0195,0.229,0.0468,0.0122,0.0043
12.925,0.0657,0.0206,0.225,0.034,0.0068,0.0047
12.975,0.068,0.0209,0.226,0.0255,-0.0006,-0.0097
13.025,0.0695,0.0207,0.226,0.0176,-0.0094,-0.0073
13.076,0.069,0.02,0.22,0.0066,-0.0176,-0.0078
13.125,0.0683,0.0184,0.223,-0.0018,-0.0263,-0.0214
13.175,0.0691,0.017,0.225,-0.0025,-0.0314,-0.0099
13.226,0.0692,0.0154,0.222,-0.0024,-0.0348,-0.0078
13.275,0.0677,0.0126,0.221,-0.0047,-0.0391,-0.0161
13.325,0.0687,0.0101,0.218,0.0027,-0.0405,-0.0132
13.375,0.0693,0.0082,0.217,0.0094,-0.0382,-0.0148
13.424,0.0712,0.0074,0.215,0.0208,-0.0318,-0.014
13.475,0.074,0.0075,0.218,0.0332,-0.0218,-0.0117
13.524,0.0792,0.0078,0.218,0.0506,-0.0119,-0.0018
13.575,0.0838,0.0088,0.215,0.0627,-0.0024,0.0003
13.625,0.0871,0.0106,0.219,0.0676,0.0078,-0.0052
13.675,0.0929,0.0128,0.217,0.0765,0.0168,0.0083
13.726,0.0965,0.0153,0.215,0.0769,0.0234,0.0011
13.775,0.1001,0.0174,0.216,0.0753,0.0263,-0.0047
13.824,0.1038,0.0184,0.215,0.0727,0.0243,0.0007
13.875,0.1073,0.0202,0.217,0.0696,0.0226,-0.0047
13.925,0.1104,0.0215,0.216,0.0662,0.0191,0.0008
13.974,0.1144,0.0243,0.217,0.0657,0.0186,-0.0024
14.024,0.1177,0.0254,0.216,0.0648,0.0133,0.0001
14.074,0.1215,0.0269,0.218,0.0668,0.0093,-0.0036
14.124,0.1257,0.0272,0.218,0.0697,0.0019,-0.0012
14.177,0.1291,0.0276,0.214,0.07,-0.0054,-0.0023
14.225,0.134,0.0284,0.218,0.0744,-0.0105,-0.0114
