time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.241,,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0.407,,1.276,,,,,
0.243,,-0.028,-0.0073,0.01,-0.16,-0.31,0.28,0.0,0.0,0.0,0.0,0.68,0.409,,1.276,,,,,
0.245,,-0.028,-0.0073,0.009,-0.16,-0.31,0.28,0.0,0.0,0.0,0.0,0.68,0.409,,1.273,,,,,
0.247,,-0.0298,-0.0073,0.01,-0.16,-0.31,0.35,0.0,0.0,0.0,0.0,0.682,0.408,,1.273,,,,,
0.327,,-0.03,-0.0054,0.009,-0.16,-0.38,0.35,0.0,0.0,0.0,0.0,0.682,0.408,,1.284,,,,,
0.334,,-0.0295,-0.0075,0.011,-0.16,-0.3,0.34,0.0,0.0012,-0.0035,0.0001,0.679,0.408,,1.284,,,,,
0.384,,-0.0282,-0.0073,0.011,-0.16,-0.3,0.28,0.0,0.008,-0.0032,0.0037,0.679,0.408,,1.277,,,,,
0.436,,-0.0284,-0.0073,0.009,-0.16,-0.3,0.29,0.0,0.0072,-0.0037,0.0054,0.68,0.408,,1.277,,,,,
0.484,,-0.0281,-0.0074,0.012,-0.16,-0.3,0.28,0.0,0.0078,-0.0038,0.0017,0.68,0.408,,1.286,,,,,
0.534,,-0.028,-0.0074,0.008,-0.16,-0.3,0.28,0.0,0.0084,-0.0043,0.0054,0.68,0.409,,1.286,,,,,
0.586,,-0.0279,-0.0075,0.01,-0.16,-0.3,0.28,0.0,0.0089,-0.0046,-0.0015,0.68,0.409,,1.281,,,,,
0.645,,-0.029,-0.0077,0.008,-0.16,-0.3,0.32,0.0,0.0035,-0.0046,-0.0014,0.679,0.411,,1.281,,,,,
0.688,,-0.029,-0.0077,0.009,-0.16,-0.3,0.33,0.0,0.0036,-0.0043,-0.0056,0.679,0.411,,1.278,,,,,
