time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.24,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.592,,0.183,
0.244,0.0,0.0035,0.01,0.01,-1.23,-0.22,0.0,-0.0018,-0.0023,0.0003,,1.585,,0.183,
0.247,0.0,0.0039,0.008,0.02,-1.25,-0.23,0.0,0.0059,0.0011,0.0032,,1.585,,0.185,
0.251,0.0009,0.0033,0.009,0.02,-1.22,-0.26,0.0,-0.0026,0.0012,-0.0004,,1.598,,0.185,
0.299,0.0009,0.0035,0.009,0.02,-1.22,-0.26,0.0,0.0029,0.0021,-0.0002,,1.598,,0.188,
0.331,0.0002,0.0031,0.009,0.02,-1.2,-0.23,0.0,0.0062,-0.002,0.0005,,1.601,,0.188,
0.382,0.0002,0.0037,0.009,0.02,-1.22,-0.23,0.0,0.0063,-0.002,0.0012,,1.601,,0.184,
0.43,0.0007,0.0033,0.008,0.02,-1.21,-0.25,0.0,-0.0026,-0.0032,0.0007,,1.58,,0.184,
0.484,0.0002,0.0029,0.007,0.02,-1.19,-0.22,0.0,0.0035,-0.0038,-0.0015,,1.58,,0.18,
0.543,0.0006,0.0032,0.01,0.02,-1.22,-0.24,0.0,-0.002,-0.0013,-0.0048,,1.599,,0.18,
0.592,0.0009,0.0021,0.009,0.02,-1.17,-0.25,0.0,-0.0013,-0.004,-0.0003,,1.599,,0.19,
0.641,0.0009,0.0028,0.008,0.02,-1.2,-0.24,0.0,0.0066,-0.0052,0.0005,,1.589,,0.19,
0.68,0.0009,0.0026,0.008,0.02,-1.19,-0.24,0.0,0.0062,-0.0018,-0.001,,1.589,,0.187,
0.73,0.0007,0.0027,0.008,0.02,-1.2,-0.23,0.0,-0.0029,-0.0006,-0.0014,,1.601,,0.187,
0.781,-0.0034,0.002,0.009,0.03,-1.18,-0.08,0.0,-0.0146,-0.009,-0.0015,,1.601,,0.185,
0.83,-0.0016,0.0016,0.008,0.02,-1.18,-0.18,0.0,-0.0095,-0.0087,0.0017,,1.589,,0.185,
0.881,-0.0023,0.0019,0.008,0.03,-1.2,-0.18,0.0,-0.0128,-0.006,0.001,,1.589,,0.19,
0.969,-0.0031,0.0019,0.01,0.02,-1.21,-0.16,0.0,-0.0029,-0.005,0.0004,,1.589,,0.19,
0.985,-0.0023,0.0017,0.007,0.02,-1.2,-0.21,0.0,-0.0021,-0.0041,0.0039,,1.589,,0.183,
1.041,-0.0022,0.0021,0.009,0.02,-1.23,-0.22,0.0,-0.0041,-0.0015,-0.0008,,1.584,,0.183,
1.093,-0.0014,0.0015,0.007,0.02,-1.21,-0.27,0.0,0.001,-0.0041,0.0016,,1.584,,0.186,
1.13,-0.002,0.001,0.009,0.02,-1.19,-0.25,0.0,-0.0027,-0.0028,-0.0014,,1.608,,0.186,
1.181,-0.0014,0.0019,0.007,0.02,-1.24,-0.28,0.0,-0.0032,-0.0039,0.001,,1.608,,0.19,
1.276,-0.0022,0.0078,0.009,0.02,-1.44,-0.25,0.0,-0.0012,0.0255,-0.0022,,1.591,,0.19,
1.286,-0.0027,0.0079,0.007,0.02,-1.4,-0.24,0.0,0.0112,0.0139,0.0008,,1.591,,0.186,
1.34,-0.0005,0.0064,0.009,0.02,-1.3,-0.31,0.0,0.0059,0.0098,-0.0015,,1.585,,0.186,
1.38,-0.0003,0.0058,0.008,0.03,-1.25,-0.31,0.0,0.0115,0.0036,0.0014,,1.585,,0.186,
