time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.275,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.502,0.13,0.98,0.609,,,
0.279,,-5.2107,5.0311,0.012,-60.52,-1.36,0.27,0.0,-0.0047,0.0025,-0.003,1.502,0.13,0.98,0.609,,,
0.283,,-5.2107,5.0291,0.012,-60.23,-1.31,0.2,0.0,-0.0052,-0.0085,-0.0033,1.511,0.13,0.976,0.612,,,
0.287,,-5.2103,5.0313,0.011,-59.94,-1.37,0.28,0.0,-0.0029,0.0029,-0.0029,1.511,0.13,0.976,0.612,,,
0.291,,-5.2111,5.0296,0.012,-59.65,-1.31,0.24,0.0,-0.0076,-0.0055,-0.0048,1.507,0.127,0.984,0.609,,,
0.329,,-5.2103,5.0301,0.011,-59.36,-1.35,0.24,0.0,-0.0036,-0.0029,-0.003,1.507,0.127,0.984,0.609,,,
0.369,,-5.211,5.0306,0.011,-59.07,-1.33,0.28,0.0,-0.0072,0.0002,-0.004,1.508,0.13,0.977,0.612,,,
0.421,,-5.2108,5.0296,0.012,-58.79,-1.32,0.23,0.0,-0.0057,-0.0055,-0.0049,1.508,0.13,0.977,0.612,,,
0.469,,-5.2112,5.0305,0.013,-58.5,-1.33,0.28,0.0,-0.008,-0.0004,-0.0034,1.515,0.131,0.975,0.616,,,
0.533,,-5.2101,5.0302,0.013,-58.22,-1.36,0.24,0.0,-0.003,-0.0021,0.0003,1.515,0.131,0.975,0.616,,,
0.581,,-5.2104,5.0293,0.014,-57.94,-1.33,0.22,0.0,-0.0042,-0.0067,0.0019,1.52,0.129,0.983,0.611,,,
0.619,,-5.21,5.0296,0.013,-57.65,-1.35,0.22,0.0,-0.0026,-0.0046,0.0045,1.52,0.129,0.983,0.611,,,
0.668,,-5.21,5.0303,0.013,-57.37,-1.37,0.26,0.0,-0.0028,0.0002,0.0031,1.503,0.133,0.985,0.61,,,
0.721,,-5.2101,5.0305,0.014,-57.09,-1.37,0.26,0.0,-0.0035,0.0006,0.002,1.503,0.133,0.985,0.61,,,
0.77,,-5.2108,5.0311,0.013,-56.82,-1.36,0.3,0.0,-0.0067,0.0032,0.0032,1.505,0.132,0.985,0.613,,,
0.82,,-5.2101,5.0293,0.012,-56.54,-1.34,0.21,0.0,-0.0028,-0.0065,0.0013,1.505,0.132,0.985,0.613,,,
0.91,,-5.2108,5.0309,0.013,-56.26,-1.36,0.29,0.0,-0.0062,0.0024,-0.002,1.509,0.128,0.989,0.614,,,
0.921,,-5.209,5.0304,0.012,-55.99,-1.4,0.23,0.0,0.0028,-0.0012,-0.0021,1.509,0.128,0.989,0.614,,,
0.988,,-5.209,5.03,0.011,-55.72,-1.39,0.22,0.0,0.0024,-0.0035,-0.0038,1.518,0.128,0.99,0.611,,,
1.059,,-5.2098,5.0297,0.012,-55.45,-1.35,0.23,0.0,-0.0019,-0.0051,-0.0069,1.518,0.128,0.99,0.611,,,
1.081,,-5.2098,5.0296,0.011,-55.18,-1.35,0.23,0.0,-0.0024,-0.0052,-0.0062,1.524,0.132,0.992,0.612,,,
1.12,,-5.2105,5.0301,0.012,-54.9,-1.35,0.26,0.0,-0.0052,-0.0021,-0.0076,1.524,0.132,0.992,0.612,,,
1.177,,-5.2104,5.0301,0.013,-54.63,-1.35,0.25,0.0,-0.0044,-0.0029,-0.0054,1.506,0.129,0.986,0.613,,,
1.241,,-5.2097,5.0301,0.011,-54.37,-1.38,0.24,0.0,-0.0005,-0.0028,-0.0014,1.506,0.129,0.986,0.613,,,
1.276,,-5.2097,5.0296,0.011,-54.11,-1.37,0.22,0.0,0.0,-0.0046,-0.0034,1.497,0.127,0.981,0.609,,,
1.319,,-5.2109,5.029,0.01,-53.84,-1.31,0.23,0.0,-0.0058,-0.0077,-0.0044,1.497,0.127,0.981,0.609,,,
1.37,,-5.2096,5.03,0.01,-53.58,-1.38,0.23,0.0,0.0002,0.0008,-0.0069,1.505,0.132,0.986,0.611,,,
1.419,,-5.2093,5.0303,0.012,-53.32,-1.4,0.24,0.0,0.002,-0.0019,-0.008,1.505,0.132,0.986,0.611,,,
1.509,,-5.21,5.0297,0.015,-53.06,-1.36,0.24,0.0,-0.0021,-0.0046,-0.0037,1.507,0.129,,0.61,,,
1.547,,-5.2104,5.0302,0.012,-52.8,-1.37,0.27,0.0,-0.0034,-0.0012,0.0065,1.507,0.129,,0.61,,,
1.57,,-5.2104,5.0302,0.013,-52.54,-1.37,0.27,0.0,-0.0032,-0.0011,0.0048,1.511,0.131,0.989,0.611,,,
1.619,,-5.2106,5.0293,0.01,-52.28,-1.34,0.24,0.0,-0.0045,0.0045,0.005,1.511,0.131,0.989,0.611,,,
1.669,,-5.2115,5.0308,0.013,-52.03,-1.35,0.31,0.0,-0.0093,0.0019,-0.0017,1.517,0.13,0.991,0.613,,,
1.731,,-5.2106,5.0304,0.012,-51.77,-1.37,0.27,0.0,-0.0047,-0.0,0.0007,1.517,0.13,0.991,0.613,,,
1.778,,-5.2114,5.03,0.011,-51.52,-1.33,0.27,0.0,-0.0086,-0.0019,-0.0005,1.505,0.13,,0.611,,,
1.818,,-5.2102,5.0297,0.012,-51.27,-1.36,0.23,0.0,-0.0022,-0.0048,-0.0034,1.505,0.13,,0.611,,,
1.869,,-5.2105,5.0303,0.012,-51.02,-1.37,0.26,0.0,-0.0036,-0.0007,-0.0026,1.505,0.133,,0.612,,,
1.918,,-5.2106,5.0303,0.012,-50.77,-1.37,0.26,0.0,-0.0038,-0.001,-0.0016,1.505,0.133,,0.612,,,
1.97,,-5.211,5.03,0.01,-50.52,-1.36,0.26,0.0,-0.0054,-0.0021,-0.0013,1.508,0.13,,0.609,,,
