time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.224,,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674,0.413,2.447,1.336,,,,,
0.265,,9.8844,1.2127,0.014,17.49,-0.71,0.02,0.0,-0.0028,0.0015,-0.0026,0.676,0.413,2.447,1.336,,,,,
0.315,,9.8862,1.2133,0.013,17.4,-0.71,-0.06,0.0,0.0073,0.0046,-0.0025,0.676,0.41,2.464,1.337,,,,,
0.368,,9.8846,1.2128,0.012,17.31,-0.71,0.02,0.0,-0.0018,0.0018,-0.005,0.668,0.41,2.464,1.337,,,,,
0.414,,9.8852,1.213,0.014,17.22,-0.71,-0.01,0.0,0.0018,0.0026,-0.0081,0.668,0.413,,1.342,,,,,
0.476,,9.8848,1.213,0.014,17.14,-0.71,0.0,0.0,-0.0006,0.0023,-0.0045,0.672,0.413,,1.342,,,,,
0.528,,9.8845,1.213,0.015,17.05,-0.72,0.01,0.0,-0.0026,0.0031,-0.0027,0.672,0.412,,1.342,,,,,
0.565,,9.8835,1.215,0.014,16.96,-0.8,0.03,0.0,-0.0074,0.0134,0.0013,0.672,0.412,,1.342,,,,,
0.614,,9.8844,1.2141,0.015,16.88,-0.74,-0.0,0.0,-0.0022,0.0079,0.0011,0.672,0.414,,1.336,,,,,
0.665,,9.8845,1.2131,0.014,16.79,-0.71,0.01,0.0,-0.0021,0.0029,0.003,0.674,0.414,,1.336,,,,,
0.728,,9.885,1.2132,0.013,16.71,-0.71,-0.01,0.0,0.0005,0.0037,0.0004,0.674,0.415,,1.338,,,,,
0.764,,9.885,1.2133,0.015,16.62,-0.71,-0.0,0.0,0.0005,0.0035,-0.0029,0.671,0.415,,1.338,,,,,
0.832,,9.8847,1.2133,0.013,16.54,-0.71,0.01,0.0,-0.0004,0.0037,-0.0007,0.671,0.414,,1.339,,,,,
0.881,,9.8835,1.2152,0.014,16.45,-0.79,0.03,0.0,-0.0061,0.0129,-0.0039,0.672,0.414,,1.339,,,,,
0.928,,9.8852,1.2134,0.013,16.37,-0.7,0.0,0.0,0.0017,0.0035,-0.0033,0.672,0.414,,1.341,,,,,
0.964,,9.8847,1.2133,0.014,16.29,-0.7,0.02,0.0,-0.0011,0.003,-0.0053,0.675,0.414,,1.341,,,,,
1.014,,9.8842,1.2131,0.016,16.21,-0.7,0.04,0.0,-0.0032,0.0028,-0.004,0.675,0.415,,1.337,,,,,
1.064,,9.8836,1.2152,0.014,16.13,-0.78,0.04,0.0,-0.006,0.0125,0.0018,0.674,0.415,,1.337,,,,,
1.135,,9.8847,1.214,0.012,16.05,-0.72,0.02,0.0,-0.0007,0.0056,-0.0001,0.674,0.413,,1.334,,,,,
1.168,,9.8845,1.2132,0.015,15.96,-0.69,0.04,0.0,-0.002,0.001,-0.0054,0.676,0.413,,1.334,,,,,
1.228,,9.8852,1.2141,0.013,15.88,-0.72,-0.01,0.0,0.0018,0.0062,-0.0027,0.676,0.412,,1.336,,,,,
1.264,,9.8849,1.2134,0.011,15.8,-0.68,0.01,0.0,0.0004,0.0025,-0.005,0.675,0.412,,1.336,,,,,
1.315,,9.8854,1.2135,0.014,15.73,-0.69,-0.0,0.0,0.0026,0.0033,-0.0104,0.675,0.415,,1.345,,,,,
1.38,,9.8845,1.2133,0.014,15.65,-0.68,0.03,0.0,-0.0019,0.0016,-0.0058,0.679,0.415,,1.345,,,,,
1.43,,9.8862,1.2138,0.014,15.56,-0.68,-0.04,0.0,0.0075,0.0044,-0.0029,0.679,0.416,,1.343,,,,,
1.482,,9.8843,1.2131,0.013,15.49,-0.68,0.05,0.0,-0.003,0.0003,-0.0012,0.676,0.416,,1.343,,,,,
1.514,,9.8844,1.2143,0.014,15.41,-0.73,0.03,0.0,-0.0017,0.0074,-0.0022,0.676,0.416,,1.337,,,,,
1.564,,9.8842,1.2134,0.014,15.33,-0.69,0.05,0.0,-0.0028,0.0016,-0.0009,0.674,0.416,,1.337,,,,,
1.614,,9.8844,1.2135,0.012,15.25,-0.69,0.03,0.0,-0.002,0.0016,-0.0006,0.674,0.414,,1.341,,,,,
1.674,,9.8837,1.2154,0.013,15.18,-0.77,0.04,0.0,-0.0061,0.0108,-0.0051,0.673,0.414,,1.341,,,,,
1.717,,9.8849,1.2136,0.015,15.1,-0.68,0.0,0.0,0.0012,0.0012,-0.0049,0.673,0.415,,1.342,,,,,
1.764,,9.8849,1.2137,0.015,15.02,-0.68,0.0,0.0,0.001,0.001,0.0003,0.677,0.415,,1.342,,,,,
1.815,,9.8839,1.2155,0.014,14.94,-0.77,0.02,0.0,-0.0041,0.0105,0.0023,0.677,0.414,,1.334,,,,,
1.865,,9.8844,1.2145,0.014,14.87,-0.72,0.01,0.0,-0.0014,0.0046,0.0013,0.672,0.414,,1.334,,,,,
