time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.223,,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683,0.417,,1.371,,,,,
0.266,,-0.0007,-0.0001,0.007,0.0,-0.8,0.61,0.0,-0.0037,0.0001,0.0022,0.681,0.418,,1.371,,,,,
0.314,,-0.0008,0.0003,0.005,0.0,-0.82,0.61,0.0,-0.004,0.0017,0.0019,0.681,0.418,,1.376,,,,,
0.364,,-0.0008,-0.0001,0.008,0.0,-0.8,0.61,0.0,-0.004,-0.0008,-0.003,0.678,0.421,,1.376,,,,,
0.414,,-0.0008,-0.0001,0.009,0.0,-0.8,0.6,0.0,-0.0039,-0.0012,0.0015,0.678,0.421,,1.376,,,,,
0.464,,-0.0005,-0.0,0.006,0.0,-0.8,0.58,0.0,-0.0018,-0.0011,0.0066,0.681,0.417,,1.376,,,,,
0.515,,-0.0011,-0.0,0.008,0.01,-0.8,0.6,0.0,-0.0048,-0.0014,0.002,0.681,0.417,,1.375,,,,,
0.565,,-0.0004,0.0,0.007,0.01,-0.8,0.57,0.0,-0.0007,-0.001,0.004,0.68,0.418,,1.375,,,,,
0.614,,-0.0005,-0.0,0.007,0.0,-0.8,0.58,0.0,-0.0012,-0.001,0.0017,0.68,0.418,,1.381,,,,,
0.664,,-0.0005,0.0,0.007,0.0,-0.8,0.58,0.0,-0.0009,-0.0007,0.0005,0.68,0.416,,1.381,,,,,
0.714,,-0.0008,0.0003,0.007,0.01,-0.81,0.6,0.0,-0.0024,0.0011,0.0,0.68,0.416,,1.371,,,,,
0.763,,-0.0008,0.0,0.009,0.01,-0.8,0.6,0.0,-0.0027,0.0,-0.0002,0.679,0.417,,1.371,,,,,
0.813,,-0.0008,0.0,0.006,0.0,-0.8,0.6,0.0,-0.0035,-0.0002,0.0041,0.679,0.417,,1.38,,,,,
0.875,,-0.0009,0.0007,0.008,0.0,-0.83,0.6,0.0,-0.0035,0.0031,-0.0007,0.679,0.415,,1.38,,,,,
0.924,,-0.001,0.0,0.006,0.0,-0.81,0.59,0.0,-0.0031,-0.0003,0.0011,0.679,0.415,,1.371,,,,,
