time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.199,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.419,,1.262,,,,,
0.199,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.419,,1.262,,,,,
0.2,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678,0.41,,1.266,,,,,
0.214,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678,0.41,,1.266,,,,,
0.268,,11.3849,-6.6941,0.01,0.83,-0.41,0.37,0.0,0.002,-0.0002,-0.0111,0.68,0.412,,1.271,,,,,
0.316,,11.3845,-6.6943,0.012,0.83,-0.41,0.39,0.0,-0.0004,-0.0007,-0.009,0.68,0.412,,1.271,,,,,
0.366,,11.3857,-6.6943,0.012,0.82,-0.41,0.33,0.0,0.0062,-0.0006,-0.0056,0.68,0.417,,1.266,,,,,
0.416,,11.3859,-6.6945,0.011,0.82,-0.4,0.33,0.0,0.0066,-0.0016,-0.0034,0.68,0.417,,1.266,,,,,
0.464,,11.3844,-6.6941,0.011,0.82,-0.42,0.4,0.0,-0.0023,0.0002,-0.0046,0.678,0.411,2.467,1.259,,,,,
0.522,,11.3844,-6.6939,0.013,0.81,-0.43,0.4,0.0,-0.0022,0.0012,-0.0029,0.678,0.411,2.467,1.259,,,,,
0.573,,11.385,-6.6943,0.013,0.81,-0.41,0.37,0.0,0.0008,-0.0014,0.001,0.68,0.411,,1.262,,,,,
0.626,,11.3844,-6.6945,0.011,0.81,-0.41,0.4,0.0,-0.0031,-0.0025,-0.0045,0.68,0.411,,1.262,,,,,
0.667,,11.3852,-6.6943,0.011,0.8,-0.42,0.36,0.0,0.0022,-0.0009,-0.0062,0.677,0.418,,1.274,,,,,
0.723,,11.386,-6.6945,0.01,0.79,-0.41,0.32,0.0,0.0069,-0.0016,-0.0061,0.677,0.418,,1.274,,,,,
0.775,,11.3852,-6.6939,0.01,0.79,-0.44,0.36,0.0,0.0016,0.0023,-0.0077,0.675,0.41,,1.271,,,,,
0.815,,11.3844,-6.6941,0.013,0.79,-0.43,0.4,0.0,-0.0028,0.0011,-0.0021,0.675,0.41,,1.271,,,,,
0.864,,11.3848,-6.6941,0.013,0.78,-0.42,0.37,0.0,0.0003,0.0012,0.0011,0.679,0.419,,1.26,,,,,
0.92,,11.3855,-6.6945,0.012,0.78,-0.4,0.34,0.0,0.004,-0.0017,0.002,0.679,0.419,,1.26,,,,,
0.972,,11.3858,-6.6937,0.012,0.78,-0.43,0.32,0.0,0.006,0.0028,-0.0001,0.678,0.409,,1.279,,,,,
1.015,,11.3859,-6.6945,0.012,0.77,-0.39,0.32,0.0,0.0056,-0.0022,-0.0018,0.678,0.409,,1.279,,,,,
1.064,,11.3844,-6.6933,0.012,0.77,-0.45,0.38,0.0,-0.0024,0.0048,-0.003,0.679,0.41,,1.267,,,,,
1.115,,11.3853,-6.6939,0.011,0.77,-0.43,0.34,0.0,0.0023,0.0009,-0.0035,0.679,0.41,,1.267,,,,,
1.181,,11.3851,-6.6943,0.011,0.76,-0.4,0.36,0.0,0.0015,-0.0018,-0.0063,0.679,0.413,,1.273,,,,,
1.234,,11.3844,-6.6928,0.01,0.75,-0.47,0.39,0.0,-0.0019,0.0062,-0.0058,0.679,0.413,,1.273,,,,,
