time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.236,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681,0.396,2.467,0.25,,,,,
0.24,,-0.0057,-0.002,0.012,0.48,-0.55,0.45,0.0,0.0003,-0.0019,0.004,0.677,0.393,2.467,0.25,,,,,
0.245,,-0.0055,-0.0018,0.011,0.48,-0.55,0.44,0.0,0.0019,-0.0007,0.0028,0.677,0.393,,0.261,,,,,
0.249,,-0.0055,-0.0027,0.012,0.49,-0.5,0.45,0.0,0.0022,-0.0054,-0.0009,0.68,0.397,,0.261,,,,,
0.3,,-0.0048,-0.0014,0.01,0.48,-0.56,0.42,0.0,0.006,0.0013,-0.0003,0.68,0.397,,0.258,,,,,
0.331,,-0.0046,-0.001,0.011,0.48,-0.58,0.41,0.0,0.0075,0.0032,-0.0038,0.681,0.401,,0.258,,,,,
0.381,,-0.0057,-0.0019,0.013,0.48,-0.54,0.47,0.0,0.0016,-0.0017,-0.0029,0.681,0.401,,0.25,,,,,
0.432,,-0.0049,-0.0027,0.012,0.48,-0.49,0.43,0.0,0.0062,-0.0064,0.0022,0.68,0.397,,0.25,,,,,
0.482,,-0.0057,-0.0027,0.01,0.48,-0.5,0.48,0.0,0.0014,-0.0063,0.0027,0.68,0.397,,,,,,,
0.537,,-0.0101,-0.0029,0.011,0.48,-0.49,0.65,0.0,-0.0213,-0.0068,-0.0013,0.68,0.395,,,,,,,
0.589,,-0.0101,-0.0022,0.013,0.49,-0.54,0.6,0.0,-0.0171,-0.0012,-0.0004,0.68,0.395,,,,,,,
0.632,,-0.0103,-0.0038,0.014,0.49,-0.47,0.57,0.0,-0.014,-0.0093,0.0052,0.68,0.394,,,,,,,
0.684,,-0.0099,-0.0038,0.013,0.49,-0.48,0.51,0.0,-0.0087,-0.0081,0.0095,0.68,0.394,,0.25,,,,,
0.731,,-0.0102,-0.003,0.011,0.49,-0.53,0.49,0.0,-0.0067,-0.0026,0.0091,0.681,0.394,,0.25,,,,,
0.792,,-0.0103,-0.003,0.012,0.49,-0.53,0.49,0.0,-0.0062,-0.0025,0.0039,0.681,0.394,,,,,,,
0.832,,-0.0109,-0.0022,0.009,0.49,-0.56,0.5,0.0,-0.0082,0.0013,0.0024,0.676,0.397,,,,,,,
0.896,,-0.0105,-0.0038,0.012,0.49,-0.49,0.47,0.0,-0.0049,-0.0069,-0.0047,0.676,0.397,,,,,,,
0.952,,-0.0099,-0.0038,0.01,0.49,-0.49,0.43,0.0,-0.0001,-0.0061,-0.002,0.679,0.395,,,,,,,
0.994,,-0.0101,-0.0023,0.014,0.49,-0.57,0.44,0.0,-0.0008,0.0029,-0.0044,0.679,0.395,,0.258,,,,,
1.045,,-0.0103,-0.0039,0.012,0.49,-0.49,0.44,0.0,-0.0011,-0.0063,0.004,0.682,0.397,,0.258,,,,,
1.082,,-0.0101,-0.0037,0.014,0.49,-0.5,0.42,0.0,0.001,-0.0052,0.0042,0.682,0.397,,0.257,,,,,
1.156,,-0.0099,-0.004,0.012,0.5,-0.49,0.42,0.0,0.0025,-0.0066,0.0082,0.682,0.399,,0.257,,,,,
1.187,,-0.0107,-0.0023,0.012,0.5,-0.57,0.45,0.0,-0.0019,0.003,0.006,0.682,0.399,,0.25,,,,,
1.233,,-0.011,-0.0023,0.014,0.5,-0.57,0.46,0.0,-0.0022,0.0029,0.0034,0.678,0.398,,0.25,,,,,
1.281,,-0.011,-0.0023,0.01,0.5,-0.57,0.46,0.0,-0.0014,0.0032,0.0061,0.678,0.398,,0.252,,,,,
1.331,,-0.011,-0.0023,0.013,0.5,-0.57,0.46,0.0,-0.0005,0.0032,-0.0011,0.68,0.395,,0.252,,,,,
1.417,,-0.011,-0.004,0.01,0.5,-0.49,0.46,0.0,0.0004,-0.0065,0.0014,0.68,0.395,,0.255,,,,,
1.456,,-0.0101,-0.0032,0.013,0.5,-0.53,0.43,0.0,0.0044,-0.0012,-0.0037,0.679,0.398,,0.255,,,,,
1.493,,-0.0101,-0.0034,0.012,0.5,-0.52,0.44,0.0,0.0041,-0.003,0.0004,0.679,0.398,2.473,0.256,,,,,
1.55,,-0.0103,-0.0023,0.012,0.5,-0.56,0.44,0.0,0.0035,0.0025,0.0012,0.68,0.397,2.473,0.256,,,,,
1.581,,-0.0105,-0.0037,0.01,0.5,-0.5,0.46,0.0,0.002,-0.0058,0.0014,0.68,0.397,,0.252,,,,,
1.632,,-0.0105,-0.0038,0.011,0.5,-0.5,0.46,0.0,0.002,-0.0052,-0.003,0.68,0.396,,0.252,,,,,
1.712,,-0.0097,-0.003,0.012,0.5,-0.53,0.42,0.0,0.0069,-0.0009,-0.0026,0.68,0.396,,0.258,,,,,
1.749,,-0.0107,-0.0032,0.014,0.5,-0.52,0.47,0.0,0.0009,-0.0015,0.0007,0.681,0.4,,0.258,,,,,
1.786,,-0.0103,-0.004,0.012,0.5,-0.49,0.46,0.0,0.0024,-0.0054,0.0066,0.681,0.4,,,,,,,
1.838,,-0.0105,-0.004,0.013,0.5,-0.5,0.47,0.0,0.0014,-0.0055,0.0048,0.682,0.397,,,,,,,
1.881,,-0.0105,-0.004,0.012,0.5,-0.5,0.47,0.0,0.0015,-0.0061,0.0059,0.682,0.397,,0.259,,,,,
1.932,,-0.0099,-0.0034,0.012,0.5,-0.53,0.45,0.0,0.0052,-0.0017,0.004,0.679,0.398,,0.259,,,,,
2.006,,-0.0107,-0.004,0.012,0.5,-0.5,0.49,0.0,0.0002,-0.0054,0.0028,0.679,0.398,,0.25,,,,,
