time_s,state,x_m,y_m,z_down_m,edge_event,edge_x_m,edge_y_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,local_x_min_m,local_x_max_m,local_y_min_m,local_y_max_m
0.271,,0.0,0.0,0.017,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.406,,0.255,,,,,,,
0.275,,2.6389,9.8068,0.016,,,,-0.26,-1.24,0.17,0.0,0.0041,-0.0067,0.0033,0.659,0.406,,0.257,,,,,,,
0.279,,2.6379,9.8078,0.016,,,,-0.27,-1.29,0.22,0.0,-0.0017,-0.001,0.0028,0.658,0.413,,0.257,,,,,,,
0.283,,2.6379,9.8076,0.015,,,,-0.27,-1.28,0.21,0.0,-0.0015,-0.0019,0.0019,0.658,0.413,,0.252,,,,,,,
0.29,,2.6373,9.8084,0.016,,,,-0.27,-1.31,0.23,0.0,-0.0045,0.0021,-0.0009,0.657,0.409,,0.252,,,,,,,
0.334,,2.6378,9.8078,0.015,,,,-0.28,-1.27,0.2,0.0,-0.0012,-0.0021,-0.0006,0.657,0.409,,,,,,,,,
0.38,,2.6378,9.8076,0.017,,,,-0.28,-1.27,0.21,0.0,-0.0016,-0.0023,-0.0024,0.66,0.412,,,,,,,,,
0.433,,2.6389,9.8084,0.014,,,,-0.28,-1.31,0.16,0.0,0.0045,0.002,0.001,0.66,0.412,,,,,,,,,
0.48,,2.6374,9.8084,0.016,,,,-0.28,-1.31,0.23,0.0,-0.0036,0.0022,-0.0032,0.66,0.407,,,,,,,,,
0.542,,2.638,9.8078,0.015,,,,-0.29,-1.28,0.2,0.0,-0.0003,-0.002,-0.001,0.66,0.407,,,,,,,,,
0.59,,2.6378,9.8076,0.016,,,,-0.29,-1.27,0.2,0.0,-0.0013,-0.0031,-0.0023,0.659,0.412,,,,,,,,,
0.64,,2.6389,9.808,0.016,,,,-0.3,-1.29,0.15,0.0,0.0045,-0.0007,-0.0004,0.659,0.412,,0.255,,,,,,,
0.679,,2.6369,9.8076,0.014,,,,-0.3,-1.27,0.25,0.0,-0.0058,-0.0026,0.0005,0.658,0.407,,0.255,,,,,,,
