time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.069,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.857,0.43,0.17,
0.119,1.8415,-0.1699,0.012,-19.92,-0.83,0.64,0.0,-0.0029,0.0095,0.003,,0.856,0.43,0.17,
0.17,1.842,-0.17,0.01,-19.82,-0.83,0.63,0.0,-0.0006,0.0087,0.0036,,0.856,0.426,0.174,
0.219,1.8411,-0.1709,0.012,-19.72,-0.79,0.64,0.0,-0.0037,0.0051,-0.0004,,0.856,0.426,0.174,
0.269,1.8409,-0.1708,0.013,-19.62,-0.79,0.64,0.0,-0.0048,0.0049,0.0014,,0.856,0.427,0.169,
0.32,1.8426,-0.1702,0.011,-19.53,-0.82,0.6,0.0,0.0014,0.0069,0.0041,,0.857,0.427,0.169,
0.373,1.8432,-0.168,0.011,-19.43,-0.91,0.62,0.0,0.002,0.0187,0.0017,,0.857,0.426,0.176,
0.419,1.8434,-0.1669,0.007,-19.34,-0.92,0.64,0.0,0.0016,0.0203,-0.0008,,0.855,0.426,0.176,
0.47,1.8422,-0.1667,0.011,-19.24,-0.89,0.67,0.0,-0.0036,0.0197,-0.0101,,0.855,0.425,0.171,
0.519,1.843,-0.1672,0.009,-19.14,-0.86,0.63,0.0,0.0014,0.0149,-0.0056,,0.856,0.425,0.171,
0.57,1.8429,-0.1671,0.011,-19.04,-0.86,0.63,0.0,0.001,0.0144,-0.0072,,0.856,0.429,0.174,
0.62,1.8427,-0.1671,0.012,-18.95,-0.85,0.63,0.0,0.0006,0.0137,-0.0026,,0.855,0.429,0.174,
0.67,1.842,-0.1683,0.011,-18.84,-0.8,0.64,0.0,-0.002,0.0071,0.0025,,0.855,0.424,0.169,
0.721,1.8423,-0.167,0.009,-18.75,-0.84,0.64,0.0,-0.0013,0.0125,0.0032,,0.858,0.424,0.169,
0.769,1.8418,-0.1683,0.011,-18.65,-0.79,0.63,0.0,-0.002,0.0056,-0.0009,,0.858,0.425,0.169,
0.819,1.8426,-0.1673,0.009,-18.57,-0.82,0.62,0.0,0.0003,0.0105,0.001,,0.854,0.425,0.169,
0.87,1.8424,-0.1665,0.009,-18.48,-0.84,0.64,0.0,-0.0012,0.013,-0.0026,,0.854,0.425,0.169,
0.919,1.8425,-0.1664,0.011,-18.39,-0.85,0.65,0.0,-0.0011,0.0132,-0.0042,,0.859,0.425,0.169,
0.969,1.842,-0.1671,0.011,-18.29,-0.82,0.65,0.0,-0.0027,0.0088,0.0,,0.859,0.429,0.171,
1.019,1.8419,-0.1666,0.01,-18.2,-0.83,0.66,0.0,-0.0036,0.0112,0.0025,,0.857,0.429,0.171,
1.069,1.8419,-0.1682,0.013,-18.1,-0.77,0.64,0.0,-0.0033,0.0026,0.0015,,0.857,0.423,0.176,
1.119,1.842,-0.1679,0.011,-18.01,-0.78,0.65,0.0,-0.0037,0.004,0.0077,,0.856,0.423,0.176,
1.168,1.8416,-0.1668,0.013,-17.92,-0.82,0.67,0.0,-0.0055,0.0092,0.0056,,0.856,0.431,0.17,
1.219,1.8433,-0.1667,0.011,-17.85,-0.82,0.61,0.0,-0.0,0.0074,0.0086,,0.854,0.431,0.17,
1.27,1.8424,-0.166,0.01,-17.76,-0.84,0.64,0.0,-0.0032,0.0117,0.0042,,0.854,0.43,0.168,
1.319,1.8422,-0.1669,0.012,-17.67,-0.81,0.64,0.0,-0.0028,0.0066,-0.0004,,0.854,0.43,0.168,
1.369,1.8413,-0.1678,0.01,-17.57,-0.77,0.65,0.0,-0.0052,0.0029,0.0012,,0.854,0.423,0.172,
1.419,0.0,0.0,0.011,0.0,-0.0,0.0,0.0,0.0004,0.0045,-0.0,,0.855,0.423,0.172,
1.468,0.0001,0.0003,0.012,-0.0,-0.05,0.04,0.0,0.0039,0.0019,0.0004,,0.855,0.424,0.173,
1.519,0.0001,-0.0001,0.011,-0.0,0.03,0.14,0.0,0.0042,-0.0072,0.0012,,0.853,0.424,0.173,
