time_s,x_m,y_m,z_down_m
0.231,-0.1352,-0.1978,0.008
0.235,-0.137,-0.1977,0.011
0.328,-0.1361,-0.1984,0.01
0.428,-0.1366,-0.1976,0.01
0.531,-0.1367,-0.1979,0.011
0.628,-0.1365,-0.198,0.011
0.726,-0.1364,-0.1983,0.011
0.861,-0.1363,-0.1981,0.011
0.933,-0.1352,-0.1978,0.01
1.028,-0.1363,-0.1981,0.01
1.164,-0.1361,-0.1982,0.012
1.238,-0.1365,-0.1981,0.011
1.328,-0.1369,-0.1979,0.011
1.463,-0.1362,-0.1982,0.011
1.526,-0.1362,-0.1982,0.009
1.628,-0.136,-0.1983,0.01
1.749,-0.1362,-0.1983,0.011
1.826,-0.1364,-0.1982,0.011
1.927,-0.1362,-0.1986,0.01
2.037,-0.136,-0.1986,0.01
2.13,-0.1354,-0.1979,0.01
2.227,-0.1354,-0.1986,0.008
2.326,-0.1364,-0.1981,0.009
2.427,-0.1364,-0.1981,0.01
2.527,-0.136,-0.1982,0.01
2.657,-0.1366,-0.1981,0.011
2.726,-0.136,-0.1982,0.008
2.827,-0.0004,0.0004,0.008
2.935,-0.0005,0.0001,0.012
3.027,-0.001,0.0014,0.009
3.127,-0.0012,0.0004,0.009
3.23,-0.001,-0.0004,0.009
3.327,-0.001,0.0004,0.01
3.427,-0.0005,-0.0004,0.01
3.532,-0.0007,-0.0004,0.01
3.627,-0.001,0.0006,0.008
3.759,-0.001,0.0011,0.011
3.826,-0.0002,-0.0002,0.012
3.927,-0.0009,0.0014,0.012
4.046,-0.0007,-0.0003,0.011
4.126,-0.0012,0.0009,0.012
4.226,-0.001,0.0002,0.009
4.337,-0.001,0.0009,0.011
4.426,-0.001,-0.0,0.009
4.527,-0.001,-0.0002,0.009
4.627,-0.001,0.0005,0.01
4.725,-0.001,0.0005,0.009
4.826,-0.0013,0.0005,0.01
4.947,-0.0013,0.0006,0.01
5.026,-0.0012,0.0011,0.012
5.126,-0.0011,0.0004,0.008
5.244,-0.0011,0.0002,0.01
5.325,-0.0011,0.0002,0.009
5.426,-0.0014,0.0014,0.01
5.53,-0.0012,0.0007,0.009
5.626,-0.0013,0.0009,0.009
5.727,-0.0005,0.0005,0.01
5.83,-0.0011,0.0005,0.008
5.927,-0.0012,0.0009,0.011
6.063,-0.0012,0.0007,0.009
6.131,-0.0014,0.0002,0.012
6.226,-0.0012,0.0009,0.009
6.35,-0.0015,0.0012,0.01
6.425,0.0006,-0.0003,0.011
6.525,-0.0012,0.0007,0.012
6.64,-0.0012,0.0005,0.01
6.725,-0.0012,0.0007,0.01
6.826,-0.0011,0.0001,0.01
6.929,-0.0008,-0.0003,0.009
7.026,-0.0013,0.0009,0.009
7.126,-0.0014,0.0009,0.01
7.251,-0.0011,-0.0004,0.009
7.325,-0.0014,0.0008,0.01
7.426,-0.0017,0.0003,0.01
7.546,-0.0017,0.0006,0.009
7.625,-0.001,-0.0003,0.009
7.726,0.0005,-0.0003,0.01
7.835,-0.0015,0.0014,0.009
7.925,-0.0018,0.0008,0.007
8.026,-0.0015,0.0005,0.011
8.13,-0.0,-0.0006,0.009
8.225,0.006,-0.0017,0.009
8.325,0.012,-0.0111,0.008
8.431,0.0205,-0.0312,0.005
8.525,0.0359,-0.0446,0.0
8.651,0.0397,-0.0126,0.0
8.726,0.0384,0.0153,0.011
8.825,0.039,0.0278,0.033
8.944,0.009,0.0352,0.062
9.025,-0.0217,0.0321,0.082
9.125,-0.0406,0.0173,0.11
9.231,-0.0474,0.0012,0.132
9.325,-0.0446,-0.0106,0.157
9.424,-0.0306,-0.0147,0.188
9.552,-0.0113,-0.0114,0.239
9.625,0.0087,-0.0039,0.283
9.726,0.0239,0.0073,0.321
9.849,0.0314,0.0175,0.361
9.924,0.0346,0.025,0.394
10.025,0.0325,0.0304,0.423
10.139,0.0244,0.0299,0.444
10.225,0.0158,0.0256,0.465
10.324,0.0109,0.0197,0.483
10.428,0.0101,0.0117,0.494
10.524,0.0124,0.0089,0.508
10.624,0.0184,0.0044,0.51
10.727,0.0235,0.0063,0.516
10.824,0.0326,0.0109,0.521
10.925,0.0391,0.0178,0.525
11.024,0.0405,0.0272,0.526
11.125,0.0374,0.0357,0.534
11.224,0.0303,0.0407,0.538
11.327,0.0185,0.0379,0.54
11.423,0.0147,0.0359,0.54
11.524,0.0098,0.0261,0.538
11.642,0.0158,0.0205,0.547
11.725,0.0317,0.0161,0.544
11.823,0.0462,0.0201,0.549
11.954,0.0627,0.0291,0.548
12.023,0.0682,0.037,0.554
12.124,0.0691,0.0548,0.554
12.264,0.0645,0.0688,0.559
12.323,0.0533,0.0748,0.562
12.424,0.0408,0.0779,0.557
12.563,0.0261,0.0794,0.546
12.623,0.0115,0.0752,0.541
12.723,0.0017,0.0681,0.538
12.865,-0.0,0.0633,0.54
12.925,0.0034,0.0516,0.536
13.024,0.0072,0.0454,0.537
13.124,0.0112,0.0504,0.538
13.234,0.0188,0.0541,0.539
13.324,0.0236,0.0602,0.538
13.425,0.0206,0.0646,0.54
13.523,0.0135,0.0682,0.539
13.624,0.0046,0.0669,0.532
13.724,-0.0034,0.0612,0.532
13.824,-0.0106,0.0527,0.53
13.923,-0.0116,0.0437,0.533
14.024,-0.0171,0.0258,0.535
14.125,-0.0173,0.0169,0.534
14.223,-0.016,0.0335,0.538
14.323,-0.0093,0.0542,0.535
14.435,-0.0042,0.0647,0.54
14.523,0.0026,0.0751,0.539
14.623,0.0101,0.0826,0.536
14.748,0.0502,0.0725,0.535
14.822,0.0499,0.063,0.529
14.923,0.0449,0.046,0.532
15.057,0.0312,0.0385,0.528
15.122,0.0128,0.0356,0.528
15.223,-0.0101,0.0356,0.533
15.373,-0.0241,0.0448,0.538
15.43,-0.0307,0.0544,0.536
15.523,-0.0301,0.0639,0.52
15.623,-0.0223,0.073,0.499
15.727,-0.0062,0.08,0.488
15.823,0.0026,0.0788,0.497
15.923,0.014,0.0741,0.505
16.024,0.0154,0.0594,0.513
16.122,0.0163,0.0474,0.521
16.223,0.0162,0.0369,0.525
16.328,0.0091,0.0327,0.529
16.423,0.0039,0.0296,0.531
16.523,0.0018,0.0324,0.526
16.642,0.006,0.0383,0.525
16.722,0.0137,0.043,0.517
16.823,0.0283,0.0443,0.514
16.95,0.0382,0.046,0.514
17.023,0.0565,0.0433,0.515
17.122,0.0708,0.0411,0.52
17.261,0.0835,0.034,0.52
17.322,0.0973,0.0283,0.523
17.422,0.115,0.0218,0.523
17.554,0.1289,0.0239,0.52
17.622,0.1438,0.0374,0.518
17.722,0.1658,0.0493,0.514
17.877,0.1877,0.0579,0.513
17.924,0.2144,0.0621,0.508
18.023,0.2417,0.0651,0.509
18.123,0.2748,0.061,0.52
18.226,0.3152,0.0555,0.539
18.323,0.3575,0.049,0.575
18.423,0.4087,0.0453,0.596
18.527,0.4629,0.039,0.57
18.622,0.502,0.0419,0.525
18.723,0.5433,0.046,0.486
18.829,0.579,0.054,0.468
18.922,0.6093,0.0548,0.466
19.022,0.6448,0.0596,0.471
19.147,0.6842,0.0587,0.485
19.221,0.7244,0.0549,0.489
19.322,0.7659,0.0488,0.499
19.457,0.8027,0.0461,0.505
19.534,0.8352,0.0446,0.507
19.621,0.8703,0.0443,0.509
19.771,0.8978,0.0459,0.51
19.822,0.9257,0.0468,0.505
19.922,0.9468,0.0441,0.508
20.085,0.9625,0.0404,0.51
20.121,0.9769,0.0337,0.51
20.221,0.9859,0.0235,0.512
20.323,0.9934,0.0162,0.514
20.444,1.0,0.01,0.509
20.522,1.0065,0.0075,0.51
20.622,1.0126,0.0104,0.509
20.76,1.0229,0.0162,0.51
20.821,1.0303,0.0216,0.508
20.921,1.0406,0.0273,0.513
21.057,1.0575,0.0309,0.512
21.121,1.0797,0.0319,0.512
21.222,1.1032,0.0301,0.505
21.331,1.1369,0.0221,0.504
21.423,1.1665,0.0161,0.498
21.522,1.1963,0.0087,0.501
21.62,1.227,0.0037,0.503
21.724,1.2458,0.0013,0.505
21.821,1.2622,0.0037,0.505
21.922,1.2731,0.0078,0.503
22.02,1.2765,0.016,0.503
22.121,1.2768,0.0275,0.501
22.221,1.274,0.036,0.503
22.334,1.2716,0.0402,0.505
22.42,1.2681,0.0429,0.505
22.52,1.2702,0.0352,0.505
22.648,1.2753,0.025,0.508
22.72,1.281,0.015,0.509
22.82,1.2833,0.0035,0.508
22.964,1.2796,-0.0109,0.505
23.02,1.2689,-0.0277,0.504
23.121,1.2504,-0.0406,0.5
23.255,1.2233,-0.0538,0.5
23.32,1.1859,-0.0715,0.5
23.421,1.1509,-0.0881,0.503
23.53,1.1169,-0.1065,0.5
23.621,1.0835,-0.1297,0.501
23.72,1.0609,-0.1521,0.504
23.821,1.0441,-0.1705,0.5
23.923,1.0295,-0.1849,0.503
24.021,1.0179,-0.1971,0.503
24.121,1.0067,-0.2056,0.504
24.222,0.999,-0.2051,0.503
24.32,0.9907,-0.2002,0.501
24.421,0.9876,-0.1938,0.505
24.533,0.9842,-0.1917,0.503
24.62,0.9847,-0.1914,0.501
24.72,0.9852,-0.1961,0.505
24.847,0.9831,-0.2027,0.503
24.92,0.9822,-0.217,0.501
25.021,0.9789,-0.2279,0.503
25.148,0.972,-0.2323,0.504
25.22,0.9658,-0.2392,0.503
25.319,0.9568,-0.239,0.504
25.468,0.9502,-0.2358,0.504
25.519,0.9479,-0.2278,0.501
25.621,0.9457,-0.2195,0.504
25.756,0.95,-0.2128,0.509
25.827,0.96,-0.2112,0.501
25.92,0.97,-0.2124,0.501
26.019,0.9823,-0.2189,0.503
26.126,0.9877,-0.2257,0.501
26.22,0.9924,-0.2351,0.499
26.321,0.9945,-0.2389,0.501
26.422,1.0036,-0.2436,0.5
26.519,1.0152,-0.2445,0.499
26.62,1.0228,-0.2397,0.503
26.726,1.0365,-0.2351,0.503
26.82,1.0528,-0.2319,0.503
26.92,1.0662,-0.2294,0.503
27.041,1.0763,-0.2284,0.505
27.123,1.0852,-0.23,0.503
27.22,1.0883,-0.2371,0.501
27.357,1.0817,-0.2411,0.5
27.421,1.0739,-0.242,0.501
27.519,1.0656,-0.2392,0.5
27.668,1.0573,-0.2311,0.501
27.72,1.056,-0.2244,0.501
27.819,1.0579,-0.2155,0.499
27.93,1.071,-0.2125,0.496
28.025,1.0805,-0.2064,0.498
28.119,1.0907,-0.2001,0.498
28.219,1.0996,-0.1919,0.501
28.324,1.1018,-0.1778,0.501
28.419,1.1028,-0.1555,0.499
28.519,1.0993,-0.1287,0.497
28.621,1.0906,-0.0954,0.496
28.719,1.0901,-0.054,0.498
28.819,1.0867,-0.0155,0.499
28.932,1.0871,0.027,0.504
29.02,1.091,0.0727,0.505
29.119,1.0962,0.1081,0.508
29.238,1.1041,0.1386,0.507
29.319,1.1143,0.1672,0.505
29.419,1.1227,0.1857,0.504
29.549,1.1308,0.2034,0.504
29.618,1.1356,0.2165,0.505
29.719,1.1337,0.2298,0.505
29.862,1.1316,0.2388,0.505
29.918,1.1239,0.2459,0.508
30.019,1.1177,0.2518,0.504
30.147,1.1135,0.2581,0.503
30.219,1.1133,0.2609,0.505
30.319,1.1141,0.268,0.504
30.418,1.1307,0.2726,0.501
30.522,1.1537,0.2778,0.505
30.619,1.1781,0.2792,0.504
30.719,1.2055,0.2804,0.507
30.825,1.2191,0.2793,0.509
30.918,1.2273,0.2726,0.504
31.018,1.2243,0.2691,0.501
31.119,1.217,0.2666,0.498
31.219,1.2059,0.2625,0.496
31.318,1.1934,0.2617,0.495
31.43,1.187,0.2616,0.496
31.518,1.1851,0.2635,0.5
31.619,1.1908,0.2659,0.501
31.748,1.1989,0.2723,0.501
31.818,1.2086,0.2721,0.497
31.919,1.2193,0.2684,0.501
32.057,1.2239,0.2625,0.501
32.117,1.2242,0.2445,0.498
32.218,1.2206,0.2267,0.501
32.336,1.2136,0.2061,0.5
32.419,1.2041,0.1802,0.5
32.519,1.1955,0.1552,0.499
32.618,1.1873,0.1265,0.496
32.723,1.1799,0.0944,0.499
32.819,1.1724,0.0621,0.497
32.918,1.1668,0.0262,0.492
33.017,1.1615,-0.0125,0.494
33.118,1.1575,-0.0467,0.497
33.218,1.154,-0.0818,0.501
33.325,1.1514,-0.1167,0.501
33.418,1.1512,-0.1477,0.505
33.518,1.1512,-0.1742,0.501
33.641,1.1504,-0.1968,0.501
33.718,1.1493,-0.2142,0.499
33.819,1.1439,-0.2271,0.499
33.957,1.1398,-0.2355,0.499
34.018,1.1327,-0.2378,0.498
34.118,1.1269,-0.2349,0.501
34.272,1.1326,-0.2337,0.5
34.319,1.1365,-0.2366,0.5
34.417,1.1398,-0.2448,0.501
34.517,1.1436,-0.2471,0.501
34.623,1.145,-0.2569,0.503
34.717,1.1473,-0.2683,0.499
34.818,1.1512,-0.2799,0.501
34.917,1.1579,-0.2909,0.498
35.017,1.1618,-0.2973,0.5
35.118,1.1713,-0.2947,0.498
35.221,1.1747,-0.2921,0.499
35.318,1.1744,-0.2845,0.501
35.417,1.1707,-0.2759,0.5
35.54,1.1675,-0.2695,0.498
35.618,1.1594,-0.2687,0.5
35.717,1.1549,-0.2672,0.497
35.85,1.1509,-0.2697,0.498
35.917,1.1514,-0.2721,0.496
36.016,1.1656,-0.2701,0.498
36.155,1.1875,-0.2696,0.497
36.218,1.2119,-0.269,0.496
36.316,1.2381,-0.2724,0.503
36.416,1.2646,-0.2732,0.501
36.52,1.2921,-0.2748,0.503
36.617,1.3053,-0.2768,0.501
36.717,1.3116,-0.2795,0.501
36.816,1.305,-0.2816,0.5
36.917,1.2924,-0.2805,0.498
37.017,1.2802,-0.276,0.498
37.118,1.2724,-0.276,0.498
37.217,1.2682,-0.2703,0.499
37.317,1.2694,-0.2611,0.501
37.428,1.2753,-0.2494,0.503
37.517,1.2889,-0.2404,0.504
37.617,1.3043,-0.2313,0.501
37.743,1.3198,-0.2201,0.504
37.816,1.3326,-0.2036,0.505
37.916,1.3381,-0.1819,0.504
38.053,1.3434,-0.1535,0.504
38.13,1.3468,-0.1238,0.505
38.217,1.3457,-0.0879,0.501
38.365,1.3432,-0.0481,0.5
38.425,1.3451,-0.0045,0.498
38.517,1.3463,0.0403,0.5
38.627,1.3464,0.0823,0.504
38.727,1.3457,0.1221,0.505
38.816,1.3423,0.1544,0.505
38.916,1.3377,0.1866,0.509
39.019,1.3329,0.2176,0.505
39.116,1.3303,0.2384,0.505
39.216,1.3268,0.2535,0.507
39.318,1.3206,0.2639,0.503
39.415,1.3152,0.2693,0.497
39.516,1.3146,0.2704,0.501
39.634,1.317,0.2711,0.503
39.717,1.331,0.2737,0.503
39.815,1.3486,0.2795,0.501
39.948,1.3734,0.2832,0.501
40.015,1.3944,0.2865,0.505
40.115,1.4113,0.2905,0.504
40.262,1.42,0.2933,0.501
40.315,1.4145,0.2924,0.497
40.415,1.4053,0.2895,0.497
40.549,1.3905,0.2873,0.492
40.619,1.377,0.2847,0.493
40.716,1.3669,0.2798,0.499
40.816,1.3633,0.2724,0.501
40.916,1.3677,0.2689,0.5
41.016,1.378,0.2704,0.501
41.116,1.3889,0.2745,0.499
41.216,1.4002,0.2775,0.497
41.315,1.4087,0.2809,0.499
41.416,1.411,0.2841,0.501
41.526,1.4091,0.2808,0.498
41.616,1.4002,0.273,0.498
41.716,1.3919,0.2714,0.501
41.839,1.3789,0.2633,0.5
41.916,1.377,0.2537,0.497
42.015,1.3772,0.2413,0.501
42.146,1.3882,0.2294,0.497
42.215,1.4007,0.215,0.498
42.315,1.4123,0.2006,0.495
42.462,1.4229,0.1811,0.5
42.514,1.4256,0.1562,0.504
42.615,1.4255,0.1288,0.5
42.741,1.4195,0.0945,0.499
42.817,1.4111,0.0559,0.5
42.916,1.4013,0.0231,0.497
43.015,1.3905,-0.0136,0.501
43.132,1.3836,-0.051,0.503
43.216,1.384,-0.0839,0.504
43.315,1.3865,-0.114,0.507
43.415,1.3907,-0.1478,0.507
43.515,1.3927,-0.1699,0.501
43.615,1.3931,-0.1894,0.501
43.72,1.3931,-0.204,0.501
43.815,1.3914,-0.2171,0.5
43.914,1.3861,-0.2229,0.499
44.035,1.3869,-0.2231,0.5
44.114,1.3846,-0.2227,0.498
44.214,1.3901,-0.2182,0.5
44.349,1.3951,-0.2143,0.499
44.414,1.4085,-0.2183,0.495
44.515,1.4143,-0.2292,0.496
44.664,1.4198,-0.2393,0.499
44.714,1.4287,-0.2506,0.496
44.815,1.4467,-0.2624,0.495
44.929,1.4575,-0.2677,0.492
45.015,1.4715,-0.2701,0.499
45.114,1.4871,-0.2725,0.499
45.214,1.4948,-0.2723,0.499
45.315,1.5025,-0.2729,0.501
45.414,1.5007,-0.2729,0.5
45.514,1.4902,-0.2727,0.501
45.618,1.4793,-0.2769,0.498
45.715,1.4682,-0.2831,0.501
45.814,1.4623,-0.2877,0.503
45.916,1.4625,-0.2902,0.504
46.014,1.4679,-0.2845,0.505
46.115,1.4808,-0.2777,0.5
46.225,1.491,-0.2649,0.499
46.315,1.5031,-0.2439,0.5
46.415,1.5054,-0.2196,0.496
46.537,1.5083,-0.1893,0.498
46.614,1.5041,-0.1554,0.499
46.714,1.501,-0.1167,0.504
46.86,1.4947,-0.0787,0.501
46.914,1.486,-0.0363,0.503
47.014,1.4839,0.0014,0.501
47.171,1.4829,0.0378,0.505
47.215,1.4826,0.068,0.505
47.315,1.4846,0.1004,0.501
47.413,1.4919,0.129,0.505
47.515,1.4956,0.1549,0.505
47.614,1.5012,0.1773,0.503
47.714,1.5054,0.1984,0.504
47.819,1.5074,0.2149,0.499
47.914,1.5101,0.2289,0.5
48.014,1.5097,0.2418,0.503
48.117,1.5087,0.2508,0.5
48.213,1.506,0.2556,0.503
48.313,1.5079,0.2573,0.503
48.431,1.5168,0.2553,0.501
48.513,1.5355,0.2556,0.499
48.613,1.5588,0.2557,0.503
48.747,1.5804,0.2562,0.501
48.814,1.5986,0.2595,0.501
48.913,1.6142,0.2617,0.501
49.057,1.6227,0.2643,0.498
49.113,1.618,0.2672,0.501
49.213,1.6003,0.2654,0.499
49.332,1.59,0.2621,0.496
49.414,1.578,0.2564,0.496
49.513,1.5682,0.2507,0.498
49.613,1.5687,0.239,0.499
49.716,1.576,0.2263,0.5
49.813,1.5871,0.2181,0.5
49.913,1.6001,0.2095,0.5
50.013,1.6102,0.1946,0.501
50.113,1.6159,0.1739,0.499
50.213,1.6148,0.1525,0.5
