time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.231,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.495,,0.153,
0.232,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.492,,0.153,
0.234,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.492,,0.156,
0.238,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.495,,0.156,
0.301,1.8889,0.4449,0.006,0.09,-1.05,-0.14,0.0,0.0011,0.0018,-0.0019,,1.495,,0.153,
0.336,1.8882,0.444,0.007,0.1,-1.01,-0.12,0.0,-0.0024,-0.003,0.0008,,1.488,,0.153,
0.384,1.8882,0.444,0.007,0.1,-1.0,-0.12,0.0,-0.0025,-0.004,0.002,,1.488,,0.154,
0.448,1.8889,0.4444,0.005,0.1,-1.02,-0.15,0.0,0.001,-0.003,-0.0021,,1.491,,0.154,
0.507,1.888,0.4435,0.005,0.1,-0.98,-0.12,0.0,-0.0037,-0.0069,-0.0044,,1.491,,0.153,
0.546,1.8873,0.4437,0.005,0.1,-0.99,-0.1,0.0,-0.0075,-0.0052,-0.0058,,1.491,,0.153,
0.591,1.8889,0.4449,0.006,0.09,-1.04,-0.17,0.0,0.0029,0.001,-0.0034,,1.491,,0.152,
0.634,1.8889,0.4449,0.007,0.09,-1.03,-0.17,0.0,-0.0058,-0.0058,-0.0004,,1.491,,0.152,
0.683,1.8882,0.4449,0.006,0.1,-1.03,-0.14,0.0,-0.0006,-0.0004,-0.0006,,1.491,,0.154,
0.733,1.8871,0.4442,0.008,0.1,-1.0,-0.09,0.0,0.0027,-0.0041,0.0037,,1.489,,0.154,
0.784,1.888,0.4442,0.006,0.1,-1.0,-0.12,0.0,-0.0024,-0.0043,0.0003,,1.489,,0.152,
0.835,1.8888,0.4442,0.008,0.1,-1.0,-0.15,0.0,0.0019,-0.0041,0.003,,1.488,,0.152,
0.9,1.8888,0.4442,0.007,0.1,-1.01,-0.15,0.0,0.0016,-0.0037,0.0019,,1.488,,0.152,
0.958,1.8884,0.4448,0.004,0.1,-1.03,-0.13,0.0,-0.0013,-0.0006,-0.006,,1.491,,0.152,
0.992,1.8888,0.4442,0.006,0.1,-1.01,-0.15,0.0,0.0006,-0.0044,-0.0061,,1.491,,0.151,
1.034,1.8877,0.4441,0.006,0.1,-1.01,-0.1,0.0,0.0003,-0.0053,-0.0058,,1.487,,0.151,
1.085,1.8884,0.4448,0.008,0.1,-1.04,-0.13,0.0,-0.0014,0.0,-0.0009,,1.487,,0.153,
1.136,1.889,0.4448,0.007,0.09,-1.04,-0.17,0.0,0.0022,-0.0001,-0.0004,,1.488,,0.153,
1.205,1.8881,0.4439,0.005,0.1,-1.0,-0.13,0.0,-0.0025,-0.0057,-0.0048,,1.488,,0.155,
1.271,1.8887,0.4441,0.006,0.09,-1.02,-0.17,0.0,0.0021,-0.0041,-0.0049,,1.493,,0.155,
1.289,1.8883,0.4441,0.005,0.1,-1.02,-0.14,0.0,-0.0004,-0.0043,-0.007,,1.493,,0.153,
1.334,1.8887,0.4443,0.006,0.1,-1.03,-0.16,0.0,0.0017,-0.0029,-0.0057,,1.486,,0.153,
1.384,1.8888,0.4439,0.007,0.1,-1.01,-0.16,0.0,0.0016,-0.0052,-0.0029,,1.486,,0.154,
1.434,1.8888,0.444,0.006,0.1,-1.02,-0.16,0.0,0.0019,-0.0035,-0.0034,,1.482,,0.154,
1.517,1.8872,0.4438,0.006,0.1,-1.01,-0.09,0.0,-0.0064,-0.0043,-0.0035,,1.482,,0.153,
1.54,1.8887,0.4445,0.007,0.1,-1.03,-0.15,0.0,0.0024,-0.0012,-0.0013,,1.492,,0.153,
1.585,1.8872,0.4438,0.005,0.1,-1.0,-0.09,0.0,-0.0061,-0.0051,-0.0038,,1.492,,0.154,
1.635,1.8873,0.4432,0.006,0.1,-0.98,-0.09,0.0,-0.0067,-0.0082,-0.003,,1.488,,0.154,
1.684,1.8887,0.4438,0.005,0.09,-1.01,-0.16,0.0,0.0019,-0.0046,-0.0048,,1.488,,0.156,
1.734,1.8879,0.4436,0.005,0.1,-1.0,-0.12,0.0,0.0021,0.0001,-0.0059,,1.488,,0.156,
1.818,1.8887,0.4436,0.007,0.09,-1.01,-0.15,0.0,0.0022,-0.0057,-0.0015,,1.488,,0.154,
1.843,1.8887,0.4442,0.006,0.1,-1.04,-0.15,0.0,0.0021,-0.0018,-0.0015,,1.488,,0.154,
1.884,1.8887,0.444,0.006,0.1,-1.03,-0.15,0.0,0.0016,-0.0028,-0.0007,,1.488,,0.154,
1.935,1.8887,0.4444,0.006,0.1,-1.05,-0.15,0.0,0.0015,-0.0007,-0.0007,,1.488,,0.154,
1.984,1.8887,0.4442,0.004,0.1,-1.04,-0.14,0.0,0.001,-0.0015,-0.0054,,1.488,,0.154,
2.034,1.888,0.4444,0.007,0.1,-1.04,-0.12,0.0,0.0007,-0.0004,-0.0017,,1.485,,0.154,
2.089,1.8887,0.4437,0.006,0.1,-1.01,-0.15,0.0,0.0012,-0.0045,-0.0016,,1.485,,0.153,
2.157,1.8883,0.4435,0.007,0.1,-1.0,-0.13,0.0,-0.001,-0.0051,0.0005,,1.493,,0.153,
2.186,1.8879,0.4433,0.007,0.1,-0.99,-0.12,0.0,-0.0031,-0.0061,0.0013,,1.493,,0.153,
2.236,1.8887,0.4437,0.008,0.1,-1.0,-0.16,0.0,0.0015,-0.0035,0.0027,,1.488,,0.153,
2.286,1.8878,0.4441,0.005,0.1,-1.02,-0.12,0.0,-0.0027,-0.0027,-0.0022,,1.488,,0.151,
2.376,1.8885,0.4429,0.006,0.1,-0.97,-0.15,0.0,0.0012,-0.0096,-0.0035,,1.484,,0.151,
2.409,0.0001,0.0,0.008,0.0,-0.07,-0.08,0.0,0.0031,-0.0006,0.0001,,1.484,,0.155,
2.433,0.0002,-0.0001,0.005,0.0,-0.2,-0.14,0.0,0.0024,-0.0064,-0.0022,,1.492,,0.155,
2.484,0.0003,-0.0007,0.006,0.0,-0.19,-0.19,0.0,0.0028,-0.0151,-0.0035,,1.492,,0.157,
2.534,-0.0004,-0.0016,0.006,0.0,-0.19,0.02,0.0,-0.0054,-0.0229,-0.0045,,1.485,,0.157,
2.583,0.0004,-0.001,0.007,0.0,-0.55,-0.2,0.0,0.0033,-0.0145,-0.0021,,1.485,,0.154,
2.67,0.0004,-0.0003,0.006,-0.0,-0.8,-0.19,0.0,0.0027,-0.0067,-0.0037,,1.492,,0.154,
2.728,0.0005,-0.001,0.004,0.0,-0.77,-0.18,0.0,0.0029,-0.0108,-0.0089,,1.492,,0.152,
2.735,0.0004,-0.0011,0.006,0.0,-0.82,-0.16,0.0,0.0021,-0.0101,-0.0067,,1.49,,0.152,
2.784,0.0005,-0.0018,0.006,0.0,-0.8,-0.16,0.0,0.0018,-0.0135,-0.0048,,1.49,,0.151,
2.833,-0.0013,-0.0016,0.007,0.0,-0.86,-0.0,0.0,-0.0101,-0.0119,-0.0018,,1.487,,0.151,
2.883,-0.0012,-0.001,0.006,0.01,-0.93,-0.04,0.0,-0.0087,-0.0073,-0.0028,,1.487,,0.155,
2.961,0.0,-0.0004,0.007,0.01,-0.99,-0.14,0.0,-0.0003,-0.0034,-0.0015,,1.497,,0.155,
3.017,-0.0002,-0.0011,0.005,0.01,-0.95,-0.13,0.0,-0.0017,-0.0073,-0.0048,,1.497,,0.153,
3.032,-0.0004,-0.0008,0.006,0.01,-0.98,-0.11,0.0,-0.0031,-0.0059,-0.0045,,1.488,,0.153,
