time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.238,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679,0.417,,0.211,,,
0.24,,-0.004,0.0119,0.01,-0.04,-1.58,0.29,0.0,0.0,0.0,0.0,0.679,0.417,,0.213,,,
0.243,,-0.0052,0.0111,0.011,-0.04,-1.54,0.33,0.0,0.0,0.0,0.0,0.674,0.413,,0.213,,,
0.248,,-0.0052,0.0117,0.01,-0.04,-1.56,0.34,0.0,0.0,0.0,0.0,0.674,0.413,,0.214,,,
0.3,,-0.0058,0.0122,0.011,-0.04,-1.58,0.36,0.0,-0.0103,0.0063,-0.0007,0.675,0.413,,0.214,,,
0.341,,-0.005,0.0116,0.011,-0.04,-1.54,0.33,0.0,-0.0064,0.0025,-0.0002,0.675,0.413,2.454,0.215,,,
0.391,,-0.006,0.0105,0.01,-0.04,-1.49,0.36,0.0,-0.0097,-0.0036,-0.0026,0.679,0.413,2.454,0.215,,,
0.441,,-0.0042,0.012,0.01,-0.04,-1.56,0.29,0.0,-0.0044,-0.0003,-0.0037,0.679,0.413,,0.205,,,
0.505,,-0.0051,0.0112,0.011,-0.04,-1.52,0.33,0.0,-0.0049,0.0002,-0.0018,0.676,0.415,,0.205,,,
0.548,,-0.0043,0.0126,0.012,-0.05,-1.58,0.29,0.0,-0.0106,0.0005,0.0019,0.676,0.415,,0.21,,,
0.592,,-0.0045,0.0117,0.013,-0.05,-1.55,0.29,0.0,-0.0012,0.0064,0.0054,0.676,0.414,,0.21,,,
0.64,,-0.0061,0.0119,0.01,-0.04,-1.55,0.35,0.0,-0.0096,0.0003,0.0005,0.676,0.414,,0.216,,,
0.691,,-0.0062,0.0113,0.011,-0.05,-1.52,0.35,0.0,-0.009,0.0052,-0.0008,0.675,0.412,,0.216,,,
0.74,,-0.0055,0.0122,0.01,-0.05,-1.56,0.31,0.0,-0.0089,0.0005,-0.0042,0.675,0.412,,0.212,,,
0.792,,-0.0063,0.0118,0.01,-0.05,-1.55,0.34,0.0,-0.0022,0.0023,-0.0057,0.673,0.413,,0.212,,,
0.878,,-0.0063,0.0125,0.008,-0.05,-1.57,0.34,0.0,-0.0043,0.0033,-0.0101,0.673,0.413,,0.211,,,
0.903,,-0.0062,0.012,0.009,-0.05,-1.55,0.33,0.0,0.0008,0.0029,-0.0097,0.674,0.416,,0.211,,,
0.947,,-0.0062,0.0115,0.011,-0.05,-1.52,0.34,0.0,-0.0044,0.0045,-0.0041,0.674,0.416,,0.208,,,
1.016,,-0.0053,0.012,0.011,-0.05,-1.54,0.3,0.0,-0.0052,0.0001,-0.0006,0.676,0.41,,0.208,,,
1.041,,-0.0062,0.0127,0.013,-0.05,-1.56,0.34,0.0,-0.0084,0.0018,0.0059,0.676,0.41,,0.209,,,
1.092,,-0.0063,0.0125,0.008,-0.05,-1.56,0.33,0.0,-0.0056,0.0012,-0.002,0.678,0.411,,0.209,,,
1.153,,-0.0045,0.0125,0.011,-0.05,-1.55,0.25,0.0,-0.0025,0.0023,-0.0,0.678,0.411,,0.208,,,
1.225,,-0.0047,0.0123,0.01,-0.05,-1.54,0.27,0.0,-0.0084,0.0005,-0.001,0.675,0.414,,0.208,,,
1.265,,-0.0062,0.0108,0.011,-0.05,-1.47,0.33,0.0,-0.0023,0.0008,0.0008,0.675,0.414,,0.215,,,
1.291,,-0.0052,0.0119,0.011,-0.05,-1.52,0.28,0.0,-0.0083,0.0011,0.0014,0.677,0.414,,0.215,,,
1.341,,-0.0063,0.0108,0.009,-0.05,-1.48,0.33,0.0,-0.0077,-0.0007,-0.0032,0.677,0.414,,0.209,,,
1.392,,-0.0063,0.0123,0.012,-0.05,-1.54,0.31,0.0,0.0009,0.0003,0.0007,0.675,0.413,,0.209,,,
1.473,,-0.0053,0.0119,0.012,-0.05,-1.53,0.27,0.0,-0.0079,-0.004,0.0028,0.675,0.413,,0.216,,,
1.507,,-0.0064,0.012,0.011,-0.05,-1.54,0.32,0.0,-0.0048,0.0028,0.0021,0.676,0.413,,0.216,,,
