time_s,x_m,y_m,z_down_m,vx_ms,vy_ms,vz_ms
0.084,0.0,0.0,0.008,0.0,0.0,0.0
0.134,0.839,-2.8936,0.01,0.003,-0.0051,-0.0026
0.185,0.8386,-2.8936,0.008,-0.0014,0.0015,0.0006
0.235,0.8386,-2.8933,0.01,0.0001,0.0011,-0.0017
0.285,0.8376,-2.8929,0.011,0.0006,0.004,0.001
0.334,0.8388,-2.8938,0.008,-0.0004,-0.0024,0.0044
0.386,0.8381,-2.8938,0.011,0.0008,-0.0006,-0.0011
0.434,0.8388,-2.8936,0.01,-0.0051,0.003,0.0028
0.485,0.8388,-2.8933,0.007,0.0011,-0.002,0.0026
0.536,0.8384,-2.8929,0.01,0.005,-0.0064,-0.0041
0.586,0.8377,-2.8929,0.01,-0.0012,0.0005,-0.0005
0.634,0.8384,-2.894,0.012,0.0061,-0.0058,0.0011
0.685,0.8388,-2.8934,0.009,0.0018,0.0006,0.0066
0.734,0.8395,-2.8947,0.01,-0.0005,-0.0025,0.0024
0.784,0.8386,-2.8936,0.011,-0.0043,0.0028,0.002
0.834,0.8389,-2.8936,0.01,0.0017,-0.0005,0.0042
0.885,0.8391,-2.8938,0.008,0.0028,-0.0014,0.0023
0.934,0.8382,-2.8929,0.011,0.0018,-0.0005,-0.0026
0.984,0.8384,-2.8929,0.01,0.002,-0.0001,0.0014
1.035,0.8389,-2.8938,0.005,0.0019,-0.0006,0.0019
1.086,0.8386,-2.8929,0.007,0.0057,-0.008,-0.01
1.134,0.8392,-2.8936,0.008,0.0066,-0.0068,-0.0113
1.184,0.8387,-2.8941,0.009,0.0058,-0.0064,-0.0082
1.234,0.8382,-2.8939,0.01,0.0005,-0.0015,-0.0035
1.285,0.8389,-2.8932,0.009,0.001,0.0001,0.0023
1.334,0.8392,-2.8936,0.008,0.0018,0.0007,0.0032
1.384,0.839,-2.8934,0.009,0.0043,-0.0056,0.0007
1.434,-0.0001,0.0002,0.011,-0.0057,0.0092,0.0
1.485,-0.0001,0.0004,0.008,0.0,0.0077,0.0003
1.534,-0.0006,0.0011,0.01,-0.0043,0.0141,-0.001
1.585,-0.001,0.0028,0.013,-0.0027,0.0116,0.0006
1.634,-0.0012,0.0024,0.009,-0.0048,0.0067,0.008
1.684,-0.001,0.0013,0.008,0.0011,0.0016,0.0018
1.735,-0.0002,0.001,0.01,0.0026,0.0012,-0.0041
1.785,-0.0008,0.0013,0.01,0.0057,-0.0068,-0.0017
1.835,0.0002,0.0003,0.01,0.0071,-0.0063,-0.0002
1.884,0.0002,0.0002,0.01,-0.0023,-0.0011,0.0013
1.935,-0.0001,0.0003,0.01,0.0042,-0.0066,0.0019
1.984,-0.0012,0.0011,0.009,-0.0019,0.0013,0.0019
2.035,-0.0001,0.0002,0.011,0.0045,-0.0062,0.0
2.085,0.0002,0.0002,0.01,-0.0083,0.0047,0.0038
2.135,-0.0012,0.0025,0.011,-0.0004,-0.0008,0.0035
2.184,-0.0001,0.0001,0.011,0.0025,0.0025,0.0055
2.235,-0.0004,0.0018,0.011,0.0011,-0.0002,0.006
2.284,0.0001,0.0003,0.01,0.0016,-0.0017,0.0054
2.334,-0.0007,0.0016,0.012,0.0004,0.0007,0.0024
2.384,-0.0012,0.0018,0.012,-0.0079,0.0046,0.0049
2.434,-0.0002,0.0002,0.01,0.0026,0.0038,0.0062
2.484,-0.0002,0.0003,0.008,0.0025,-0.006,0.0008
2.534,-0.0007,0.0016,0.009,-0.0032,0.0018,-0.0064
2.584,-0.0012,0.001,0.008,0.0025,-0.0048,-0.0067
2.634,-0.0001,0.0002,0.012,0.004,-0.005,-0.0091
2.684,-0.0012,0.0016,0.01,-0.0012,0.0016,-0.0002
2.734,-0.0007,0.0016,0.009,0.0047,-0.0055,-0.0002
2.784,0.0002,0.0002,0.009,-0.0024,0.0021,-0.0016
2.834,0.0002,-0.0002,0.01,-0.0012,0.0019,-0.0018
2.884,-0.0023,0.0027,0.01,0.0002,0.0005,0.0006
2.935,0.0002,0.0001,0.01,0.0015,0.0006,0.0019
2.984,-0.0006,0.0018,0.011,0.0037,-0.0046,0.0031
3.034,-0.0012,0.0015,0.01,0.0039,-0.0044,0.0056
3.084,-0.0002,0.0003,0.012,-0.0033,0.0042,0.0037
3.134,-0.0014,0.0015,0.008,0.0008,0.0027,0.0073
3.184,-0.0006,0.0002,0.008,0.0027,-0.0055,-0.0011
3.234,-0.0017,0.0012,0.012,-0.0017,0.0056,-0.005
3.284,-0.0019,0.0012,0.009,0.0001,0.0013,0.0025
3.334,-0.0016,0.002,0.009,0.003,-0.0052,-0.0005
3.384,-0.0009,0.0002,0.011,0.0032,-0.0053,-0.0018
3.434,-0.0014,0.0015,0.011,-0.0003,0.0041,0.003
3.484,-0.0011,0.0012,0.009,0.0034,-0.0053,0.0052
3.534,-0.0009,0.0003,0.009,-0.0016,0.0013,0.001
3.584,-0.0007,0.0004,0.009,-0.0017,0.0019,-0.0012
3.633,-0.0016,0.0017,0.009,0.0045,-0.0052,-0.0022
3.684,-0.0007,0.0004,0.012,-0.002,0.005,-0.0026
3.735,-0.0007,0.0004,0.009,-0.0004,-0.0019,0.0047
3.784,-0.0018,0.0013,0.01,-0.0023,-0.0007,0.0004
3.834,-0.0007,0.0004,0.009,0.0049,-0.006,0.0013
3.884,-0.0013,0.0015,0.01,0.0052,-0.0055,-0.0012
3.934,-0.0013,0.001,0.007,0.0044,-0.0044,-0.0007
3.984,-0.0008,0.0003,0.009,-0.0001,0.0019,-0.0079
4.034,-0.0015,0.0017,0.009,-0.0017,0.0015,-0.0061
4.084,-0.0006,0.0004,0.01,0.0041,-0.0059,-0.0034
4.134,-0.0009,0.0003,0.01,0.0004,-0.0014,0.0015
4.184,-0.0015,0.0013,0.009,-0.0011,0.001,0.0039
4.234,-0.0013,0.001,0.01,0.0017,0.0032,0.0026
4.283,-0.0013,0.0019,0.007,-0.0012,0.0026,0.004
4.333,-0.0026,0.0022,0.008,-0.0038,0.0046,-0.0038
4.384,-0.0015,0.0013,0.009,0.002,0.001,-0.0045
4.434,-0.0015,0.0015,0.012,-0.0014,0.0004,-0.002
4.483,-0.0017,0.0011,0.011,0.0038,-0.006,0.0079
4.535,-0.0015,0.0015,0.01,-0.0004,0.001,0.0095
4.584,-0.003,0.0023,0.012,0.0052,-0.0064,0.0069
