time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.237,,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682,0.415,,1.301,,,,,
0.24,,0.7473,-2.5389,0.013,-46.46,-0.45,0.42,0.0,0.0,0.0,0.0,0.679,0.413,,1.294,,,,,
0.242,,0.7481,-2.5393,0.011,-46.69,-0.46,0.39,0.0,0.0,0.0,0.0,0.679,0.413,,1.294,,,,,
0.245,,0.7474,-2.5393,0.012,-46.92,-0.45,0.4,0.0,0.0,0.0,0.0,0.68,0.413,,1.297,,,,,
0.327,,0.7486,-2.5399,0.012,-47.15,-0.47,0.35,0.0,0.0,0.0,0.0,0.68,0.413,,1.297,,,,,
0.333,,0.748,-2.5392,0.011,-47.38,-0.47,0.38,0.0,0.0012,0.0008,-0.0013,0.68,0.413,,1.297,,,,,
0.382,,0.7486,-2.5399,0.012,-47.61,-0.46,0.34,0.0,0.0047,-0.0032,-0.0018,0.68,0.413,,1.297,,,,,
0.433,,0.7488,-2.54,0.012,-47.85,-0.46,0.33,0.0,0.005,-0.0035,-0.0,0.684,0.412,,1.289,,,,,
0.481,,0.7482,-2.5394,0.012,-48.09,-0.46,0.36,0.0,0.0027,-0.0006,0.001,0.684,0.412,,1.289,,,,,
0.531,,0.7475,-2.539,0.01,-48.33,-0.45,0.39,0.0,-0.0013,0.0017,0.001,0.679,0.414,2.411,1.291,,,,,
0.594,,0.7483,-2.5395,0.013,-48.57,-0.46,0.36,0.0,0.0025,-0.0007,-0.0039,0.679,0.414,2.411,1.291,,,,,
0.658,,0.7485,-2.5397,0.014,-48.81,-0.45,0.34,0.0,0.0032,-0.0016,0.0003,0.677,0.412,,1.301,,,,,
0.695,,0.7486,-2.5399,0.012,-49.05,-0.45,0.33,0.0,0.0045,-0.0031,0.0054,0.677,0.412,,1.301,,,,,
0.742,,0.7488,-2.5401,0.014,-49.29,-0.45,0.33,0.0,0.0049,-0.0038,0.0026,0.678,0.415,,1.29,,,,,
0.782,,0.7481,-2.5393,0.012,-49.54,-0.45,0.36,0.0,0.0011,-0.0001,0.0051,0.678,0.415,,1.29,,,,,
0.848,,0.7486,-2.5399,0.011,-49.78,-0.45,0.34,0.0,0.0034,-0.0026,0.0016,0.681,0.415,,1.297,,,,,
0.886,,0.7483,-2.5396,0.014,-50.03,-0.45,0.36,0.0,0.0014,-0.0011,-0.0027,0.681,0.415,,1.297,,,,,
0.937,,0.7489,-2.5402,0.015,-50.27,-0.45,0.33,0.0,0.0038,-0.0037,0.0012,0.679,0.411,,1.296,,,,,
0.987,,0.7485,-2.5398,0.012,-50.52,-0.45,0.36,0.0,0.0021,-0.001,0.0059,0.679,0.411,,1.296,,,,,
1.033,,0.7488,-2.5402,0.011,-50.77,-0.45,0.34,0.0,0.0032,-0.0033,0.0018,0.68,0.414,,1.293,,,,,
1.087,,0.749,-2.5404,0.013,-51.02,-0.45,0.33,0.0,0.004,-0.004,-0.0035,0.68,0.414,,1.293,,,,,
1.152,,0.7484,-2.5396,0.011,-51.27,-0.45,0.37,0.0,0.001,-0.0005,-0.002,0.683,0.41,,1.294,,,,,
