time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.24,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.415,,,,,
0.242,,-4.3784,-4.4159,0.011,2.11,-0.78,0.49,0.0,0.0,0.0,0.0,0.672,0.42,,,,,
0.244,,-4.3755,-4.416,0.009,2.12,-0.76,0.39,0.0,0.0,0.0,0.0,0.672,0.42,,,,,
0.246,,-4.3738,-4.4158,0.01,2.13,-0.76,0.37,0.0,0.0,0.0,0.0,0.671,0.413,,,,,
0.281,,-4.3735,-4.4142,0.008,2.14,-0.82,0.4,0.0,0.0,0.0,0.0,0.671,0.413,,,,,
0.332,,-4.3748,-4.4143,0.008,2.16,-0.82,0.47,0.0,0.0066,0.0157,-0.0031,0.671,0.421,,,,,
0.382,,-4.3737,-4.4158,0.008,2.17,-0.75,0.46,0.0,0.0101,0.0075,-0.0048,0.671,0.421,,0.515,,,
0.433,,-4.3753,-4.4158,0.01,2.19,-0.75,0.54,0.0,0.0,0.0066,-0.0052,0.666,0.415,,0.515,,,
0.484,,-4.3744,-4.4157,0.011,2.2,-0.75,0.51,0.0,0.0029,0.0069,-0.0005,0.666,0.415,2.463,,,,
0.532,,-4.3762,-4.4157,0.009,2.21,-0.75,0.6,0.0,-0.0079,0.0061,0.0048,0.67,0.416,2.463,,,,
0.582,,-4.3806,-4.4141,0.01,2.22,-0.81,0.76,0.0,-0.0296,0.0148,0.004,0.67,0.416,,,,,
0.638,,-4.3804,-4.4141,0.009,2.23,-0.8,0.71,0.0,-0.024,0.014,0.0055,0.673,0.414,,,,,
0.692,,-4.3806,-4.4133,0.009,2.24,-0.83,0.68,0.0,-0.0214,0.0173,0.0039,0.673,0.414,,,,,
0.749,,-4.3809,-4.414,0.01,2.25,-0.79,0.67,0.0,-0.0202,0.0124,0.0025,0.673,0.421,,,,,
0.781,,-4.3806,-4.4129,0.011,2.26,-0.83,0.63,0.0,-0.0158,0.0167,0.0036,0.673,0.421,2.437,,,,
0.845,,-4.3807,-4.4139,0.01,2.27,-0.78,0.61,0.0,-0.0138,0.0105,0.0062,0.668,0.413,2.437,,,,
0.887,,-4.3817,-4.4135,0.008,2.27,-0.79,0.63,0.0,-0.0169,0.0121,0.0046,0.668,0.413,,0.663,,,
0.94,,-4.3825,-4.4135,0.01,2.28,-0.78,0.64,0.0,-0.0185,0.0112,-0.0011,0.67,0.42,,0.663,,,
0.981,,-4.3802,-4.4132,0.009,2.28,-0.78,0.54,0.0,-0.0059,0.0123,0.0005,0.67,0.42,,,,,
1.035,,-4.3807,-4.4144,0.01,2.29,-0.74,0.55,0.0,-0.0068,0.0061,-0.0012,0.672,0.413,,,,,
1.099,,-4.3807,-4.4135,0.012,2.3,-0.77,0.54,0.0,-0.0065,0.0112,0.0008,0.672,0.413,2.496,,,,
1.133,,-4.3814,-4.4144,0.011,2.31,-0.73,0.57,0.0,-0.0099,0.0056,0.0063,0.67,0.419,2.496,,,,
1.181,,-4.3812,-4.4128,0.009,2.32,-0.78,0.55,0.0,-0.0085,0.0135,0.0069,0.67,0.419,,,,,
1.235,,-4.3816,-4.4137,0.009,2.33,-0.75,0.57,0.0,-0.0102,0.008,0.0025,0.671,0.415,,,,,
1.319,,-4.3813,-4.4144,0.01,2.34,-0.72,0.56,0.0,-0.0086,0.0049,-0.0003,0.671,0.415,,,,,
1.336,,-4.3814,-4.4135,0.01,2.35,-0.76,0.56,0.0,-0.0083,0.009,0.0004,0.674,0.42,,,,,
1.387,,-4.3806,-4.4127,0.007,2.35,-0.78,0.52,0.0,-0.0035,0.0121,0.0003,0.674,0.42,2.494,,,,
1.433,,-4.381,-4.4125,0.009,2.36,-0.79,0.54,0.0,-0.0043,0.0127,-0.0058,0.672,0.416,2.494,,,,
