time_s,x_m,y_m,z_down_m
0.234,0.0,0.0,0.008
0.236,0.1013,0.2957,0.012
0.239,0.1011,0.2961,0.012
0.241,0.1014,0.2951,0.013
0.296,0.1052,0.2984,0.01
0.329,0.1058,0.2991,0.013
0.378,0.1002,0.2963,0.012
0.427,0.0998,0.3044,0.011
0.477,0.1005,0.3023,0.011
0.544,0.1006,0.3035,0.013
0.602,0.104,0.2985,0.012
0.627,0.104,0.2923,0.012
0.676,0.1029,0.2922,0.01
0.727,0.1027,0.292,0.013
0.778,0.1027,0.2924,0.013
0.827,0.1026,0.2918,0.011
0.913,0.104,0.2911,0.009
0.928,0.106,0.2869,0.013
0.987,0.1025,0.2895,0.011
1.038,0.102,0.2888,0.009
1.079,0.1011,0.3026,0.012
1.127,0.1017,0.3037,0.011
1.207,0.1013,0.3024,0.01
1.249,0.1012,0.2947,0.012
1.277,0.1001,0.2939,0.013
1.328,0.1007,0.2948,0.012
1.378,0.0983,0.2918,0.012
1.427,0.099,0.296,0.011
1.499,0.0982,0.2918,0.009
1.553,0.0959,0.2885,0.012
1.58,0.0965,0.287,0.012
1.629,0.0955,0.2882,0.013
1.677,0.0957,0.2882,0.011
1.728,0.0955,0.2872,0.01
1.793,0.0959,0.2884,0.009
1.835,0.0948,0.287,0.01
1.877,0.0954,0.2884,0.011
1.927,0.0949,0.2891,0.009
1.978,0.0953,0.2886,0.012
2.028,0.0953,0.2891,0.01
2.082,0.0951,0.2854,0.013
2.138,0.0947,0.2862,0.01
2.177,0.0955,0.2901,0.011
2.228,0.0951,0.2892,0.011
2.276,0.0953,0.2892,0.011
2.365,0.0947,0.2896,0.011
2.405,0.0953,0.2892,0.013
2.426,0.0959,0.289,0.013
2.478,0.0959,0.2907,0.011
2.527,0.096,0.2838,0.011
2.576,0.0958,0.2837,0.012
2.652,0.096,0.2838,0.012
2.699,0.0939,0.2783,0.011
2.726,0.0935,0.2803,0.011
2.777,0.0936,0.2825,0.013
2.827,0.0,0.0,0.012
2.878,0.0001,-0.0005,0.013
2.942,0.0001,-0.0014,0.013
2.984,0.0014,-0.0034,0.012
3.027,0.0009,-0.0044,0.011
3.077,0.0015,-0.0048,0.01
3.127,0.0016,-0.0052,0.012
3.177,0.0034,-0.0072,0.011
3.23,0.0055,-0.0005,0.012
3.286,0.0057,-0.0232,0.009
3.327,0.0055,-0.0221,0.012
3.377,0.0052,-0.0205,0.011
3.427,0.0051,-0.0212,0.011
3.511,0.0007,-0.0045,0.011
3.559,0.0002,-0.0045,0.011
3.578,0.002,-0.0063,0.011
3.627,0.0,-0.0083,0.013
3.676,-0.0006,-0.0159,0.012
3.727,-0.0007,-0.0174,0.01
3.804,-0.0008,-0.0233,0.012
3.85,0.0013,-0.0139,0.01
3.876,0.0013,-0.0139,0.011
3.926,0.0016,-0.0144,0.011
3.977,-0.0017,-0.0241,0.011
4.027,-0.0013,-0.0231,0.011
4.091,0.0001,-0.0227,0.011
4.137,0.0003,-0.022,0.011
4.175,0.0001,-0.0226,0.01
4.226,0.0001,-0.0228,0.013
4.276,-0.001,-0.0209,0.01
4.327,0.0006,-0.0247,0.012
4.38,0.0004,-0.024,0.012
4.439,0.0006,-0.0125,0.012
4.479,0.0006,-0.0113,0.011
4.527,0.0026,-0.0094,0.011
4.576,0.0026,-0.0088,0.013
4.663,0.0026,-0.0085,0.011
4.707,0.0048,-0.0166,0.012
4.729,0.0057,-0.0287,0.011
4.777,0.0052,-0.0294,0.012
4.828,0.0044,-0.0354,0.01
4.878,0.0044,-0.0326,0.01
4.956,0.0065,-0.0283,0.01
4.994,0.0067,-0.0365,0.012
5.03,0.0051,-0.0412,0.012
5.076,0.006,-0.0425,0.013
5.126,0.006,-0.0377,0.012
5.176,0.0056,-0.0312,0.011
5.246,0.0069,-0.0321,0.011
5.301,0.0073,-0.0321,0.012
5.338,0.0067,-0.0356,0.011
5.376,0.009,-0.0359,0.012
5.426,0.0088,-0.0391,0.012
5.475,0.0061,-0.042,0.009
5.534,0.0084,-0.0466,0.012
5.583,0.0062,-0.0367,0.012
5.636,0.0082,-0.032,0.012
5.676,0.008,-0.0418,0.012
5.726,0.0062,-0.0406,0.012
5.777,0.0054,-0.041,0.011
5.833,0.0054,-0.0412,0.012
5.878,0.0062,-0.0408,0.01
5.926,0.0063,-0.0406,0.014
5.976,0.006,-0.0415,0.011
6.026,0.0061,-0.0406,0.012
6.108,0.0071,-0.0311,0.012
6.151,0.0075,-0.0337,0.012
6.176,0.0082,-0.0341,0.012
6.225,0.0089,-0.0372,0.01
6.276,0.0086,-0.0396,0.011
6.325,0.0078,-0.043,0.011
6.397,0.0103,-0.0417,0.01
6.451,0.0103,-0.0364,0.013
6.482,0.0121,-0.0237,0.011
6.526,0.0131,-0.0231,0.009
6.575,0.0126,-0.0233,0.01
6.627,0.0158,-0.0261,0.009
6.685,0.0163,-0.0256,0.01
6.73,0.0152,-0.0255,0.009
