time_s,x_m,y_m,z_down_m
0.236,1.6034,1.5316,0.008
0.239,1.6029,1.5251,0.01
0.326,1.6026,1.5216,0.012
0.426,1.603,1.5225,0.011
0.527,1.6025,1.5215,0.01
0.643,1.6027,1.524,0.011
0.726,1.6025,1.522,0.013
0.826,1.6022,1.5209,0.009
0.926,1.6023,1.5215,0.014
1.041,1.6025,1.5227,0.01
1.125,1.6028,1.5208,0.013
1.226,1.6025,1.5198,0.009
1.342,1.6025,1.5213,0.01
1.426,1.6025,1.5208,0.008
1.525,1.6019,1.5255,0.011
1.633,1.602,1.5257,0.011
1.726,1.6022,1.5253,0.012
1.826,1.6023,1.5265,0.01
1.93,1.6021,1.5256,0.012
2.026,1.6023,1.527,0.011
2.157,1.6019,1.5238,0.011
2.228,1.602,1.5259,0.012
2.325,1.6022,1.5261,0.011
2.45,1.6022,1.5275,0.009
2.525,1.6022,1.5258,0.012
2.625,1.6017,1.5252,0.011
2.743,1.6022,1.527,0.012
2.824,1.6022,1.525,0.01
2.925,-0.0001,-0.0004,0.01
3.034,-0.0006,-0.0018,0.013
3.124,-0.0007,-0.0003,0.013
3.224,-0.0013,-0.0012,0.01
3.325,-0.0007,0.0001,0.012
3.425,-0.0004,-0.0004,0.008
3.525,-0.0002,0.0012,0.011
3.66,-0.0002,0.0005,0.013
3.724,-0.0008,-0.0038,0.011
3.825,-0.0007,-0.0001,0.011
3.935,-0.0004,0.0022,0.01
4.024,-0.0001,-0.0013,0.011
4.125,-0.0002,-0.0033,0.011
4.246,-0.0005,-0.0005,0.013
4.324,-0.0002,-0.0008,0.01
4.424,-0.0007,-0.0005,0.011
4.524,-0.0004,-0.0011,0.01
4.625,-0.0006,-0.0018,0.01
4.763,-0.0006,-0.003,0.01
4.826,-0.0006,-0.0042,0.01
4.926,-0.0001,-0.0047,0.01
5.055,-0.0001,-0.006,0.01
5.124,-0.0006,-0.0069,0.011
5.224,-0.0001,-0.0056,0.011
5.347,-0.0002,-0.006,0.011
5.423,-0.0004,-0.004,0.011
5.524,-0.0004,-0.0046,0.011
5.636,-0.0002,-0.0022,0.014
5.725,0.0001,0.0029,0.01
5.824,-0.001,-0.0072,0.011
5.927,-0.0007,-0.0124,0.01
