time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.238,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.418,,,
0.241,0.0006,0.0004,0.006,-0.36,-1.27,-0.15,0.0,0.0009,0.0024,0.0051,,1.418,,,
0.245,0.0006,-0.0003,0.006,-0.36,-1.24,-0.15,0.0,0.0007,-0.0012,0.0011,,1.418,,,
0.248,0.0006,-0.0008,0.007,-0.37,-1.22,-0.15,0.0,0.0007,-0.0037,-0.0015,,1.421,,,
0.296,0.0006,-0.0008,0.005,-0.37,-1.22,-0.15,0.0,0.0012,-0.0039,-0.0004,,1.421,,,
0.332,0.0006,-0.0009,0.007,-0.37,-1.22,-0.15,0.0,0.0011,-0.0047,-0.0031,,1.42,,,
0.381,0.0006,-0.0001,0.005,-0.37,-1.25,-0.14,0.0,0.0009,-0.0006,-0.0003,,1.42,,,
0.429,0.0006,-0.0017,0.007,-0.38,-1.18,-0.14,0.0,0.0007,-0.0016,-0.0024,,1.42,,,
0.486,0.0006,-0.0001,0.008,-0.38,-1.25,-0.13,0.0,0.0009,-0.0008,0.0004,,1.42,,,
0.533,0.0006,-0.0012,0.008,-0.38,-1.21,-0.13,0.0,0.0005,-0.0069,0.0035,,1.419,,,
0.579,0.0007,0.0004,0.005,-0.38,-1.28,-0.13,0.0,0.0009,0.0022,0.0055,,1.419,,,
0.63,0.0007,0.0004,0.006,-0.38,-1.28,-0.13,0.0,0.0008,0.0019,-0.0005,,1.421,,,
0.678,0.0007,-0.0004,0.006,-0.39,-1.25,-0.13,0.0,0.0012,-0.0011,-0.0016,,1.421,,,
0.729,0.0007,-0.0004,0.008,-0.39,-1.25,-0.13,0.0,0.0009,-0.0015,-0.0018,,1.422,,,
0.78,0.0007,-0.0001,0.008,-0.39,-1.25,-0.12,0.0,0.0007,-0.0001,0.0026,,1.422,,,
0.872,0.0007,-0.0008,0.01,-0.39,-1.23,-0.13,0.0,-0.0001,-0.0038,0.0056,,1.418,,,
0.879,0.0007,0.0003,0.006,-0.39,-1.27,-0.13,0.0,-0.0004,0.0018,0.011,,1.418,,,
0.934,0.0007,-0.0015,0.008,-0.4,-1.2,-0.13,0.0,-0.0001,-0.008,0.0052,,1.423,,,
0.984,0.0007,-0.0006,0.007,-0.4,-1.24,-0.13,0.0,-0.0001,-0.0033,0.0053,,1.423,,,
1.029,0.0007,-0.0012,0.011,-0.4,-1.22,-0.13,0.0,0.0006,-0.0059,0.0027,,1.424,,,
1.079,0.0007,0.0001,0.009,-0.4,-1.27,-0.13,0.0,-0.0001,0.0011,0.0091,,1.424,,,
1.164,0.0007,-0.0007,0.009,-0.41,-1.23,-0.13,0.0,-0.0005,-0.0029,0.0079,,1.416,,,
1.195,0.0007,-0.001,0.006,-0.41,-1.21,-0.13,0.0,-0.0005,-0.0046,0.0065,,1.416,,,
1.235,0.0007,-0.0025,0.007,-0.41,-1.17,-0.13,0.0,-0.0003,-0.0115,-0.0013,,1.422,,,
1.28,0.0007,0.0004,0.009,-0.41,-1.27,-0.13,0.0,-0.0003,0.0027,-0.0036,,1.422,,,
1.33,0.0007,-0.0013,0.009,-0.41,-1.21,-0.13,0.0,0.0001,-0.0056,-0.0004,,1.423,,,
1.38,0.0007,-0.001,0.007,-0.41,-1.22,-0.13,0.0,-0.0001,-0.0034,0.0023,,1.423,,,
1.462,0.0007,-0.0008,0.008,-0.42,-1.23,-0.13,0.0,0.0003,-0.0025,-0.0007,,1.422,,,
1.519,0.0007,-0.0002,0.01,-0.42,-1.25,-0.12,0.0,0.0002,0.0004,-0.0001,,1.422,,,
1.556,0.0007,-0.0005,0.007,-0.42,-1.24,-0.13,0.0,0.0003,-0.0016,0.0043,,1.424,,,
1.584,0.0007,-0.0021,0.006,-0.42,-1.18,-0.13,0.0,0.0004,-0.0103,0.0001,,1.424,,,
1.631,0.0007,-0.001,0.007,-0.42,-1.23,-0.12,0.0,0.0003,-0.0042,-0.0041,,1.42,,,
1.679,0.0007,0.0,0.009,-0.42,-1.27,-0.12,0.0,0.0004,0.0016,-0.0037,,1.42,,,
1.756,0.0007,-0.0005,0.006,-0.42,-1.25,-0.12,0.0,0.0,-0.0008,0.0019,,1.416,,,
1.797,0.0007,-0.0021,0.008,-0.42,-1.19,-0.12,0.0,0.0002,-0.0091,-0.002,,1.416,,,
1.829,0.0007,-0.002,0.009,-0.43,-1.19,-0.12,0.0,0.0004,-0.0091,0.0011,,1.421,,,
1.879,0.0008,-0.0003,0.008,-0.43,-1.25,-0.12,0.0,0.0006,-0.0003,0.0048,,1.421,,,
1.929,0.0008,-0.0012,0.008,-0.43,-1.21,-0.12,0.0,-0.0001,-0.0051,0.0045,,1.425,,,
1.981,0.0008,-0.0005,0.007,-0.43,-1.24,-0.12,0.0,0.0001,-0.0014,0.0039,,1.425,,,
2.046,0.0008,-0.0003,0.007,-0.44,-1.25,-0.12,0.0,0.0005,-0.0006,0.0009,,1.421,,,
2.089,0.0008,-0.0007,0.006,-0.44,-1.24,-0.12,0.0,0.0002,-0.0027,-0.0007,,1.421,,,
2.13,0.0008,0.0002,0.008,-0.44,-1.28,-0.12,0.0,0.0004,0.0018,-0.0031,,1.421,,,
2.179,0.0008,-0.0017,0.009,-0.44,-1.2,-0.12,0.0,0.0002,-0.0086,0.0003,,1.421,,,
2.229,0.0008,-0.0013,0.007,-0.44,-1.22,-0.12,0.0,0.0007,-0.0058,0.0039,,1.412,,,
2.279,0.0008,-0.0003,0.007,-0.44,-1.26,-0.11,0.0,0.001,-0.0006,0.0017,,1.412,,,
2.338,0.0008,-0.0003,0.007,-0.44,-1.26,-0.1,0.0,0.0008,-0.0008,0.001,,1.421,,0.187,
2.384,0.0008,-0.0011,0.009,-0.44,-1.23,-0.1,0.0,0.0003,-0.0052,-0.0003,,1.421,,0.187,
2.429,0.0008,-0.0008,0.007,-0.44,-1.24,-0.1,0.0,0.0002,-0.0039,0.0034,,1.424,,,
2.479,0.0,0.0,0.009,0.0,0.0,0.0,0.0,-0.0001,-0.0011,0.0,,1.424,,,
2.529,0.0003,-0.0003,0.008,-0.0,0.04,0.0,0.0,0.0051,-0.0138,-0.0004,,1.419,,,
2.578,0.0004,-0.0002,0.008,-0.01,-0.32,0.09,0.0,0.0012,-0.0103,-0.0006,,1.419,,,
2.632,0.0004,-0.0007,0.009,-0.01,-0.39,0.1,0.0,-0.0008,-0.0175,-0.001,,1.418,,,
2.686,0.0004,-0.0017,0.009,-0.02,-0.37,0.07,0.0,-0.0022,-0.0266,0.0011,,1.418,,,
2.728,0.0003,-0.0015,0.007,-0.02,-0.65,0.06,0.0,-0.0034,-0.0204,0.0022,,1.432,,,
