time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.262,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487,,2.245,,,,,,
0.264,,-0.0021,-0.0004,0.013,-0.03,0.04,-0.07,0.0,0.0,0.0,0.0,0.49,,2.256,,,,,,
0.266,,-0.0022,0.0006,0.013,-0.03,0.01,-0.07,0.0,0.0,0.0,0.0,0.49,,2.256,,,,,,
0.268,,-0.0021,0.0001,0.01,-0.03,0.02,-0.07,0.0,0.0,0.0,0.0,0.487,,2.24,,,,,,
0.275,,-0.0021,-0.0003,0.01,-0.03,0.04,-0.07,0.0,0.0,0.0,0.0,0.487,,2.24,,,,,,
0.344,,-0.0022,0.0001,0.012,-0.02,0.02,-0.06,0.0,-0.0034,0.0009,-0.0053,0.49,,2.246,,,,,,
0.379,,-0.0022,0.0001,0.011,-0.02,0.03,-0.07,0.0,-0.0031,-0.0015,-0.003,0.49,,2.246,,,,,,
0.426,,-0.0021,-0.0003,0.012,-0.02,0.05,-0.07,0.0,-0.0029,0.0025,-0.003,0.49,,2.251,,,,,,
0.478,,-0.0021,0.0005,0.011,-0.02,0.03,-0.07,0.0,-0.0024,-0.0012,-0.0019,0.49,,2.251,,,,,,
0.527,,-0.002,-0.0003,0.011,-0.02,0.05,-0.07,0.0,-0.002,0.0007,-0.0024,0.49,0.138,2.249,,,,,,
0.581,,-0.002,0.0004,0.011,-0.02,0.03,-0.08,0.0,-0.0021,0.0003,-0.0028,0.49,0.138,2.249,,,,,,
0.64,,-0.002,0.0001,0.012,-0.02,0.04,-0.07,0.0,-0.0022,-0.0013,-0.0034,0.49,,2.246,,,,,,
0.703,,-0.002,0.0001,0.012,-0.02,0.04,-0.08,0.0,-0.0018,-0.0009,0.0008,0.49,,2.246,,,,,,
0.734,,-0.0021,0.0001,0.013,-0.02,0.04,-0.08,0.0,-0.0019,-0.0045,0.0007,0.488,,2.248,,,,,,
0.778,,-0.002,0.0001,0.011,-0.02,0.04,-0.08,0.0,-0.0024,0.0004,0.0005,0.488,,2.248,,,,,,
0.835,,-0.0021,0.001,0.011,-0.02,0.01,-0.08,0.0,-0.0019,-0.0014,0.0007,0.489,,2.251,,,,,,
0.882,,-0.0021,0.0001,0.011,-0.02,0.04,-0.08,0.0,-0.002,-0.005,-0.0027,0.489,,2.251,,,,,,
0.941,,-0.0021,0.0005,0.01,-0.03,0.03,-0.08,0.0,-0.0017,-0.0017,-0.0026,0.489,,2.244,,,,,,
0.975,,-0.002,-0.0003,0.013,-0.03,0.05,-0.08,0.0,-0.0022,0.0021,-0.0,0.489,,2.244,,,,,,
1.057,,-0.0021,0.0005,0.012,-0.02,0.03,-0.08,0.0,-0.0021,-0.0,-0.0001,0.485,0.19,2.245,,,,,,
1.095,,-0.0021,0.0005,0.009,-0.02,0.03,-0.08,0.0,-0.0025,0.0001,-0.0049,0.485,0.19,2.245,,,,,,
1.134,,-0.0021,-0.0003,0.011,-0.02,0.06,-0.08,0.0,-0.003,-0.0,-0.0047,0.491,0.197,2.237,,,,,,
1.19,,-0.0021,0.0001,0.012,-0.03,0.04,-0.08,0.0,-0.001,-0.0002,0.0002,0.491,0.197,2.237,,,,,,
1.226,,-0.0021,0.0001,0.014,-0.03,0.05,-0.09,0.0,-0.0023,-0.0013,0.0003,0.486,,2.232,,,,,,
1.276,,-0.0021,0.0001,0.009,-0.03,0.05,-0.09,0.0,-0.0017,-0.0048,-0.0013,0.486,,2.232,,,,,,
1.359,,-0.0021,0.0008,0.01,-0.02,0.03,-0.09,0.0,-0.0015,-0.0017,-0.0011,0.489,,2.236,,,,,,
1.395,,-0.0021,-0.0002,0.01,-0.02,0.06,-0.09,0.0,-0.001,-0.0021,-0.0044,0.489,,2.236,,,,,,
1.434,,-0.0021,0.0001,0.011,-0.02,0.05,-0.09,0.0,-0.0013,0.0031,-0.0047,0.488,0.19,2.25,,,,,,
1.491,,-0.0021,0.0001,0.01,-0.02,0.05,-0.09,0.0,-0.0013,-0.0007,-0.0036,0.488,0.19,2.25,,,,,,
1.527,,-0.0021,0.0001,0.009,-0.03,0.05,-0.09,0.0,-0.0009,-0.004,-0.0034,0.488,0.187,2.248,,,,,,
1.577,,-0.0021,0.0004,0.011,-0.03,0.03,-0.09,0.0,-0.001,-0.0053,-0.0024,0.488,0.187,2.248,,,,,,
1.657,,-0.0021,-0.0002,0.011,-0.03,0.06,-0.09,0.0,-0.0009,-0.0006,-0.0021,0.49,0.183,2.244,,,,,,
1.7,,-0.0021,0.0004,0.012,-0.03,0.03,-0.09,0.0,-0.0008,-0.0019,0.0035,0.49,0.183,2.244,,,,,,
1.746,,-0.0021,0.0001,0.011,-0.03,0.04,-0.08,0.0,-0.0021,-0.0017,0.0032,0.489,0.19,2.243,,,,,,
1.789,,-0.0021,-0.0002,0.01,-0.03,0.05,-0.08,0.0,-0.0011,-0.0015,0.0003,0.489,0.19,2.243,,,,,,
1.826,,-0.0022,0.0001,0.01,-0.03,0.04,-0.08,0.0,-0.0016,0.0009,0.0001,0.49,0.186,2.243,,,,,,
1.877,,-0.0021,0.0,0.01,-0.03,0.04,-0.07,0.0,-0.0019,-0.0008,-0.0032,0.49,0.186,2.243,,,,,,
1.951,,-0.0022,0.0,0.012,-0.03,0.04,-0.07,0.0,-0.0019,-0.0013,-0.0037,0.488,0.197,2.246,,,,,,
1.993,,-0.0022,0.0001,0.009,-0.03,0.04,-0.07,0.0,-0.0022,-0.0012,-0.0041,0.488,0.197,2.246,,,,,,
2.043,,-0.0022,0.0004,0.011,-0.03,0.02,-0.06,0.0,-0.0025,-0.0008,-0.0042,0.486,0.197,2.246,,,,,,
2.082,,-0.0022,0.0007,0.012,-0.03,0.02,-0.06,0.0,-0.0023,0.002,0.0025,0.486,0.197,2.246,,,,,,
2.127,,-0.0021,0.0,0.011,-0.03,0.04,-0.06,0.0,-0.0023,0.0003,0.0027,0.488,,2.248,,,,,,
2.176,,-0.0022,0.0,0.01,-0.03,0.04,-0.06,0.0,-0.0029,-0.0012,-0.0009,0.488,,2.248,,,,,,
2.245,,-0.0023,0.0,0.011,-0.02,0.04,-0.06,0.0,-0.0028,-0.0034,-0.0008,0.486,0.192,2.249,,,,,,
2.308,,-0.003,-0.0013,0.01,-0.03,0.1,-0.04,0.0,-0.0024,-0.0015,-0.0015,0.486,0.192,2.249,,,,,,
2.356,,-0.0023,0.0004,0.012,-0.03,0.03,-0.07,0.0,-0.0022,-0.0026,-0.0014,0.49,0.182,2.247,,,,,,
2.389,,-0.0023,-0.0003,0.012,-0.03,0.05,-0.07,0.0,-0.0006,0.002,0.0031,0.49,0.182,2.247,,,,,,
2.426,,-0.0023,-0.0006,0.011,-0.03,0.07,-0.07,0.0,-0.002,-0.0002,0.003,0.486,,2.238,,,,,,
2.475,,-0.0023,-0.0003,0.01,-0.03,0.05,-0.07,0.0,-0.0017,-0.002,-0.0017,0.486,,2.238,,,,,,
2.534,,-0.0023,-0.0,0.012,-0.03,0.04,-0.07,0.0,-0.0016,0.0,-0.0018,0.489,,2.235,,,,,,
2.614,,-0.0023,0.0003,0.01,-0.03,0.03,-0.07,0.0,-0.0018,0.0003,-0.0019,0.489,,2.235,,,,,,
2.635,,-0.0024,-0.0,0.01,-0.02,0.04,-0.07,0.0,-0.0022,-0.0035,-0.0021,0.485,,2.243,,,,,,
2.692,,-0.0024,-0.0004,0.013,-0.02,0.05,-0.06,0.0,-0.0021,-0.0011,0.0026,0.485,,2.243,,,,,,
2.737,,-0.0024,0.0004,0.013,-0.03,0.02,-0.06,0.0,-0.002,0.0008,0.0024,0.485,,2.243,,,,,,
2.775,,-0.0024,-0.0,0.013,-0.03,0.04,-0.06,0.0,-0.0017,0.0012,0.0072,0.485,,2.243,,,,,,
2.837,,-0.0025,-0.0004,0.011,-0.03,0.05,-0.06,0.0,-0.0018,-0.001,0.0071,0.489,0.153,2.238,,,,,,
