time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.231,,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.16,2.232,,,,,,
0.235,,-0.0069,-0.0107,0.01,-0.08,0.06,-0.33,0.0,0.0089,0.0046,-0.003,0.483,0.161,2.236,,,,,,
0.239,,-0.0063,-0.0099,0.01,-0.08,0.02,-0.34,0.0,0.0114,0.0086,0.0016,0.48,0.161,2.236,,,,,,
0.243,,-0.0068,-0.0103,0.008,-0.08,0.05,-0.31,0.0,0.0072,0.0055,0.0045,0.48,0.158,2.238,,,,,,
0.301,,-0.0062,-0.0099,0.009,-0.08,0.03,-0.33,0.0,0.0096,0.0077,0.0011,0.483,0.158,2.238,,,,,,
0.324,,-0.0063,-0.0104,0.008,-0.08,0.06,-0.32,0.0,0.0082,0.0042,0.0017,0.483,0.163,2.243,,,,,,
0.375,,-0.0097,-0.012,0.01,-0.08,0.14,-0.18,0.0,-0.0099,-0.0045,-0.0004,0.479,0.163,2.243,,,,,,
0.424,,-0.0075,-0.0104,0.009,-0.08,0.05,-0.29,0.0,0.004,0.0058,0.0031,0.479,0.157,2.239,,,,,,
0.475,,-0.0085,-0.0139,0.007,-0.09,0.19,-0.26,0.0,-0.0002,-0.0122,0.0027,0.482,0.157,2.239,,,,,,
0.537,,-0.0136,-0.0163,0.01,-0.09,0.27,-0.05,0.0,-0.0271,-0.0228,-0.0032,0.482,0.159,2.243,,,,,,
0.585,,-0.0178,-0.0176,0.011,-0.08,0.26,0.04,0.0,-0.0421,-0.0245,0.0003,0.479,0.159,2.243,,,,,,
0.642,,-0.0185,-0.0182,0.008,-0.09,0.24,-0.03,0.0,-0.0367,-0.0225,0.0056,0.479,0.161,2.241,,,,,,
0.69,,-0.018,-0.0162,0.01,-0.08,0.11,-0.12,0.0,-0.0263,-0.0074,0.0015,0.479,0.161,2.241,,,,,,
0.732,,-0.017,-0.0162,0.009,-0.08,0.07,-0.24,0.0,-0.0134,-0.0037,0.0041,0.479,0.161,2.235,,,,,,
0.775,,-0.0153,-0.0145,0.01,-0.08,-0.0,-0.33,0.0,-0.0014,0.0062,0.002,0.478,0.161,2.235,,,,,,
0.833,,-0.0143,-0.0152,0.01,-0.08,0.03,-0.38,0.0,0.0052,0.0033,0.0021,0.478,0.159,2.236,,,,,,
0.895,,-0.0149,-0.0181,0.01,-0.08,0.14,-0.36,0.0,0.0036,-0.0115,0.0024,0.478,0.159,2.236,,,,,,
0.924,,-0.0144,-0.0178,0.01,-0.08,0.1,-0.39,0.0,0.0076,-0.0071,0.0022,0.478,0.16,2.236,,,,,,
0.974,,-0.0145,-0.017,0.01,-0.09,0.04,-0.38,0.0,0.0077,0.0004,0.0019,0.481,0.16,2.236,,,,,,
1.041,,-0.0145,-0.0187,0.01,-0.08,0.09,-0.38,0.0,0.0083,-0.0072,0.0009,0.481,0.158,2.243,,,,,,
1.086,,-0.0147,-0.0181,0.009,-0.09,0.04,-0.37,0.0,0.0071,-0.0012,0.0006,0.478,0.158,2.243,,,,,,
1.151,,-0.0142,-0.0181,0.009,-0.09,0.02,-0.39,0.0,0.01,0.0006,-0.0013,0.478,0.16,2.237,,,,,,
1.189,,-0.0159,-0.0185,0.012,-0.09,0.03,-0.31,0.0,0.001,-0.0005,-0.0021,0.48,0.16,2.237,,,,,,
1.232,,-0.0144,-0.0173,0.012,-0.09,-0.03,-0.38,0.0,0.0099,0.0071,0.0043,0.48,0.163,2.242,,,,,,
1.273,,-0.0142,-0.0173,0.009,-0.09,-0.04,-0.39,0.0,0.0118,0.008,0.008,0.479,0.163,2.242,,,,,,
1.333,,-0.016,-0.0181,0.009,-0.09,-0.01,-0.3,0.0,0.002,0.0039,0.0023,0.479,0.162,2.234,,,,,,
1.389,,-0.0142,-0.018,0.011,-0.09,-0.01,-0.39,0.0,0.0123,0.0047,-0.0013,0.479,0.162,2.234,,,,,,
1.427,,-0.0151,-0.0182,0.009,-0.09,-0.01,-0.33,0.0,0.0067,0.0047,0.0017,0.479,0.16,2.226,,,,,,
1.473,,-0.0157,-0.0158,0.009,-0.1,-0.11,-0.3,0.0,0.0026,0.0186,-0.001,0.48,0.16,2.226,,,,,,
1.524,,-0.015,-0.0152,0.01,-0.09,-0.11,-0.33,0.0,0.007,0.0192,-0.0028,0.48,0.163,2.237,,,,,,
1.573,,-0.0152,-0.0155,0.009,-0.1,-0.07,-0.32,0.0,0.0064,0.0154,-0.0009,0.479,0.163,2.237,,,,,,
1.636,,-0.0158,-0.0157,0.01,-0.1,-0.03,-0.3,0.0,0.0034,0.0124,-0.0018,0.479,0.164,2.237,,,,,,
1.689,,-0.0156,-0.0155,0.011,-0.1,-0.02,-0.31,0.0,0.0054,0.0117,-0.0,0.481,0.164,2.237,,,,,,
