time_s,z_down_m
0.243,0.015
0.246,0.015
0.325,0.013
0.425,0.014
0.549,0.015
0.627,0.013
0.725,0.015
0.824,0.013
0.936,0.014
1.024,0.013
1.127,0.015
1.229,0.011
1.344,0.014
1.426,0.014
1.563,0.016
1.625,0.014
1.725,0.016
1.86,0.016
1.925,0.012
2.024,0.015
2.154,0.013
2.225,0.015
2.324,0.012
2.436,0.014
2.524,0.013
2.625,0.014
2.735,0.014
2.824,0.012
2.952,0.014
3.027,0.014
3.125,0.013
3.246,0.013
3.324,0.013
3.425,0.015
3.535,0.017
3.624,0.013
3.725,0.015
3.825,0.016
3.926,0.013
4.024,0.012
4.124,0.013
4.223,0.014
4.324,0.012
4.455,0.013
4.524,0.013
4.624,0.013
4.738,0.013
4.824,0.015
4.924,0.014
5.029,0.013
5.124,0.014
5.256,0.013
5.339,0.013
5.423,0.013
5.549,0.013
5.628,0.012
5.724,0.014
5.841,0.013
5.923,0.012
6.023,0.015
6.127,0.013
6.222,0.014
6.323,0.015
6.447,0.014
6.524,0.013
6.623,0.013
6.738,0.012
6.824,0.012
6.923,0.014
7.03,0.014
7.122,0.014
7.222,0.013
7.337,0.014
7.423,0.015
7.532,0.013
7.624,0.014
7.723,0.014
7.852,0.014
7.928,0.014
8.022,0.011
8.141,0.002
8.222,0.0
8.323,0.0
8.43,0.009
8.537,0.036
8.622,0.062
8.746,0.088
8.83,0.114
8.923,0.143
9.065,0.169
9.123,0.203
9.223,0.25
9.355,0.285
9.423,0.325
9.523,0.367
9.629,0.388
9.722,0.413
9.822,0.434
9.939,0.455
10.021,0.476
10.159,0.483
10.236,0.499
10.322,0.503
10.422,0.509
10.536,0.515
10.622,0.519
10.722,0.522
10.824,0.532
10.922,0.533
11.022,0.534
11.127,0.538
11.221,0.545
11.322,0.547
11.437,0.554
11.522,0.555
11.621,0.561
11.752,0.555
11.821,0.556
11.922,0.555
12.066,0.553
12.121,0.549
12.221,0.545
12.37,0.548
12.425,0.549
12.521,0.549
12.621,0.548
12.729,0.546
12.821,0.547
12.921,0.549
13.024,0.545
13.121,0.538
13.22,0.536
13.324,0.535
13.421,0.54
13.521,0.544
13.63,0.544
13.721,0.549
13.82,0.551
13.941,0.553
14.026,0.552
14.12,0.544
14.252,0.547
14.32,0.546
14.421,0.543
14.562,0.543
14.627,0.548
14.721,0.546
14.879,0.539
14.923,0.533
15.02,0.526
15.121,0.52
15.222,0.518
15.32,0.517
15.42,0.519
15.523,0.524
15.62,0.528
15.72,0.528
15.827,0.53
15.921,0.528
16.021,0.524
16.14,0.522
16.22,0.522
16.32,0.523
16.459,0.521
16.521,0.52
16.62,0.521
16.773,0.523
16.821,0.526
16.92,0.527
17.029,0.527
17.123,0.529
17.219,0.535
17.32,0.549
17.426,0.559
17.519,0.571
17.621,0.575
17.721,0.559
17.819,0.525
17.92,0.5
18.032,0.482
18.12,0.475
18.219,0.481
18.349,0.489
18.419,0.497
18.519,0.505
