time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.292,,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767,0.132,,0.675,,,
0.332,,3.1554,5.4194,0.01,-141.29,-1.24,0.3,0.0,-0.0006,0.0091,0.0009,1.762,0.13,,0.675,,,
0.38,,3.1558,5.4192,0.009,-141.83,-1.26,0.31,0.0,0.0016,0.0074,-0.0038,1.762,0.13,,0.675,,,
0.437,,3.1561,5.4178,0.006,-142.37,-1.3,0.29,0.0,0.0028,0.0002,-0.0093,1.752,0.132,,0.677,,,
0.495,,3.1553,5.4196,0.011,-142.91,-1.23,0.31,0.0,-0.0004,0.0098,-0.019,1.752,0.132,,0.677,,,
0.549,,3.1568,5.4191,0.01,-143.45,-1.28,0.35,0.0,0.0072,0.0069,-0.0109,1.764,0.135,,0.675,,,
0.58,,3.1556,5.4198,0.01,-143.99,-1.23,0.32,0.0,0.0006,0.011,-0.0072,1.764,0.135,,0.675,,,
0.63,,3.1558,5.4187,0.01,-144.53,-1.27,0.31,0.0,0.0019,0.0045,-0.0053,1.769,0.132,,0.675,,,
0.681,,3.156,5.4198,0.011,-145.08,-1.24,0.33,0.0,0.0019,0.0097,-0.0033,1.769,0.132,,0.675,,,
0.732,,3.1577,5.4183,0.009,-145.62,-1.32,0.35,0.0,0.0107,0.002,0.0006,1.772,0.132,,0.675,,,
0.781,,3.1565,5.4198,0.011,-146.16,-1.24,0.34,0.0,0.0044,0.0101,-0.003,1.772,0.132,,0.675,,,
0.868,,3.1564,5.4196,0.01,-146.71,-1.25,0.33,0.0,0.0047,0.0094,-0.0003,1.767,0.133,,0.673,,,
0.881,,3.1563,5.4198,0.011,-147.25,-1.24,0.33,0.0,0.0043,0.0101,-0.0015,1.767,0.133,,0.673,,,
0.931,,3.1562,5.418,0.01,-147.8,-1.3,0.28,0.0,0.003,-0.0001,0.0003,1.766,0.131,,0.675,,,
0.994,,3.1563,5.4194,0.009,-148.35,-1.25,0.32,0.0,0.0041,0.008,-0.0022,1.766,0.131,,0.675,,,
1.03,,3.1561,5.418,0.009,-148.9,-1.3,0.28,0.0,0.0028,-0.0005,-0.0053,1.766,0.133,,0.676,,,
1.081,,3.1568,5.4201,0.011,-149.45,-1.23,0.34,0.0,0.0062,0.0121,-0.0067,1.766,0.133,,0.676,,,
1.158,,3.1567,5.4195,0.013,-150.0,-1.25,0.32,0.0,0.0051,0.0084,-0.0024,1.763,0.132,,0.679,,,
1.222,,3.1561,5.4194,0.01,-150.55,-1.25,0.3,0.0,0.0028,0.0074,0.0064,1.763,0.132,,0.679,,,
1.25,,3.1561,5.4181,0.009,-151.1,-1.3,0.26,0.0,0.0023,-0.0004,0.003,1.749,0.132,,0.677,,,
1.28,,3.1562,5.4202,0.011,-151.65,-1.21,0.32,0.0,0.0023,0.0125,-0.0037,1.749,0.132,,0.677,,,
1.331,,3.1551,5.4195,0.01,-152.21,-1.23,0.26,0.0,-0.0035,0.0079,-0.001,1.762,0.134,,0.675,,,
1.381,,3.1563,5.4198,0.01,-152.76,-1.24,0.32,0.0,0.0035,0.0091,-0.0027,1.762,0.134,,0.675,,,
1.458,,3.1558,5.4183,0.008,-153.31,-1.3,0.27,0.0,0.0016,0.0002,-0.0033,1.765,0.132,,0.677,,,
1.491,,3.1565,5.4198,0.006,-153.87,-1.25,0.33,0.0,0.0058,0.009,-0.0091,1.765,0.132,,0.677,,,
1.53,,3.1576,5.419,0.011,-154.42,-1.31,0.36,0.0,0.0109,0.0035,-0.0161,1.747,0.135,,0.677,,,
1.582,,3.1556,5.4204,0.009,-154.97,-1.21,0.3,0.0,-0.0005,0.0117,-0.0042,1.747,0.135,,0.677,,,
1.632,,3.1562,5.4199,0.013,-155.53,-1.25,0.31,0.0,0.0028,0.0081,-0.0034,1.762,0.13,,0.676,,,
1.681,,3.1566,5.4204,0.011,-156.08,-1.23,0.34,0.0,0.0059,0.0107,0.0081,1.762,0.13,,0.676,,,
1.755,,3.156,5.4182,0.008,-156.64,-1.32,0.27,0.0,0.0018,-0.0021,0.0078,1.757,0.133,,0.678,,,
1.796,,3.1597,5.4186,0.01,-157.2,-1.36,0.43,0.0,0.0224,0.0006,-0.0018,1.757,0.133,,0.678,,,
1.847,,3.1602,5.4166,0.011,-157.75,-1.43,0.38,0.0,0.0215,-0.0096,-0.001,1.758,0.132,,0.675,,,
1.88,,3.1595,5.4185,0.012,-158.31,-1.31,0.37,0.0,0.0159,0.003,0.002,1.758,0.132,,0.675,,,
1.931,,3.1597,5.4185,0.012,-158.88,-1.28,0.36,0.0,0.0138,0.0049,0.0047,1.767,0.132,,0.671,,,
1.981,,3.1595,5.4184,0.011,-159.43,-1.27,0.33,0.0,0.0106,0.0046,0.0054,1.767,0.132,,0.671,,,
2.045,,3.1596,5.4163,0.01,-159.99,-1.36,0.3,0.0,0.0105,-0.0077,0.0029,1.763,0.133,,0.679,,,
2.081,,3.1596,5.4185,0.013,-160.56,-1.26,0.34,0.0,0.0096,0.0059,-0.0024,1.763,0.133,,0.679,,,
2.131,,3.1594,5.4176,0.01,-161.12,-1.29,0.32,0.0,0.008,0.0007,0.0024,1.761,0.13,,0.673,,,
2.181,,3.1598,5.4185,0.011,-161.68,-1.25,0.33,0.0,0.0092,0.0059,-0.0039,1.761,0.13,,0.673,,,
2.231,,3.159,5.4173,0.009,-162.25,-1.28,0.28,0.0,0.0038,-0.0003,-0.0042,1.759,0.128,,0.676,,,
2.281,,3.1603,5.4166,0.011,-162.69,-1.34,0.34,0.0,0.012,-0.004,-0.0089,1.759,0.128,,0.676,,,
2.337,,3.1579,5.4179,0.01,-163.26,-1.23,0.24,0.0,-0.0038,0.005,-0.0053,1.766,0.136,,0.676,,,
2.387,,3.1595,5.4184,0.011,-163.82,-1.23,0.32,0.0,0.0053,0.0081,-0.0056,1.766,0.136,,0.676,,,
2.43,,3.1594,5.4181,0.009,-164.38,-1.24,0.3,0.0,0.0043,0.0059,-0.0027,1.753,0.133,,0.675,,,
2.482,,3.1596,5.4184,0.01,-164.95,-1.23,0.31,0.0,0.0049,0.0079,-0.0064,1.753,0.133,,0.675,,,
2.53,,-0.0004,0.0004,0.011,0.0,-0.13,0.09,0.0,-0.0113,0.0069,-0.0004,1.757,0.133,,0.677,,,
2.597,,-0.0008,-0.0003,0.01,0.01,0.19,0.07,0.0,-0.0005,-0.0062,-0.0001,1.757,0.133,,0.677,,,
2.63,,-0.0008,-0.0003,0.009,0.01,-0.11,-0.03,0.0,-0.0025,-0.0172,-0.0011,1.76,0.133,,0.677,,,
