time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.269,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689,0.42,,,,,,,
0.274,,-0.0455,-0.0393,0.014,-0.05,-0.23,0.64,0.0,-0.0049,-0.0096,-0.0056,0.684,0.421,,,,,,,
0.279,,-0.0459,-0.0382,0.013,-0.05,-0.27,0.66,0.0,-0.0072,-0.0033,-0.003,0.684,0.421,,,,,,,
0.285,,-0.0455,-0.0393,0.014,-0.05,-0.22,0.63,0.0,-0.0048,-0.0089,-0.0039,0.685,0.422,,,,,,,
0.292,,-0.0454,-0.0395,0.014,-0.05,-0.22,0.62,0.0,-0.0038,-0.0095,-0.0022,0.685,0.422,2.471,,,,,,
0.347,,-0.0455,-0.0393,0.015,-0.05,-0.23,0.62,0.0,-0.0035,-0.0082,-0.0005,0.687,0.419,2.471,,,,,,
0.387,,-0.0453,-0.0403,0.014,-0.05,-0.19,0.61,0.0,-0.0023,-0.0136,0.0023,0.687,0.419,,,,,,,
0.436,,-0.0457,-0.0396,0.014,-0.05,-0.22,0.64,0.0,-0.0051,-0.0091,0.0012,0.685,0.424,,,,,,,
0.487,,-0.0451,-0.0396,0.012,-0.05,-0.22,0.61,0.0,-0.0017,-0.0094,0.0012,0.685,0.424,,,,,,,
0.535,,-0.046,-0.0393,0.016,-0.05,-0.22,0.65,0.0,-0.0067,-0.008,-0.0037,0.688,0.421,,,,,,,
0.601,,-0.0461,-0.0388,0.015,-0.05,-0.25,0.66,0.0,-0.0075,-0.0048,0.0026,0.688,0.421,,,,,,,
0.657,,-0.0459,-0.0385,0.014,-0.05,-0.26,0.64,0.0,-0.0054,-0.0033,0.004,0.685,0.422,,,,,,,
0.706,,-0.0459,-0.0403,0.015,-0.05,-0.18,0.64,0.0,-0.0056,-0.0125,0.0025,0.685,0.422,,,,,,,
0.741,,-0.0455,-0.0396,0.015,-0.05,-0.21,0.62,0.0,-0.0036,-0.0088,0.0038,0.687,0.423,,,,,,,
0.787,,-0.0459,-0.0396,0.013,-0.05,-0.22,0.65,0.0,-0.0059,-0.0084,0.0038,0.687,0.423,,,,,,,
0.836,,-0.0457,-0.0388,0.013,-0.05,-0.25,0.64,0.0,-0.004,-0.0051,-0.0007,0.688,0.425,,,,,,,
0.904,,-0.0466,-0.0394,0.013,-0.05,-0.22,0.66,0.0,-0.008,-0.0087,-0.0033,0.688,0.425,,,,,,,
0.945,,-0.0464,-0.0393,0.014,-0.05,-0.23,0.65,0.0,-0.0064,-0.0081,-0.004,0.684,0.421,,,,,,,
0.987,,-0.0461,-0.0396,0.014,-0.05,-0.22,0.63,0.0,-0.0049,-0.0097,-0.0019,0.684,0.421,,,,,,,
1.051,,-0.0463,-0.039,0.013,-0.04,-0.25,0.65,0.0,-0.0059,-0.0061,0.0001,0.689,0.422,,,,,,,
1.093,,-0.0462,-0.0397,0.014,-0.04,-0.22,0.64,0.0,-0.0054,-0.0096,-0.0017,0.689,0.422,,,,,,,
1.152,,-0.0461,-0.0401,0.013,-0.04,-0.21,0.64,0.0,-0.0052,-0.0111,-0.0003,0.687,0.422,,,,,,,
1.2,,-0.0463,-0.0389,0.015,-0.04,-0.26,0.65,0.0,-0.0061,-0.0045,-0.0021,0.687,0.422,,,,,,,
1.235,,-0.0468,-0.0396,0.014,-0.04,-0.23,0.67,0.0,-0.0088,-0.0086,0.0014,0.686,0.421,,,,,,,
1.285,,-0.0474,-0.0396,0.015,-0.04,-0.23,0.7,0.0,-0.0111,-0.0084,0.001,0.686,0.421,,,,,,,
1.364,,-0.0466,-0.04,0.016,-0.04,-0.21,0.66,0.0,-0.0064,-0.0105,0.0023,0.686,0.42,,,,,,,
1.396,,-0.0467,-0.04,0.011,-0.04,-0.22,0.66,0.0,-0.0064,-0.0097,0.0049,0.686,0.42,,,,,,,
1.455,,-0.0469,-0.0401,0.012,-0.04,-0.23,0.68,0.0,-0.0085,-0.0097,-0.0051,0.685,0.422,,,,,,,
1.49,,-0.0468,-0.04,0.015,-0.04,-0.23,0.67,0.0,-0.0074,-0.0083,-0.0084,0.685,0.422,,,,,,,
1.535,,-0.0468,-0.0402,0.014,-0.04,-0.23,0.67,0.0,-0.0071,-0.009,-0.0025,0.685,0.421,,,,,,,
1.586,,-0.0466,-0.0409,0.016,-0.04,-0.2,0.65,0.0,-0.0058,-0.013,-0.0015,0.685,0.421,,,,,,,
1.658,,-0.0473,-0.0394,0.013,-0.04,-0.27,0.67,0.0,-0.0096,-0.0048,0.0037,0.686,0.422,,,,,,,
1.697,,-0.0467,-0.0395,0.015,-0.04,-0.26,0.64,0.0,-0.0062,-0.0049,0.0001,0.686,0.422,,,,,,,
1.752,,-0.0461,-0.0403,0.013,-0.04,-0.22,0.62,0.0,-0.0025,-0.0091,0.0025,0.687,0.425,,,,,,,
1.793,,-0.0461,-0.0412,0.014,-0.04,-0.19,0.62,0.0,-0.0024,-0.0133,-0.0009,0.687,0.425,,,,,,,
1.836,,-0.0467,-0.0395,0.015,-0.04,-0.26,0.65,0.0,-0.0057,-0.0043,-0.0003,0.686,0.421,,,,,,,
1.886,,-0.047,-0.0399,0.012,-0.04,-0.24,0.66,0.0,-0.007,-0.0068,0.002,0.686,0.421,,,,,,,
1.951,,-0.0472,-0.0395,0.014,-0.04,-0.26,0.67,0.0,-0.0079,-0.0053,-0.0039,0.687,0.425,,,,,,,
2.009,,-0.0468,-0.0398,0.014,-0.04,-0.25,0.65,0.0,-0.0057,-0.0069,-0.0024,0.687,0.425,2.409,,,,,,
2.048,,-0.0467,-0.041,0.015,-0.04,-0.19,0.64,0.0,-0.0044,-0.014,-0.0008,0.685,0.425,2.409,,,,,,
2.086,,-0.0473,-0.0394,0.015,-0.04,-0.26,0.67,0.0,-0.0081,-0.005,0.0027,0.685,0.425,,,,,,,
2.135,,-0.0474,-0.0397,0.013,-0.04,-0.26,0.66,0.0,-0.0074,-0.0059,0.0045,0.685,0.424,,,,,,,
2.185,,-0.0477,-0.0397,0.013,-0.04,-0.26,0.68,0.0,-0.0086,-0.0061,0.001,0.685,0.424,,,,,,,
2.245,,-0.0481,-0.0404,0.014,-0.04,-0.23,0.69,0.0,-0.0106,-0.0098,-0.0022,0.686,0.419,,,,,,,
2.303,,-0.0473,-0.0396,0.011,-0.04,-0.27,0.66,0.0,-0.0056,-0.0052,-0.0014,0.686,0.419,,,,,,,
2.369,,-0.0478,-0.0398,0.016,-0.04,-0.26,0.68,0.0,-0.0077,-0.0059,-0.0075,0.686,0.422,,,,,,,
2.398,,-0.0472,-0.0398,0.013,-0.04,-0.27,0.65,0.0,-0.0044,-0.0054,0.0005,0.686,0.422,,,,,,,
2.437,,-0.0473,-0.0405,0.016,-0.03,-0.24,0.66,0.0,-0.0044,-0.0085,-0.0012,0.686,0.423,,,,,,,
2.485,,-0.0478,-0.0406,0.016,-0.03,-0.23,0.68,0.0,-0.0074,-0.0087,0.0045,0.686,0.423,,,,,,,
2.554,,-0.0472,-0.0406,0.015,-0.04,-0.23,0.65,0.0,-0.0046,-0.0082,0.008,0.685,0.422,,,,,,,
2.591,,-0.0474,-0.04,0.015,-0.04,-0.27,0.67,0.0,-0.0064,-0.0049,0.0063,0.685,0.422,,,,,,,
2.65,,-0.0471,-0.0406,0.015,-0.04,-0.24,0.65,0.0,-0.004,-0.0083,0.0042,0.687,0.422,,,,,,,
2.684,,-0.048,-0.0407,0.014,-0.03,-0.24,0.69,0.0,-0.0092,-0.0089,0.0035,0.687,0.422,,,,,,,
2.734,,-0.048,-0.0408,0.012,-0.04,-0.24,0.68,0.0,-0.0091,-0.0088,-0.0002,0.686,0.419,,,,,,,
2.828,,-0.048,-0.0402,0.012,-0.04,-0.26,0.67,0.0,-0.0084,-0.0054,-0.0057,0.686,0.419,2.472,,,,,,
2.875,,-0.047,-0.0409,0.014,-0.04,-0.24,0.62,0.0,-0.0022,-0.0092,-0.0088,0.688,0.42,2.472,,,,,,
2.919,,-0.0477,-0.0409,0.013,-0.04,-0.24,0.66,0.0,-0.0061,-0.0088,-0.0057,0.688,0.42,,,,,,,
2.952,,-0.0471,-0.0407,0.013,-0.04,-0.25,0.63,0.0,-0.0023,-0.0072,-0.0045,0.687,0.421,,,,,,,
2.992,,-0.0476,-0.041,0.014,-0.04,-0.23,0.66,0.0,-0.005,-0.0087,-0.0039,0.687,0.421,2.469,,,,,,
3.035,,-0.0481,-0.0404,0.013,-0.04,-0.27,0.67,0.0,-0.008,-0.0048,-0.0008,0.685,0.421,2.469,,,,,,
3.121,,-0.0483,-0.0415,0.015,-0.04,-0.22,0.68,0.0,-0.009,-0.0105,-0.0015,0.685,0.421,,0.416,,,,,
3.152,,-0.0489,-0.041,0.013,-0.04,-0.24,0.7,0.0,-0.0122,-0.0081,0.0027,0.685,0.42,,0.416,,,,,
3.19,,-0.0485,-0.0415,0.015,-0.04,-0.23,0.67,0.0,-0.009,-0.0105,0.0008,0.685,0.42,,,,,,,
3.244,,-0.0484,-0.042,0.016,-0.04,-0.21,0.66,0.0,-0.0089,-0.0128,0.0042,0.689,0.421,,,,,,,
3.285,,-0.0485,-0.0411,0.014,-0.04,-0.25,0.66,0.0,-0.0082,-0.008,0.0076,0.689,0.421,2.413,,,,,,
3.335,,-0.0483,-0.0423,0.014,-0.04,-0.2,0.65,0.0,-0.007,-0.0137,0.0046,0.686,0.419,2.413,,,,,,
3.413,,0.0,-0.0,0.017,0.0,0.0,0.0,0.0,0.0027,-0.0051,0.0,0.686,0.419,,,,,,,
3.463,,0.0002,-0.0004,0.015,-0.0,0.08,0.03,0.0,0.0055,-0.0094,0.0001,0.687,0.419,,,,,,,
3.511,,0.0004,-0.0007,0.017,-0.0,0.1,0.11,0.0,0.007,-0.0118,-0.0004,0.687,0.419,,,,,,,
3.54,,0.0004,-0.0008,0.016,-0.0,-0.01,0.27,0.0,0.005,-0.0113,0.001,0.685,0.423,,,,,,,
3.585,,0.0006,-0.001,0.014,0.0,-0.13,0.3,0.0,0.0061,-0.0099,-0.0001,0.685,0.423,,,,,,,
3.635,,0.0001,-0.0012,0.014,0.0,-0.18,0.46,0.0,0.0009,-0.01,-0.005,0.688,0.423,,,,,,,
3.711,,0.0008,-0.0,0.014,0.01,-0.42,0.38,0.0,0.0056,0.0009,-0.0078,0.688,0.423,,,,,,,
3.741,,0.0008,-0.001,0.017,0.01,-0.29,0.42,0.0,0.0042,-0.0064,-0.008,0.688,0.42,,,,,,,
3.797,,0.0003,-0.001,0.013,0.01,-0.31,0.51,0.0,-0.0003,-0.0054,-0.0008,0.688,0.42,,,,,,,
3.838,,0.0003,0.0001,0.014,0.01,-0.42,0.52,0.0,-0.0005,0.0022,-0.0055,0.687,0.422,,,,,,,
3.884,,0.0005,-0.0023,0.014,0.01,-0.22,0.51,0.0,-0.0003,-0.0127,-0.0058,0.687,0.422,2.426,,,,,,
3.935,,0.001,-0.0024,0.013,0.01,-0.24,0.48,0.0,0.0022,-0.0118,-0.0046,0.685,0.42,2.426,,,,,,
4.005,,-0.0,-0.0009,0.013,0.01,-0.34,0.57,0.0,-0.0044,-0.0034,-0.0059,0.685,0.42,,,,,,,
4.039,,-0.0,-0.0012,0.013,0.01,-0.32,0.57,0.0,-0.0041,-0.0053,-0.0065,0.689,0.421,,,,,,,
4.093,,0.0007,-0.0021,0.014,0.01,-0.27,0.53,0.0,0.0001,-0.0096,-0.0055,0.689,0.421,,,,,,,
4.136,,-0.0001,-0.001,0.015,0.01,-0.33,0.59,0.0,-0.0047,-0.0042,-0.002,0.688,0.425,,,,,,,
4.185,,0.0007,-0.0022,0.013,0.01,-0.27,0.56,0.0,-0.001,-0.0103,0.0018,0.688,0.425,,,,,,,
4.236,,0.0009,-0.0008,0.012,0.01,-0.33,0.56,0.0,-0.0003,-0.0028,0.0003,0.689,0.425,,,,,,,
4.299,,0.0007,-0.0019,0.013,0.01,-0.27,0.58,0.0,-0.0027,-0.0087,-0.0031,0.689,0.425,,,,,,,
4.342,,0.0002,-0.0019,0.014,0.01,-0.27,0.61,0.0,-0.0048,-0.0085,-0.0025,0.685,0.421,,,,,,,
4.419,,0.0006,-0.0008,0.014,0.01,-0.31,0.59,0.0,-0.003,-0.0035,0.0003,0.685,0.421,,,,,,,
4.438,,0.0009,0.0002,0.013,0.01,-0.35,0.58,0.0,-0.002,0.0014,0.0017,0.686,0.424,,,,,,,
4.495,,0.0009,-0.0001,0.015,0.01,-0.33,0.58,0.0,-0.0026,-0.0006,0.0009,0.686,0.424,,,,,,,
4.547,,0.0008,-0.0021,0.015,0.01,-0.24,0.58,0.0,-0.003,-0.0115,0.0045,0.683,0.421,,,,,,,
4.591,,0.0003,-0.0019,0.014,0.01,-0.25,0.6,0.0,-0.0053,-0.0104,0.0055,0.683,0.421,,,,,,,
4.642,,0.0006,-0.0009,0.015,0.01,-0.29,0.59,0.0,-0.0038,-0.0052,0.003,0.688,0.421,,,,,,,
4.701,,0.0006,-0.0018,0.015,0.01,-0.25,0.6,0.0,-0.0043,-0.0097,0.0033,0.688,0.421,,,,,,,
4.735,,0.0007,-0.0009,0.014,0.01,-0.29,0.59,0.0,-0.0029,-0.0051,0.0038,0.69,0.419,,,,,,,
4.784,,0.0007,0.0,0.016,0.01,-0.32,0.6,0.0,-0.0025,-0.0006,0.0015,0.69,0.419,,,,,,,
4.834,,0.0003,-0.0018,0.013,0.01,-0.24,0.62,0.0,-0.005,-0.01,0.004,0.69,0.42,,,,,,,
4.888,,0.0002,-0.0021,0.015,0.01,-0.23,0.62,0.0,-0.006,-0.011,-0.0011,0.69,0.42,2.437,,,,,,
4.954,,0.0004,-0.0009,0.015,0.01,-0.27,0.61,0.0,-0.0049,-0.0048,-0.0002,0.689,0.421,2.437,,,,,,
4.991,,0.0003,-0.0022,0.014,0.01,-0.22,0.62,0.0,-0.0051,-0.0117,0.0001,0.689,0.421,,,,,,,
5.035,,0.0001,-0.002,0.014,0.01,-0.23,0.63,0.0,-0.0065,-0.01,-0.0016,0.687,0.424,,,,,,,
5.085,,0.0001,-0.0013,0.012,0.01,-0.27,0.63,0.0,-0.007,-0.0061,-0.0022,0.687,0.424,2.436,,,,,,
5.174,,0.0003,-0.0022,0.014,0.01,-0.23,0.63,0.0,-0.0049,-0.0107,-0.0069,0.686,0.423,2.436,,,,,,
5.185,,0.0001,-0.0022,0.013,0.01,-0.23,0.64,0.0,-0.0057,-0.0109,-0.0049,0.686,0.423,,,,,,,
5.242,,0.0003,-0.0019,0.013,0.01,-0.24,0.63,0.0,-0.0047,-0.0098,-0.0053,0.686,0.423,,,,,,,
5.299,,0.0003,-0.002,0.014,0.01,-0.23,0.64,0.0,-0.0057,-0.0099,-0.006,0.686,0.423,,,,,,,
