time_s,x_m,y_m,z_down_m
0.231,-0.2465,-1.6717,0.014
0.234,-0.2468,-1.672,0.014
0.332,-0.2492,-1.6711,0.014
0.427,-0.2513,-1.6702,0.013
0.53,-0.2493,-1.6719,0.012
0.626,-0.2499,-1.6711,0.016
0.727,-0.2469,-1.6718,0.012
0.87,-0.2469,-1.6713,0.012
0.935,-0.2467,-1.671,0.014
1.027,-0.2466,-1.6718,0.016
1.166,-0.2468,-1.6715,0.014
1.231,-0.2535,-1.6718,0.012
1.327,-0.2551,-1.6701,0.013
1.46,-0.2488,-1.67,0.015
1.536,-0.2491,-1.67,0.013
1.627,-0.2489,-1.67,0.011
1.748,-0.249,-1.6708,0.013
1.826,-0.2529,-1.6701,0.013
1.927,-0.2496,-1.6703,0.013
2.037,-0.2532,-1.6701,0.012
2.126,-0.2534,-1.6701,0.013
2.227,-0.2517,-1.671,0.013
2.326,-0.2521,-1.6701,0.014
2.427,-0.2496,-1.6692,0.013
2.528,-0.249,-1.6691,0.013
2.66,-0.2484,-1.6709,0.013
2.727,-0.2493,-1.6698,0.013
2.826,0.0001,0.0,0.013
2.934,-0.0002,0.0008,0.014
3.026,-0.0001,0.0009,0.014
3.127,-0.0046,0.0006,0.015
3.234,0.0002,0.0009,0.014
3.327,-0.0002,0.0006,0.013
3.426,-0.0064,0.0004,0.015
3.528,-0.0045,0.0009,0.013
3.625,-0.0041,0.0008,0.014
3.765,0.0005,-0.0001,0.014
3.829,0.0007,-0.0001,0.014
3.926,0.0004,-0.0001,0.013
4.052,-0.0041,-0.0009,0.014
4.127,-0.0049,0.001,0.015
4.226,0.0008,-0.0001,0.012
4.344,0.0005,0.0009,0.013
4.425,0.0001,-0.0001,0.011
4.525,-0.0001,-0.0001,0.013
4.631,0.0002,-0.0001,0.014
4.725,0.0004,-0.0001,0.012
4.826,0.001,-0.0009,0.015
4.947,0.0004,-0.0001,0.013
5.026,-0.0024,-0.0,0.014
5.125,0.0018,-0.0,0.014
5.252,0.002,-0.0,0.014
5.326,0.0012,-0.0011,0.012
5.425,0.0016,-0.0003,0.015
5.536,0.0018,-0.0001,0.012
5.626,0.0016,-0.0,0.013
5.726,0.0016,-0.0003,0.014
5.842,-0.0023,-0.0,0.013
5.925,-0.0016,-0.0007,0.013
6.025,0.0028,-0.001,0.013
6.134,0.0029,-0.0007,0.013
6.225,0.0032,-0.0007,0.014
6.359,0.0033,-0.001,0.015
6.427,0.0031,-0.001,0.014
6.525,0.0027,-0.0001,0.014
6.648,0.0027,-0.0007,0.013
6.725,0.0024,-0.0,0.014
6.825,0.0028,-0.0005,0.016
6.937,0.0026,-0.0007,0.014
7.025,0.0033,-0.0007,0.012
7.125,0.0028,-0.0,0.013
7.227,0.003,-0.0007,0.014
7.324,0.0028,-0.0015,0.014
7.425,0.0019,-0.0,0.015
7.55,0.0026,-0.0009,0.013
7.626,0.0028,-0.0011,0.013
7.725,0.0017,0.001,0.012
7.838,0.002,0.0001,0.014
7.925,0.0017,0.0013,0.014
8.025,0.0019,0.0019,0.013
8.137,0.0021,0.0019,0.012
8.225,0.0022,-0.0002,0.012
8.325,0.0051,-0.0043,0.013
8.429,0.0049,-0.0109,0.011
8.524,0.0046,-0.0177,0.012
