time_s,x_m,y_m,z_down_m,vx_ms,vy_ms,vz_ms
0.079,0.0,0.0,0.01,0.0,0.0,0.0
0.128,0.0348,0.0285,0.011,0.0016,0.0023,-0.0004
0.179,0.0343,0.0276,0.011,-0.0013,-0.0037,0.0026
0.229,0.0352,0.0294,0.008,0.0044,0.0079,0.0038
0.28,0.0348,0.0276,0.011,0.0017,-0.0031,-0.0029
0.329,0.0343,0.0277,0.009,-0.0008,-0.0026,0.0017
0.379,0.0348,0.0294,0.01,0.0016,0.0079,-0.0007
0.429,0.0345,0.0283,0.009,-0.0001,0.0015,0.0002
0.478,0.0345,0.0283,0.011,0.0001,0.0017,-0.0009
0.528,0.034,0.0291,0.01,-0.0026,0.0064,0.0031
0.578,0.0343,0.0281,0.009,-0.0002,0.0007,0.0035
0.628,0.034,0.027,0.008,-0.0019,-0.0046,0.0006
0.68,0.0337,0.0278,0.009,-0.0028,0.0,-0.003
0.728,0.034,0.0281,0.01,-0.0013,0.0012,-0.0022
0.779,0.0337,0.0281,0.01,-0.0027,0.0007,0.0
0.828,0.034,0.0271,0.009,-0.001,-0.0042,0.0017
0.878,0.034,0.0272,0.009,-0.0007,-0.0032,0.0007
0.928,0.0347,0.0283,0.009,0.0033,0.0027,-0.0
0.978,0.0336,0.0272,0.01,-0.0021,-0.0039,0.0002
1.027,0.0338,0.0271,0.008,-0.0008,-0.0038,0.002
1.078,0.0347,0.0278,0.009,0.004,0.0,-0.0012
1.128,0.0343,0.0272,0.008,0.0014,-0.0033,-0.0011
1.178,0.0343,0.0278,0.01,0.0009,-0.0001,-0.0024
1.229,0.0341,0.0281,0.006,-0.0002,0.0008,0.0014
1.279,0.0338,0.0288,0.01,-0.0009,0.0042,-0.0051
1.329,0.034,0.0272,0.01,0.0001,-0.0042,0.0003
1.378,0.0343,0.0279,0.01,0.0011,0.0002,0.0035
1.428,0.0341,0.0271,0.011,-0.001,-0.0037,0.0052
1.478,-0.0,0.0003,0.01,-0.0006,0.0084,0.0007
1.528,0.0002,0.0005,0.01,0.0037,0.0078,0.0001
1.578,-0.0001,0.0001,0.012,-0.0009,0.0001,-0.0006
1.627,0.0005,0.0015,0.011,0.0055,0.0159,0.0028
1.678,-0.0002,0.0009,0.009,-0.0021,0.007,0.0034
1.728,-0.0002,0.0004,0.011,-0.0018,0.0021,-0.0019
1.778,0.0002,0.0007,0.009,0.0014,0.0038,0.0003
1.827,0.0002,0.0006,0.011,0.0012,0.0029,-0.0029
1.878,0.0001,0.0011,0.011,0.0007,0.0055,0.0006
1.928,-0.0007,0.0008,0.012,-0.0045,0.0032,0.0026
1.979,0.0001,0.0008,0.01,0.0006,0.0021,0.006
2.027,0.0009,0.0015,0.011,0.0051,0.0056,0.0026
2.078,-0.0001,0.0002,0.01,-0.0006,-0.0023,0.0024
2.128,0.0002,0.0007,0.009,0.0011,0.001,-0.0002
2.178,-0.0001,-0.0003,0.01,-0.0004,-0.0046,-0.0033
2.229,-0.0001,-0.0003,0.01,-0.0,-0.0042,-0.0022
2.278,0.0004,0.0005,0.011,0.0025,-0.0004,-0.0015
2.327,-0.0001,0.0005,0.012,0.0003,-0.0007,0.0013
2.378,-0.0003,0.001,0.011,-0.0013,0.0025,0.0056
2.428,-0.0001,0.0002,0.011,-0.0,-0.0015,0.005
2.477,-0.0003,0.0005,0.01,-0.0009,-0.0001,0.004
2.533,-0.0003,0.0005,0.009,-0.0002,0.0005,0.0009
2.58,-0.0003,0.0005,0.01,0.0002,-0.0,-0.0031
2.628,0.0007,0.0018,0.009,0.0051,0.0067,-0.0023
2.678,-0.0,0.0005,0.011,0.0012,0.0001,-0.0038
2.727,-0.0003,0.0007,0.01,-0.0002,0.0013,0.0001
2.778,-0.0003,0.0009,0.01,-0.0002,0.002,0.0001
2.828,0.0006,0.0016,0.011,0.005,0.0051,0.0005
2.877,0.0008,0.0016,0.01,0.0053,0.0044,0.003
2.927,-0.0001,0.0007,0.01,0.0005,-0.0002,0.0013
2.977,-0.0005,-0.0001,0.009,-0.0011,-0.0044,0.0005
3.028,-0.0001,0.0005,0.01,0.0008,-0.0004,-0.0022
3.078,-0.0012,-0.0002,0.011,-0.0057,-0.0042,-0.0016
3.128,-0.0001,0.0012,0.011,0.0006,0.003,0.0012
3.178,-0.0001,0.0007,0.01,0.0003,0.0003,0.0032
3.227,0.0006,0.0016,0.01,0.0039,0.0049,0.0013
3.277,-0.0,0.0009,0.009,0.0007,0.0014,0.0009
3.327,0.0002,0.0007,0.01,0.002,-0.0001,-0.0016
3.378,0.0006,0.0016,0.011,0.004,0.0046,-0.0007
3.427,-0.0003,0.0007,0.01,-0.0004,0.0,0.0019
3.478,-0.0,0.0005,0.01,0.0011,-0.0007,0.0018
3.527,-0.0002,-0.0002,0.008,-0.0001,-0.0041,0.0013
3.577,0.0002,0.0005,0.009,0.0024,-0.0005,-0.0026
3.628,0.0002,0.0016,0.008,0.0025,0.0055,-0.0031
3.677,0.0,0.0005,0.009,0.0012,-0.0004,-0.0052
3.728,0.0003,0.0005,0.01,0.0024,0.0004,-0.0042
3.777,0.0001,0.0008,0.009,0.0008,0.0007,0.0
3.826,0.0008,-0.0002,0.01,0.0045,-0.0045,0.001
3.876,0.0003,0.0008,0.01,0.0015,0.0007,0.0038
